info,answer,explanation,question
111年學測-國文科第1題,A,,下列「」內的字，讀音前後相同的是：(A)既瘖且「痺」／彈箏搏「髀」 (B)不「忮」不求／「庋」藏字畫(C)「攢」蹙累積／踰牆「鑽」穴 (D)「剜」肉補瘡／壯士斷「腕」
111年學測-國文科第2題,B,,下列文句，完全沒有錯別字的是：(A)觀音山，故名思義是因遠眺貌似觀音躺臥而得名(B)清晨的山谷中，不見遊客聚集，萬物靜寂，闃然無聲(C)年終特賣會，在買一送一的強力促銷下，驅之若鶩者多(D)有些人誤以為投資一本萬利，因而錯判形勢，終至傾家盪產
111年學測-國文科第3題,A,,下列文句畫底線處的詞語，運用不適當的是：(A)世事變化無常，有如白駒過隙，總讓人感觸良多(B)一味索求而不節制，無疑是竭澤而漁，自斷後路(C)依循既往，墨守成規，很難在文創產業頭角崢嶸(D)他們陷入進退維谷的狀態，心慌意亂，難以抉擇
111年學測-國文科第4題,C,,依據下列框內資訊，關於斯卡羅族的敘述，最適當的是：斯卡羅族居住於海拔三百公尺以下，在清代已接觸較多漢人文化；在臺灣接受日本統治後，即以和平、合作的態度迅速成立國語傳習所。同化的程度越深，自我的認知越淡，族群離散也越快。據大正六年調查，斯卡羅族豬朥束社僅八十九戶，連同射麻里社十九戶、龍鑾社二十一戶、貓仔社十多戶，即使加上已移住他鄉的族人，也不過二一〇戶，約一千人。到了昭和五年至七年臺北帝國大學調查時，只剩五百(A)漢人文化對傳統習俗造成強烈衝擊，導致族人避居外地(B)低海拔地區的生活條件不良，使族人的向心力日益淡薄(C)族人響應日人政策設校學日語，間接導致族群日趨式微(D)大正六年，已有逾半戶數移住他鄉，且多遷居豬朥束社
111年學測-國文科第5題,A,,依據下文，關於文中所論不求甚解的讀書態度，敘述最適當的是：讀書不求甚解的態度之一，是服膺高度的審美能力，要求讀書引發一種渾成的心智，如同詩的境遇，它雖借助於文字符號的撩撥，但讀書者實際所取得的，是自我的美經驗之誕甦。其中經不起任何外力挑剔，或慎思明辨等等反省解釋來「徒亂人意」。（改寫自王夢鷗《傳統文學論衡‧自序》）(A)毋須經由純理性的知解鍛造 (B)僅適於閱讀感性的詩歌作品(C)不需要理解文字符號的涵義 (D)應契合社會公認的審美內涵
111年學測-國文科第6題,B,,閱讀下列杜詩，依據詩意與格律，□□內最適合填入的詞語依序是：甲、灩澦既沒孤根深，西來水多愁太陰。江天□□鳥雙去，風雨□□龍一吟。（杜甫〈灩澦〉）乙、舍西柔桑葉可拈，江畔細麥復□□。人生幾何春已夏，不放香醪如蜜甜。（杜甫〈絕句漫興九首〉其八）(A)漠漠／瑟瑟／亭亭 (B)漠漠／時時／纖纖(C)朗朗／時時／亭亭 (D)朗朗／瑟瑟／纖纖
111年學測-國文科第7題,B,,依據下文，關於不龜手之藥的敘述，最適當的是：宋人有善為不龜手之藥者，世世以洴澼絖為事。客聞之，請買其方百金。聚族而謀曰：「我世世為洴澼絖，不過數金；今一朝而鬻技百金，請與之。」客得之，以說吳王。越有難，吳王使之將，冬與越人水戰，大敗越人，裂地而封之。（《莊子‧逍遙遊》）(A)宋人認為它實際價格為百金 (B)它功能單一卻帶來不同效益(C)越人用它來治療洴澼絖之害 (D)吳王為爭奪它派遣軍隊攻越
111年學測-國文科第8題,B,,依據下文，關於曹操所頒布的經濟紓困方案與背景，敘述最適當的是：王（曹操）令曰：「去冬天降疫癘，民有凋傷，軍興於外，墾田損少，吾甚憂之。其令吏民男女：女年七十已上無夫子，若年十二已下無父母兄弟，及目無所見，手不能作，足不能行，而無妻子父兄產業者，廩食終身，幼者至十二止。貧窮不能自贍者，隨口給貸。老耄須待養者，年九十已上，復不事，家一人。」（陳壽《三國志‧魏書》）(A)因疫癘橫行與軍隊大肆劫掠，帶來大量人民死亡，影響經濟生產甚鉅(B)家無財產，亦無親屬可照顧之身體殘疾者，國家將其列入需紓困對象(C)國家給予七十歲以上的老婦與幼兒終身照顧，後者滿十二歲即不適用(D)貧窮到無法自給之人與九十歲以上待養的長者，適用同樣的紓困方案
111年學測-國文科第9題,C,,記得小學四年級以前寫自己的名字是「楨」，導師說我是女生，應改成「嫃」，從此我寫自己的名字都是「嫃」。直到高中入學被一位大嬸譏笑：「連自己的名字都寫錯。」此生第一次翻看戶口名簿，果然是「媜」。可惜因多次播遷，已無任何文件可以證明我的名字曾寫成「楨」與「嫃」。日前查詢國小國中名冊，所留檔案皆是「媜」，戶政單位手抄戶籍登記簿上也是「媜」，並無改名註記。姓名乃標示「我是誰」之首端。「媜」字神祕莫測，《康熙字典》才找得到，讀音如「爭」非「真」。折騰到十七歲，字寫對了，會念了，但不知是什麼意思。……大學時上聲韻學，得知「媜」字確實念「爭」，義為「女字」，女子名字。撰聯名家張佛千先生曾以我名為題賜下一聯：「文章高詣貴在簡，女子美字古曰媜。」蘊涵勉勵之意。女子美字，既云女子有個美好的名字，又可衍義為寫得一手好字，再撮要假借為博得「文章美名」的女子，誰云不宜。貞，會意字，甲骨文字形似一口寶鼎加上一支神杖「卜」形，相合而為：依據鼎內火炙變化而察看神跡。遠古殷商，無事不占卜，貞人即卜人，卜者釋義需求正確、堅定，故衍生貞定、堅貞、貞節之辭，所指皆是不可動搖的精神境界。《康熙字典》收有「媜」字，自字面推想，从女从貞，寓意品德貞潔女子，然我更愛這麼想：一個善占卜的女巫。而「簡」本是遠古用來書寫的狹長竹片，既簡且媜，一個聚精會神觀察大鼎內火炙變化再將占卜結果寫在竹片上的女巫形象，躍然而出。（改寫自簡媜〈迷霧中，呼喚我的名字〉）依據上文，關於「媜」字的說明，最適當的是：(A)與「楨、嫃」二字讀音相同 (B)在甲骨文中象徵占卜的女巫(C)可以被聯想成品德貞潔的女子 (D)《康熙字典》釋為女子寫得一手好字
111年學測-國文科第10題,B,,記得小學四年級以前寫自己的名字是「楨」，導師說我是女生，應改成「嫃」，從此我寫自己的名字都是「嫃」。直到高中入學被一位大嬸譏笑：「連自己的名字都寫錯。」此生第一次翻看戶口名簿，果然是「媜」。可惜因多次播遷，已無任何文件可以證明我的名字曾寫成「楨」與「嫃」。日前查詢國小國中名冊，所留檔案皆是「媜」，戶政單位手抄戶籍登記簿上也是「媜」，並無改名註記。姓名乃標示「我是誰」之首端。「媜」字神祕莫測，《康熙字典》才找得到，讀音如「爭」非「真」。折騰到十七歲，字寫對了，會念了，但不知是什麼意思。……大學時上聲韻學，得知「媜」字確實念「爭」，義為「女字」，女子名字。撰聯名家張佛千先生曾以我名為題賜下一聯：「文章高詣貴在簡，女子美字古曰媜。」蘊涵勉勵之意。女子美字，既云女子有個美好的名字，又可衍義為寫得一手好字，再撮要假借為博得「文章美名」的女子，誰云不宜。貞，會意字，甲骨文字形似一口寶鼎加上一支神杖「卜」形，相合而為：依據鼎內火炙變化而察看神跡。遠古殷商，無事不占卜，貞人即卜人，卜者釋義需求正確、堅定，故衍生貞定、堅貞、貞節之辭，所指皆是不可動搖的精神境界。《康熙字典》收有「媜」字，自字面推想，从女从貞，寓意品德貞潔女子，然我更愛這麼想：一個善占卜的女巫。而「簡」本是遠古用來書寫的狹長竹片，既簡且媜，一個聚精會神觀察大鼎內火炙變化再將占卜結果寫在竹片上的女巫形象，躍然而出。（改寫自簡媜〈迷霧中，呼喚我的名字〉）依據上文，有關作者名字的敘述，最不符合文意的是：(A)作者初次翻看戶口名簿，才發現一直寫錯名字(B)上高中前，作者一直將自己的名字寫成「嫃」(C)作者不但曾將自己的名字寫錯，讀音也不正確(D)相較於从女从貞的寓意，作者更喜愛女巫形象
