info,answer,explanation,question
111年學測-社會科第1題,B,,"1. 某國媒體報導，該國原住民族罹患心理疾病比率、自殺率、平均壽命與全國之 比較，如表 1。該報導在未詳查原住民族生活困境的情形下，即宣稱這是因為原 住 民 族 不 注 重 身 心 健 表1 康，例如偏好高脂肪、高 原住民族 全國 甜度垃圾食物所致。類 似此種缺乏同理與理解 罹患心理疾病比率（%） 14.2 9.0 的報導，最可能引導社 自殺率（人／每十萬人） 15.7 8.8 會大眾對原住民個人或 平均壽命（歲） 69.3 76.1 民族形成何種更加不利 的社會印象？(A)原住民個人常缺少改變傳統習慣的意願, (B)原住民個人缺少為自己健康負責的態度, (C)原住民族缺少傳統飲食文化的知識傳承, (D)原住民族缺少改變現代生活步調的策略"
111年學測-社會科第2題,C,,"2. 圖 1 是某國政治宣傳的圖片，有學者指出：此圖呈現該國執政領袖、執政黨和人 民三者的關係，可清楚看出民主國家運作與該國存 有最根本的差異。請問下列何者應為該學者所指的 最根本差異？ 圖1(A)存在多黨競爭，難有全民效忠服從的政黨, (B)肯認多元認同，不易服從單一的政治領袖, (C)執政領袖和執政黨皆是國家管理人，而非效忠對象, (D)執政領袖和執政黨只是代表政府，人民應效忠政府"
111年學測-社會科第3題,B,,"3. 小安研究某國財產制度，蒐集該國某年遺產繼承統計資料（表 2）。她推論造成 男女數據差異的成因，除與該 表2 國傳統社會觀念有關外，與其 所有法定繼承人之 法定繼承人中實際取得 民 法 繼 承 法 律 的 規 定 亦 有 關 性別比 遺產者之性別比 聯。下列該國繼承制度所採取 男 女 男 女 的原理原則，何者與表中數據 64% 36% 72% 28% 所呈現之性別差異最為相關？(A)民法繼承法律在繼承權利方面採取性別平權的原則, (B)准許被繼承人在生前以遺囑自由處置一定範圍財產, (C)以特定親屬繼承為原則，並以配偶為當然的繼承人, (D)繼承人償還被繼承人的債務，以繼承所得遺產為限, "
111年學測-社會科第4題,B,,"4. 表 3 是某市府對購買新型低汙染機車， 表3 以及報廢舊機車換購新型低汙染機車 年份 新購機車補助 汰舊換新補助 （汰舊換新）的補助。若這兩年新購置 去年 10000元 8000元 機車的數量與品質皆相同，僅有政府補 今年 6000元 10000元 助金額改變，則今年相較於去年，對消 費者行為和空氣汙染的影響為何？(A)更多人願意汰舊換新，但去年的政策比較能改善空汙, (B)更多人願意汰舊換新，且今年的政策比較能改善空汙, (C)更多人願意新購機車，且今年的政策比較能改善空汙, (D)更多人願意新購機車，但去年的政策比較能改善空汙"
111年學測-社會科第5題,A,,"5. 某校歷史課程進行「歷史考察」學習時，要求同學事先蒐集族譜、臺灣總督府旅 券（護照）、同鄉會名簿等史料，並進入內政部網站閱讀人口和戶口調查資料。 該「歷史考察」的主題最可能是：(A)人群的移動與交流 (B)國家的建立與形塑, (C)文化的類型與變遷 (D)宗教的起源與傳播"
111年學測-社會科第6題,C,,"6. 一位學者提到：過去歷史研究的主體，往往偏重於統治者的歷史，比較忽略人民 的歷史，其實，人民才是我們應該關心的主體。下列哪個主題最接近這位學者主 張的研究方向？(A)鄭氏王朝在臺的屯田政策, (B)清代臺灣職官制度的演變, (C)清代臺灣沿海的王爺信仰, (D)日本在臺殖民體制的建立"
111年學測-社會科第7題,C,,"7. 二十世紀初期，某人嚴厲抨擊貨幣的使用：「誰還需要該死的貨幣？生活意味著 食物、衣服、房子與休息，沒有貨幣這種金屬與碎紙片，我們依然可以快樂生活。 貨幣將會失去意義，政府應以實物取代貨幣，作為工作所得」。此人的論述反映 下列哪個主義的觀點？(A)重商主義 (B)自由主義 (C)共產主義 (D)法西斯主義"
111年學測-社會科第9題,D,,"9. 十五至十六世紀間，某王國曾興建一座大型的宮殿，此建築物分為三部分：正殿 為國王舉行各種典禮和議政的場所；北殿專為接待中國的冊封使之用；南殿則自 十七世紀初期開始，用來接待日本薩摩藩官員。該宮殿最可能位於：(A)朝鮮 (B)暹羅 (C)安南 (D)琉球, "
111年學測-社會科第10題,B,,"10. 某校歷史課進行「歐洲與非、美兩洲的交流」探究學習時，以一幅歐洲十七世紀 流傳的蔗糖生產過程圖（圖 2），說明當時蔗糖逐漸取代蜂蜜，成為歐洲人最重 要的甜味來源。圖中糖廠最可能在何地區？ 圖2(A)北非的阿爾及利亞 (B)中美洲西印度群島, (C)北美洲的紐芬蘭島 (D)中部非洲剛果盆地"
111年學測-社會科第11題,B,,"11. 清宣統三年十二月二十五日（1912 年 2 月 12 日），清帝溥儀頒布退位詔書。但 在國立故宮博物院典藏的清代檔案中，發現一件進呈給溥儀的奏摺，時間標註為 「宣統十六年七月」。我們應如何解釋這個現象？(A)宣統朝只有三年，應該是清政府官員誤植年代的奏摺, (B)清帝雖退位，政府仍同意其繼續使用帝號和原有紀年, (C)洪憲帝制時，為獲滿族支持而以宣統紀年進呈的奏摺, (D)滿洲國成立，其政府官員上奏給溥儀，故以宣統紀年"
111年學測-社會科第12題,C,,"12. 金門有許多洋樓，建築上裝飾著象徵吉祥如意的鳳梨、祈求多子多孫的麥穗、象 徵科舉及第的螃蟹（以「甲殼」比喻「科甲」）、表示時間的西洋時鐘或扛著屋 簷的印度苦力（象徵屋主的社會地位）。這些建築裝飾反映以下何種歷史現象？(A)荷蘭人主導遠東貿易時期，當時盛行的建築風格也流傳至金門, (B)鄭成功家族前往巴達維亞貿易，並將當地的建築特色帶回金門, (C)民國早期，僑民從南洋帶回西方建築風格並融入金門傳統裝飾, (D)日本占領金門時，其商人引進當時歐洲最流行的巴洛克式裝飾"
111年學測-社會科第13題,B,,"13. 據統計，二次世界大戰期間德國平民死亡約 117 萬人，占該國 1939 年總人口 1.6%；蘇聯平民死亡約 1400 萬人，占該國 1939 年總人口 7.3%。蘇聯平民死亡 人數與比率均遠多於德國的原因為何？(A)納粹黨在東歐多處設立大型滅絕營，用毒氣殺害當地人, (B)蘇聯是主要戰場，戰火摧殘人命外，還有缺糧飢荒問題, (C)德、義、日軸心國武器優越，超過蘇聯、英、美同盟國, (D)為對付全球反共產勢力，大量的蘇聯士兵駐防東歐國家, "
111年學測-社會科第14題,A,,"14. 圖 3 為 1500 年至 1799 年間，從歐洲出發，前往亞洲海域貿易前三名國家的船隻 數量變化圖。根據該圖，甲、乙、丙依序是哪些國家？ （ 單 位 ： 艘 ）(A)葡萄牙、荷蘭、英國 (B)西班牙、英國、荷蘭, (C)荷蘭、英國、西班牙 (D)英國、葡萄牙、荷蘭"
111年學測-社會科第15題,B,,"15. 中國的百貨公司成立以來，多以「洋貨」為主打商品。民國初年，某一事件發生 期間，上海一間百貨公司在報紙上刊登「敬告國人書」：「外交失敗，悲憤同深，…… 敝公司雖係統辦環球貨品，然宗旨首重國貨，歐美貨次之，其某國貨，則僅供市 上之需求耳。」並表示某國貨品存貨出清，即不再販售。不過，抵制某國貨品的 聲浪如排山倒海而來，該公司只好再度聲明：概將某國貨品「完全收束不賣，寧 願犧牲血本，以示與眾共棄之決心。」請問「某一事件」指的是：(A)三一運動 (B)五四運動 (C)九一八事變 (D)七七事變"
111年學測-社會科第16題,C,,"16. 一份資料提到：1933 年的雙十國慶酒會選在臺北的鐵道旅館舉辦，出席的貴賓 有美國、義大利駐臺領事及臺灣總督府高級長官。會場懸掛中華民國國旗，慶典 中除演奏中華民國國歌外，還高呼「中華民國萬歲」。這段資料如何解讀最合理？(A)當時滿洲國成立不久，日本乃邀請滿洲國官員來臺舉辦慶祝雙十國慶活動, (B)當時中日兩國的關係親密和善，臺灣總督府乃主動舉辦慶祝雙十國慶酒會, (C)當時來臺的中國僑民日多，國府已在臺北設立領事館，故能舉辦國慶活動, (D)當時的臺灣總督府正在進行皇民化政策，故舉辦雙十酒會來攏絡臺灣人民"
111年學測-社會科第17題,A,,"17. 某國的動力織布機技術在十九世紀初獨步全球，該國嚴格控管此關鍵技術，避免 秘密外洩。一名外國技師刻意潛入該國工廠學習，花費六個月將所有技術細節記 在腦中，回國後憑記憶建立相同的動力織布工廠，推動自己國家的工業技術革新。 此情況最可能是： 2000 1500 1000 500 0 1500-1549 1550-1599 1600-1649 1650-1699 1700-1749 1750-1799 （年） 甲國 乙國 丙國 圖3(A)他從英國偷學技術，帶回美國 (B)他從英國偷學技術，帶回日本, (C)他從美國偷學技術，帶回印度 (D)他從美國偷學技術，帶回俄國, "
111年學測-社會科第19題,D,,"19. COVID-19 疫情爆發以後，許多國家積極研發與生產疫苗。2021 年，歐盟與美國、 中國、印度、臺灣等已有疫苗生產廠，但大多實施出口管制，優先留給其公民施 打；相較下，非洲地區目前疫苗嚴重不足，而非洲聯盟也計畫在 2040 年擴大疫 苗生產到足敷非洲大陸 60%所需。COVID-19 疫苗生產的時空差異，最適合以下 列哪個概念解釋？(A)時空收斂 (B)區位移轉 (C)擴散與反吸 (D)核心與邊陲"
111年學測-社會科第21題,C,,"21. 公平貿易指的是在農產品的產銷過程中， 確保生產者獲得公平的報酬、勞動者獲得 應有的保障、環境可以得到保護的一種制 度。圖 4 為參與公平貿易生產商的分布， 這些生產商的分布區，具有哪些共同的時 空背景？ 圖4(A)多位於熱帶沙漠區，八至九世紀時曾為阿拉伯帝國的勢力範圍, (B)多位於熱帶季風區，十至十三世紀曾為東亞人群外流的移入地, (C)多位於熱帶氣候區，二十世紀中期以前曾先後遭歐洲列強殖民, (D)多位於信風帶，二十世紀後期冷戰期間曾為美蘇競爭的緩衝區, "
