"info","answer","explanation","question"
"112年學測-國文科第1題","A",,"下列「」內的字，讀音前後相同的是： (A)胡「笳」之拍／僧侶「袈」裟 (C)驀然而「踣」／「掊」擊對手 (B)釁起「鬩」牆／傲「睨」萬物 (D)「吁」嗟而去／「迂」談闊論 "
"112年學測-國文科第2題","C",,"下列文句，完全沒有錯別字的是： (A)收藏家的稀世珍品樣樣價格不斐 (B)這起工安意外明顯是人謀不彰所導致 (C)叔叔感慨從小命蹇時乖，一路工讀自學 (D)天燈乘載大家的願望，在歡呼聲中冉冉升空"
"112年學測-國文科第3題","A",,"下列文句畫底線處的詞語，運用最適當的是： (A)這宗懸案經專案小組擘肌分理，已掌握部分有利線索 (B)經理很欣賞這名愛將，但也常愛屋及烏地袒護其過失 (C)新品銷量短期內便來者可追，超越廣受好評的老品牌 (D)闖過準決賽就能占到得隴望蜀的位置，可望角逐冠軍"
"112年學測-國文科第4題","D",,"關於表一、表二，最適當的解讀是： 王昌齡 92.73 % (現存275 首詩) 62.64 % (現存182 首詩) 王  維 李  白 杜  甫   孟浩然 王昌齡 王  維 【表一】五位詩人所寫「問候懷想親友詩」統計  【表二】五位詩人（橫軸）述及其他四人的詩數 孟浩然 人數 178 104 159 333 110  孟浩然 － 0 3 5 2 詩數 255 114 247 460 743  王昌齡 4 － 1 2 0 占現存詩總量的 比率 李  白 杜  甫 李  白 0 1 0 － 13 65.34 % (現存378 首詩) 43.27 % (現存1063 首詩) 50.48 % (現存1472 首詩) (A)孟浩然、王昌齡、杜甫皆認識王維，故於表一數字「159」中各計一次 (B)孟浩然較另四位詩人尤好寫詩交友，王昌齡給每名親友的詩至多兩首 (C)杜甫的親友比孟浩然少，他與孟浩然的熟識度，比與王維來得高 (D)李白有不少詩是因問候、懷想親友而寫，但對象不含王維 "
"112年學測-國文科第5題","D",,"溝通交涉時，說話者會自居某個角色，或讓受話者處於某個角色，以利達成目的。下列關於甲、乙的解說，最適當的是： 甲、燭之武謂秦穆公：「且君嘗為晉君賜矣，許君焦、瑕，朝濟而夕設版焉，君之所知也。夫晉，何厭之有？既東封鄭，又欲肆其西封。若不闕秦，將焉取之？」 乙、樊噲謂項羽：「今沛公先破秦，入咸陽，毫毛不敢有所近，封閉宮室，還軍霸上，以待大王來。故遣將守關者，備他盜出入與非常也。勞苦而功高如此，未有封侯之賞，而聽細說，欲誅有功之人，此亡秦之續耳。」 甲 (A) 乙 說話者自居旁觀者的角色 (B) 說話者自居當事者的角色 說話者自居討人情的角色 (C) 說話者自居討公道的角色 受話者處於被嫉妒的角色 (D) 受話者處於嫉妒人的角色 受話者處於被辜負的角色 受話者處於辜負人的角色 "
"112年學測-國文科第6題","D",,"依據下文，□□內最適合填入的詞語依序是： 紇妻纖白，甚美。其部人曰：「將軍何為挈麗人經此？地有神，善竊少女，而美者□□□□，宜謹護之。」紇甚□□，夜勒兵環其廬，匿婦密室中，謹閉甚固，而以女奴十餘□□之。爾夕，陰風晦黑，至五更，寂然無聞。守者怠而假寐，忽若有物驚寤者，即已失妻矣。（〈補江總白猿傳〉） (A)其來有自／疑懼／迎候 (B)其來有自／倨傲／伺守 (C)尤所難免／倨傲／迎候 (D)尤所難免／疑懼／伺守"
"112年學測-國文科第7題","D",,"關於下文「做菜」與「作文」之間的譬喻，說明最適當的是： 滿洲菜多燒煮，漢人菜多羹湯，童而習之，故擅長也。漢請滿人，滿請漢人，各用所長之菜，轉覺入口新鮮，不失邯鄲故步。今人忘其本分，而要格外討好。漢請滿人用滿菜，滿請漢人用漢菜，反致依樣葫蘆，有名無實，畫虎不成反類犬矣。秀才下場，專作自己文字，務極其工，自有遇合。若逢一宗師而摹仿之，逢一主考而摹仿之，則掇皮無真，終身不中矣。（袁枚《隨園食單》） (A)學做料理須知各地菜餚特色，習文當須辨宗門流派 (B)做菜須向前輩方家學習以精進，為文當須追摹宗師 (C)漢人未自幼學習而做不好滿菜，學寫文章亦宜趁早 (D)料理講究發揮個別的特長，作文亦以呈顯本色為尚 "
"112年學測-國文科第8題","A",,"經保育人士多年努力，黃石公園終於在1995年放生14隻灰狼。灰狼進入生態系統後，開始獵捕加拿大馬鹿。鹿群為了生存，便減少出現在河谷。當河谷的植物不再成為鹿群的盤中飧，就逐漸恢復原先的茂盛，有些樹甚至以五倍速度成長。環境學家蒙比爾特在YouTube介紹上述這一連串的改變，並指出因鹿減少而增生的植被，使河岸不易被沖刷成曲折的模樣。 2010年有研究發現：雖然鹿在幾年內減少60%，但樹木從未迅速長高，且鹿仍到狼群出沒頻繁的區域覓食，因為牠們在遼闊的黃石公園裡相遇機率極低。動物學家米德爾頓引述這項研究，認為狼群絕跡確實衝擊黃石公園生態，但過去因此而產生的巨變，不可能藉狼群重返而在短時間內復原。生態學家麥可奈第也指出，鹿的減少確實讓樹木變多，但1990年代蒙大拿州已開放獵捕加拿大馬鹿，而黃石公園的美洲獅與灰熊也對鹿群減少有所貢獻。所以，他認為「『狼改變了河流』，        。」此外，米德爾頓承認這個案例讓大家意識到肉食動物對生態系統的重要，但他強調，提供正確訊息仍是環境學家的職責。（改寫自〈「改變美國自然生態的狼英雄」是事實還是神話？〉） 8. 上文        內，最適合填入的文句是： (A)其中雖有些許真相，但似乎過於誇大 (B)是不折不扣的假新聞，完全缺乏實證 (C)將來可能推翻，但在目前可信度最高 (D)不可等閒視之，而是應該追蹤的警訊 "
"112年學測-國文科第9題","D",,"經保育人士多年努力，黃石公園終於在1995年放生14隻灰狼。灰狼進入生態系統後，開始獵捕加拿大馬鹿。鹿群為了生存，便減少出現在河谷。當河谷的植物不再成為鹿群的盤中飧，就逐漸恢復原先的茂盛，有些樹甚至以五倍速度成長。環境學家蒙比爾特在YouTube介紹上述這一連串的改變，並指出因鹿減少而增生的植被，使河岸不易被沖刷成曲折的模樣。 2010年有研究發現：雖然鹿在幾年內減少60%，但樹木從未迅速長高，且鹿仍到狼群出沒頻繁的區域覓食，因為牠們在遼闊的黃石公園裡相遇機率極低。動物學家米德爾頓引述這項研究，認為狼群絕跡確實衝擊黃石公園生態，但過去因此而產生的巨變，不可能藉狼群重返而在短時間內復原。生態學家麥可奈第也指出，鹿的減少確實讓樹木變多，但1990年代蒙大拿州已開放獵捕加拿大馬鹿，而黃石公園的美洲獅與灰熊也對鹿群減少有所貢獻。所以，他認為「『狼改變了河流』，        。」此外，米德爾頓承認這個案例讓大家意識到肉食動物對生態系統的重要，但他強調，提供正確訊息仍是環境學家的職責。（改寫自〈「改變美國自然生態的狼英雄」是事實還是神話？〉）「三位學者的言談」是上文重要素材。關於此素材的運用手法，最適當的敘述是： (A)引述三人對「狼英雄」的看法時，僅敘述其論點而省略論據 (B)先綜述各方對「狼英雄」反應，再以三人為代表分述其觀點 (C)以訪談形式呈現三人對「狼英雄」的看法，使讀者有參與感 (D)以三人觀點的出現順序，隱然表達對製造「狼英雄」的質疑"
"112年學測-國文科第10題","C",,"2020年壓軸的天文現象是木星合土星。從地球看，兩顆星在12月21日的視覺距離僅約6.5角分，幾乎黏在一起。由於木星繞太陽一周將近12年，土星則要29.5年，因此平均約20年才會兩星相合。古人稱一個運動中的天體逼近另一天體曰「犯」，所以史書記載這兩星相合為「歲星（木星）犯填星（土星）」。但哪顆星犯哪顆星，是如何判斷呢？ 以公轉速度而言，木星比土星跑得快。但因地球軌道短於外側行星的軌道，所以從地球上看V星的運動（如右圖），會發生順行（如A1→A2）、逆行（如A2→A3）的變化。而當木星在順逆行轉換、看似靜止不動時（古人稱為「留」），視覺上便可能土星快於木星。例如西元828年11月5日到21日，明顯是木星順行衝向土星，但21到25日，卻是土星以反方向接近木星，跑了2.2角分，但順行的木星只跑了1角分。以現代天文學看，木星每天頂多移動0.2度，小於宋元之際觀測誤差，約等於清代觀測誤差。如果真要依據這五天的變化寫誰犯誰，古人恐怕辦不到。古代「填星犯某星」的記載很少，《明實錄》的「填星犯太白（金星）」，到正史中改為「太白犯填星」。又彙整唐代之前國運占星術的《開元占經》，雖有「歲星犯太白」的占辭，但史書向來寫「太白犯歲星」。故可確定快慢印象是判斷誰犯誰的依據。（改寫自歐陽亮〈都是星星惹的禍？木星合土星─歲星犯填星〉）談論專業知識的文章，通常預設讀者具備相關背景知識，而不加以說明。下列四個已確知的天文學知識，未被上文預設為背景知識的是： (A)金星的公轉速度比土星快 (B)角分與度是測量角度的單位，1度＝60角分 (C)清代的觀測誤差，小於宋元之際的觀測誤差 (D)木星、土星與太陽的距離，較地球與太陽的距離遠 "
"112年學測-國文科第11題","C",,"2020年壓軸的天文現象是木星合土星。從地球看，兩顆星在12月21日的視覺距離僅約6.5角分，幾乎黏在一起。由於木星繞太陽一周將近12年，土星則要29.5年，因此平均約20年才會兩星相合。古人稱一個運動中的天體逼近另一天體曰「犯」，所以史書記載這兩星相合為「歲星（木星）犯填星（土星）」。但哪顆星犯哪顆星，是如何判斷呢？ 以公轉速度而言，木星比土星跑得快。但因地球軌道短於外側行星的軌道，所以從地球上看V星的運動（如右圖），會發生順行（如A1→A2）、逆行（如A2→A3）的變化。而當木星在順逆行轉換、看似靜止不動時（古人稱為「留」），視覺上便可能土星快於木星。例如西元828年11月5日到21日，明顯是木星順行衝向土星，但21到25日，卻是土星以反方向接近木星，跑了2.2角分，但順行的木星只跑了1角分。以現代天文學看，木星每天頂多移動0.2度，小於宋元之際觀測誤差，約等於清代觀測誤差。如果真要依據這五天的變化寫誰犯誰，古人恐怕辦不到。古代「填星犯某星」的記載很少，《明實錄》的「填星犯太白（金星）」，到正史中改為「太白犯填星」。又彙整唐代之前國運占星術的《開元占經》，雖有「歲星犯太白」的占辭，但史書向來寫「太白犯歲星」。故可確定快慢印象是判斷誰犯誰的依據。（改寫自歐陽亮〈都是星星惹的禍？木星合土星─歲星犯填星〉）上文舉出西元828年的事例，主要是用來說明： (A)古代的天文記載常有國運占星色彩，故未必合乎事實 (B)古代觀測技術不如現代精密，但保存的史料有利考證 (C)古人無法完全依據木星、土星的移動速度判斷誰犯誰 (D)古人只知木星、土星同向移動，不知二者會逆向靠近"
"112年學測-國文科第12題","A",,"2020年壓軸的天文現象是木星合土星。從地球看，兩顆星在12月21日的視覺距離僅約6.5角分，幾乎黏在一起。由於木星繞太陽一周將近12年，土星則要29.5年，因此平均約20年才會兩星相合。古人稱一個運動中的天體逼近另一天體曰「犯」，所以史書記載這兩星相合為「歲星（木星）犯填星（土星）」。但哪顆星犯哪顆星，是如何判斷呢？ 以公轉速度而言，木星比土星跑得快。但因地球軌道短於外側行星的軌道，所以從地球上看V星的運動（如右圖），會發生順行（如A1→A2）、逆行（如A2→A3）的變化。而當木星在順逆行轉換、看似靜止不動時（古人稱為「留」），視覺上便可能土星快於木星。例如西元828年11月5日到21日，明顯是木星順行衝向土星，但21到25日，卻是土星以反方向接近木星，跑了2.2角分，但順行的木星只跑了1角分。以現代天文學看，木星每天頂多移動0.2度，小於宋元之際觀測誤差，約等於清代觀測誤差。如果真要依據這五天的變化寫誰犯誰，古人恐怕辦不到。古代「填星犯某星」的記載很少，《明實錄》的「填星犯太白（金星）」，到正史中改為「太白犯填星」。又彙整唐代之前國運占星術的《開元占經》，雖有「歲星犯太白」的占辭，但史書向來寫「太白犯歲星」。故可確定快慢印象是判斷誰犯誰的依據。（改寫自歐陽亮〈都是星星惹的禍？木星合土星─歲星犯填星〉）上文若要介紹「古人如何從木星合土星占驗未來」，並援引下列史事，印證《開元占經》收錄的某項預言，則此預言最可能是： （東晉）咸安二年正月己酉，歲星犯填星。……七月，帝疾甚，詔桓溫曰：「少子可輔者，輔之；如不可，君自取之。」賴侍中王坦之毀手詔，改使如王導輔政故事。溫聞之大怒，將誅坦之等。 (A)填星與歲星合，相犯為內亂 (B)填星所在，歲星從之，伐者利 (C)填星與歲星合，有軍在外，戰不勝，失地 (D)歲星與填星鬥，此謂離德，不出三月，必有亡國 "
"112年學測-國文科第13題","B",,"枯山枯水庭園以砂石為主，但是幾乎每一方石庭都缺少不了綠色的點綴。談及日本庭園之綠意，除了草木之外，青苔也是構成的一大要素， 甲 ，尤其是京都的庭園，如果沒有青苔，勢將減色不少。苔本是繁殖於地面的一種蘚類植物，只要氣候低濕，可以不種自衍。但是日本的庭園崇尚蒼老之美， 乙 ，因此它也就變成了代表庭園歷史的一種標誌了。由於苔本身具有一種厚重的質感，其色雖濃翠，卻不綺豔， 丙 ，加以苔本身所給予人時間之聯想， 丁 ，所以在文學上，任何一個名詞，只要冠以「苔」字，立刻能造成蒼涼悲寂的效果，如「苔階」、「苔徑」、「苔井」、「苔池」。而當你面對京都的苔庭時，這蒼涼悲寂的情調就更具體的呈現在眼前了。（改寫自林文月〈京都的庭園〉）依據文意，「而青苔非歷時長久不能蔓衍」應填入： (A)甲 (B)乙 (C)丙 (D)丁"
