info,answer,explanation,question
109年學測-社會科第1題,C,(A)成立團體不一定要向政府立案。(B)社團有其理念及目標，立場不需中立。(D)親友可加入社團，社團是人民可自主參與的團體。,"1. 王老師任教於濱海小鎮，發現常有不肖業者傾倒廢土，破壞生態環境，導致潮間 帶紅樹林逐年萎縮，因而集結在地人士組織社團，宣揚保育理念，避免紅樹林進 一步流失。關於王老師透過結社參與公共事務的行動，下列敘述何者為正確？(A)成立社團後，應儘速向政府立案，否則會成為非法組織, (B)該社團若接受行政機關補助，將無法維持角色的中立性, (C)社團可接受企業捐助擴充資源，但應注意企業環保立場, (D)王老師應拒絕親友加入社團，以避免違背社團之公共性"
109年學測-社會科第2題,C,可裁決、給予當事國課反傾銷稅權力的組織是 WTO。,"2. 位於環太平洋區域的甲國，長期向乙國輸出太陽能電池板，但近年遭乙國徵收 高額的反傾銷關稅。甲國因而向丙提出申訴，最後獲得丙的裁決，允許甲國對 乙國輸入該國的商品加徵關稅。依據題文資訊，丙最可能是下列何者？(A)聯合國, (B)世界銀行, (C)世界貿易組織, (D)亞太經濟合作會議"
109年學測-社會科第3題,A,題幹表格呈現三個社會團體，與其倡議促成的立法案例，故(A)「我國利益團體與公共政策制定」最有可能是此報告的主題。(B)雖然三部法律皆是為了保障弱勢群體，但選項未提及社會團體，較不適合當作報告的主題。(C)與題幹無關。(D)僅法律扶助法為司法制度改革。,"3. 小芳為完成一項課堂報告，整理多筆資料，表 1 是其中三筆： 表 1 編號 倡議者 相關法律 倡議期間 1 車禍受難者救援協會 強制汽車責任保險法 1988-1996 2 兒童福利聯盟文教基金會 兒童及少年福利法 2001-2003 3 民間司法改革委員會 法律扶助法 2001-2003 依據表中訊息，下列何者最可能是報告的主題？(A)我國利益團體與公共政策制訂, (B)我國弱勢群體保障的立法案例, (C)我國立法院的職權與立法程序, (D)我國民間團體與司法制度改革, "
109年學測-社會科第4題,A,(A)依民法規定，男 18 歲、女 16 歲可結婚，但未滿 20 歲之人結婚需得法定代理人同意。(B)婚約需當事人為之，父母之命的婚約無效。(C)男滿 18 歲、女滿 16 歲即可結婚。(D)代訂婚約無效，且婚姻採登記結婚，須向戶政機關登記。,"4. 民國初年新文化運動時期，曾有 19 歲大學生某甲寫信回家，表示自己與班上 同齡女同學談戀愛，要求取消父母早已為他訂下的親事。信中還說：儘管大部 分人都接受父母之命的婚姻，但自己要和傳統勢力戰鬥到底。如果甲身處現在 的臺灣，當甲向律師諮詢時，下列何者最可能是律師的回答？(A)如甲與女同學已辦理結婚登記，甲之婚姻未經父母同意無法生效, (B)基於親權，父母之命的婚姻無須登記即有效，但甲成年後可撤銷, (C)甲的年紀未滿二十歲，因為他尚未成年，依民法不能與他人結婚, (D)甲可與由父母代訂親事的女方，共同合意以書面宣告該婚姻無效"
109年學測-社會科第5題,C,乙為檢察官，丙為律師。(A)律師受當事人委任，應為當事人辯護。(B)羈押由法官裁定。(D)乙為檢察官，無審判權。,"5. 甲涉嫌殺人，由乙負責指揮偵查。甲欲委任丙擔任甲的辯護人。偵查過程中， 乙發現甲罪嫌重大，且有與他人串供之嫌。下列關於本案所涉及之刑事審查程 序的敘述，何者正確？(A)丙如果發現甲罪證確鑿，應拒絕替甲辯護才可維護正義最後防線, (B)乙之任務為協助國家打擊犯罪，甲罪嫌重大應由乙直接加以羈押, (C)乙事後如發現對甲有利證據，仍應參考這些證據，決定是否起訴, (D)丙應該促成甲在法庭上認罪，讓乙輕判甲，避免甲被乙判處死刑"
109年學測-社會科第6題,D,(A)消費性支出。(B)投資性支出。(C)罰鍰費用並非賠償收入，二者均屬其他收入。,"6. 近年來臺灣登山人口增加，山難事件時有所聞，常需內政部空勤總隊出動直升 機搜救。許多縣市政府公告登山活動自治管理條例，未依原登山計畫而改變活 動路線或範圍，因此發生事故者，除應繳交相關救援費用外，還應繳交罰鍰。 題文涉及的政府支出與收入之計算，以下敘述何者正確？(A)政府出動直升機的費用計入投資性支出, (B)政府購置直升機的經費計入移轉性支出, (C)登山客所繳交之罰鍰費用計入賠償收入, (D)登山客所繳交之救援費用計入規費收入"
109年學測-社會科第7題,A,因抽到的是弓箭手升級速度加倍，勇士升級速度不變，故縱軸不變，橫軸往外移。,"7. 某新款遊戲中有兩種角色可以選擇，分別是勇士和弓箭手。原本小新玩一小時 遊戲，不管是只選擇勇士或只選擇弓箭手，最高可讓該角色的戰力升五級，但 一小時內也可以任意轉換角色。某日小新抽到弓箭手升級速度加倍的一小時優 惠，若以弓箭手戰力升級數為橫軸，勇士戰力升級數為縱軸，並以實線代表獲 得優惠前每一個小時的生產可能線，在其他條件不變下，下列哪一個示意圖最 適合用來顯示此優惠對小新一小時生產可能線的影響？ 勇 勇 勇 勇 士 士 士 士 戰 戰 戰 戰 力 力 力 力 升 升 升 升 級 級 級 級 數 數 數 數 弓箭手戰力升級數 弓箭手戰力升級數 弓箭手戰力升級數 弓箭手戰力升級數(A) (B) (C) (D), "
109年學測-社會科第8題,B,題幹強調重大政策法案立法前應先舉行公民會議，民眾支持達77.9%，願意參與達54.88%，顯示民眾支持且願意參與公民會議進行討論。 ,"8. ◎ 某國新政府上台後，為使重大政策更貼近民眾需求，提升未來施政滿意度，決定實施全國民意調查，以瞭解該國公民是否支持重大政策法案立法前，應先舉行公民會議，以及公民是否願意參與會議。調查結果如表 2：表 2參與意願願意 不願意 合計支持態度支持 847（48.37%） 517（29.53%） 1,364（77.90%）不支持 114（ 6.51%） 273（15.59%） 387（22.10%）合計 961（54.88%） 790（45.12%） 1,751 （ 100%） 第 3 頁 109年學測 共 19 頁 社會考科 下列哪項民主政治的理念最接近？(A)公民的角色在於參與定期選舉的投票，決定政黨輪替並避免產生政府專制, (B)公民對公共政策進行對話討論，有助於改善代議制度並擴大參與決策機會, (C)一般公民未必瞭解公共政策，多數決亦可能流於多數暴力而傷害決策品質, (D)公共政策由公民投票決定，既可以避免菁英壟斷也是民主政治的最佳形式"
109年學測-社會科第10題,B,因為甲最早受到的行政處分為「記小過」，故最早可從此開始提出行政救濟。,"10. ◎ 某大學為配合政府強健學生體魄之教育政策，修正校內相關規定，要求該校同學畢業條件增列必須通過游泳一百公尺的項目，適用對象包括當年度大四學生，且強調如於四年級下學期結束前，未能取得游泳及格證明者，必須延後畢業。大四同學甲質疑該規定不適當，認為目前在學的學生入學時並無此一規定，可能致使學生無法通過游泳考試，順利取得畢業證書。甲因此在行政大樓牆面塗鴉以抗議此一規定，遭校方以嚴重破壞公物違反校規為由，記小過一次。之後因為甲拒絕參加游泳考試，且在校方通知補考後亦未到考，無法取得畢業證書。9. 我國行政院亦經常舉行全國性的民意調查，下列哪項行政院民意調查與題文案 例所屬的政府決策過程階段最類似？ 院大法官解釋意旨，甲最早可以於何時提出？(A)民眾對當前生活品質的看法, (B)民眾對死刑相關議題的看法, (C)民眾對明年國定假期彈性放假的看法, (D)民眾對政府政策重視度與滿意度的看法, (A)學校行政單位公告，通知「游泳一百公尺」為畢業條件時, (B)甲收到記過之通知，並在校內申訴程序之申訴都遭駁回時, (C)甲因未參加游泳考試，而被行政單位通知必須參加補考時, (D)甲因未取得游泳及格證明，無法於該學期取得畢業證書時"
109年學測-社會科第11題,A,因應原本的規定而有所規劃，但規定變更後，影響到其權益，即屬違反「信賴保護原則」。,"11. 根據題文，甲所提出的主張，最主要依據下列哪項行政法原則？(A)信賴保護 (B)法律保留 (C)法律優位 (D)平等原則, "
