info,answer,explanation,question
109年學測-國文科第1題,A, (A)均為ㄓㄣˇ。 (B)ㄊㄨㄛˊ/ㄎㄢ。(C)ㄉㄨㄣˋ/ㄊㄨㄣˊ。 (D)ㄌㄧㄢˊ/ㄡ。,下列「」內的字，讀音前後相同的是： (A)若分「畛」域／悉心問「診」 (B)靈「鼉」之鼓／木雕神「龕」 (C)莫得「遯」隱／鯨「豚」保育 (D)妝「奩」冠鏡／輕「謳」微吟
109年學測-國文科第2題,C, (A)序→緒。 (B)磨→ 摩。 (D)略→掠。,下列文句，完全沒有錯別字的是： (A)合唱團員準備就序，天籟般的歌聲隨琴音揚起，全場立即鴉雀無聲 (B)花博開放參觀首日，遊客蜂擁而至，人人磨肩接踵，場面熱鬧非凡 (C)戰爭片中，只見硝煙四起，一幕幕喋血山河的畫面，令人怵目驚心 (D)即使是浮光略影的人生片段，若能靜心觀照，亦可萃取出生活意義 
109年學測-國文科第3題,B, 「我喜歡敘舊」後，再接一個狀況「自己若不清楚」，「只要」接上，「在…同時」、「他們也會讓我知道」「自己在他們的眼中又是如何了」，如此句型語氣得以順承，最為完整。,下列是一段散文，依據文意，甲、乙、丙、丁、戊排列順序最適當的是： 我喜歡敘舊。 甲、在我驚嘆光陰對他們做了這麼多的同時 乙、自己若是不清楚歲月對自己做了些什麼 丙、他們也會讓我知道 丁、只要與久別重逢的舊友一敘便知 戊、自己在他們的眼中又是如何了（李黎〈別後我城〉） (A)乙丙戊甲丁 (B)乙丁甲丙戊 (C)丁甲戊乙丙 (D)丁乙丙甲戊
109年學測-國文科第4題,D,」夜月，可對稱下句「令人滌者是晨鐘」。,下列對聯□內最適合填入的字詞依序是： 甲、書從疑處□成悟，文到窮時自有神 乙、除卻詩書□所癖，獨於山水不能廉 丙、使我開懷□夜月，令人滌省是晨鐘 (A)何／惟／翻 (B)何／翻／惟 (C)翻／惟／何 (D)翻／何／惟
109年學測-國文科第5題,B, (A)「如晤」是對晚輩用詞。(C)「惠鑒」用於平輩提稱語，非用在內文署名。(D)明信片只能用「寄」，不能用「緘」。,若孫悟空完成取經任務後回到花果山，想聯絡師父唐三藏和其他幾位師弟，下列敘述最適當的是︰ (A)向唐三藏問安的書信，開頭提稱語可用「如晤」 (B)邀豬八戒餐敘的柬帖，可寫「敬備菲酌，恭候 台光」 (C)祝賀沙悟淨生日的卡片，內文署名宜用「兄悟空惠鑒」 (D)給白龍馬的明信片，寄件人住址之後宜寫「孫悟空緘」
109年學測-國文科第6題,B, (B)「雲彩」並非象徵詩人的漂泊不定，而是詩人不願驚動所心愛的康橋，表現出對康橋的深情。,現代詩中的景物常隱含另一層意蘊，下列敘述最不適當的是： (A)〈狼之獨步〉中，詩人以「我乃曠野裡獨來獨往的一匹狼」表現其特立獨行 (B)〈再別康橋〉中「我揮一揮衣袖／不帶走一片雲彩」，「雲彩」象徵詩人的漂泊不定 (C)〈錯誤〉中「恰若青石的街道向晚」，「向晚」除了實寫，也隱含一日將盡，歸人卻仍未歸來的失落 (D)〈雁〉中「我們仍然活著。仍然要飛行／在無邊際的天空」，以排成「人」字的雁群不斷飛行，象徵人的某種堅持
109年學測-國文科第7題,C, (A)先哼唱旋律，再咬字，且不限於心情愉悅。(B)不一定要「四下無人」「才能」無意識「清楚」「唱出歌詞」。(D)有時用「啊」字唱，不一定喜歡，且無重複。,依據下文，最符合作者「自己一個人唱歌」的敘述是： 第 2 頁 共 11 頁 一個人唱歌，可真奇怪。有時是下意識，自己竟不知不覺地唱起歌來，當發現自己不停地哼唱著喜歡的那一支歌的時候，也不知已唱了多久，之後不但沒停，還把歌詞一個字、一個字咬得清清楚楚。這樣無我地唱歌，起先是旋律讓他飄飄然，意識清醒後就被歌詞感動。如此一合，好像一個人扮起雙重唱，又扮聽眾陶醉。這種情形往往發生在一個人心情愉快時，歌一上口，一次一次又一次地重複不停；特別是別無他人在旁，例如洗澡、上廁所、騎機車或一個人在家等等，有時閉著嘴用鼻子哼，有時張口用「啊」字啊到底，哼唱久了，下顎還會微感痠痠的。要不是遇到有人來、忙著談事情，或是吃飯等其他事情來打斷的話，這種愉快的心情，就好像中了邪一樣。（黃春明〈心裡的桃花源〉） (A)心情愉悅時，便會咬字清楚地哼唱出喜歡的歌詞來 (B)四下無人之時，才能在無意識之中清楚地唱出歌詞 (C)無我地哼唱時，往往一開始會不自覺沉浸在旋律中 (D)意識清楚之時，喜歡用「啊」字一次次地重複哼唱
109年學測-國文科第8題,D, (A)康德認為以慈悲心助人不具道德價值。(B)康德認為有義務動機的行善才具道德價值。(C)慈悲心的行善值得稱讚和鼓勵，卻不值得尊敬。,依據下文，最符合「康德看法」的敘述是： 有人天生熱愛助人，他們有慈悲心，因助人而得到快樂。康德卻認為，出於慈悲心的行善，不論如何正確或如何溫柔敦厚，都沒有道德價值。這似乎違反一般見解。助人為快樂之本不是很好嗎？康德會說沒錯，他當然不覺得憑著慈悲心行事有何不對。他只是區別出助人的兩種動機，一是為了讓自己快樂，一是視為義務。康德堅持，只有視為義務的動機才具道德價值，助人為快樂之本的慈悲心是值得稱讚和鼓勵，卻不值得尊敬。（改寫自邁可‧桑德爾著、樂為良譯《正義：一場思辨之旅》） (A)助人為樂涵具道德價值 (B)只要行善助人就具有道德價值 (C)出於慈悲心的行善不值得鼓勵 (D)值得尊敬的行善動機是出於義務
109年學測-國文科第9題,A, (A)西賓：塾師，東床：女婿，北面：稱臣。,依據下文，□□內最適合填入的詞語依序是： 甲、因聞得鹽政欲聘一□□，雨村便相托友力，謀了進去，且作安身之計。（《紅樓夢》第 2回） 乙、空著我埋怨爹娘，選揀□□，相貌堂堂，自一夜花燭洞房，怎提防這一場。（元雜劇《秋胡戲妻》） 丙、周公行政七年，成王長，周公反政成王，□□就群臣之位。（《 史記‧周本紀》） (A)西賓／東床／北面 (B)西賓／西席／南面 (C)東道／東床／南面 (D)東道／西席／北面
109年學測-國文科第10題,D,(D)以禮義來治國以解決紛爭動亂。, 依據下文，最符合主旨的是： (D)東道／西席／北面 人生而有欲，欲而不得，則不能無求。求而無度量分界，則不能不爭；爭則亂，亂則窮。先王惡其亂也，故制禮義以分之，以養人之欲，給人之求。（《荀子》） (A)王道無偏 (B)無欲則治 (C)爭起於分界 (D)禮源於治亂
109年學測-國文科第11題,C,從題幹「巧好為言，容悅為色，周旋舉止，悉邪為之」可知答案為(C)。 (A)外表嚴厲，內心軟弱。 (B)一句話可以使國家興旺。 (C)話說得動聽把臉色裝得很和善，對人過份恭敬。 (D)有正當的名義理由，事情才說得通。 ,某秀才參加鄉試，題目出自「四書」。他在文中闡釋題意：「人不能不與世為酬酢，言色恭行焉。情之不可已，本自有當然之則也。乃巧好為言，容悅為色，周旋舉止，悉邪為之。」則試卷題目最可能是： (A)色厲而內荏 (B)一言可以興邦 (C)巧言令色足恭 (D)名不正則言不順
109年學測-國文科第12題,C,(A)馬向來耿介，對陶欲賣菊維生的想法甚為鄙棄。(B)馬認為陶是風流高士，應當安於貧窮。(D)馬並未如此認為。,關於下文陶、馬二人的對話，敘述最適當的是： 陶一日謂馬曰：「君家固不豐，僕日以口腹累知交，胡可為常？為今計，賣菊亦足謀生。」馬素介，聞陶言，甚鄙之，曰：「僕以君風流高士，當能安貧。今作是論，則以東籬為市井，有辱黃花矣。」陶笑曰：「自食其力不為貪，販花為業不為俗。人固不可苟求富，然亦不必務求貧也。」（《聊齋誌異‧黃英》） (A)陶以馬未能安貧為恥 (B)馬希望陶能自食其力 (C)陶與馬商議賣菊維生 (D)馬怕家貧而有辱於陶
109年學測-國文科第13題,D, (A)並無擔心石蒼舒沉迷招禍。(B)無蘊不遇之憾。(C)無自慚不及。(D)由末二句可看出表面上批評消遣(病)，實則讚美其癡迷書藝(如珍饈)。, 關於詩中石蒼舒之「病」，敘述最適當的是： 人生識字憂患始，姓名粗記可以休。何用草書誇神速，開卷惝怳令人愁。我嘗好之每自笑，君有此病何能瘳。自言其中有至樂，適意無異逍遙遊。近者作堂名醉墨，如飲美酒消百憂。乃知柳子語不妄，病嗜土炭如珍羞。（節錄自蘇軾〈石蒼舒醉墨堂〉） (A)石蒼舒醉心翰墨成疾仍不改其樂，蘇軾擔心他過度沉迷而招禍 (B)石蒼舒嗜書與柳子嗜土炭如珍饈之病，蘇軾認為皆蘊不遇之憾 (C)蘇軾好書藝而與石蒼舒同病，但自慚不及石神速，故開卷惝怳 (D)蘇軾消遣石蒼舒病重難癒，意在稱美其癡迷書藝而能逍遙自樂
