"info","answer","explanation","question"
110年學測-自然科第1題,A,解題關鍵：CO會佔據血紅素的氧結合位，妨礙血紅素和O2的結合，使整體的血氧濃度下降。 (B) CO 雖然會影響有氧呼吸墊子傳遞鏈中細胞色素的活性，使有氧呼吸受阻，  但是CO不會取代氧氣作為有氧呼吸電子傳遞鏈的最終墊子接受者。 (C) CO 中毒不會直接影響神經訊息的傳遞。 (D)與 O2競爭。 ,"	寒流來襲，某地發生因熱水器使用不當造成的一氧化碳( CO)中毒案例，幸經 施予高壓氧及時救回。依上述說明推測，何者是 CO導致死亡的主要原因? (A)與 O2 競爭血紅素，造成血氧濃度嚴重不足(B)與 O2 競爭電子傳遞鏈釋出的電子，造成有氧呼吸作用停止 (C)阻斷神經通往肌肉的傳導，造成呼吸肌癱瘓而窒息 (D)抑制糖解作用相關酵素功能，造成細胞呼吸作用停止(E)與 CO2競爭血紅素，造成碳酸鹽無法排出體外而產生酸中毒 "
110年學測-自然科第2題,E,解題關鍵：甲是能分泌雄性激素的間質細胞(萊氏細胞)；乙是細精管內的精原細胞；丙是精子。 (A) 甲不是，乙、丙才是生殖細胞。 (B) 丙為單套細胞。 (C) 乙屬於生殖細胞，甲為內分泌細胞，因此，乙不會由甲特化形成。 (D) 丙是已經完成減數分裂的細胞無法再進行減數分裂。 ,"	顯微鏡下觀察兔子睪丸切片，可看到 3 型細胞如下: 甲、位於細精管間的細胞乙、靠近細精管壁內緣的細胞 丙、靠近細精管腔，蝌蚪形的細胞 有關這3型細胞的敘述，何者正確?(A)甲、丙為生殖細胞 (B)丙具有雙套染色體 (C)乙是甲特化形成 (D)丙具減數分裂能力 "
110年學測-自然科第3題,D,某植物是臨界日長為13小時的短日照植物，其需要在夜長超過11小時的環境下，才會促進開花。夏至時在北半球高緯度地區的日照時間會增長，易超過13小時，使夜常容易少於11小時，故最不容易開花。 ABC則是在赤道地區，其夜長和日照時間都是12小時，所以，仍會促進該植物開花。 ,"	某短日照植物的臨界日長為 13 小時，若其開花僅受光週期的影響，此植物在哪 一情況最不易開花?(A)夏至時在赤道 (B)春分時在赤道(C)冬至時在赤道 (D)夏至時在北半球高緯度地區 (E)秋分時在南半球高緯度地區 "
110年學測-自然科第5題,D,(A) 葡萄糖發生氧化反應，氧氣發生還原反應。 (B) 碳水化合物→C，氧化數發生改變，為氧化還原反應。 (C) 燃燒為氧化還原反應。 (D) 𝐶𝑂2 +𝐻2𝑂 ↔ 𝐻2𝐶𝑂3 𝐻2𝐶𝑂3 ↔ 2𝐻++𝐶𝑂3 2− 𝐶𝑎2+ +𝐶𝑂3 2− → 𝐶𝑎𝐶𝑂3(𝑆)沉澱反應 過程中氧化數都沒有改變，不是氧化還原反應。 (E)氧化數改變，為氧化還原反應。 ,"	自然界中，氧化還原反應扮演著重要的角色，下列有關碳循環的過程，何者沒有 牽涉到氧化還原反應? (A)細胞呼吸是利用葡萄糖反應產生二氧化碳，並釋出能量 (B)生物體內的碳水化合物逐漸在地層中沉積，最後轉變成煤 (C)煤和石油在空氣中燃燒產生二氧化碳 (D)二氧化碳溶於水，與鈣離子( Ca2+)結合，以碳酸鈣沉澱的方式積存於海底 (E)二氧化碳經由光合作用轉變為葡萄糖，並釋放出氧氣 "
110年學測-自然科第6題,B,(A) 血漿弱鹼性。 (B) 胃乳液為弱鹼性。 (C) 鹽酸為酸性，藍色石蕊試紙變紅色。 (D) 乙酸乙酯為中性，石蕊試紙不變色。 (E) pH6.4 為酸性，紅色石蕊試紙不變色。 ,"	石蕊在 pH 小於 4.5 與大於 8.3 的溶液中分別呈現紅色與藍色，將白色濾紙分別 浸置其中，晾乾可得紅色與藍色石蕊試紙。下列敘述何者正確? (A)人體血漿滴在藍色石蕊試紙上，試紙變成紅色 (B)市售胃乳液(含制酸劑)滴在潤溼的紅色石蕊試紙上，試紙變成藍色 (C)以石蕊試紙測試10 mL的鹽酸，因酸鹼反應，試紙變成白色 (D)將乙酸乙酯滴在潤溼的紅色石蕊試紙上，試紙變成藍色 (E) pH 6.4的水溶液滴在紅色石蕊試紙上，試紙變成藍色 "
110年學測-自然科第8題,D,(A) 𝐵 5 10 及 𝐵 5 11 (同位素)。 (B)中子數有5個及6個。 (C)價電子3個。 (D)BH3有六個價電子，不滿足八隅體。 (E)有 NH4+和 BF4－為離子化合物。,"	硼的原子序為 5，平均原子量為 10.81。下列關於硼及其化合物的敘述，何者正 確? (A)沒有同位素 (B)中子數為5 (C)價電子數為2 (D) BH3 不符合八隅體規則 ( E ) NH 4 BF4 為 分 子 化 合 物 "
110年學測-自然科第9題,A,𝐶3𝐻6+9 2 𝑂2 →3𝐶𝑂2+3𝐻2𝑂 𝐶3𝐻6𝑂 +4𝑂2 → 3𝐶𝑂2+3𝐻2𝑂 𝐶3𝐻6𝑂 +4𝑂2 → 3𝐶𝑂2+3𝐻2𝑂 𝐶3𝐻6𝑂2 +7 2 𝑂2 →3𝐶𝑂2+3𝐻2𝑂 代入△H＝生生－反生 可得生成熱為丙烯>丙醛>丙酮>丙酸，答案為(A)。 ,"	丙烯( C3H6 )、丙醛( C3H6O)、丙酮( C3H6O)和丙酸( C3H6O2 )之標準莫耳 燃 燒 熱 分 別 為 -2060 、 -1990 、 -1790 和 -1530 kJ 。 此 四 化 合 物 標 準 莫 耳 生 成 熱 的 大 小順序，下列何者正確?(A)丙酸<丙酮<丙醛<丙烯 (B)丙酸<丙醛<丙酮<丙烯 (C)丙酸<丙醛<丙烯<丙酮 (D)丙烯<丙醛<丙酮<丙酸 (E)丙烯<丙酸<丙酮<丙醛 "
110年學測-自然科第10題,A,半導體工業的重要元素為矽，石英砂為SiO2，與題幹「另一元素是人體不可獲缺的成分之一」亦符合。 ,"	某 物 質 不 溶 於 水，富 含 一 種 半 導 體 工 業 所 需 的 重 要 元 素，且 所 含 另 一 元 素 是 人 體 不可或缺的成分之一。下列何者最符合以上所述?(A)石英砂 (B)硫化鉛 (C)氯化鈣 (D)氧化鐵 (E)大理石 "
110年學測-自然科第12題,A,宇宙學老師叫你考前背一下，發生的先後順序。甲->乙->丙 甲、宇宙中大部分粒子為電子與質子， 尚未結合成原子 乙、宇宙中開始出現氦原子 丙、恆星開始形成 順序是：甲→乙→丙 ,"下 列 甲 、 乙 、 丙 描 述 的 狀 況 ， 屬 於 宇 宙 演 化 過 程 中 的 不 同 階 段 : 甲、宇宙中大部分粒子為電子與質子，尚未結合成原子 乙、宇宙中開始出現氦原子丙、恆星開始形成 依時間先後順序排列，下列何者正確?(A)甲乙丙 (B)乙甲丙 (C)丙乙甲 (D)丙甲乙 (E)甲丙乙 "
110年學測-自然科第13題,A,(A)正確。 (B)強力。 (C)大。 (D)中子會衰變是弱力，電子是基本粒子不會再衰變。 (E)重力是基本力。 ,下 列 關 於 基 本 交 互 作 用 力 的 敘 述 ， 何 者 正 確 ? (A)物體的彈性伸縮力和物體間的摩擦力都源自電磁力 (B)原子核內質子和中子之間的交互作用主要是弱力 (C)強力的作用尺度一定比弱力的作用尺度為小 (D)電子會衰變是其內部的弱力作用所造成 (E)重力不是物體之間的基本交互作用力 
