info,answer,explanation,question
111年學測-社會科第1題,B,解析：(A) 表 1 並未提及傳統習慣 (B) 表 1 呈現原住民族的健康相關指標不如全國水平，且報導中宣稱這是因為原住民族不注意身心健康所導致，故可能引導社會大眾對原住民族形成不利印象。因此為正確答案 (C) 表 1 並未提及傳統飲食文化的知識傳承 (D) 表 1 並未提及改變生活步調的策略 ,"1. 某國媒體報導，該國原住民族罹患心理疾病比率、自殺率、平均壽命與全國之 比較，如表 1。該報導在未詳查原住民族生活困境的情形下，即宣稱這是因為原 住 民 族 不 注 重 身 心 健 表1 康，例如偏好高脂肪、高 原住民族 全國 甜度垃圾食物所致。類 似此種缺乏同理與理解 罹患心理疾病比率（%） 14.2 9.0 的報導，最可能引導社 自殺率（人／每十萬人） 15.7 8.8 會大眾對原住民個人或 平均壽命（歲） 69.3 76.1 民族形成何種更加不利 的社會印象？(A)原住民個人常缺少改變傳統習慣的意願, (B)原住民個人缺少為自己健康負責的態度, (C)原住民族缺少傳統飲食文化的知識傳承, (D)原住民族缺少改變現代生活步調的策略"
111年學測-社會科第2題,C,解題關鍵：本題的答題線索為圖1，圖1的文字重點是效忠領袖與黨，與民主國家的運作強調法治與人權保障截然不同 答  解  案：C 析：(A) 民主國家為競爭型的政黨體制，雖然可能是一黨獨大或兩黨制，人民效忠的對象是國家體制，而非單一政黨或領袖 (B) 民主雖然肯認多元，但為了政治運作，也會透過少數服從多數的選舉機制，賦予某一政治領袖合法理性的權威，故民主國家也會服從單一的政治領袖 (C) 現代民主國家運作的基礎在於公民身分的保障，公民認同的是國家體制本身，而不是毫無理由的效忠黨或領袖。因此為正確答案 (D) 國家與政府的概念不同，民主國家人民認同及效忠的對象應該是國家，而不是政府，因為政府可能因定期選舉而更迭 ,"2. 圖 1 是某國政治宣傳的圖片，有學者指出：此圖呈現該國執政領袖、執政黨和人 民三者的關係，可清楚看出民主國家運作與該國存 有最根本的差異。請問下列何者應為該學者所指的 最根本差異？ 圖1(A)存在多黨競爭，難有全民效忠服從的政黨, (B)肯認多元認同，不易服從單一的政治領袖, (C)執政領袖和執政黨皆是國家管理人，而非效忠對象, (D)執政領袖和執政黨只是代表政府，人民應效忠政府"
111年學測-社會科第3題,B,解析：(A) 由法定及實際男女繼承比例差異皆甚大可知，該國並未採取性別平權原則 (B) 遺囑自由意指民法為尊重被繼承人生前的意願，被繼承人可以透過遺囑指定遺產如何分配，故會影響法定繼承的比例多寡。由男女實際比例繼承失衡可推論，該國傳統社會觀念可能影響被繼承人的遺產分配觀念，在遺囑自由之下，產生男性性別比例較高的狀況。因此為正確答案 (C) 法定繼承的敘述無誤，法定繼承包括當然繼承人與血親順位繼承人，但表2全部都是法定繼承人的數據，母群體不變之下，男女性別統計應該不變 (D) 敘述為限定繼承的概念，但表2及題幹都沒有提到男女債務的相關線索，無法判斷及進一步推論 ,"3. 小安研究某國財產制度，蒐集該國某年遺產繼承統計資料（表 2）。她推論造成 男女數據差異的成因，除與該 表2 國傳統社會觀念有關外，與其 所有法定繼承人之 法定繼承人中實際取得 民 法 繼 承 法 律 的 規 定 亦 有 關 性別比 遺產者之性別比 聯。下列該國繼承制度所採取 男 女 男 女 的原理原則，何者與表中數據 64% 36% 72% 28% 所呈現之性別差異最為相關？(A)民法繼承法律在繼承權利方面採取性別平權的原則, (B)准許被繼承人在生前以遺囑自由處置一定範圍財產, (C)以特定親屬繼承為原則，並以配偶為當然的繼承人, (D)繼承人償還被繼承人的債務，以繼承所得遺產為限, "
111年學測-社會科第4題,B,解析：根據表3可看出： 1. 今年的汰舊換新補助比新購機車補助還要多4000元，可見汰舊換新者的誘因變大，因此汰舊換新者會比去年多 2. 今年汰舊換新者多，意味著汙染量高的舊機車大量減少，然後換成低汙染的新機車，機車造成的汙染量將減少更多 3. 去年新購機車補助高，使得汰舊換新的意願不高，此時新機車變多，與尚未淘汰的舊車一起會製造更多汙染。因此(B)為正確答案 承上述3點可知：今年政策比較能改善空汙、更多人願意汰舊換新，故(A)(C) (D)皆不正確 ,"4. 表 3 是某市府對購買新型低汙染機車， 表3 以及報廢舊機車換購新型低汙染機車 年份 新購機車補助 汰舊換新補助 （汰舊換新）的補助。若這兩年新購置 去年 10000元 8000元 機車的數量與品質皆相同，僅有政府補 今年 6000元 10000元 助金額改變，則今年相較於去年，對消 費者行為和空氣汙染的影響為何？(A)更多人願意汰舊換新，但去年的政策比較能改善空汙, (B)更多人願意汰舊換新，且今年的政策比較能改善空汙, (C)更多人願意新購機車，且今年的政策比較能改善空汙, (D)更多人願意新購機車，但去年的政策比較能改善空汙"
111年學測-社會科第5題,A,解題關鍵：本題測驗目標為學生是否具有利用文本資料來推論人群移動的能力。答題的關鍵在「臺灣總督府旅券」、「同鄉會名簿」、「內政部人口和戶口調查資料」，擷取關鍵證據選出正確答案 解  析：根據族譜、同鄉會名簿等訊息，可以了解在臺灣的人群可能來自哪些地區；根據臺灣總督府旅券（護照），可以了解日治時期臺灣人群的海外移動情形；根據「人口與戶口調查資料」可以得知現今臺灣族群的組成結構，例如外籍配偶的國籍占比。因此這題要學生歷史考察的重點是人群的移動與交流問題 (B)題幹敘述完全沒提到國家建立的歷程 (C)題幹敘述完全沒提到文化的類型 (D)題幹敘述完全沒提到宗教信仰的問題 ,"5. 某校歷史課程進行「歷史考察」學習時，要求同學事先蒐集族譜、臺灣總督府旅 券（護照）、同鄉會名簿等史料，並進入內政部網站閱讀人口和戶口調查資料。 該「歷史考察」的主題最可能是：(A)人群的移動與交流 (B)國家的建立與形塑, (C)文化的類型與變遷 (D)宗教的起源與傳播"
111年學測-社會科第6題,C,解題關鍵：本題測驗目標為學生是否具有判斷歷史研究方向的能力，並分辨統治者及人民為歷史主體的差異。答題的關鍵在於哪個敘述是由人民所帶起的現象 解  析：早期臺灣因為氣候高溫溼熱且醫療不發達，容易發生瘟疫，民間認為王爺是管理瘟疫的神明，不敢將其留於鄉里，故常以「王船」形式把王爺送到外地。所以研究清代臺灣王爺信仰，是屬於探究人民活動的研究 (A)鄭氏王朝在臺期間，為增加糧食而鼓勵軍人開墾戍守地區，是為屯田政策，因此這是以統治者為角度的研究 (B)「職官」為政府所設立之文武百官的通稱，故研究清代臺灣職官制度的演變，是以統治者為角度的研究 (D)日本在臺殖民統治，是以總督府為主體的行政體制，故亦屬統治者的研究角度 ,"6. 一位學者提到：過去歷史研究的主體，往往偏重於統治者的歷史，比較忽略人民 的歷史，其實，人民才是我們應該關心的主體。下列哪個主題最接近這位學者主 張的研究方向？(A)鄭氏王朝在臺的屯田政策, (B)清代臺灣職官制度的演變, (C)清代臺灣沿海的王爺信仰, (D)日本在臺殖民體制的建立"
111年學測-社會科第7題,C,解題關鍵：本題測驗目標為學生是否具有利用史料來判斷社會主義觀點的能力，答題的關鍵是「抨擊使用貨幣」 解析：社會主義者要求經濟機會的平等，鼓吹政府應更積極介入經濟秩序，避免弱勢者在自由競爭下陷入無法生存的困境。題幹引用抨擊貨幣使用者的主張，如「生活的重心是食物、衣服、房子與休息」、「政府應以實物取代貨幣」，可判斷應是社會主義的主張。而共產主義是社會主義中，主張較為激進的流派，故選之 (A)重商主義強調國家應擁有貴金屬，故不可能反對使用貨幣 (B)自由主義強調經濟自由，也會使用貨幣 (D)法西斯主義強調私有財產的重要，不可能主張「政府應以實物取代貨幣，作為工作所得」 ,7. 二十世紀初期，某人嚴厲抨擊貨幣的使用：「誰還需要該死的貨幣？生活意味著 食物、衣服、房子與休息，沒有貨幣這種金屬與碎紙片，我們依然可以快樂生活。 貨幣將會失去意義，政府應以實物取代貨幣，作為工作所得」。此人的論述反映 下列哪個主義的觀點？(A)重商主義 (B)自由主義 (C)共產主義 (D)法西斯主義
111年學測-社會科第8題,D,解題關鍵：本題測驗目標為學生是否具備了解科舉制度內涵的能力。答題關鍵是知道施行科舉制度對社會的影響力 解  析：中國自隋唐到清末，推行科舉制度以選拔政府所需的人才。隋唐時期，科舉制度的施行雖對社會流動的影響有限，但到了宋代，科舉制度因擴大官員的選拔，促進了社會的流動。然而，科舉制度傳到日本與朝鮮後，卻起了不同的作用，例如朝鮮施行科舉制度，反倒讓地方豪強得以壟斷官職與土地，形成門閥貴族。故答案是科舉 ,"8. 中國傳統政治制度歷經漢、唐的演變而大備，日、韓等國立國較晚，其各種制度參酌中國者甚多，也有徒取其形式而忽略其精神的。例如：有某個制度在中國具有公平與促進社會流動的意義，在東亞的日本、朝鮮卻成為保障特定對象的工具。這個制度最可能是： (A)戶籍 (B)律令 (C)賦役 (D)科舉 "
111年學測-社會科第9題,D,解題關鍵：本題測驗目標為學生是否理解琉球與中日關係的變化，答題的關鍵在與外國使者的關聯 解  析：十五世紀時，琉球王國定都於首里城，並建造宮殿作為國王居住的場所。早期琉球接受明朝冊封，至十七世紀初遭到日本薩摩藩入侵與控制，因此琉球國王向中國朝貢的同時，也與日本維持關係。故十七世紀以後，琉球國王在正殿居住與執政，北殿是招待中國官員及處理相關事務，南殿是接待日本薩摩藩官員與處理相關事務，故答案是琉球 ,"9. 十五至十六世紀間，某王國曾興建一座大型的宮殿，此建築物分為三部分：正殿 為國王舉行各種典禮和議政的場所；北殿專為接待中國的冊封使之用；南殿則自 十七世紀初期開始，用來接待日本薩摩藩官員。該宮殿最可能位於：(A)朝鮮 (B)暹羅 (C)安南 (D)琉球, "
111年學測-社會科第10題,B,解題關鍵：本題測驗目標為學生是否具有讀取圖片重要訊息的能力，以判斷當時歐洲人最可能設立糖廠的所在地。答題的關鍵是歐洲在十七世紀的蔗糖產地 解  析：讀取圖片後，可發現圖片正中間為受奴役的黑人正在從事各項工作。十七世紀時，歐洲人在美洲、非洲的主要殖民範圍有北美洲東半部、中南美洲與西非沿岸地區，而甘蔗原產於熱帶、亞熱帶地區，因此歐洲人所設立的糖廠最可能位於(B)中美洲西印度群島。當時歐洲人為了在中南美洲生產蔗糖，透過奴隸貿易取得非洲的勞動力，以補足開闢甘蔗園、種植甘蔗的勞力需求 (A)十七世紀，北非的阿爾及利亞屬於鄂圖曼帝國的版圖，歐洲人不可能在那裡設立糖廠 (C)北美洲紐芬蘭島的緯度很高，氣候不適合栽種甘蔗 (D)歐洲人的勢力在十九世紀時才進入中部非洲剛果盆地，因此在十七世紀也不可能出現糖廠 ,"10. 某校歷史課進行「歐洲與非、美兩洲的交流」探究學習時，以一幅歐洲十七世紀 流傳的蔗糖生產過程圖（圖 2），說明當時蔗糖逐漸取代蜂蜜，成為歐洲人最重 要的甜味來源。圖中糖廠最可能在何地區？ 圖2(A)北非的阿爾及利亞 (B)中美洲西印度群島, (C)北美洲的紐芬蘭島 (D)中部非洲剛果盆地"
