info,answer,explanation,question
112年學測-自然科第3題、,C,(A)目前並無載人太空船登陸火星。 (B)沒有科學證據顯示早期火星與地球曾經發生碰撞。 (C)目前科學家已從太空船採集的樣本分析火星岩石及氣體的元素與同位素的組成，利用同位素的元素分析，可以判斷隕石中的元素是否與火星有關。 (D)含有大量氧化鐵並無法推論一定來自火星，地球的岩石也可能會有大量氧化鐵。 (E)隕石外觀焦黑只能推論它經過地球大氣時有高溫摩擦或燃燒，但不一定來自於火星。 ,"3. 新聞曾報導在地球南極大陸發現來自火星的隕石，科學家何以推測該隕石來自火星？
(A)已經有載人太空船登陸火星，並曾攜回火星岩石
(B)太陽系早期火星與地球曾發生碰撞，可判斷當時有大量火星岩石掉落到地球
(C)經過化學分析，隕石中的元素同位素比例符合火星的元素同位素比例
(D)該隕石含有大量氧化鐵，呈現暗紅色
(E)該隕石外觀焦黑，有火燒的痕跡"
112年學測-自然科第4題,B,瘋狗浪是數個湧浪往岸邊移動時突然生成的異常巨浪，經常出現在岬角、海蝕平台附近，在颱風季與強烈東北季風時會特別容易發生。,"4. 海岸邊突然來個大浪將岸上的釣客或遊客捲入海中，這種大浪俗稱「瘋狗浪」。報載 2013
年 11 月 9 日強烈颱風海燕穿過菲律賓，在南海西部向越南挺進。當日臺灣北部天氣良
好，無風無雨。某社區大學學員前往新北市貢寮區鼻頭角地質公園海濱從事戶外教學，
地質公園海濱突然出現 5 公尺高的「瘋狗浪」，參觀海岸地形的遊客，遭大浪捲入海中。
此次「瘋狗浪」最有可能是由哪種因素所造成的？
(A)因颱風瞬間強風直接產生的風浪
(B)因颱風外圍環流挾帶東北季風產生的湧浪
(C)因颱風造成的風浪破碎後產生的碎浪
(D)因颱風低壓引起水位高漲的暴潮
(E)因颱風造成土石崩落產生的海嘯"
112年學測-自然科第6題,AE,當某地的乾、溼球溫度相同時，表示空氣已經達到飽和，溼球溫度計無法再蒸發且降溫，當地的相對溼度達到 100％，所以甲、乙兩地的相對溼度相同。當空氣已經達到飽和時，溫度（乾球、溼度與露點溫度）愈高，可以容納的實際水氣含量就愈多，所以甲地的水氣含量比乙地多。 ,"6. 乾、溼球溫度計可用來測量空氣溼度。若甲地測得的乾、溼球溫度皆為 30℃，而乙地
乾、溼球溫度皆為 20℃。下列敘述哪些正確？（應選 2 項）
(A)兩地的相對溼度一樣 (B)甲地的相對溼度較高
(C)甲地的相對溼度較低 (D)兩地的水氣含量相等
(E)甲地的水氣含量較多 (F)甲地的水氣含量較少"
112年學測-自然科第8題,ADF,海面鹽度高的地區為蒸發量較多、降水量較少的區域，也符合高壓區的條件，高壓區會形成下降氣流，海面風場將會形成輻散區。,"8. 開放大洋的海表面鹽度分布與緯度有關，原因是受不同緯度的降水與蒸發結果所致。試
問海面鹽度高的緯度與下列哪些大氣現象所在之處有關？（應選 3 項）
(A)位於高壓區 (B)位於低壓區
(C)位於上升氣流區 (D)位於下降氣流區
(E)位於海面風場的輻合區 (F)位於海面風場的輻散區"
112年學測-自然科第9題,C,(A)環太平洋地震帶的形成主要與聚合性板塊邊界有關。 (B)環太平洋地震帶為聚合性板塊邊界造成的隱沒構造，淺、中、深源地震都會形成。  (D)環太平洋地震帶的地震多半是由聚合性板塊邊界擠壓造成的逆斷層活動。  (E)臺灣位在歐亞板塊與菲律賓海板塊的邊界上，與太平洋板塊並無相接。,"9. 全球主要有三大地震帶，臺灣位於其中的「環太平洋地震帶」上。下列有關此地震帶的
敘述何者正確？
(A)此地震帶的形成主要與張裂性板塊邊界有關
(B)地震主要發生在地殼中，所以此地震帶特徵多淺源地震
(C)此地震帶與環太平洋火山帶（火環）位置幾乎一致，有許多活火山
(D)地震與斷層活動息息相關，此地震帶的地震多半是由平"
112年學測-自然科第11題,BC,(A)CMV 病毒不具胞器，沒有核糖體。  (B) (C)RNA 和蛋白質均為高專一性的分子。  (D)植物體特殊的氣味和 CMV 感染有關，但也可能源自其他因素。  (E)蚜蟲的聚集可能和 CMV 感染有關，但也有可能和其他因素有關。 ,"胡瓜嵌紋病毒 （CMV） 可使其宿主釋放特殊的氣味，吸引CMV的主要傳播媒介（蚜蟲）。
CMV可感染多種作物，例如菸草。它是RNA病毒，會產生5種蛋白質，其中2b基因具有
抑制植物抗病毒的能力，也能抑制宿主對抗蚜蟲。當具2b之CMV感染後，植物體上的
蚜蟲會產生更多的後代，並有較高的存活率。11. 下列哪些現象具有專一性，可用來確定作物已被 CMV 感染？（應選 2 項）
(A)作物中含有CMV的核糖體 (B)作物中含有CMV的RNA
(C)作物中含有CMV的蛋白質 (D)作物釋放出特殊的氣味
(E)作物上發現大量蚜蟲"
112年學測-自然科第12題,ABC,(A)細胞中有多個粒線體，但大多僅有一個細胞核。  (B)化石的 DNA 保存不易。  (C)屬名相同（Homo）、種小名不同（denisova vs. sapiens），因此可判斷為不同種。  (D)題幹提到粒線體 DNA 和基因體序列均為全新且完整的材料，有助於探索人族演化過程，並無提到否定的說法。  (E)侏儸紀時期人類應尚未出現。,"12. 巴博（Svante Paabo）因發現了已滅絕人族成員之基因體（DNA 之集合）並探討現代人
（ Homo sapiens ）之演化歷程，獲得 2022 年諾貝爾生理—醫學獎。從尼安德塔人的化
石中，他先發現了粒線體 DNA ，定序了第一個百萬個核苷酸和第一版的核基因體序列。
稍後，又發現一個新的人族成員－丹尼索瓦人（Denisovan） ，並且組裝其基因體序列。
他的這些研究開發了全新而完整的材料，並開創了新的科學方法，為嶄新的古基因體學
研究注入動力，以探索人族的演化過程。有關探討人類演化之科學進展，下列哪些正確？
（應選 3 項）
(A)要從化石人族之標本中取得粒線體DNA序列比取得細胞核DNA容易
(B)要從尼安德塔人的核酸中取相當連續的DNA序列比從現代人困難許多
(C)假設丹尼索瓦人之最終學名為 Homo denisova ，則此人與現代人非同一物種
(D)核基因體序列所提供的證據徹底否定了由粒線體DNA資料推論之人類演化過程
(E)挹注巴博古基因體學研究的材料和科技已經可以延伸使用到侏羅紀的人類標本上"
112年學測-自然科第13題,B,(A)厚度容易不均或太厚。 (C)石蓮葉相當厚實，不易壓散，且壓散厚組織破碎不易觀察氣孔。 (D)此為口腔上皮細胞等易脫落的細胞標本製作方法。 (E)厚度太厚。 ,"13. 取石蓮為材料欲觀察葉片保衛細胞之形態，下列玻片製作法何者最佳？
(A)將材料以小刀徒手切下薄片
(B)將材料以手指折撕
(C)將材料以蓋玻片壓散
(D)將材料以牙籤或解剖針塗抹於載玻片
(E)將材料直接放置於載玻片上"
112年學測-自然科第14題,D,大腸桿菌為原核生物，不具細胞核；酵母菌為真核生物。原核生物無粒線體、高基氏體、內質網等膜狀胞器，兩者均共同具備的胞器只有核糖體。 ,"14. 比較大腸桿菌和酵母菌的細胞，下列何者是它們共同擁有的結構？
(A)細胞核 (B)粒線體 (C)高基氏體 (D)核糖體 (E)內質網"
112年學測-自然科第15題,D,(A)(B) 減數分裂之前，不會發生聯會，聯會發生在減數分裂的前期。生殖母細胞的雙套染色體數為 12，即 2n＝12，n＝6。因此四分體數應為 6、同源染色體有 6 對。 (C)減數分裂第一階段之後，每個子細胞的二分體數是 6。 (E) 該物種精子的染色體數是 6。 ,"15. 某物種生殖母細胞雙套染色體數為 12，下列何者正確？
(A)開始減數分裂之稍前，染色體發生聯會成為四分體數是48
(B)減數分裂一開始，每個生殖母細胞中的同源染色體數是24對
(C)減數分裂第一階段（減數分裂I）之後，每個子細胞中的二分體數是12
(D)該物種卵細胞中的染色體數是6
(E)該物種精子中的染色體數是3"
