info,score,generated_answer,detailed_generated_answer,answer,explanation,question
112年學測-國文科第1題,0.0,AB,                         正確的答案：(A)(B)                           解釋：(C)撣充口音／箐口音，讀音不同。 (D)ㄊㄨㄢ／ ，讀音不同。 ,A,(A)ㄐㄧㄚ／ㄐㄧㄚ；(B)ㄒㄧˋ／ㄋㄧˋ；(C)ㄅㄛˊ／ㄆㄡˇ；(D)ㄒㄩ／ㄩ。,下列「」內的字，讀音前後相同的是： (A)胡「笳」之拍／僧侶「袈」裟 (C)驀然而「踣」／「掊」擊對手 (B)釁起「鬩」牆／傲「睨」萬物 (D)「吁」嗟而去／「迂」談闊論 
112年學測-國文科第3題,0.0,B,                         正確的答案：(B)                           解釋：(A)「擘肌分理」為句子中唯一出現的表達方式，並不適用，「分析細節」為更合適的表達方式；(B)「地」可以結合「褒」形成「褒牧」（讚美、讚譽）動詞，此句意義更為「也往往褒揚其個人貢獻與成就」；(C)「來者可追」表示銷售速度迅速，更適合作為「銷售狀況」的表示，而非「品牌形象」；(D)「得隴望蜀」為表達得天獨厚的地位，並不適合用於「進入決賽」的表示。,A,(A)「擘肌分理」比喻分析事理十分細密，可用來描述專案小組辦案細心縝密，所以成功掌握線索的情況，使用正確；(B)「愛屋及烏」比喻愛一個人也連帶的關愛與他有關的人或物，不適用因欣賞袒護其個人行為的情況，使用錯誤；(C)「來者可追」表示未來的目標可以掌握，不適合用於形容新產品的銷量，使用錯誤；(D)「得隴望蜀」比喻貪得無厭，不知滿足，不適合用於形容闖進冠軍戰就可以坐二望一的情況，使用錯誤。,下列文句畫底線處的詞語，運用最適當的是： (A)這宗懸案經專案小組擘肌分理，已掌握部分有利線索 (B)經理很欣賞這名愛將，但也常愛屋及烏地袒護其過失 (C)新品銷量短期內便來者可追，超越廣受好評的老品牌 (D)闖過準決賽就能占到得隴望蜀的位置，可望角逐冠軍
112年學測-國文科第5題,0.0,C,                         正確的答案：(C)                           解釋：(A)乙為討情，甲為討理。(B) 乙為討情，甲為討理。(C) 乙為討人情，甲為討理。(D) 甲為討人情，乙為討理。,D,甲文中燭之武以旁觀者的角度敘述晉國言而無信的過去，並預期晉國擴張的野心，將會損害秦國的利益，提醒受話者秦穆公有被辜負的情況。乙文中樊噲以旁觀者立場，說明劉邦攻破秦國後的約法三章、維持秩序的並無不合理之處，替己方辯護，間接提醒受話者項羽有意違背入關之前約定，有辜負別人之嫌，故答案選(D)。◎第6題翻譯：歐陽紇的妻子體態纖細、皮膚白皙，非常美麗。當地民眾說：「將軍為何帶美麗的夫人路經此地？當地有神靈，善於奪取少女，美麗的少女更是在所難免，將軍要謹慎地保護夫人。」歐陽紇聽了之後，心中因懷疑而害怕，夜裡命令士兵包圍守著妻子所在的房舍，並將妻子藏在密室中，緊鎖室門，又派了十多個婢女伺候守護著妻子。當天晚上，陰風陣陣，室外昏黑，到了五更天，四周仍是一片寂靜。守護的婢女因疲倦怠惰而打起瞌睡，忽然感覺到好像有東西驚醒了她們，歐陽紇的妻子就已經不見了。,溝通交涉時，說話者會自居某個角色，或讓受話者處於某個角色，以利達成目的。下列關於甲、乙的解說，最適當的是： 甲、燭之武謂秦穆公：「且君嘗為晉君賜矣，許君焦、瑕，朝濟而夕設版焉，君之所知也。夫晉，何厭之有？既東封鄭，又欲肆其西封。若不闕秦，將焉取之？」 乙、樊噲謂項羽：「今沛公先破秦，入咸陽，毫毛不敢有所近，封閉宮室，還軍霸上，以待大王來。故遣將守關者，備他盜出入與非常也。勞苦而功高如此，未有封侯之賞，而聽細說，欲誅有功之人，此亡秦之續耳。」 甲 (A) 乙 說話者自居旁觀者的角色 (B) 說話者自居當事者的角色 說話者自居討人情的角色 (C) 說話者自居討公道的角色 受話者處於被嫉妒的角色 (D) 受話者處於嫉妒人的角色 受話者處於被辜負的角色 受話者處於辜負人的角色 
112年學測-國文科第6題,0.0,B,                         正確的答案：B                           解釋：「其來有自」表示對方來自於某處，「仰仗其力」表示利用自己的力量，故選(B)。,D,「其來有自」意指事物的形成或發生，有其根源。「尤所難免」無論如何很難免除、避免，故第一個空格宜填入「尤所難免」，表示神怪竊取美女的情況幾乎無法避免。「疑懼」指因懷疑而害怕、「倨傲」指驕慢不恭，故第二個空格宜填入「疑懼」，符合因為擔心所以大費周章守護妻子的情況。「伺守」指伺候守護、「迎候」指出而等候迎接，故第三個空格宜填入「伺守」，表示婢女隨伺在側守護的情況，故答案選(D)。◎第7題翻譯：滿人作菜大多用燒煮的方式烹調，漢人作菜多為羹湯的方式料理（各有各的拿手菜），這些菜都是從小就熟悉通曉的，所以做起來得心應手。漢人宴請滿人，或滿人宴請漢人，端出自己的拿手菜招待，反而大家都覺得新奇罕見，不至於喪失原有菜餚的特色。然而現在的人忘了本來擁有的技能，為了特別討好客人，漢人用滿菜宴請滿人，滿人用漢菜宴請漢人，一味模仿，虛有其名而無實際內容，仿效失真，變得不倫不類。這和科舉考秀才一樣，考生只要專心創作自己的文章，努力寫到最好，自然會遇到賞識自己的主考官。如果遇到一個宗師，就去模仿他的風格，遇到一個主考官人，就去模仿他的風格，那只能得到一些皮毛，而練不出真才實學，這樣一輩子也不會考取功名。（袁枚《隨園食單》）,依據下文，□□內最適合填入的詞語依序是： 紇妻纖白，甚美。其部人曰：「將軍何為挈麗人經此？地有神，善竊少女，而美者□□□□，宜謹護之。」紇甚□□，夜勒兵環其廬，匿婦密室中，謹閉甚固，而以女奴十餘□□之。爾夕，陰風晦黑，至五更，寂然無聞。守者怠而假寐，忽若有物驚寤者，即已失妻矣。（〈補江總白猿傳〉） (A)其來有自／疑懼／迎候 (B)其來有自／倨傲／伺守 (C)尤所難免／倨傲／迎候 (D)尤所難免／疑懼／伺守
112年學測-國文科第7題,0.0,C,                         正確的答案：C                           解釋：(A)以「煮」字與人文之「文」做譬喻，強調料理需知各地特色，寫作需辨流派。(B)文中並未強調向前輩方家、師道摹仿。(C)滿菜與漢人菜、自己文字皆要及早學習。(D)未及於「呈顯本色」。,D,(A)引文中並無提此訊息；(B)引文中並無強調做菜須向前輩方家學習、由「秀才下場，專作自己文字，務極其工，自有遇合。若逢一宗師而摹仿之，逢一主考而摹仿之，則掇皮無真，終身不中矣」可知，秀才應寫自己想做的文章，而非摹仿宗師或是主考官；(C)引文中並無提此訊息；(D)由「漢請滿人，滿請漢人，各用所長之菜，轉覺入口新鮮，不失邯鄲故步。今人忘其本分，而要格外討好，漢請滿人用滿菜，滿請漢人用漢菜，反致依樣葫蘆，有名無實，畫虎不成反類犬矣」可知，作者請客時漢滿用自己擅長的菜色，而非一味迎合對方，刻意烹調不熟悉的菜色。而由「秀才下場，專作自己文字，務極其工，自有遇合」可知，作者傾向作文應呈顯本色，敘述正確。,關於下文「做菜」與「作文」之間的譬喻，說明最適當的是： 滿洲菜多燒煮，漢人菜多羹湯，童而習之，故擅長也。漢請滿人，滿請漢人，各用所長之菜，轉覺入口新鮮，不失邯鄲故步。今人忘其本分，而要格外討好。漢請滿人用滿菜，滿請漢人用漢菜，反致依樣葫蘆，有名無實，畫虎不成反類犬矣。秀才下場，專作自己文字，務極其工，自有遇合。若逢一宗師而摹仿之，逢一主考而摹仿之，則掇皮無真，終身不中矣。（袁枚《隨園食單》） (A)學做料理須知各地菜餚特色，習文當須辨宗門流派 (B)做菜須向前輩方家學習以精進，為文當須追摹宗師 (C)漢人未自幼學習而做不好滿菜，學寫文章亦宜趁早 (D)料理講究發揮個別的特長，作文亦以呈顯本色為尚 
112年學測-國文科第8題,0.0,C,答案：C                                ### 解釋： 文中僅「環太平洋地震帶」為合壓性板塊邊界，而其淺源地震多由張裂性板塊邊界的活動產生。(B)錯誤，此地震帶有淺源地震，也有深源地震。(C)正確，有淺源地震，有張裂性與合壓性板塊邊界。(D)錯誤，淺源地震的界於平移斷層活動，有張裂性板塊邊界，也有合壓性板塊邊界。(E)錯誤，環太平洋地震帶有合壓性板塊邊界，也有張裂性板塊邊界。,A,文章首段提到灰狼會獵捕鹿群，因此鹿會減少出現在河谷，導致河谷的植物增生，這些植被使河岸不易被沖刷成曲折的模樣，即文中所言「狼改變了河流」。再由文中「麥可奈第也指出，鹿的減少確實讓樹木變多，但1990年代蒙大拿州已開放獵捕加拿大馬鹿，而黃石公園的美洲獅與灰熊也對鹿群減少有所貢獻」可知，麥可奈第同意鹿群減少使得樹木變多，但是灰狼並非是促使鹿減少的唯一原因，開放人類獵捕、美洲獅、灰熊皆有影響，因此要將河流改變的原因全部歸諸於灰狼回到生態系統，有誇大的疑慮，故答案選(A)。,經保育人士多年努力，黃石公園終於在1995年放生14隻灰狼。灰狼進入生態系統後，開始獵捕加拿大馬鹿。鹿群為了生存，便減少出現在河谷。當河谷的植物不再成為鹿群的盤中飧，就逐漸恢復原先的茂盛，有些樹甚至以五倍速度成長。環境學家蒙比爾特在YouTube介紹上述這一連串的改變，並指出因鹿減少而增生的植被，使河岸不易被沖刷成曲折的模樣。 2010年有研究發現：雖然鹿在幾年內減少60%，但樹木從未迅速長高，且鹿仍到狼群出沒頻繁的區域覓食，因為牠們在遼闊的黃石公園裡相遇機率極低。動物學家米德爾頓引述這項研究，認為狼群絕跡確實衝擊黃石公園生態，但過去因此而產生的巨變，不可能藉狼群重返而在短時間內復原。生態學家麥可奈第也指出，鹿的減少確實讓樹木變多，但1990年代蒙大拿州已開放獵捕加拿大馬鹿，而黃石公園的美洲獅與灰熊也對鹿群減少有所貢獻。所以，他認為「『狼改變了河流』，        。」此外，米德爾頓承認這個案例讓大家意識到肉食動物對生態系統的重要，但他強調，提供正確訊息仍是環境學家的職責。（改寫自〈「改變美國自然生態的狼英雄」是事實還是神話？〉） 8. 上文        內，最適合填入的文句是： (A)其中雖有些許真相，但似乎過於誇大 (B)是不折不扣的假新聞，完全缺乏實證 (C)將來可能推翻，但在目前可信度最高 (D)不可等閒視之，而是應該追蹤的警訊 
112年學測-國文科第9題,0.0,B,                        ### 正確的答案：B                         ### 解釋：                        (A)有引述三人的論據。(B)首先綜述各方反應，再以三人為代表分述觀點。(C)非訪談形式。(D)未反映出對於「狼英雄」的質疑。 因此選(B)。,D,(A)環境學家蒙比爾特提及的論據有「有些樹甚至以五倍速度成長」、動物學家米德爾頓引述的研究論據有「鹿在幾年內減少60％」、生態學家麥可奈第的研究論據有「1990年代蒙大拿州已開放獵捕加拿大馬鹿，而黃石公園的美洲獅與灰熊也對鹿群減少有所貢獻」，可知選項敘述錯誤；(B)文中並未綜述各方對「狼英雄」的反應，而是先陳述持肯定立場學者的意見，再提出存疑的學者論點；(C)文章並非以訪談的形式呈現，而是羅列三位學者的看法，使讀者一目瞭然，能迅速掌握文旨；(D)第一位學者蒙比爾特同意狼間接使得河岸不易被沖刷成曲折的模樣、第二位學者米德爾頓認為狼群存在與否的確會影響黃石公園生態，但過去因狼群絕跡產生的巨變不可能因狼群重返而在短時間內復原、第三位學者麥可奈第主張鹿群減少有諸多原因，狼的獵捕只是原因之一，降低「狼英雄」的事實成分，故三位學者觀點的出現順序可見狼群對生態影響大到小的排列，對於「狼英雄」一事表達了質疑，敘述正確。,經保育人士多年努力，黃石公園終於在1995年放生14隻灰狼。灰狼進入生態系統後，開始獵捕加拿大馬鹿。鹿群為了生存，便減少出現在河谷。當河谷的植物不再成為鹿群的盤中飧，就逐漸恢復原先的茂盛，有些樹甚至以五倍速度成長。環境學家蒙比爾特在YouTube介紹上述這一連串的改變，並指出因鹿減少而增生的植被，使河岸不易被沖刷成曲折的模樣。 2010年有研究發現：雖然鹿在幾年內減少60%，但樹木從未迅速長高，且鹿仍到狼群出沒頻繁的區域覓食，因為牠們在遼闊的黃石公園裡相遇機率極低。動物學家米德爾頓引述這項研究，認為狼群絕跡確實衝擊黃石公園生態，但過去因此而產生的巨變，不可能藉狼群重返而在短時間內復原。生態學家麥可奈第也指出，鹿的減少確實讓樹木變多，但1990年代蒙大拿州已開放獵捕加拿大馬鹿，而黃石公園的美洲獅與灰熊也對鹿群減少有所貢獻。所以，他認為「『狼改變了河流』，        。」此外，米德爾頓承認這個案例讓大家意識到肉食動物對生態系統的重要，但他強調，提供正確訊息仍是環境學家的職責。（改寫自〈「改變美國自然生態的狼英雄」是事實還是神話？〉）「三位學者的言談」是上文重要素材。關於此素材的運用手法，最適當的敘述是： (A)引述三人對「狼英雄」的看法時，僅敘述其論點而省略論據 (B)先綜述各方對「狼英雄」反應，再以三人為代表分述其觀點 (C)以訪談形式呈現三人對「狼英雄」的看法，使讀者有參與感 (D)以三人觀點的出現順序，隱然表達對製造「狼英雄」的質疑
112年學測-國文科第10題,0.0,B,                        正確的答案：(B),C,度，小於宋元之際觀測誤差，約等於清代觀測誤差」針對觀測誤差提出詳細說明，故(C)選項最符合題目要求。,2020年壓軸的天文現象是木星合土星。從地球看，兩顆星在12月21日的視覺距離僅約6.5角分，幾乎黏在一起。由於木星繞太陽一周將近12年，土星則要29.5年，因此平均約20年才會兩星相合。古人稱一個運動中的天體逼近另一天體曰「犯」，所以史書記載這兩星相合為「歲星（木星）犯填星（土星）」。但哪顆星犯哪顆星，是如何判斷呢？ 以公轉速度而言，木星比土星跑得快。但因地球軌道短於外側行星的軌道，所以從地球上看V星的運動（如右圖），會發生順行（如A1→A2）、逆行（如A2→A3）的變化。而當木星在順逆行轉換、看似靜止不動時（古人稱為「留」），視覺上便可能土星快於木星。例如西元828年11月5日到21日，明顯是木星順行衝向土星，但21到25日，卻是土星以反方向接近木星，跑了2.2角分，但順行的木星只跑了1角分。以現代天文學看，木星每天頂多移動0.2度，小於宋元之際觀測誤差，約等於清代觀測誤差。如果真要依據這五天的變化寫誰犯誰，古人恐怕辦不到。古代「填星犯某星」的記載很少，《明實錄》的「填星犯太白（金星）」，到正史中改為「太白犯填星」。又彙整唐代之前國運占星術的《開元占經》，雖有「歲星犯太白」的占辭，但史書向來寫「太白犯歲星」。故可確定快慢印象是判斷誰犯誰的依據。（改寫自歐陽亮〈都是星星惹的禍？木星合土星─歲星犯填星〉）談論專業知識的文章，通常預設讀者具備相關背景知識，而不加以說明。下列四個已確知的天文學知識，未被上文預設為背景知識的是： (A)金星的公轉速度比土星快 (B)角分與度是測量角度的單位，1度＝60角分 (C)清代的觀測誤差，小於宋元之際的觀測誤差 (D)木星、土星與太陽的距離，較地球與太陽的距離遠 
112年學測-國文科第13題,0.0,D,                          正確的答案：D                           解釋：在乙中提到「因為苔本是繁殖於地面的一種蘚類植物，只要氣候低濕，可以不種自衍。」，在丙中提到「由於苔本身具有一種厚重的質感，其色雖濃翠，卻不綺豔，加以苔本身所給予人時間之聯想，在丁中提到「因為青苔非歷時長久不能蔓衍」，敘述有稍前後邏輯關係，最適合填入(D)。(A)(B)(C)為單方敘述，無稍前後邏輯關係。,B,題幹「而青苔非歷時長久不能蔓衍」採用雙重否定的方式，強調青苔需長時間才得以蔓衍。空格乙前文提及青苔能「不種自衍」，且因「日本的庭園崇尚蒼老之美」，而蒼老的美感來自長時間的催化，因此填在此處能說明原因，且能與下句「因此它也就變成了代表庭園『歷史』的一種標誌了」相呼應，故答案選(B)。,枯山枯水庭園以砂石為主，但是幾乎每一方石庭都缺少不了綠色的點綴。談及日本庭園之綠意，除了草木之外，青苔也是構成的一大要素， 甲 ，尤其是京都的庭園，如果沒有青苔，勢將減色不少。苔本是繁殖於地面的一種蘚類植物，只要氣候低濕，可以不種自衍。但是日本的庭園崇尚蒼老之美， 乙 ，因此它也就變成了代表庭園歷史的一種標誌了。由於苔本身具有一種厚重的質感，其色雖濃翠，卻不綺豔， 丙 ，加以苔本身所給予人時間之聯想， 丁 ，所以在文學上，任何一個名詞，只要冠以「苔」字，立刻能造成蒼涼悲寂的效果，如「苔階」、「苔徑」、「苔井」、「苔池」。而當你面對京都的苔庭時，這蒼涼悲寂的情調就更具體的呈現在眼前了。（改寫自林文月〈京都的庭園〉）依據文意，「而青苔非歷時長久不能蔓衍」應填入： (A)甲 (B)乙 (C)丙 (D)丁
112年學測-國文科第16題,0.0,B,答案：B                                ### 解釋：(C)需知道澎湖是否在環太平洋地震帶中 ,A,由「然澎湖不守，則敵人得之，安穩收泊。有時展輪四掠，有時載小艇窺闖，臺中難防，臺南、北亦可慮」可知，作者主張應加強澎湖海防，避免敵軍入侵臺北、臺中、臺南三地，符合①的看法。由「臺北可誘之近岸，臺南則不可。蓋臺北港道深通而有屏蔽，彼之駐輪甚便；若登岸，則反失所恃」可知，臺北港航道深且四周有屏障，可以誘敵，符合②的看法，兩者皆符合，故答案選(A),我果戰士有勇，大將有謀，成算在胸，地利足恃，猶不如誘之登岸而設伏殲之。不然，汪洋海上以數百人操一舟，東馳西突，以角逐於勝負不可知之地，我即無恙，而彼之所挾者小，我之所勞者大，設防設守，形勢不亦懣乎！然誘之上岸，非有成算，則斷不可。蓋敵一登陸，民心易動，軍心易震，非宿將強兵不能得手也。生，臺人也，為臺灣計，臺北可誘之近岸，臺南則不可。蓋臺北港道深通而有屏蔽，彼之駐輪甚便；若登岸，則反失所恃。臺南則港門雖深，風浪甚苦，四圍無山，港中非可駐輪；彼不登岸，不能久居也。若臺中諸港，沙線淺灘，難駛鐵船。然澎湖不守，則敵人得之，安穩收泊。有時展輪四掠，有時載小艇窺闖，臺中難防，臺南、北亦可慮。（洪繻〈籌海議〉） 關於①、②是否符合上文看法，最適當的研判是： ①應加強澎湖海防，避免敵軍入侵臺北、臺中、臺南三地。 ②依臺北、臺南地形評估，引誘敵軍自臺北登岸，是可行的戰略。 (A)①、②皆符合 (B)①符合，②不符合 (C)①符合，②無法判斷 (D)①無法判斷，②符合 
