"info","answer","explanation","question"
"TMMLU+-tve_natural_sciences-3","B","正確的答案：B解釋：鐮葉叢草的鉤錨器是由子房基部的肉質果皮裂發展而成的。這種結構有助於植物的繁殖和生長，因為它能夠幫助種子附著在適當的基質上，從而提高種子的存活率和發芽率。選項A不正確，因為鉤錨器的原始細胞在受精前就已經存在。選項C不正確，因為鉤錨器在幼苗形成後不會在短短兩天內消失。選項D不正確，因為鉤錨器的功能是幫助幼苗附著於受質上，而不是阻擾附著。","有關鐮葉叢草鉤錨器 ( grappling apparatus ) 的敘述，下列何者正確？(A)鉤錨器構造的原始細胞在受精前不存在(B)來自於子房基部的肉質果皮裂發展而成(C)在鐮葉叢草幼苗形成後不到兩天會消失(D)此構造阻擾鐮葉叢草幼苗附著於受質上"
"TMMLU+-tve_chinese_language-372","A","正確的答案：A解釋：根據題目內容，「隧道效應」是指在壓力或困難的環境下，我們的認知資源被眼前的事情佔據，導致視野狹窄，只能看到短期的利益，無法做出正確的判斷或預測未來趨勢。為了擺脫這種惡性循環，文中建議我們要「保有餘裕」，即不要過多關注生活中的小事，以避免浪費心智決策容量，從而損害我們對其他重要事物的耐心與專注力。因此，提高心智決策容量有助於突破隧道效應，這與選項A的內容最為符合。選項B、C和D都沒有正確反映出文中的核心觀點。","所謂「隧道效應」，指當我們只專注在一件事情時，思路就會像隧道一樣狹窄，只看到眼前而看不到長期的利益。特別是在有壓力或困難的環境下，我們的認知資源會被眼前某件事情所佔據，通常只能看見立即、短淺的事物，很難有中長期的考量，於是就會產生「隧道視野」—視野變得狹隘，無法看得寬廣，如同身處隧道，只看得見出口的光，看不到別的路徑，導致無法在當下做出正確判斷，更難以預測未來趨勢，甚至放 棄解決問題。      困在隧道中，就算走了許久，身邊仍是一片漆黑，難免會覺得恐懼無助，就容易再度做出不利的決定，久而久之就會形成惡性循環，導致一直在隧道內打轉。所以有些人 會有窮忙的生活狀態，或是孤單的人更難交到朋友等等，其實都和「隧道效應」有關。      若想擺脫惡性循環，隧道效應告訴我們必須「保有餘裕」—重要的不是當下，而 是將來會怎麼發展。所以，要設定好隧道的出口，也就是設定未來的目標，目標要實際可行，不要好高騖遠，同時擬定完成目標的計畫，一步一步執行。其次，不要糾結或過 多關注生活小事，例如午餐吃什麼、哪個超市的洗髮精更便宜等等，以避免浪費心智決策容量，造成匱乏感，而損害我們對其他事物的耐心與專注力，應盡可能將目光放在那些看起來遙遠但卻影響一生的少數重要事情上。（改寫自《商業周刊》） 下列選項，何者最符合上文旨意？(A)提高心智決策容量有助於突破隧道效應(B)突破隧道效應是因為看見出口的光(C)只要覺得恐懼無助就會出現隧道效應(D)擺脫隧道視野容易造成隧道效應"
"TMMLU+-politic_science-784","D","正確的答案：D解釋：兩院制國家改採一院制的理由通常是為了提高立法效率、減少政治僵局和簡化立法程序。選項(A)兩院制衡的必要性降低、(B)下議院代表性完整、(C)兩院不斷陷入僵局，這些都是可能促使國家改採一院制的原因。然而，選項(D)法案的審議更為審慎，這通常是兩院制的優點之一，因為兩院制可以通過兩個不同的議會對法案進行更為詳細和多層次的審議。因此，選項(D)不會是改採一院制的理由。","兩院制國家改採一院制的理由通常不包括：(A)兩院制衡的必要性降低(B)下議院代表性完整(C)兩院不斷陷入僵局(D)法案的審議更為審慎"
"TMMLU+-geography_of_taiwan-432","C","正確的答案：C解釋：海岸山脈位於台灣東部，主要由菲律賓海板塊與歐亞大陸板塊碰撞所形成。由於這種板塊碰撞的地質活動，海岸山脈中含有豐富的菲律賓海板塊沉積物。這些沉積物提供了研究板塊構造運動和地質演化的重要資料，因此吸引了許多國際學者前來研究和探討。選項C正確地指出了海岸山脈的地質特徵，解釋了國際學者來台研究的動機。","海岸山脈的地質構造特殊,吸引許多國際學者至此一探究竟。請問:這些國際學者來台一覽海岸山脈的動機為何?(A)海岸山脈是琉球岛弧的陸上延伸(B)海岸山脈有豐富的歐亞大陸板塊沉積物(C)海岸山脈有豐富的菲律賓海板塊沉積物(D)海岸山脈全為火成岩構成"
"TMMLU+-tve_natural_sciences-120","A","正確的答案：A解釋：水生植物的狹義定義是指植物的生活史必須在有水環境下完成。水蘊草（A）是一種典型的水生植物，它的整個生活史，包括生長、繁殖和發育，都必須在水中進行。相較之下，野薑花（B）、蘆葦（C）和空心菜（D）雖然也能在潮濕或水邊環境中生長，但它們並不需要完全依賴水環境來完成其生活史。因此，只有水蘊草符合狹義定義的水生植物。","下列何者符合水生植物的狹義定義「植物的生活史必須在有水環境下完成」？(A)水蘊草(B)野薑花(C)蘆葦(D)空心菜"
"TMMLU+-politic_science-493","C","正確的答案：C解釋：工作權是指個人有權利從事合法的工作並獲得相應報酬的權利。這種權利的性質屬於受益權，因為它主要是保障個人能夠通過工作獲得經濟利益和生活保障。受益權是指個人有權利從國家或社會獲得某些利益或服務，例如教育權、社會保障權等。工作權作為受益權的一種，強調的是個人通過勞動獲得報酬和生活保障的權利。","工作權之性質屬於：(A)自由權(B)表意權(C)受益權(D)參政權"
"TMMLU+-geography_of_taiwan-549","C","正確的答案：C解釋：根據題目所述，桃園沿海的「殼狀珊瑚藻」最初附著生長的礫石灘，其礫石的主要來源是古石門溪沖積扇的堆積物。沖積扇是由河流攜帶的泥沙、礫石等沉積物在河流出山口處形成的扇形堆積地形。古石門溪沖積扇的堆積物經過長時間的搬運和沉積，形成了桃園沿海的礫石灘，為「殼狀珊瑚藻」提供了附著生長的基礎。因此，選項C是正確的答案。","依據上文，桃園沿海「殼狀珊瑚藻」最初所附著生長的礫石灘，其礫石的主要來源為下列何者？(A)林口臺地礫石層崩塌被搬運至此(B)桃園海岸古沙丘的堆積物(C)古石門溪沖積扇的堆積物(D)淡水河口礫石被沿岸流搬運至此"
"TMMLU+-geography_of_taiwan-186","C","正確的答案：C  解釋：  在1953～1968年間，臺灣的經濟政策強調「以農業培養工業，以工業發展農業」，這段期間臺灣積極發展農業加工產品的外銷，以爭取外匯收入。當時，臺灣的洋菇和蘆筍加工產品在國際市場上具有很高的競爭力，並且外銷量居世界首位。洋菇和蘆筍的加工產品因其品質優良、價格合理，深受國際市場的歡迎，成為臺灣重要的外匯收入來源。因此，答案選擇(C)(乙)(丁)是正確的。","1953～1968 年，臺灣的經濟政策主要是「以農業培養工業，以工業發展農業」，除了增加農產量之外，並擴展外銷以爭取外匯。請問當時農業加工產品外銷居世界首位的為下列哪兩項？(甲)香蕉(乙)洋菇(丙)甘藷(丁)蘆筍(A)(甲)(丙)(B)(丙)(丁)(C)(乙)(丁)。(D)(甲)(乙)"
"TMMLU+-politic_science-205","B","正確的答案：B解釋：「尖塔型」的行政組織是指其層級多，而控制幅度小。這種組織結構通常呈現出一個高而窄的形狀，類似於尖塔。層級多意味著組織內部有許多層次，每一層次之間的上下級關係明確。而控制幅度小則表示每一位管理者直接監督的下屬人數較少，這樣可以使管理者能夠更專注於每一位下屬的工作，確保指令的準確傳達和執行。因此，選項B「層級多，而控制幅度小」正確描述了「尖塔型」行政組織的特徵。","「尖塔型」之行政組織，是指其：(A)層級多，而控制幅度大(B)層級多，而控制幅度小(C)層級少，而控制幅度大(D)層級少，而控制幅度小"
"TMMLU+-politic_science-560","B","正確的答案：B解釋：臺灣的選舉制度中，區域立法委員選舉、鄉市鎮長選舉和縣市長選舉都是採用單一選區相對多數決制。這意味著在這些選舉中，每個選區只選出一名候選人，並且得票最多的候選人當選。然而，原住民立法委員選舉則不同，它採用的是複數選區制，並且是依據比例代表制來選出原住民立法委員。這種制度允許多名候選人當選，並且當選名額是根據各政黨或候選人所獲得的票數比例來分配。因此，原住民立法委員選舉並不是採用單一選區相對多數決制。","下列那一項臺灣的選舉，不是採用單一選區相對多數決制？(A)區域立法委員選舉(B)原住民立法委員選舉(C)鄉市鎮長選舉(D)縣市長選舉"
"TMMLU+-politic_science-41","B","正確的答案：B解釋：政治學者哈羅德·D·拉斯威爾（Harold D. Lasswell）對於政治的看法主要集中在權力的形成與互動。他認為政治是一個權力的過程，涉及誰獲得什麼、何時以及如何獲得。這種觀點強調了權力在政治中的核心地位，並且關注權力的分配、行使和影響。因此，選項B「權力的形成與互動」最能準確反映拉斯威爾對政治的看法。","政治學者拉斯威爾（Harold D.Lasswell）對於政治的看法為：(A)權威性的價值分配的過程(B)權力的形成與互動(C)政策制定的過程(D)有關政府事務的管理"
"TMMLU+-geography_of_taiwan-355","C","正確的答案：C解釋：臺灣的公路命名規則中，東西向的公路以偶數表示，南北向的公路以奇數表示。題目中要求找出聯絡臺中盆地到埔里盆地的國道編號。根據地理位置，臺中盆地位於臺灣中部偏西，而埔里盆地位於臺灣中部偏東，因此這條公路應該是東西向的，編號應為偶數。選項中，只有國道 6 號是偶數，且國道 6 號確實是從臺中市經霧峰、草屯到南投縣埔里的東西向國道。因此，正確答案是 C。","臺灣的公路命名東西向以偶數表示，南北向以奇數表示，且又分為國道、快速道路、省道、縣道、鄉道等各種等級。下列何者是聯絡臺中盆地到埔里盆地的國道編號？(A)國道 3 號(B)國道 1 號(C)國道 6 號(D)國道 5 號"
