"info","answer","explanation","question"
"TMMLU+-junior_science_exam-1","C","","取一質量 10 kg 材質均勻的合金，將其分成兩塊，其中一塊製成一個邊長為 10 cm 的實心正立方體，另一塊製成一個質量為 2 kg 的實心球，則此實心球的體積應為多少？(A)4000 cm3(B)5000 cm3(C)250 cm3(D)200 cm3"
"TMMLU+-junior_science_exam-2","C","","根據氣溫分布的特性，地球大氣圈可分為對流層、平流層、中氣層及增溫層。下列有關這四個分層的敘述，何者正確？(A)陽光首先照射到地球大氣圈的最外層，因而在此產生對流層(B)陽光中的紫外線穿透地球大氣圈抵達地面後，其量絲毫不減(C)對流層中的水氣與二氧化碳，均具有替地球保溫的作用(D)水循環主要發生在對流層與平流層之交界面上"
"TMMLU+-junior_science_exam-3","B","","下列為四種植物對於環境刺激的感應，何者從接受刺激到出現反應，所需的時間最長?(A)含羞草受外力觸碰後小葉閉合(B)朱槿植株受光刺激後向光彎曲(C)酢漿草在太陽下山後葉片下垂(D)捕蠅草受昆蟲刺激後葉片閉合"
"TMMLU+-junior_science_exam-4","A","","一滑車作直線運動，在時間 t＝0 s 時的速度為 5 m/s，方向向東；t＝5 s 時的速度為 10 m/s，方向向西，則此滑車在 t＝0～5 s 期間的平均加速度為下列何者？(A)3 m/s2 ，方向向西(B)1 m/s2 ，方向向西(C)1 m/s2 ，方向向東(D)3 m/s2 ，方向向東"
"TMMLU+-junior_science_exam-5","C","","以下關於黑潮的敘述，哪項不正確？(A)帶給臺灣溫暖潮溼的天氣(B)黑潮由北赤道流來，水溫較高(C)黑潮對臺灣漁業有很大的幫助，主要是帶來烏魚 。 請翻頁繼續作答(D)主流方向由南向北"
"TMMLU+-junior_science_exam-6","D","","小樺突然想到海邊觀察星象，而去請教氣象專家。專家說現在天氣圖上本地是被標記為「L」的天氣系統籠罩，建議他改天再去。專家會做出如此建議，可能是當此天氣系統籠罩時，將會造成下列何種影響？(A)天空不利雲層發展，容易有月光造成光害(B)海水會是滿潮狀態，海邊可活動空間較少(C)紫外線指數會偏高，不適合安排戶外活動(D)大氣中水氣易凝結，觀星的視野會受遮蔽"
"TMMLU+-junior_science_exam-7","C","","某村莊的地震測站記錄了四次地震，相關資料如表所示。對這四次地震之間的相互比較，下列敘述何者正確？編號 1 2 3 4 地震規模 7.3 4.5 4.2 6.8 地震強度 1 級 2 級 4 級 5 級(A)1 號地震所釋放的能量最少(B)3 號地震對該村莊搖動破壞程度最小(C)4 號地震對該村莊搖動破壞程度最大。(D)2 號地震所釋放的能量最多"
"TMMLU+-junior_science_exam-8","A","","(甲)眼睛；(乙)紅血球；(丙)呼吸道；(丁)血液。以上四項構造，由簡單到複雜的層次關係，下列何者正確？(A)乙丁甲丙(B)甲乙丙丁(C)丙乙甲丁(D)丁甲丙乙。"
"TMMLU+-junior_science_exam-9","D","","某電影中，描述一隻紅毛猩猩乘著一捆香蕉在海上漂浮。小新做實驗來確認香蕉是否會漂浮在海面上，結果發現香蕉可以漂浮在純水上，因此推論香蕉也可以漂浮在海水上，且香蕉露出海水面的體積比在純水時多。已知小新的推論過程正確，則小新作出此推論的理由最可能為下列何者？(A)海水的密度小於純水(B)海水的比熱大於純水(C)海水的比熱小於純水(D)海水的密度大於純水"
"TMMLU+-junior_science_exam-10","B","","六種動物的受精方式及受精卵發育場所的比較如表。依此表的資料及這些動物調節體溫的特性來判斷，下列敘述何者最合理？（註：內溫動物，又稱恆溫動物；外溫動物，又稱變溫動物）動物種類受精方式受精卵發育場所鴨嘴獸體內母體外烏龜體內母體外乳牛體內母體內綿羊體內母體內青蛙體外母體外鯉魚體外母體外(A)表中進行體內受精者都是內溫動物(B)表中受精卵在母體內發育者都是內溫動物(C)表中受精卵在母體外發育者都是外溫動物。(D)表中進行體外受精者都是內溫動物"
