,info,answer,translated_questions
0,110年學測-自然科第1題,A,"Translated Question: During a cold spell, a case of carbon monoxide (CO) poisoning occurred in a certain area due to the improper use of a water heater, but was saved by high-pressure oxygen therapy in time. Based on the above description, what is the main cause of CO death? (A) Competing with O2 for hemoglobin, causing severe oxygen deficiency in the blood. (B) Competing with O2 for electrons released from the electron transport chain, stopping aerobic respiration. (C) Blocking the transmission of neurons to muscles, causing respiratory muscle paralysis and suffocation. (D) Inhibiting the function of enzymes related to glycolysis, stopping cellular respiration. (E) Competing with CO2 for hemoglobin, causing metabolic acidosis due to the inability to excrete carbonate salts outside the body."
1,110年學測-自然科第2題,E,"Translated Question: When examining a section of a rabbit's testicle under a microscope, three types of cells can be observed: (A) Alpha cells, which are located between the seminiferous tubules; (B) Beta cells, which are near the inner wall of the seminiferous tubules; (C) Gamma cells, which are near the lumen of the seminiferous tubules and have a resemblance to sperm; (D) Sperm production is the function of Gamma cells. Which of the following statements is correct? (A) Alpha and Gamma cells are reproductive cells. (B) Beta cells have a diploid chromosome. (C) Beta cells are derived from Alpha cells through metaplasia. (D) Gamma cells have the ability to undergo meiosis."
2,110年學測-自然科第3題,D,"Translated Question: For a short-day plant with a critical day length of 13 hours, if its flowering is solely affected by the photoperiod, in which situation is it least likely to bloom? (A) At the summer solstice at the equator (B) At the vernal equinox at the equator (C) At the winter solstice at the equator (D) At the summer solstice in the northern hemisphere's high latitude regions (E) At the autumn equinox in the southern hemisphere's high latitude regions"
3,110年學測-自然科第5題,D,"Translated Question: In the natural world, redox reactions play a crucial role. Which of the following processes related to the carbon cycle does NOT involve redox reactions? (A) Cellular respiration uses glucose reactions to produce carbon dioxide and release energy. (B) Carbon in organic matter gradually turns into coal as it accumulates in layers over time. (C) Coal and oil burn in the air, releasing carbon dioxide. (D) Carbon dioxide dissolves in water and reacts with calcium ions (Ca2+) to form calcium carbonate precipitates in the ocean. (E) Carbon dioxide is converted into glucose through photosynthesis and oxygen is released."
4,110年學測-自然科第6題,B,"Translated Question: Guī zhuāng in pH less than 4.5 and greater than 8.3 solutions, respectively, displays red and blue, and dampening blue filter paper and air-drying can obtain red and blue phenolphthalein paper. Which of the following statements is correct? (A) Human plasma is dropped on the blue phenolphthalein paper, and the paper turns red. (B) Commercial antacids (containing antacids) are dropped on the moist red phenolphthalein paper, and the paper turns blue. (C) Using phenolphthalein paper to test hydrochloric acid (HCl), due to the acid-base reaction, the paper turns white. (D) Benzyl alcohol is dropped on the moist red phenolphthalein paper, and the paper turns blue. (E) A solution with a pH of 6.4 is dropped on the red phenolphthalein paper, and the paper turns blue."
5,110年學測-自然科第8題,D,Translated Question: Boron has an atomic number of 5 and an average atomic mass of 10.81. Which of the following statements about boron and its compounds is correct? (A) No isotopes (B) Neutron number is 5 (C) Electron number is 2 (D) BH3 does not meet the octahedral rule (E) NH4BF4 is an ionic compound
6,110年學測-自然科第9題,A,"Translated Question: What is the correct order of the standard molar enthalpies of combustion for butene (C3H6), propanal (C3H6O), acetone (C3H6O), and acetic acid (C3H6O2), which are -2060, -1990, -1790, and -1530 kJ, respectively? (A) Acetic acid < Acetone < Propanal < Butene (B) Acetic acid < Propanal < Acetone < Butene (C) Acetic acid < Propanal < Butene < Acetone (D) Butene < Propanal < Acetone < Acetic acid (E) Butene < Acetic acid < Acetone < Propanal"
7,110年學測-自然科第10題,A,"Translated Question: Which of the following best fits the description: a substance that does not dissolve in water, contains an important element for the semiconductor industry, and has another element that is essential for the human body? (A) Quartz sand (B) Zinc sulfide (C) Calcium chloride (D) Iron oxide (E) Marble"
8,110年學測-自然科第12題,A,"Translated Question: Which of the following is the correct order in terms of the sequence of events in the evolution of the universe: (A) Alpha, Beta, Gamma (B) Beta, Alpha, Gamma (C) Gamma, Beta, Alpha (D) Gamma, Alpha, Beta (E) Alpha, Gamma, Beta"
9,110年學測-自然科第13題,A,Translated Question: Which of the following statements is correct? (A) The elastic deformation force and friction between objects both originate from electromagnetic forces. (B) The main interaction between protons and neutrons in the atomic nucleus is weak force. (C) The range of the strong force's effect is definitely smaller than that of the weak force. (D) Electron decay is caused by weak force interactions within it. (E) Gravity is not a fundamental interaction force between objects.
10,110年學測-自然科第14題,C,Translated Question: Which of the following is the correct unit expression for physical quantities using SI basic units? (A) Electricity A*s^2 (B) Pressure KG/(M*S) (C) Power KG*M^2/S^3 (D) Kinetic Energy KG*M^2/S (E) Heat KG*M/S
