,info,answer,translated_questions
0,111年學測-社會科第1題,B,"Translated Question: A report in the media of a country states that the rate of mental illness, suicide rate, and life expectancy of its indigenous people compared to the nation as a whole, as shown in Table 1. Without thoroughly investigating the difficulties faced by the indigenous people, the report claims that this is because the indigenous people do not value personal physical and mental health, for example, they prefer high-fat, high-sugar junk food. Reports like this, which lack empathy and understanding, are most likely to lead the public to form an even more unfavorable impression of indigenous people. What is the most likely perception that the general public will have about the indigenous people? (A) Indigenous people often lack the willingness to change their traditional habits. (B) Indigenous people lack the attitude of taking responsibility for their own health. (C) Indigenous people lack the knowledge of preserving traditional food culture. (D) Indigenous people lack the strategy to change their modern lifestyle."
1,111年學測-社會科第2題,C,"Translated Question: What is the most fundamental difference pointed out by the scholar regarding the relationship between the country's ruling leader, the ruling party, and the people in the political propaganda picture (Graph 1)? Graph 1(A) shows multiple competing parties, making it difficult for a party to have widespread loyalty from the public. (B) Recognizes multiple identities, making it less likely to obey a single political leader. (C) The ruling leader and the ruling party are both managers of the state, rather than objects of loyalty. (D) The ruling leader and the ruling party only represent the government, while the public should be loyal to the government."
2,111年學測-社會科第3題,B,"Translated Question: Wade studies the property system in a certain country and collects inheritance statistics (Table 2) for that country that year. He concludes that the difference in data between males and females is due to both the country's traditional social attitudes and the application of the law of inheritance. What principle of the inheritance system in the country is most closely related to the gender differences presented in the table with 64% males and 36% females? (A) The Civil Code adopts gender equality in the inheritance of inheritance rights. (B) Allows the deceased to dispose of a certain range of property through a will in their lifetime. (C) Inheritance by specific relatives is the principle, and the spouse is the natural heir. (D) The heirs must pay the debts of the deceased with the inheritance they receive."
3,111年學測-社會科第4題,B,"Translated Question: Table 3 shows a city government's incentives for purchasing new low-emission motorcycles and scrapping old motorcycles to buy new low-emission ones. If the number and quality of motorcycles purchased in the past two years are the same, with only the government subsidy amount changing, what is the impact on consumer behavior and air pollution this year compared to last year? (A) More people are willing to upgrade to new low-emission motorcycles, but last year's policy was more effective in reducing air pollution. (B) More people are willing to upgrade to new low-emission motorcycles, and this year's policy is more effective in reducing air pollution. (C) More people are willing to buy new motorcycles, and this year's policy is more effective in reducing air pollution. (D) More people are willing to buy new motorcycles, but last year's policy was more effective in reducing air pollution."
4,111年學測-社會科第5題,A,"Translated Question: For a ""historical investigation"" course at a school, students are required to collect family trees, Taiwan Governor's Travel Permits (passports), fellow town association lists, and read population and household census data on the Ministry of the Interior's website. The ""historical investigation"" theme is most likely: (A) the movement and communication of populations (B) the establishment and shaping of nations (C) the types and changes of culture (D) the origins and spread of religions."
5,111年學測-社會科第6題,C,"Translated Question: Which topic is closest to the position of the scholar who said that past historical research often focuses on the history of rulers rather than the history of the people, and that the people should be our main concern? (A) The land settlement policy of the Qing Dynasty in Taiwan, (B) The evolution of official systems in Qing Dynasty Taiwan, (C) The coastal sea god belief in Qing Dynasty Taiwan, (D) The establishment of the Japanese colonial regime in Taiwan"
6,111年學測-社會科第7題,C,"7. In the early 20th century, someone harshly criticized the use of money: ""Who still needs that damn money? Life means food, clothing, housing, and rest; without this metal and scrap of paper, we could still live happily. Money will lose meaning, and the government should replace money with goods as work income."" Which ideology does this person's viewpoint reflect? (A) Mercantilism (B) Liberalism (C) Communism (D) Fascism"
7,111年學測-社會科第9題,D,"Translated Question: In the 15th to 16th centuries, a large palace was built in a certain kingdom, divided into three parts: the main hall was used for the king to hold various ceremonies and political discussions; the north hall was designed to receive Chinese envoys; and the south hall, from the early 17th century, was used to receive Japanese Satsuma domain officials. The palace is most likely located in: (A) Korea (B) Sarawak (C) Annam (D) Ryukyu."
8,111年學測-社會科第10題,B,"Translated Question: In a history class at a school, a lesson on ""Exchange between Europe and the Americas and Africa"" is being conducted. A picture from the 17th century of the production process of sugar (Graph 2) is used to explain that sugar gradually replaced honey as the main sweetener for Europeans. Where is the sugar factory most likely located in the picture? (A) Algeria in North Africa (B) The West Indies of Central America (C) Newfoundland in North America (D) The Congo Basin in Central Africa"
9,111年學測-社會科第11題,B,"Translated Question: On December 25, 1912 (25th of the 12th month of the Annals of Zunzun, or Xuantong), Emperor Puyi of the Qing Dynasty issued an abdication edict. However, in the National Palace Museum collection of Qing Dynasty documents, a document is found that was submitted with a date marked ""Xuantong Ten Years July."" How should we interpret this phenomenon? (A) The Xuantong Dynasty only lasted three years; it is likely that a Qing government official mistakenly inserted the year in the petition. (B) Although the Emperor abdicated, the government agreed to allow him to continue using his title and original chronology. (C) During the Taidong Emperor's reign, a petition was submitted with the Xuantong calendar to gain Manchu support. (D) The document was submitted to Puyi by a government official in the Manchukuo government, hence the use of the Xuantong calendar."
