,info,answer,translated_questions
0,112年學測-國文科第1題,A,Translated Question: Which of the following pairs have the same pronunciation in Chinese: (A) flute and robe / monk and coat (C) suddenly and collapse / attack and opponent (B) start an argument and climb / look down and dominate (D) sigh and depart / twist and talk about wide theories.
1,112年學測-國文科第2題,C,"Translated Question: Which of the following sentences contains no typographical errors? (A) The treasure of collectors is expensive in price. (B) This occupational accident is obviously due to inadequacy. (C) Uncle lamented that he had a hard childhood, but gradually rose through hard work and self-education. (D) The sky lantern carries everyone's wishes, slowly rising into the air with cheers."
2,112年學測-國文科第3題,A,"Translated Question: Which of the following words is most appropriate to use in the context of the underlined phrases? (A) This case has been thoroughly analyzed by the special task force and some useful clues have been obtained. (B) The manager highly appreciates this subordinate, but also unnecessarily protects his shortcomings. (C) The new product quickly gained popularity and overtook the well-received classic brand. (D) Advancing past the preliminary round would secure a favorable position for competing for the championship."
3,112年學測-國文科第4題,D,"Translated Question: The most appropriate interpretation of Tables 1 and 2 is: Wang Chang-lin 92.73% (275 existing poems) 62.64% (182 existing poems) Wang Wei Li Bai Du Fu Wang Chang-lin Wang Wei  [Table 1] Five poets' statistics on ""Greeting and Reminiscing Poems about Friends""  [Table 2] Five poets (columns) mentioning the works of the other four poets  Renwei 178 104 159 333 110  Renwei 0 3 5 2  Poems 255 114 247 460 743  Wang Chang-lin 4 - 1 2 0  Li Bai Du Fu Li Bai 0 1 0 - 13 65.34% (378 existing poems) 43.27% (1063 existing poems) 50.48% (1472 existing poems)  (A) Wang Chang-lin, Wang Wei, and Du Fu all knew Wang Ji, so they each count once in Table 1 (B) Renwei is particularly good at writing friend poems, and Wang Chang-lin wrote at most two poems for each friend (C) Du Fu's friends are fewer than Renwei's, and his familiarity with Renwei is higher than with Wang Wei (D) Li Bai has many poems written out of greetings, reminiscence, or mentioning friends, but not including Wang Wei"
4,112年學測-國文科第5題,D,"Translated Question: In a communication negotiation, the speaker often takes a certain role or puts the listener in a certain role to achieve the purpose. The most appropriate description of the following explanations about A and B is:  A) The speaker takes the role of an outsider (B) The speaker takes the role of the main character (C) The speaker takes the role of a flatterer seeking favor (D) The listener is in the role of being envious (E) The listener is in the role of the envious person (F) The listener is in the role of the neglected person (G) The listener is in the role of the neglectful person"
5,112年學測-國文科第6題,D,"Translated Question: According to the passage, the most suitable words to fill in the blanks are: ""The bride is slender and white, very beautiful. Someone in the bride's party said: 'General, why take the beautiful woman through here? There is a god who steals young girls and steals the beautiful ones, and the beautiful ones should be carefully protected.' The general is very beautiful, and at night he ordered the soldiers to surround his house, hide the woman in the secret room, and lock it very tightly, and guarded by several maids. At night, the bride was taken away by an unknown person while the guards were dozing off. (《The White Ape of the Supplementary Marriage Pass》) (A) There is a reason for this / Fearful / Guarding (B) There is a reason for this / Arrogant / Guarding (C) It is inevitable / Arrogant / Guarding (D) It is inevitable / Fearful / Guarding"
6,112年學測-國文科第7題,D,"Translated Question: Regarding the analogy between cooking and writing, the most appropriate statement is: (A) One should be aware of the regional characteristics of dishes and learn from different schools of thought when mastering the pen. (B) Cooking should be learned from the masters and writing should be imitated from the beginning. (C) If a person does not learn to cook Han cuisine at an early age, they will not do well at making Man dishes, and if they write essays, they should start as early as possible. (D) Cooking requires showcasing one's individual strengths, and writing should emphasize one's authenticity."
7,112年學測-國文科第8題,A,"Translated Question: After years of effort by conservationists, Yellowstone National Park reintroduced 14 gray wolves in 1995. Upon entering the ecosystem, the wolves began preying on Canadian elk. In response, the elk population decreased and appeared less frequently in the valleys. As a result, the previously grazed plants in the valleys began to regrow vigorously, with some trees even growing up to five times faster. Environmentalist Montbieur noted these changes in a YouTube video and pointed out that the increased vegetation due to the decline in elk numbers made the rivers less prone to erosion. In 2010, a study found that although elk populations declined by 60% in a few years, trees did not grow rapidly and elk still foraged in areas where wolves were frequently present because the chances of encountering wolves in the vast Yellowstone Park were very low. Zoologist Middleton cited this study, suggesting that the impact of wolves on the Yellowstone ecosystem was significant but the drastic changes brought about by their absence could not be reversed in a short time. Ecologist Michaelchandler also pointed out that the decline in elk numbers allowed trees to grow, and predators like cougars and bears also contributed to the reduction in elk populations. Therefore, he believed that ""wolves change rivers."" Furthermore, Middleton acknowledged that this case raised awareness about the importance of carnivorous animals in ecosystems, but he stressed that providing accurate information was the responsibility of environmental scientists. (Adapted from ""Is the Wolf a Hero Who Changed American Nature?"") Among the given options, the most suitable sentence to insert is: (D) cannot be underestimated, and should be monitored as a warning signal."
8,112年學測-國文科第9題,D,"輸出格式： Translated Question: The ecologists Montbriol, Meddleton, and McNight discuss the impact of reintroducing wolves to Yellowstone National Park in the 1990s. They consider the effects on the ecosystem, such as the changes in deer population and the growth of vegetation. They also discuss the role of other predators, like bears and mountain lions, in the ecosystem. What approach is used to present their views on the ""wolf hero"" controversy? (A) The panelists' views on the ""wolf hero"" are summarized without mentioning their arguments. (B) The panelists' views on the ""wolf hero"" are first summarized, then each of the three main points is discussed in detail. (C) The panelists are interviewed about their views on the ""wolf hero,"" making the reader feel involved. (D) The order in which the panelists' views appear suggests a questioning attitude towards the ""wolf hero"" concept."
9,112年學測-國文科第10題,C,"                            Translated Question: In 2020, the most anticipated astronomical event was the conjunction of Jupiter and Saturn. On December 21st, from Earth's perspective, the visual distance between these two stars was only about 6.5 arc minutes, making them appear almost fused together. Since Jupiter takes approximately 12 years to orbit the Sun, and Saturn takes about 29.5 years, they are only in conjunction about once every 20 years on average. Ancient Chinese astronomy referred to this event as ""the asteroid (Jupiter) encroaching on the celestial body (Saturn),"" but determining which planet encroaches upon the other is based on their relative velocities during their orbits. The ancient Chinese's method of observing celestial bodies was different from modern astronomy. For example, they would record the position of a celestial body as it moved in relation to another, and they would use the term ""yin"" to describe when one celestial body appeared to be moving more quickly than the other. The concept of ""yin"" was used to determine which planet was encroaching upon the other. However, this method was not always accurate, and there were many discrepancies in the records. Some of the key astronomical knowledge that was not assumed in the text includes: (A) Mars moves faster than Saturn in its orbit around the Sun. (B) Angular measurements are used to measure angles, with one degree equal to 60 arc minutes. (C) The Zhou dynasty's observational errors were smaller than those of the Song and Yuan dynasties. (D) The distance between Jupiter, Saturn, and the Sun is greater than the distance between Earth and the Sun."
