,info,answer,score,generated_answer,detailed_generated_answer
0,110年學測-國文科第1題,A,0.0,B,                         正確的答案：(B)                           解釋：(A)儕/40；(B)鼉/45；(C)得/100；(D)奩/40 ；(D)謳/45。
1,110年學測-國文科第2題,C,0.0,B,                         正確的答案：(B)                           解釋： (A)「開始」可刪，以「慢慢揚起」流暢。(C)「喋血」可刪，「色彩」較濃。(D)「且」可刪，閱讀流暢。 
2,110年學測-國文科第3題,B,1.0,B,                         正確的答案：(B)                           解釋： 由「自己若是不清楚歲月對自己做了些什麼，他們也會讓我知道；只要與久別重逢的舊友一敘便知，自己在他們的眼中又是如何了」可知，順序應為乙丁甲丙戊。 (A)先知道歲月對自己做的多少，老友才告知，敘述有誤；(C)先與老友敘舊再知道歲月對自己做的多與少，敘述有誤；(D) first sentence先提到自己不清楚，是於(乙)之後才能發生，敘述有誤。
3,110年學測-國文科第4題,D,0.0,B,                         正確的答案：(B)                           解釋：                           (A)意為在閱讀時從疑惑中成功悟通。(B)意為在詩書之外有所短缺，在翻修文字時自有悟通。「惟」指只有。(C)意為在詩書之外個別列舉短缺處。(D)意為個別列舉詩書之外無法體會的感悟。
4,110年學測-國文科第5題,B,0.0,A,                         正確的答案：(A)                           解釋： (B)中式邀請卡常用「敬備／恭／台光」來表達祝賀。(C)書信 Promote to 兄，署名宜用「兄某惠鑒」。(D)明信片收件者的名字後，不用緘，只要寫收信的人的名字。
5,110年學測-國文科第6題,B,1.0,B,                         正確的答案：(B)                           解釋：「雲彩」為詩人旅行的場景，並非代表不穩定的心情。
6,110年學測-國文科第7題,C,0.0,A,                         正確的答案：(A)                           解釋：                           A:由「心情愉快時，就喜歡用「歌一上口」………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………………
7,110年學測-國文科第8題,D,1.0,D,                         正確的答案：(D)                           解釋：一般人認為助人為樂之行為不值得鼓勵，康德認為出於義務的行善方具有道德價值，故選擇(D)。
8,110年學測-國文科第9題,A,0.0,C,                         正確的答案：(C)                           解釋：(乙中人等待婚嫁的「□□」是新娘，故入「房」，應為「西席」。(丙)周公離開中原七年回到成周，讓長子周長成為王，周公回到國都魯返政，應為「反政」。「就」原指取或獲得，後亦借指取得、入官等，故「就群臣之位」。)
9,110年學測-國文科第10題,D,1.0,D,                         正確的答案：(D)                           解釋：本文主旨為：人為的紛爭起源於欲望而沒有合理的劃分界限，因此透過禮法來管理欲望、給予追求的空間，否則沒有禮義的劃分，必然會產生紛爭，必然會導致混亂，無法永續。故選擇(D)禮源於治亂。
10,110年學測-國文科第11題,C,1.0,C,                         正確的答案：(C)                           解釋：根據題幹「人不能不與世為酬酢，言色恭行焉。情之不可已，本自有當然之則也。乃巧好為言，容悅為色，周旋舉止，悉邪為之。」其內容談及人的處世態度，為顯性之美，故選(C)。 
11,110年學測-國文科第12題,C,1.0,C,                         正確的答案：(C)                           解釋：由陶的「自食其力累知交，則東籬為市井，有辱黃花也」可知，陶認為自耕自作雖不貪求富，但也不必要追求貧苦，敘述有誤。(A)由「人固不可苟求富，然亦不必追求貧也」可知，陶認為人不可追求富貴也，同時也不必要追求貧苦，敘述正確；(B)由「自食其力累知交」可知，陶表示自己能自食其力，不為貪，敘述正確；(D)陶認為販花為市井之業而有辱黃花，與文中陶說「作是計，賣菊亦足謀生」有意見差異，並非鄙棄，敘述有誤。 
12,110年學測-國文科第13題,D,1.0,D,                         正確的答案：(D)                           解釋：                           (D)由「病重不醫，樂而忘憂」、「適意無異逍遙遊」可知，蘇軾以為石蒼舒痴書成疾卻能不疾而風，自得逍遙，並無諷刺之意。
13,110年學測-國文科第14題,C,1.0,C,                         正確的答案：(C)                           解釋：                           (C)由「美國打造『新平民』階級的大眾認同，既依賴左派意象，卻又是流行商品；屬於普羅階級，卻訴諸個體叛逆」、「巴黎舞臺的走秀名模、倫敦廣場的抗議人士、紐約華爾街的小開、東京秋葉原的駭客都穿著它，各取所需，各盡所能」可知，牛仔褲具有的特色是蘊含豐富的意義詮解。
14,110年學測-國文科第15題,D,0.0,C,                         正確的答案：(C)                           解釋：(A)左派意象屬於主流思想，但牛仔褲卻反傳統、非主流。(B)普羅階級與個體叛逆看似矛盾，但可同時代表一般人也追求獨特。(D)新平民階級意味大眾均富，牛仔褲為平民服飾，但同時又代表大眾認同，並非僅代表平民。
15,110年學測-國文科第16題,B,1.0,B,                         正確的答案：(B)                           解釋：(A)由「當糜爛」可知，烏豆須先放至其腐敗，再與米同煮。(B)甲中提到「生細研」、「生棊子」，可知烏豆與生薑棊子須事先研磨後才能入粥。(C)地黃須待湯沸後才與米同下，不至於燒焦。(D)甲中僅提到「候湯沸，與米同下」，無提及是否與地黃同日入鍋，故可先與地黃煮滾再入米，或先煮地黃後入米皆符合。 
16,110年學測-國文科第17題,B,0.0,C,                         正確的答案：(C)                           解釋：(C)而高GI食物和低GI食物搭配食用，可平衡GI值。
17,110年學測-國文科第18題,C,1.0,C,                         正確的答案：(C)                           解釋：○1 高GI食物為精緻澱粉，而非塊狀肉類。○2 低GI食物不是清粥，而是精緻澱粉食物。
18,110年學測-國文科第19題,B,1.0,B,                         正確的答案：(B)                           解釋：                            (A)《駭客任務》的票房大賣之因並非因為主角尼歐擁有高超的技術，駭進了國家電腦系統，取得貿易數據觀看率高，實際劇情是有千真萬確的虛擬世界，設計者想阻止人們去接觸真實的世界。                            (C)片中以深具新時代靈修意蘊的對白，表達人類因沉溺電腦而使感知能力退化的隱憂。                            (D)電影中以經濟指標所構築的虛擬世界與真實世界逐漸偏離的故事，為大眾揭開經濟指標的面紗，是符合敘述的。                            (B)電影中虛構的虛擬世界和真實世界逐漸偏離的故事，為大眾揭開經濟指標的面紗，是符合敘述的。 
19,110年學測-國文科第20題,A,1.0,A,                         正確的答案：(A)                           解釋：     由上文「經濟指標構築出一個虛擬世界，除了數字定義一切，他們也局限，未必能指引我們。」可知經濟指標雖能提供一種描述，但可能無法準確反映真實的經濟發展，是人為的建構，屬於局部的畫面，並非真實世界的完整圖像。(B)由上文「但這麼說也不對。主要經濟指標構築的世界不完全是虛假的幻象，……本土和全球經濟發展都一日千里，謎團也越滾越大，「經濟」只提供一種描述，而且未必準確」可知，《駭客任務》電影所反映的情況，只是經濟指標的建構具有局限，而非建構了虛假幻象。(C)由上文「而非真正的經濟情況，只是部分面貌的反映，更有許多活火山 lurk behind the scenes（隱藏在背後）」可知，《駭客任務》故事中虛擬的世界和真實的世界並沒有好惡之分，只是以不同的角度呈現了不同的版本。(D)由上文「經濟指標構築出一個虛擬世界，……大量統計數據的產生，有的甚至毫無用途，甚至造成數據過量和資訊混亂」可知，統計數據的產生，只能提供一種屬於經濟領域的描述，無法給讀者提供全面的真實圖像。
20,110年學測-國文科第21題,B,1.0,B,                         正確的答案：(B)                           解釋：                           (B)先描述《駭客任務》的劇情，再指出電影的寓意在於暗示經濟指標，以吸引讀者。
21,110年學測-國文科第22題,A,0.0,C,                         正確的答案：(C)                           解釋： (C)含糊其辭：意思是說話不清楚，令他人無從明白。「含糊」，形容詞彙或語句表達不清楚。 (A)扣槃捫燭：比擬用不適當的東西來代替原物，如用槃( 音 r 40) 燭(燈)代替太陽，用牛犢代替公牛。 (B)巧拙有素：表現畫家的技巧和繪畫題材的樸素都有不同層次。 (D)匪夷所思：形容令人驚訝、難以理解。                          
22,110年學測-國文科第23題,B,0.0,C,                         正確的答案：(C)                           解釋：                           (C)與上文「深度知解」、「準確估計」相符合。
23,110年學測-國文科第24題,A,1.0,A,                         正確的答案：(A)                           解釋：                           (A)與時俱化／依時應用／不固定；材與不材／指應用材料；似之而非／不執於物／指被應用的物（龍與蛇）。 (B)死生有命指人生有老死正常的歷程，指人物外的事物不是好惡價值的依據。 (C)《莊子》中「材與不材」和浮遊都是譬喻，並非實際存在的概念或方法。 (D)此段並非說明有人與不有人之別，而是說明不應執持材與不材，以及浮遊是因應物與不物的方法。 
24,110年學測-國文科第25題,A,1.0,A,                         正確的答案：(A)                           解釋： (B)這是儒家道德教說。 (C)這是Confucianism。 (D)此句為說明寬大的胸襟。 
25,110年學測-國文科第26題,B,1.0,B,                         正確的答案：(B)                           解釋：                           <入正確的選項>                            (A)詩歌中歷史題材的呈現，主要是為凸顯詩人對當前或特定人、事的感觸與感受。                           (C)詠史與懷古詩雖以歷史為題，但目的是在抒詠，情感可能是家庭國事、個人際遇，亦或社會民生等。                           (D)歷史的詮釋可能因時代或文化的差異，而有所轉變。 
26,110年學測-國文科第27題,D,0.0,C,                         正確的答案：(C)                           解釋： (A)王安石非以講述伊尹、呂望之事蹟為目的。(B)湯武逢遇風虎雲龍之景，興王只是人們笑談中的一件事。二詩並未提及當世兵連禍結，不復秦漢之盛，故百姓生活困苦。(D)乙詩著重古人事的懷舊，丙詩著重經行古跡的感嘆。
