,info,answer,score,generated_answer
0,110年學測-國文科第1題,A,0.0,B
1,110年學測-國文科第2題,C,0.0,D
2,110年學測-國文科第3題,B,1.0,B
3,110年學測-國文科第4題,D,0.0,C
4,110年學測-國文科第5題,B,1.0,B
5,110年學測-國文科第6題,B,0.0,A
6,110年學測-國文科第7題,C,1.0,C
7,110年學測-國文科第8題,D,1.0,D
8,110年學測-國文科第9題,A,0.0,C
9,110年學測-國文科第10題,D,1.0,D
10,110年學測-國文科第11題,C,1.0,C
11,110年學測-國文科第12題,C,0.0,A
12,110年學測-國文科第13題,D,0.0,A
13,110年學測-國文科第14題,C,1.0,C
14,110年學測-國文科第15題,D,1.0,D
15,110年學測-國文科第16題,B,1.0,B
16,110年學測-國文科第17題,B,0.0,C
17,110年學測-國文科第18題,C,1.0,C
18,110年學測-國文科第19題,B,1.0,B
19,110年學測-國文科第20題,A,1.0,A
20,110年學測-國文科第21題,B,1.0,B
21,110年學測-國文科第22題,A,0.0,D
22,110年學測-國文科第23題,B,1.0,B
23,110年學測-國文科第24題,A,1.0,A
24,110年學測-國文科第25題,A,1.0,A
25,110年學測-國文科第26題,B,1.0,B
26,110年學測-國文科第27題,D,0.0,C
27,110年學測-國文科第28題,A,0.0,B
28,110年學測-國文科第29題,C,0.0,D
29,110年學測-國文科第30題,D,0.0,C
30,110年學測-國文科第31題,D,1.0,D
31,110年學測-國文科第32題,A,1.0,A
32,110年學測-國文科第33題,A,1.0,A
33,110年學測-國文科第34題,D,1.0,D
34,110年學測-國文科第35題,DE,0.0,BC
35,110年學測-國文科第36題,BC,0.6,ABC
36,110年學測-國文科第37題,BDE,0.19999999999999996,ABE
37,110年學測-國文科第38題,ACD,0.6,ABCD
38,110年學測-國文科第39題,BCD,0.6,BC
39,110年學測-國文科第40題,BC,0.19999999999999996,ABCD
40,110年學測-國文科第41題,ACE,1.0,ACE
41,110年學測-國文科第42題,ABDE,0.6,ABD
