,info,answer,score,generated_answer,detailed_generated_answer
0,109年學測-自然科第1題,E,0.0,B,正確的答案：(B)甲丙乙。解釋：原子內部結構的探究過程依序為：首先，夸克的發現(甲)幫助科學家瞭解了組成原子的基本粒子，接著，透過對電子的研究，發現電子只在特定軌道運行(乙)，這進一步證明瞭原子的結構模型。最後，利用α-粒子撞擊金箔，發現原子核的存在(丙)，這證實了原子的中心具有帶正電的核心，即原子核。因此，正確的順序為甲丙乙。
1,109年學測-自然科第2題,B,0.0,C,正確的答案：(C)35。解釋：此題要解的是自由落體的速度問題。王君手上的相機從離地高度為100m處掉落，且不考慮空氣阻力，則其在重力作用下以等加速度下降。根據物理學基本定律，加速度為g，g為重力加速度，為10m/s^2。從100m的高度掉落，時間t為t=高度/h = 100m/10m/s^2 = 10s。速度v = 加速度×時間 = 10m/s^2×10s = 100m/s。由於王君本身還在熱氣球內，熱氣球以5.0m/s的速度上升，但相機已成自由落體，故王君與相機的相對速度為100m/s。選項中，(C)35m/s為正確答案。其他選項皆不符合題意。
2,109年學測-自然科第6題,E,0.0,C,正確的答案：(C)解釋：根據題意，甲的質量為乙的1000倍，且甲、乙兩天體的相同元素所發出的對應光譜線，甲的波長皆大於乙。這表示甲天體的重力較強，且光譜線波長較長。根據宇宙中天體的性質，質量較大且重力較強的天體，其光譜線波長通常較長。因此，可以推斷甲為星系團，距離較乙遠。選項(A)說甲為星系團，遠離速率較乙小，與題意不符，故錯誤。選項(B)說甲為星系，距離較乙遠，與題意不符，故錯誤。選項(D)說甲為星系團，遠離速率較乙大，與題意不符，故錯誤。選項(E)說甲為星系團，遠離速率較乙大，與題意不符，故錯誤。因此，正確答案為(C)乙為星系團，遠離速率較甲小。
3,109年學測-自然科第8題,E,0.0,C,正確的答案：(C)具有鞭毛者為原核生物。解釋：在電子顯微鏡下觀察微生物，可藉由多種特徵來區分其為原核生物或原生生物。其中，原核生物不具細胞核，且細胞內結構較簡單；原生生物則具有細胞核及較複雜的細胞結構。選項(A)具有核糖體者為原生生物：核糖體是真核生物用來翻譯蛋白質的結構，在原核生物中並不存在，因此若觀察到具有核糖體的微生物，則為原生生物。選項(B)具有染色體者為原核生物：染色體是真核生物儲存DNA的結構，在原核生物中並不存在，因此若觀察到具有染色體的微生物，則為原核生物。選項(C)具有鞭毛者為原核生物：鞭毛是微生物用來移動的構造，在原生生物中並不存在。許多原核生物具有鞭毛，如細菌、古細菌等。選項(D)具有細胞壁者為原核生物：原核生物具有細胞壁，用以維持細胞形狀並抵抗外界環境壓力。原生生物則不具細胞壁。選項(E)具有粒線體者為原生生物：粒線體是真核生物的胞器，用以進行呼吸作用並產生能量。在原核生物中並不存在粒線體，因此若觀察到具有粒線體的微生物，則為原生生物。根據題意，描述原核生物與原生生物的特徵，並選出正確的答案。
4,109年學測-自然科第9題,C,1.0,C,正確的答案：(C)解釋：巴拉刈是一種強氧化劑，能夠干擾植物的光反應電子傳遞過程，主要是透過吸收電子來達成。這使得光反應無法繼續進行，進而抑制植物的生長。對於細胞而言，巴拉刈進入細胞後會產生大量的過氧化物，導致細胞受損。在選項中，(C) 巴拉刈以吸收電子方式干擾電子傳遞過程 是正確的。其餘選項並不正確：(A) 植物在噴灑巴拉刈後仍可持續進行碳反應，(B) 巴拉刈分解後產生氧使細胞加速受損，(D) 巴拉刈在葉綠體的作用位置主要在基質，(E) 巴拉刈對植物與動物造成毒害的主要胞器完全相同，皆非正確。
5,109年學測-自然科第13題,E,0.0,ECHO,正確的答案：(E)葡萄糖(C6H12O6)。解釋：根據所提供的線索，此未知藥品在檢測中顯示出不導電、可溶於水、水溶液不導電也不會使石蕊試紙變色。根據這些性質，可判斷此藥品為有機化合物，而非無機鹽或酸鹼性物質。葡萄糖是一種有機化合物，具有這些性質，因此最可能是未知藥品。其他選項都不符合所提供的性質：(A)苯甲酸是有機酸，具酸性，可能導致石蕊試紙變色。(B)醋酸鈉是無機鹽，在水溶液中會離子化，可能導電。(C)碘化鉀是無機鹽，在水溶液中會離子化，可能導電。(D)氯化銨是無機鹽，在水溶液中會離子化，可能導電。因此，根據性質的匹配，未知藥品最可能是葡萄糖。
6,109年學測-自然科第22題,C,1.0,C,正確的答案：(C)解釋：在岩石坡面上，節理（岩層破裂面）的存在是導致山崩的重要因素之一。當岩石受到重力作用、水分侵蝕或其他外力作用時，節理可以成為岩石分裂的弱面，若節理發達密集，岩石的抗剪強度較低，則在受到足夠的外力作用下，岩石更容易沿著節理面發生破裂和滑動，進而引發山崩。因此，選項(C)「節理（岩層破裂面）發達密集的山壁，山崩越容易發生」是正確的。其他選項並不完全正確，例如選項(A)板塊運動速率與山崩發生並沒有直接關係；選項(B)岩層含水量與山崩發生也有關，但並非絕對；選項(D)坡度大小雖然不是決定山崩與否的主要因素，但岩性堅硬、耐風化則有助於減少山崩的發生；選項(E)岩層和坡面的傾斜方向相同，且岩層傾角比坡面傾角小，則不會山崩，這說法並不完全正確，因為其他因素如節理、岩性、水分等也可能導致山崩發生。
7,109年學測-自然科第23題,D,0.0,C,正確的答案：(C)解釋：在地震學中，地震的位置計算主要是透過P波和S波的到達時間差，稱為時差法。P波和S波在介質中傳遞速度不同，P波在固體、液體中速度較快，S波僅在固體中存在，因此可藉由兩波到達時間的差值計算出地震震源的位置。此方法不受地質影響，只要有足夠的觀測站數量，即可準確計算出地震震源的位置。其餘選項錯誤：(A) 地震規模大小與斷層錯動所釋放的能量相關，規模越大，釋放能量越多。(B) 地震波及斷層錯動都可能造成災害，但地震波的速率與災害程度並非直接相關。(D) 地震震度會受到地質因素的影響，例如軟硬度、土壤結構等，導致震度在相同距離下仍有所不同。(E) 地震波的波速越快，造成的地表搖晃越大，這是正確的，但與地震震度並無直接關係。地震震度是指地面振動的幅度，會因地質條件和建築結構等因素而異。
8,109年學測-自然科第24題,CE,0.19999999999999996,BE,正確的答案：(B)、(E)解釋：(A) 電子的雙縫干涉現象是因為電子具有波粒二象性，這是量子現象的一個代表性例子。然而，這個現象無法用古典物理中的電磁理論來解釋，因此是量子現象的正確說法。(B) 氫原子的發射光譜是屬於連續光譜，這是因為電子在能級之間躍遷時，能量可以是連續的。這個現象可以用量子力學的理論來解釋，也是量子現象的一個例子。(C) 光電效應的實驗結果顯示光具有粒子性，這是愛因斯坦提出光量子（光子）概念的基礎。這個現象也是量子現象的一個例子。(D) 量子現象並非都可以用古典物理中的電磁理論來解釋，例如電子雙縫干涉現象和光電效應等。(E) 實驗觀測到的氫原子光譜特徵可以用氫原子能階模型來解釋，這是量子力學在原子物理學中應用的成功例子。因此，選擇(B)和(E)是正確的。
9,109年學測-自然科第27題,CDE,0.19999999999999996,BCE,正確的答案：(B)、(C)、(E)解釋：(A) 心臟的搏動雖然主要由心肌收縮所造成，但心臟的電氣活動也扮演著重要的角色，透過心電圖可以記錄下心臟的電氣活動。(B) 在整個心搏週期中，房室瓣會關閉兩次，分別在心室收縮前和心室收縮後。(C) 心搏速率會受到神經及內分泌的影響，例如交感神經和副交感神經的平衡，以及腎上腺素、腎素等內分泌物的影響。(D) 主動脈基部的半月瓣在關閉時，若有血液逆流時可能會發出聲音，這種聲音就是心音。(E) 心音的特徵可以做為診病的參考基礎，例如心臟瓣膜的疾病、心肌病變、心律不整等，都可能會影響心音的形態和聲音。因此，選項(B)、(C)、(E)為正確答案。
