,info,answer,score,generated_answer,detailed_generated_answer
0,109年學測-社會科第1題,C,0,A,(A)成立社團後，應儘速向政府立案，否則會成為非法組織。解釋：王老師透過結社參與公共事務的行動，成立社團後，應儘速向政府立案，以確保社團的角色中立性。
1,109年學測-社會科第2題,C,0,CWTOWTO,(C) 世界貿易組織 (WTO) 是一個國際組織，負責處理貿易問題。根據題文資訊，丙最可能是世界貿易組織 (WTO)。
2,109年學測-社會科第3題,A,1,A,(A) 我國利益團體與公共政策制訂。
3,109年學測-社會科第4題,A,1,A,(A) 甲的婚姻未經父母同意無法生效，因為甲的年齡未滿二十歲，依民法不能與他人結婚。
4,109年學測-社會科第5題,C,0,A,(A)丙如果發現甲罪證確鑿，應拒絕替甲辯護才可維護正義最後防線。
5,109年學測-社會科第6題,D,0,A,(A) 政府出動直升機的費用計入投資性支出。
6,109年學測-社會科第7題,A,1,A,(A) 箭
7,109年學測-社會科第8題,B,0,A,(A) 公民的角色在於參與定期選舉的投票，決定政黨輪替並避免產生政府專制。
8,109年學測-社會科第10題,B,0,A,(A) 民眾對當前生活品質的看法
9,109年學測-社會科第11題,A,0,C,(C) 法律優位原則。
10,109年學測-社會科第12題,C,0,A,(A)媒體報導未能善盡查證責任，僅一味隨著輿論起舞。
11,109年學測-社會科第14題,B,0,A,(A)該國政府面臨有效統治與政策正當性的危機。
12,109年學測-社會科第15題,B,0,A,(A) 政府作為基於法律正當程序原則，因此赦免應有立法程序。
13,109年學測-社會科第16題,D,0,A,(A) 某甲與某乙的口頭約定沒有書面契約，所以雙方的契約並未成立。
14,109年學測-社會科第17題,A,0,AGDP,(A) 先後買的兩本書共增加 140 元的 GDP。
15,109年學測-社會科第19題,A,1,A,(A) 崇尚黃老思想脈絡或背景。
16,109年學測-社會科第21題,D,0,A,(A) 南洋諸國開始盛行佛教。
17,109年學測-社會科第22題,A,0,C,正確的答案：(C) 在雅加達經商貿易的華僑家庭小孩。解釋：根據題目描述，當地孩童以「ABCD，大頭綠衣，追賊不到，吹嗶嗶！」來形容警察，其中「ABCD」代表印度籍警察，「大頭綠衣」代表華籍警察，「吹嗶嗶！」代表華裔警察。這些描述與當地警察的背景相符，因此選擇(C)為正確選項。
18,109年學測-社會科第23題,A,1,A,(A) 防堵共產勢力擴張
19,109年學測-社會科第24題,A,0,C,(C) 甲：新式學校；乙：傳統私塾。
20,109年學測-社會科第25題,B,0,C,(C) 集體農場精耕細作，傳統農民無法適應。
21,109年學測-社會科第26題,D,0,A,(A) 現代化世代
22,109年學測-社會科第27題,B,0,A,(A) 1920年代，中國共產黨成立時的主張。
23,109年學測-社會科第28題,C,0,A,(A)限制土地兼併
24,109年學測-社會科第31題,B,0,C,(C) 大航海時代的來臨。
25,109年學測-社會科第32題,C,0,CABD,(C) 道路分析結果 咖啡店候選點 圖5(A)甲 (B)乙 (D)丁
26,109年學測-社會科第33題,D,0,A,(A) 氾濫平原最常出現在河流中較長的河段，例如上游或中游。
27,109年學測-社會科第34題,D,0,C,(C) 貿易自由化與區域整合的發展。
28,109年學測-社會科第35題,C,1,C,(C)非裔、拉丁裔。
29,109年學測-社會科第39題,A,0,C,正確的答案：(C)東南亞。解釋：圖8中，臺灣本島以某個指標所繪製的主題地圖，圖中標明了臺灣的海岸線、主要城市、主要山脈等，這些指標都與東南亞地區相關。因此，選項(C)是正確的。
30,109年學測-社會科第40題,B,0,C,正確的答案：(C) 50公里。解釋：根據圖 8，圖中比例尺最大的為 50 公里，因此選擇(C) 50 公里。
31,109年學測-社會科第41題,A,0,C,(C)崩塌的落石
32,109年學測-社會科第42題,A,0,ABCDA,"(A) 甲、乙 (B) 甲、丙 (C) 乙、丁 (D) 丙、丁, 選項為(A) 甲、乙。"
33,109年學測-社會科第43題,D,0,A,(A) 甲乙
34,109年學測-社會科第44題,D,0,A,正確的選項：(A) 丁戊甲乙丙圖11 丁戊甲乙丙圖11 丁戊甲乙丙圖11 丁戊甲乙丙圖11 丁戊甲乙丙圖11 丁戊甲乙丙圖11 丁戊甲乙丙圖11 丁戊甲乙丙圖11 丁戊甲乙丙圖11 丁戊甲乙丙圖11 丁戊甲乙丙圖11 丁戊甲乙丙圖11 丁戊甲乙丙圖11 丁戊甲乙丙圖11 丁戊甲乙丙圖11 丁戊甲乙丙圖11 丁戊甲乙丙圖11 丁戊甲乙丙圖11 丁戊甲乙丙圖11 丁戊甲乙丙圖11 丁戊甲乙丙圖11 丁戊甲乙丙圖11 丁戊甲乙丙圖11 丁戊甲乙丙圖11 丁戊甲乙丙圖11 丁戊甲乙丙圖11 丁戊甲乙丙圖11 丁戊甲乙丙圖11 丁戊甲乙丙圖11 丁戊甲乙丙圖11 丁戊甲乙丙圖11 丁戊甲乙丙圖11 丁戊甲乙丙圖11 丁戊甲乙丙圖11 丁戊甲乙丙圖11 丁戊甲乙丙圖11 丁戊甲乙丙圖11 丁戊甲乙丙圖11 丁戊甲乙丙圖11 丁戊甲乙丙圖11 丁戊甲乙丙圖11 丁戊甲乙丙圖11 丁戊甲乙丙圖11 丁戊甲乙丙圖11 丁戊甲乙丙圖11 丁戊甲乙丙圖11 丁戊甲乙丙圖11 丁戊甲乙丙圖11 丁戊甲乙丙圖11 丁戊甲乙丙圖11 丁戊甲乙丙圖11 丁戊甲乙丙圖11 丁戊甲乙丙圖11 丁戊甲乙丙圖11 丁戊甲乙丙圖11 丁戊甲乙丙圖11 丁戊甲乙丙圖11 丁戊甲乙丙圖11 丁戊甲乙丙圖11 丁戊甲乙丙圖11 丁戊甲乙丙圖11 丁戊甲乙丙圖11 丁戊甲乙丙圖
35,109年學測-社會科第46題,B,0,A,(A) 蘇伊士運河地中海大西洋巴拿馬運河
36,109年學測-社會科第47題,A,0,C,(C)防止兵將帥間的猜忌。
37,109年學測-社會科第48題,D,0,C,(C)十六世紀的羅馬。
38,109年學測-社會科第51題,C,0,A,(A) 甲
39,109年學測-社會科第52題,C,1,C,(C) 畜牧業排放甲烷的問題，若僅考慮單位面積的經營集約程度，畜牧業所排放的甲烷可能造成全球暖化問題。
40,109年學測-社會科第56題,D,0,A,(A) 在志願兵實施以前，臺灣人即有服兵役的義務。
41,109年學測-社會科第59題,B,0,C,(C) 多峽灣海岸，外來船隻易停泊。解釋： 當地人口常往海外移出，最可能與其具有下列哪項環境特色有關？(C) 多峽灣海岸，外來船隻易停泊。
42,109年學測-社會科第60題,C,1,C,(C) 十六世紀，哥倫布最後一次探訪美洲新大陸後。
43,109年學測-社會科第62題,A,1,A,(A) 歐洲罪犯。
44,109年學測-社會科第63題,B,0,C,(C)產地水力充沛，地勢高低落差明顯，故可提供製糖電力資源。
45,109年學測-社會科第64題,B,0,C,(C)怡和洋行
46,109年學測-社會科第65題,C,0,A,(A) 臺灣布帛市場的消費者剩餘上升，生產者剩餘上升。解釋：張三的貿易行為會使臺灣布帛市場的消費者剩餘上升，生產者剩餘上升。這意味著張三的貿易行為會增加臺灣布帛市場的需求，進而使生產者增加生產，導致布帛市場的價格上升。同時，張三的貿易行為也會使上海樟腦市場的消費者剩餘上升，生產者剩餘上升。這意味著張三的貿易行為會增加上海樟腦市場的需求，進而使生產者增加生產，導致樟腦市場的價格上升。
47,109年學測-社會科第66題,C,0,AEEEENNA,(A) 120.50°E 120.75°E 121.00°E 121.25°E N ° N 5 2 5°(A) 樟腦生產的事蹟，規劃實察點位。若考量最近鄰原則，下列四張臺灣樟樹砍伐分布圖（灰底為樟樹砍伐區域）中，何者最可能包含了當時製腦樟樹的砍伐地點？
48,109年學測-社會科第23題,A,0,C,(C) 地震主要發生在地殼中，所以此地震帶特徵多淺源地震。
49,109年學測-社會科第67題,B,0,ABCD,(A) 甲乙 (B) 甲丁 (C) 乙丙 (D) 丙丁
50,109年學測-社會科第68題,B,0,A,(A) 供給線上移，需求線上移，且前者移動幅度大於後者。
