,info,answer,score,generated_answer,detailed_generated_answer
0,110年學測-國文科第1題,B,0.0,ADBC,                           解釋：                           (A)「賚」賞諸徒／「齎」志以歿：「賚」、「齎」同音，皆讀作「shùn」。                           (B)「阡」陌交通／惹禍招「愆」：「阡」、「愆」同音，皆讀作「mò」。                           (C)「餤」糟栭郇／「仆」地哭號：「�」、「仆」同音，皆讀作「ní」。                           (D)「矜」寡孤獨／罪無可「逭」？：「矜」、「逭」同音，皆讀作「jù」。                           正確的答案：(A)(D)選項正確 (B)(C)選項錯誤
1,110年學測-國文科第2題,A,0.0,,                           解釋：                           (A) 此句可能含「聳用」誤，但「聳用」一詞已入常民語，其意為「聳人聽聞」。                           (B) 此句可能含「恆」字誤，「恆」字在文脈上不自然，但「生」字可通「長」，作「源」字用。                           (C) 此句可能含「忱」字誤，「忱」字已入常民語，作「意」字用。                           (D) 此句可能含「莫衷」字誤，「莫衷」一詞已入常民語，作「如何」字用。                           (A)(B)(C)(D)選項錯誤                           正確的答案：無
2,110年學測-國文科第3題,D,0.0,A,                           解釋：                           文意主要描述夜晚的寒冷、月光下的寒意，以及貓頭鷹的笑聲。首先，「夜涼如水」表示夜晚的寒冷，因此「乙」為正確。其次，「一輪明月」暗示月光，因此「丙」為正確。接著，「牠哭起來」表示貓頭鷹的笑聲，因此「甲」為正確。最後，「笑起來更帶給人無限尖冷」表示笑聲的寒意，因此「戊」為正確。                           正確的答案：(A)甲乙丙丁戊
3,110年學測-國文科第4題,C,0.0,D,                           解釋：                           (A)歌唱／呼吸／幻化                           (B)歌唱／咀嚼／收攏                           (C)呢喃／咀嚼／收攏                           (D)呢喃／呼吸／幻化                           正確的答案：(D)呢喃／呼吸／幻化
4,110年學測-國文科第5題,B,0.0,ABC,                           解釋：                           (A)烈陽如漿：描述烈日的高溫，祖母在高溫中辛勤耕作                           (B)髮中的黑色素與汗水蘸成墨汁：暗示祖母年華老去，且辛勤勞動的身影                           (C)濃稠的黑夜：強調祖母在夜晚也忙碌於農務，不眠不休的付出                           (D)背負著浩大的夜色：暗指祖母在黑暗中努力工作，但成果有限                           正確的答案：(A)(B)(C)
5,110年學測-國文科第6題,C,0.0,A,                           解釋：                           (A)心結可以給生活帶來定錨點，但也需要平衡地考慮其甜美和痛苦程度。                           (B)忽略心結的場所可能會讓人生缺乏定錨點，但此看法未在文章中被提及。                           (C)文章強調心結的重要性，但未提到不需要回首或遠離心結。                           (D)文章未提到在生命中不需要回首或遠離心結。                           正確的答案：(A)
6,110年學測-國文科第7題,B,0.0,AD,                           解釋：                           (A)以「舟」喻人，凸顯生命被擱淺的悲哀：此解將「歪斜」和「充盈著悲哀」的描述與「沙灘」的意象聯繫起來，但未強調「都是如此的」的普遍性。                           (B)用「沙灘」的單調，暗喻生活千篇一律：此解將「都是如此的」的普遍性與「沙灘」的意象聯繫起來，但未充分解釋「歪斜」和「充盈著悲哀」的描寫。                           (C)「都是如此的」強調人舟孤獨的普遍性：此解將「都是如此的」與「沙灘」的意象聯繫起來，但未充分解釋「歪斜」和「充盈著悲哀」的描寫。                           (D)兩次「歪斜」描寫人舟頹然無力的姿態：此解將「歪斜」的描寫與「沙灘」的意象聯繫起來，強調了人舟的頹然姿態，但也未充分解釋「都是如此的」的普遍性。                           (A)(D)選項正確 (B)(C)選項錯誤                           正確的答案：(A)(D)
7,110年學測-國文科第8題,A,0.0,D,                           解釋：                           在上下文中，顏之推的描述強調了文章的多種功能，包括攻人主之長短、訐群臣之得失、陳國家之利害和帶私情之與奪。而吳訥則強調了文章中需要有溫和敦厚之氣。在四個選項中，(D)遊說、諫諍、章疏、對策是最符合上下文要求的。                           正確的答案：(D)遊說／諫諍／章疏／對策
8,110年學測-國文科第9題,B,1.0,B,                           解釋：                           (A)「望之蔚然而深秀者，琅邪也」表示看到的山川非常深厚秀美，就是琅邪。                           (B)「以為凡是州之山水有異態者，皆我有也」表示作者主張他所看到的異態山水都屬於他。                           (C)「夫史者，民族之精神，而人群之龜鑑也」表示歷史是民族的精神和人群的鏡子。                           (D)「鄭、衛、桑間、韶虞、武象者，異國之樂也？」表示在鄭、衛、桑之間的韶、武是異民族的樂器。                           正確的答案：(B)
9,110年學測-國文科第10題,C,0.0,ABC,                           解釋：                           (A)以「烏」暗指宋康王的邪惡：此解釋將「烏鵲」視為「惡」，表示宋康王的不軌。                           (B)以「羅」比喻利誘韓憑的圈套：此解釋將「張羅」理解為陷阱，表示利誘的情況。                           (C)以「高飛」凸顯何氏的自主意志：此解釋將「高飛」理解為自由、獨立，表示何氏的自主精神。                           (D)以「鳳凰」形容韓憑夫婦之情意堅貞：此解釋將「鳳凰」理解為忠貞不渝的夫妻。                           (A)(B)(C)選項正確 (D)選項錯誤                           正確的答案：(A)(B)(C)
10,110年學測-國文科第11題,C,0.0,A,                           解釋：                           (A)文章強調天平的兩端之間的平衡，強調不能過與不及，過與不及之間的差異性。                           (B)文章強調天平的兩端之間的平衡，但未強調不能過與不及。                           (C)文章強調天平的兩端之間的平衡，但未強調審時度勢。                           (D)文章強調天平的兩端之間的平衡，但未強調完滿或缺殘。                           正確的答案：(A)
11,110年學測-國文科第12題,C,0.0,A,                           解釋：                           (A)運用對比映襯以凸顯詩人品格上的差異：王若虛在文章中比較了郊寒白、詩類鄙薄等不同詩人，強調樂天知命的詩人性格。                           (C)先述習見論評，再引前人說法表達觀點：文章中提到習見的看法，並引前人說法以支持自己的觀點。                           (D)先分述各家短長，再總論詩歌創作之道？：文章中並沒有全面分析各家長短，主要比較郊寒白和詩類鄙薄，並提出自己的看法。                           正確的答案：(A)運用對比映襯以凸顯詩人品格上的差異
12,110年學測-國文科第13題,A,1.0,A,                           解釋：                           (A)珠聯璧合：象徵朋友間情誼深厚，合璧成寶，表示彼此的友情更加牢固。                           (B)椿萱並茂：表示朋友間關係良好，枝繁葉茂，但與詩句中「門」字不符。                           (C)君子攸居：表示朋友具有君子風度，但與詩句中「香車」、「宴會」等元素無關。                           (D)望重桑梓：表示朋友在社會上有地位，但與詩句中「香車」、「宴會」等元素無關。                           (A)選項正確，其他選項錯誤                           正確的答案：(A)珠聯璧合
13,110年學測-國文科第14題,A,0.0,D,                           解釋：                           (A)《史記》中，樊噲是劉邦的伙伴，符合(C)的條件，但樊噲不是導師。                           (B)《楚辭》中，漁父提供了屈原重要的建議和陪伴，符合(A)導師的條件，但主要角色不是導師。                           (C)《紅樓夢》中，薛寶釵是林黛玉的伙伴，符合(C)的條件，但主要角色是伙伴而非導師。                           (D)《儒林外史》中，胡屠戶是范進的導師，符合(A)(D)導師的條件，且目標與范進相同。                           正確的答案：(D)《儒林外史》中，胡屠戶是范進的導師。
14,110年學測-國文科第15題,D,1.0,D,                           解釋：                           (A)《梅苑》、《樂府雅詞》中，李清照有18首詞作，占選錄詞作總數的18/421=4.26%，而朱淑真有18首詞作，占選錄詞作總數的18/421=4.26%，因此李清照和朱淑真的入選率是相同的。                           (B)《草堂詩餘》中，孫夫人和魏夫人各有13首詞作，但選錄的數量並沒有增加；《古今詞統》中，李清照有6首詞作，朱淑真有2首詞作，但選錄的數量增加了。                           (C)《閨秀》卷中，收錄了8位女詞人，每位女詞人至少選錄2首作品，但並沒有明確指出朱淑真的作品數量。                           (D)《梅苑》中，李清照有18首詞作，《樂府雅詞》中也有33首詞作，因此李清照詞在這兩本詞選中的入選率相對較高。                           正確的答案：(D)
15,110年學測-國文科第16題,C,0.0,AB,                           解釋：                           (A)《花草粹編》選錄的詞人總數、詞作總數，均比《樂府雅詞》多出許多。                           (B)《類編草堂詩餘》主要是調整《草堂詩餘》的分類方式，但未更動收錄的詞作。                           (A)(B)選項正確                           正確的答案：(A)、(B)
16,110年學測-國文科第17題,C,0.0,B,                           解釋：                           (A)不適當，因「花已盡」、「日晚」主要表現時間的流逝，而不是物是人非、事的休。                           (B)正確，「倦梳頭」、「淚先流」表現了面對物是人非、世事無常的無力感。                           (C)不適當，「聞說」、「也擬」、「只恐」層遞的表現方式主要用於增強遊興，而非述說自我承受不住憂愁之深重。                           (D)不適當，「舴艋舟」之「載不動」主要用於描述舟子無法承受過多的憂愁，而非述說自我承受不住憂愁之深重。                           正確的答案：(B)
17,110年學測-國文科第18題,B,0.0,A,                           解釋：                           (A)人禽在道德意識和日用飲食等各方面，都有很大差異                           (B)禽獸亦具對外在事物的認知能力，且擁有情感和好惡                           (C)人只要稍有過錯，在價值層次上，即墮入禽獸的範疇                           (D)禽獸未嘗無仁義之心，但缺乏追求仁義的意志和智力                           正確的答案：(A)
18,110年學測-國文科第19題,A,1.0,A,                           解釋：                           (A)甲文強調人與禽獸的差異，在於「仁義」的行止。乙文則強調凡事有「幾希之異」，需要努力追求。因此，君子面對「幾希之異」，應該尊重差異，追求人道的尊嚴和價值。                           正確的答案：(A)
19,110年學測-國文科第20題,B,0.0,D,                           解釋：                           (A)創業家通常具有遠大的視野，但不代表專業經理人就沒有價值。                           (B)人才形成品牌時，其價值可能超出一般標準，但並非難以衡量。                           (C)狼具有侵略性，但哈士奇以販售時間換取生計的描述可能不太準確。                           (D)文內提到哈士奇靠時間累積經驗，可能在某些情況下會變成狼，但出走的土狗變成狼的描述較符合。                           正確的答案：(D)
20,110年學測-國文科第21題,D,0.0,A,                           解釋：                           (A)甲、乙皆正確                           根據文脈，李斯和虬髯都代表了不同的立場，但都希望自己的價值被充分認識和利用。李斯表示了哈士奇的角度，希望保持現狀，而虬髯則代表了狼的角度，希望自己的時間和能力得到充分的利用。因此，甲、乙兩項推論都符合文脈。                           正確的答案：(A)甲、乙皆正確
21,110年學測-國文科第22題,D,0.0,C,                           解釋：                           (A)描述了自然元素，如遼闊原野和綠草香，與文章氛圍不太相符。                           (B)描述了海洋元素，與文章中提到的豐年祭和部落生活有關，但文章主要強調的卻是文化和身份的尋回。                           (C)篝火是原住民文化中的重要元素，象徵家族和祖靈的聯繫，與文章中祖靈召喚和文化傳承的背景相符。                           (D)芬多精是自然元素，與文章主要探討的文化和身份議題無關。                           正確的答案：(C)
22,110年學測-國文科第23題,D,0.0,C,                           解釋：                           (A)表示考生在面對自己的文化和歷史時，感到迷茫並開始尋根問源。                           (B)描述了因為他人的刻板印象而感到被標籤化的感受。                           (C)強調了「真正」一詞的無奈和自嘲，因自己的真實名字需要由旁人來認定。                           (D)則更偏向描述作者對繁華都市的距離感和心向祖靈的召喚。                           正確的答案：(C)
23,110年學測-國文科第24題,B,0.0,C,                           解釋：                           (A)甲文主張調漲酒肉價格，提高商賈獲利，以活絡經濟                           (B)乙文中，范文正認為維持茶鹽之禁，並不會危及商賈                           (C)甲文主張由國家統管山澤之利，將獲利分配給飢乏的百姓                           (D)乙文中，范文正認為歲入短缺時，不應取之於山澤及商賈                           正確的答案：(C)甲文主張由國家統管山澤之利，將獲利分配給飢乏的百姓
