,info,answer,score,generated_answer,detailed_generated_answer
0,110年學測-自然科第1題,A,0.0,AO,(A)與O2競爭血紅素，造成血氧濃度嚴重不足。
1,110年學測-自然科第2題,E,0.0,A,(A) 甲、丙為生殖細胞。
2,110年學測-自然科第3題,D,0.0,C,(C)冬至時在北半球高緯度地區。
3,110年學測-自然科第5題,D,0.0,C,(C) 煤和石油在空氣中燃燒產生二氧化碳。
4,110年學測-自然科第6題,B,0.0,AHH,(A) pH小於4.5的溶液中，石蕊試紙呈現紅色；pH大於8.3的溶液中，石蕊試紙呈現藍色。
5,110年學測-自然科第8題,D,0.0,A,(A) 硼的原子序為5，平均原子量為10.81。
6,110年學測-自然科第9題,A,1.0,A,(A)丙酸<丙酮<丙醛<丙烯
7,110年學測-自然科第10題,A,1.0,A,(A) 石英砂
8,110年學測-自然科第12題,A,1.0,A,(A) 甲乙丙
9,110年學測-自然科第13題,A,1.0,A,(A) 物體的彈性伸縮力和物體間的摩擦力都源自電磁力。
10,110年學測-自然科第14題,C,0.0,AA,(A) 電量A*s2
11,110年學測-自然科第18題,E,0.0,C,(C) 根據疊置定律，可推測岩脈的生成時間比圍繞岩脈的地層晚。
12,110年學測-自然科第19題,B,0.0,A,(A)因為海上或空中的氣象測站較少，使用經驗定律比較方便。
13,110年學測-自然科第20題,B,0.0,C,(C) 23.5度
14,110年學測-自然科第23題,AE,0.0,AABCDE,(A) 胎盤的組織所分泌的某激素可進入母體循環系統，以維持母體動情素及黃體激素的分泌與子宮內膜繼續增厚。母體血漿中此激素濃度高時，也會出現在尿液中。驗孕筆即檢驗女性尿液中是否出現該激素，判斷是否懷孕。下列哪些特徵是該激素可作為驗孕的依據？(應選2項)(A) 胎盤的組織所分泌(B) 能維持動情素的分泌(C) 能維持黃體激素分泌(D) 能維持子宮內膜繼續增厚(E) 會出現在尿液中？
15,110年學測-自然科第24題,AB,0.6,A,(A) 分生組織細胞具分化成不同功能細胞的能力。(B) 根部周鞘具分生組織細胞可發育出支根。(C) 根部頂端分生組織的細胞位於根冠。(D) 分生組織細胞較小，核也較小。(E) 分生組織細胞染色體在各階段皆清晰可見。
16,110年學測-自然科第25題,BD,0.0,ABCDE,(A) 植物根部細胞自土壤中吸收無機鹽(B) 氧氣在肺泡與肺泡細胞間的交換(C) 白血球細胞對細菌的吞噬(D) 小腸上皮細胞對脂肪酸的吸收(E) 腎小管的管壁細胞對葡萄糖的再吸收。
17,110年學測-自然科第26題,AC,0.0,ABCDE,(A)心跳速率較平常為快(B)心臟每分鐘血液輸出量較平常為少(C)動脈平滑肌收縮，造成血壓較平常時高(D)排汗增加，使血壓較正常值為低(E)神經與激素作用較平常時增加，使血管舒張。
18,110年學測-自然科第27題,CD,0.0,A,(A) 反應完成後，容器內的氣體分子數目增加。
19,110年學測-自然科第29題,CD,0.0,A,(A) 體積極小只能在顯微鏡下加以觀察。
20,110年學測-自然科第30題,ACD,0.0,ABT,(A) B細胞與T細胞都由骨髓產生。
21,110年學測-自然科第31題,CE,0.0,A,(A) 管外側的磁場強度最大。
22,110年學測-自然科第32題,BD,0.0,A,(A) 磁鐵尚未接近螺線管之前，管內原來的磁場方向向下。
23,110年學測-自然科第33題,BCE,0.0,A,(A) 核分裂時都會放出夸克，故可發電。
24,110年學測-自然科第36題,AE,0.6,A,(A) 風吹拂海面
25,110年學測-自然科第37題,C,0.0,A,(A) 氧氣
26,110年學測-自然科第38題,AB,0.19999999999999996,AQ,(A) 調整Q的神經中樞是下視丘。
27,110年學測-自然科第42題,AD,0.6,A,(A) 紅綠色盲屬於性聯遺傳疾病。
28,110年學測-自然科第43題,D,0.0,ABCDE,(A) 甲、乙(B) 乙、丙(C) 乙、丁(D) 甲、丁(E) 甲、丙
29,110年學測-自然科第44題,AB,0.6,A,(A) 親代競爭力較強的性狀在後代族群中出現的頻率會提高。
30,110年學測-自然科第47題,D,0.0,A,(A)以轉殖技術產生的抗蟲玉米
31,110年學測-自然科第49題,BCE,0.0,AHBNH,(A) H3BNH3分子有 1 對孤對電子。
32,110年學測-自然科第54題,ADE,0.19999999999999996,A,(A) 金星可能存在微生物。
33,110年學測-自然科第55題,C,1.0,C,(C) 1.0
34,110年學測-自然科第57題,ABE,0.19999999999999996,A,(A) 隕石墜落到月球表面的過程
35,110年學測-自然科第58題,B,0.0,A,(A)v0v1
36,110年學測-自然科第59題,CD,0.0,A,(A)v0v1
37,110年學測-自然科第66題,C,0.0,A,(A) 透過紅色玻璃片，觀看所有景象呈現深淺不一的紅色色調。用來拍攝星空，則所有恆星都呈明亮不同的紅色。現透過望遠鏡用相機拍攝星空，針對同一天區，分別以紅色及藍色玻璃片各拍一幅影像。依此可獲得恆星的年齡訊息。
38,110年學測-自然科第67題,B,0.0,A,(A) 沉積環境的水愈晚期愈淺。
