,info,answer,score,generated_answer,detailed_generated_answer
0,110年學測-自然科第1題,A,1.0,A,                         正確的答案：A                                ### 解釋：(A)一氧化碳(CO)與血紅素會形成血紅素與一氧化碳的結合物，佔據血紅素與氧氣的結合位置，導致體內氧氣含量不足，造成缺氧(缺氧)的狀態，俗稱為中毒。 (B)與氧氣競爭電子傳遞鏈釋出的電子的情況類似糖解作用的發酵反應，但糖解作用不是有氧呼吸作用。 (C)一氧化碳(CO)不會阻斷神經通往肌肉的傳導，也不會造成呼吸肌癱瘓。 (D)一氧化碳(CO)不會抑制糖解作用相關酵素的功能。 (E)一氧化碳(CO)不會與二氧化碳(CO2)競爭血紅素，二氧化碳(CO2)是人體細胞進行呼吸作用後產生的產物，會與水在肺泡與肺泡上的細胞進行氣體交換，將二氧化碳排出體外。 因此選(A)。 
1,110年學測-自然科第2題,E,0.0,D,                         正確的答案：D                           解釋：(A)甲為細精管中裸子細胞(丙)為精蛋(丙)具有單套染色體。 (B)乙為管狀細胞。 (C)由生科知識：乙並非由甲特化形成。 (D)由生科知識： 丙具有減數分裂能力。 因此選(D)。
2,110年學測-自然科第3題,D,0.0,C,                         正確的答案：(C)                                ### 解釋： (A)夏至，日經線 23.5°N，此植物在高緯度地區會超過臨界日長開花。 (B)春分，日經線 66.5°N，此植物在高緯度地區不會開花。 (C)冬至，日經線 23.5°S，此植物在高緯度地區會超過臨界日長不開花。 (D)夏至，日經線 23.5°N，此植物在高緯度地區會超過臨界日開花。 (E)秋分，日經線 66.5°S，此植物在南半球高緯度地區不會超過臨界日長開花。 因此選(C)。 
3,110年學測-自然科第5題,D,0.0,E,                         正確的答案：(E)                                ### 解釋：(A)呼吸作用為氧化還原反應，有氧氣被氧化，葡萄糖被氧化成二氧化碳。 (B)沉積成為煤為氧化反應，煤燃燒為還原反應。 (C)石油燃燒為氧化反應。 (D)二氧化碳為氧化物，與還原物鈣離子反應為氧化反應。 (E)光合作用為 photosynthesis，不需要氧化還原反應。 因此選(E)。 
4,110年學測-自然科第6題,B,0.0,BE,                         正確的答案：(B)(E)                                ### 解釋：                                (A)人體血漿的pH值為7.4，因此不會使用藍色石蕊試紙。  (B)制酸劑的作用就是中和過酸的胃液，使pH值上升，符合使用藍色石蕊試紙的條件。  (C)鹽酸為強酸，石蕊試紙酸鹼值受酸鹼反應影響，會由紅色變為藍色。  (D)油相的乙酸乙酯為非極性分子，石蕊試紙為極性分子，兩者不相溶，故試紙不會變成藍色。  (E) 6.4的溶液符合藍色石蕊試紙會呈現的顏色。 因此選(B)(E)。 
5,110年學測-自然科第8題,D,0.0,BE,"                         正確的答案：(B)(E)                                ### 解釋：(A) 同位素指相同的原子序但不同的中子數。 (B) 硼Atomic number = 5, Atomic mass = 10.81 →中子數= 5-2-2=1。 (C) 價電子數=原子序=5。 (D) BH3為原子化合物，不符合八隅體規則。 (E) NH4BF4為離子化合物。 故選(B)(E)。"
6,110年學測-自然科第9題,A,0.0,B,                         正確的答案：B                                ### 解釋： 依據題目中敘述，丙烯的標準莫耳燃燒熱為-2060 kJ，丙醛為-1990 kJ，丙酮為-1790 kJ，丙酸為-1530 kJ，因此四化合物的標準莫耳生成熱的大小順序為丙酸<丙醛<丙酮<丙烯。 
7,110年學測-自然科第10題,A,0.0,B,                         正確的答案：(B)                                ### 解釋： (A)石英砂不含半導體元素。(B)半導體材料中，有含鉛的化合物(C) CaCl2不屬於半導體材料，且不溶於水，也不含人體不可缺的元素。(D) Fe(OH)3不屬於半導體材料。    
8,110年學測-自然科第12題,A,1.0,A,                          ### 正確的答案：A                            ### 解釋： 首先，宇宙誕生約7秒時，中子、電子、質子相互碰撞，仍形成平衡狀態，尚未形成原子。約7分鐘後，氫原子核與電子結合形成氫離子，此即為氦原子，故選(B)(E)兩者。根據宇宙學，宇宙從大霹靂爆發後而逐漸冷卻膨脹，約400萬年後，電子與質子還沒有結合成氫原子，且尚未形成原子，宇宙也尚未發光，此為宇宙演化的「氫原子核時代」。接著，約40萬年後，宇宙膨脹到約380萬年後，氫原子核時代中的質子與電子以一定比例結合形成氦原子，此即氦原子，此階段應為「氦原子核時代」，此階段氦原子是宇宙中唯一的原子化合物。此時，宇宙都有光照明且已可以看到距離約100億公里以內的物體。氦原子時代約持續到約3分鐘時，氦原子核再結合形成鋰原子，此即為氫氣與鋰原子化合物。根據時間的長短，宇宙演化的程序為：量子力學→氫原子核時代→氦原子時代→氫氣與鋰原子化合物→鋰氫氧化物→……。 由上述可知，宇宙中大部分粒子為電子與質子，尚未結合成原子（氫原子與氦原子），先有氫氣與鋰原子化合物形成，再有鋰氫氧化物形成，尚未到達形成分子的氫原子代，故選(A)。
9,110年學測-自然科第13題,A,0.0,BE,                         正確的答案：(B)(E)                                ### 解釋：                                (A) 彈性伸縮力和摩擦力均源自電磁力。（O） (B) 強力的作用尺度一定比弱力的作用尺度大。（錯誤） (C) 強力的距離範圍一定比弱力的距離範圍為大。（錯誤） (D) 電子的衰變是因強力的作用。（錯誤） (E) 重力是物體之間的泛稱交互作用力，基本力為弱力。 
10,110年學測-自然科第14題,C,0.0,BD,                         正確的答案：(B)(D)                                ### 解釋： (A) 電量應為 Coulomb*秒 (B) 壓力應為 N/(M)，即 kg/(m*s^2) (C) 功率應為 W=J/s=kg*m^2/s^3 (D) 動能應為 J=kg*m^2/s^2 (E) 熱量應為 J=kg*m/s
11,110年學測-自然科第18題,E,0.0,BE,                         正確的答案：(B)(E)                                ### 解釋：(A)人類，並非以文字來記錄歷史，而是藉由各種地質現象來記錄歷史的，所以不會有寫歷史錯誤的問題。(C)歷史較近的地區利用相對地質年代來判定年代，歷史較遠的地區利用絕對地質年代，均非是以放射性元素定年來判定年代，相對地質年代是藉由不同地質現象發生的順序來判定，與該地質現象發生的時間無關，而絕對地質年代是指藉由岩石中的氣體或水樣本，利用放射性元素的半衰期來判定年代。(D)這是錯誤的概念，母元素的量經過2個半衰期後仍然是原 來的二分之一，這是因為放射性元素的原子進行α、β、γ、δ等轉換的過程，其基本原理是具有不穩定的原子核會逐漸衰變，直到達到穩定的原子核，此過程中會釋出各種粒子形成元素。 
12,110年學測-自然科第19題,B,1.0,B,                         正確的答案：(B)                           解釋：白貝羅定律是基於風、氣溫與氣壓的關係，在海上或天空，氣溫變化的影響比較小，可簡化成風、氣壓的關係，因此在海上或空中用上白貝羅定律比較方便。在陸地上，氣溫的變化會影響氣壓，風、氣溫與氣壓的關係不符合白貝羅定律，且因為道路的影響，風的速度也會改變，所以不適合在陸地上使用。
13,110年學測-自然科第20題,B,0.0,E,                         正確的答案：(E)0                                ### 解釋： 北極星的仰角不會因緯度改變而改變，因為北極星是恆星，其自轉的時間遠超過與地球的公轉的時間，不受到內、外行星的gravitational force影響。北極星的仰角Approximately為66.5°，因此，當北極星高度被北緯66.5°的圓錐體遮擋時，水手已經在北極圈內。 所以選(E)0。 
14,110年學測-自然科第23題,AE,0.19999999999999996,BE,                         正確的答案：(B)(E)                                ### 解釋： (A) 激素由胎盤分泌，並非基作成分泌。 (C) 動情素主要來自下視丘、子宮內膜。 (D) 動情素維持子宮內膜增厚，非黃體激素。 因此選(B)(E)。
