,info,answer,score,generated_answer,detailed_generated_answer
0,110年學測-自然科第1題,A,1.0,A,"                           正確的答案：(A)                           解釋：                           一氧化碳(CO)中毒的主要原因是CO會與血紅素競爭結合,形成碳氧血紅素(COHb),使血液中的氧氣濃度大幅降低,導致組織缺氧而引發中毒症狀。                           (B)CO不會直接影響電子傳遞鏈,而是透過與血紅素結合來阻礙氧氣運輸。                           (C) CO不會直接影響神經傳導,而是透過缺氧來影響呼吸肌肉的功能。                           (D) CO不會直接抑制糖解作用,而是透過缺氧來影響細胞呼吸。                           (E) CO不會與CO2競爭結合血紅素,而是與氧氣競爭。                           因此正確答案為(A)。"
1,110年學測-自然科第2題,E,0.0,D,"                           正確的答案：(D)                           解釋：                           (A)甲、丙為生殖細胞是錯誤的,甲為支持細胞(塞爾托細胞),丙為精子細胞。                           (B)丙具有雙套染色體是錯誤的,精子細胞具有單套染色體。                           (C)乙是甲特化形成也是錯誤的,乙為間質細胞。                           (D)丙具有減數分裂能力是正確的,精子細胞經過減數分裂產生精子。"
2,110年學測-自然科第3題,D,0.0,C,"                           正確的答案：(C) 冬至時在赤道                           解釋：                           短日照植物的開花需要日照時間小於臨界日長,也就是說在夜間時間較長的情況下會較容易開花。                           在赤道地區,冬至時日照時間最長,因此此時在赤道地區最不易開花。                           而在夏至時,不論在赤道或北半球高緯度地區,日照時間都較短,較容易滿足短日照植物的開花條件。                           在春分和秋分時,赤道和南半球高緯度地區的日照時間也較短,較容易開花。                           因此,選項(C)冬至時在赤道為最不易開花的情況。"
3,110年學測-自然科第5題,D,1.0,D,"                           正確的答案：(D)                           解釋：                           (A)細胞呼吸是一個氧化還原反應過程,將葡萄糖氧化為二氧化碳。                           (B)碳水化合物在地層中沉積,最後轉變成煤,也涉及氧化還原反應。                           (C)煤和石油在空氣中燃燒產生二氧化碳,是一個氧化反應。                           (D)二氧化碳溶於水,與鈣離子結合形成碳酸鈣沉澱,這是一個純物理過程,不涉及氧化還原反應。                           (E)光合作用是一個氧化還原反應,將二氧化碳還原成葡萄糖,並釋放出氧氣。                           因此,選項(D)是正確答案。"
4,110年學測-自然科第6題,B,1.0,B,"                           正確的答案：(B)                           解釋：                           (A)人體血漿的pH約7.4,屬於鹼性,應該使紅色石蕊試紙變成藍色。                           (B)市售胃乳液含有制酸劑,可中和胃酸,使溶液變鹼,因此會使紅色石蕊試紙變成藍色。                           (C)鹽酸為強酸,應使石蕊試紙變成紅色,而非白色。                           (D)乙酸乙酯為中性物質,不會引起酸鹼反應,不會使石蕊試紙變色。                           (E)pH6.4屬於酸性,應使紅色石蕊試紙保持紅色,不會變成藍色。                           因此選(B)。"
5,110年學測-自然科第8題,D,1.0,D,"                           正確的答案：(D)                           解釋：                           (A)硼有兩個天然同位素:10B和11B。                           (B)硼的原子序為5,中子數為5或6。                           (C)硼的價電子數為3。                           (D)BH3不符合八隅體規則,因為硼只有3個價電子,無法滿足八隅體結構。                           (E)NH4BF4為離子化合物,由NH4+和BF4-離子組成。"
6,110年學測-自然科第9題,A,0.0,B,"                           正確的答案：(B) 丙酸<丙醛<丙酮<丙烯                           解釋：                           根據題目提供的標準莫耳燃燒熱數據:                           丙酸(C3H6O2)的標準莫耳燃燒熱為-1530 kJ                           丙酮(C3H6O)的標準莫耳燃燒熱為-1790 kJ                           丙醛(C3H6O)的標準莫耳燃燒熱為-1990 kJ                           丙烯(C3H6)的標準莫耳燃燒熱為-2060 kJ                           由此可知,標準莫耳生成熱的大小順序為:                           丙酸<丙醛<丙酮<丙烯                           因此正確答案為(B)。"
7,110年學測-自然科第10題,A,0.0,B,"                           正確的答案：(B) 硫化鉛                           解釋：                           (A) 石英砂不含半導體工業所需的重要元素。                           (B) 硫化鉛(PbS)不溶於水,含有半導體工業所需的重要元素鉛(Pb),另一元素硫(S)是人體不可或缺的成分。                           (C) 氯化鈣(CaCl2)不符合題述。                           (D) 氧化鐵(Fe2O3)不符合題述。                           (E) 大理石(CaCO3)不符合題述。                           因此,正確答案為(B) 硫化鉛。"
8,110年學測-自然科第12題,A,1.0,A,"                           正確的答案：(A) 甲乙丙                           解釋：                           宇宙演化的過程如下:                           甲、宇宙中大部分粒子為電子與質子,尚未結合成原子 - 這是宇宙初期高溫高密度的狀態,粒子還未結合成原子。                           乙、宇宙中開始出現氦原子 - 隨著宇宙膨脹和冷卻,電子與質子開始結合形成氫原子,之後又進一步結合形成氦原子。                           丙、恆星開始形成 - 在氫和氦原子形成之後,物質開始凝聚形成恆星。                           因此,正確的時間順序應該是甲、乙、丙。"
9,110年學測-自然科第13題,A,1.0,A,"                           正確的答案：(A)                           解釋：                           (A)物體的彈性伸縮力和物體間的摩擦力都源自電磁力。物體的彈性伸縮是由於原子間的電磁相互作用力,而摩擦力也是由於物體表面原子間的電磁相互作用力。                           (B)原子核內質子和中子之間的交互作用主要是強力,而不是弱力。                           (C)強力的作用尺度比弱力的作用尺度小。                           (D)電子會衰變是由於內部的弱力作用所造成。                           (E)重力是物體之間的基本交互作用力之一。                           因此選(A)。"
10,110年學測-自然科第14題,C,0.0,D,                           正確的答案：(D)                           解釋：                           (A) 電量的單位為庫侖(C)，不是A*s^2。                           (B) 壓力的單位為帕斯卡(Pa)，不是KG/(M*S)。                           (C) 功率的單位為瓦特(W)，不是KG*M^2/S^3。                           (D) 動能的單位為焦耳(J)，即KG*M^2/S^2。                           (E) 熱量的單位為焦耳(J)，不是KG*M/S。                           因此正確答案為(D)動能KG*M^2/S^2。
11,110年學測-自然科第18題,E,0.0,B,"                           正確的答案：(B)                           解釋：                           (A)古生代的人類尚未出現,所以無法寫歷史。                           (B)根據疊置定律,較晚形成的岩脈會切穿較早形成的地層,因此岩脈的生成時間比圍繞它的地層晚。                           (C)相對地質年代是根據地層的疊置關係,而不是放射性元素定年。                           (D)放射性元素定年是根據母元素的半衰期,經過1個半衰期後,母元素只剩下原來的二分之一。                           (E)「均變說」是指過去發生地質作用的原理和現在進行地質作用的原理相同,而不是指地質作用的速率相同。                           因此選(B)。"
12,110年學測-自然科第19題,B,1.0,B,"                           正確的答案：(B)                           解釋：                           白貝羅定律是基於科里奧利力的影響而成立的。在海上或空中,由於摩擦力較小,科里奧利力的影響較為明顯,因此白貝羅定律在這些環境下比較適用。而在陸地上,由於地表摩擦力較大,會使得風向偏轉的情況不如海上或空中明顯,因此白貝羅定律在陸地上的適用性較差。因此選擇(B)。"
