,info,answer,score,generated_answer,detailed_generated_answer
0,110年學測-自然科第1題,A,1.0,A,                           正確的答案：(A)                           解釋：                           一氧化碳(CO)中毒主要是因為它與血紅蛋白的親和力比氧高，會與血紅素結合，使得血紅素不能正常携氧到身體各部位，造成組織缺氧。氧氣無法競爭血紅素，因此血氧濃度嚴重不足，這是最主要的致死原因。选项(A)描述了這個過程，其他選項如(B)、(C)、(D)、(E)則不是CO中毒的主要直接原因。
1,110年學測-自然科第2題,E,0.0,D,                           正確的答案：(D) 丙具減數分裂能力                           解釋：                           (A) 甲通常位于細精管間，但不一定是生殖細胞，它可能是支持或生精細胞。           (B) 蝌蚪形的細胞丙通常是精原细胞，它在進行減數分裂時才會具備雙套染色體，未成熟時不會。           (C) 乙並非甲的特化形式，它可能是支持細胞，負責附著在細精管壁。           (D) 丙是精原细胞，會經歷減數分裂形成精子，因此具有減數分裂能力。因此，選項(D)是正確的，因為丙在正常情況下會進行減數分裂。
2,110年學測-自然科第3題,D,1.0,D,                           正確的答案：(D) 夏至時在北半球高緯度地區                           解釋：                           短日照植物需要較短的日照時間才能開花。在夏至時，北半球的高緯度地區接收到的陽光最短，接近12小時，遠短於13小時的臨界日長，因此最不易開花。而赤道和春分、秋分的日照時間接近12小時，冬至時雖然日照時間最短，但對於短日照植物來說，可能已經接近開花的適宜條件。
3,110年學測-自然科第5題,D,0.0,B,                           正確的答案：(B)                           解釋：                           (A)細胞呼吸過程中，葡萄糖被氧化，碳元素從+4降為+4，是氧化還原反應。           (B)碳水化合物如煤和石油主要由古代生物遺骸沉積形成，這個過程主要是化學穩定，而非氧化還原。           (C)燃燒是氧化反應，碳元素從+4升高到+4，氧元素從-2升高到0，符合氧化還原。           (D)碳酸鈣的形成，二氧化碳被氫氧根离子(OH-)氧化，碳元素從+4降低到+2，是氧化還原。           (E)光合作用是植物利用光能將二氧化碳和水轉換成葡萄糖和氧氣，這也是典型的氧化還原反應。因此，只有(B)选项没有直接涉及氧化還原反应。
4,110年學測-自然科第6題,B,1.0,B,                           正確的答案：(B)                           解釋：                           (A) 人體血漿的pH約為7.4，落在石蕊試紙的紫色範圍，不會顯示紅色或藍色。           (B) 市售胃乳液通常含有能中和胃酸的成分，如氫氧化铝或碳酸鈉，pH會降低至可能在8.3以下，因此滴在紅色石蕊上會變藍。           (C) 石蕊試紙測試鹽酸時，直接呈現紅色，因為鹽酸是酸性溶液，pH<7。           (D) 乙酸乙酯是非離子化物，對pH無影響，紅色石蕊試紙在它上面不會改變顏色。           (E) pH6.4的水溶液已經接近石蕊的變色點，但仍然顯示紅色，不會變藍。因此，正確答案是(B)，胃乳液會使紅色石蕊試紙變藍。
5,110年學測-自然科第8題,D,0.0,C,"                           正確的答案：(C)                           解釋：                           - 硼(B)的原子序數為5，原子核外電子排布為2, 3，因此價電子數為2，符合(C)。           - 同位素是指具有相同原子序數但中子數不同的原子，硼只有1個穩定同位素，29B，中子數為7，排除(B)。           - BH3（氫化硼）是硼的氫化物，分子中硼原子與3個氫原子形成三面體結構，符合八隅體規則，排除(D)。           - NH4BF4是氟化铵和硼酸鹽的複合物，它包含离子化合物，不是純粹的分子化合物，排除(E)。因此，正確答案是(C)硼的價電子數為2。"
6,110年學測-自然科第9題,A,0.0,D,                           正確的答案：(D) 丙烯<丙醛<丙酮<丙酸                           解釋：                           标准摩尔燃烧热（ΔH_combustion）代表了1摩尔物质完全燃烧生成稳定化合物时放出的能量。燃烧热越大，说明反应放热越多，通常情况下，氧元素被氧化的程度越深，生成的热量也越多。- 丙烯(C3H6)燃烧生成二氧化碳和水，ΔH = -2060 kJ/mol，氧元素被氧化为二氧化碳，反应较为完全。- 丙醛(C3H6O)燃烧会生成二氧化碳、水以及甲醛（CH2O），ΔH = -1990 kJ/mol，甲醛的生成可能比丙烯少，但整体反应依然较完全。- 丙酮(C3H6O)燃烧生成二氧化碳、水和酮（CH3COCH3），ΔH = -1790 kJ/mol，酮的生成比丙醛少，但氧元素的氧化程度相对较高。- 丙酸(C3H6O2)燃烧生成二氧化碳、水和二氧化碳气体，ΔH = -1530 kJ/mol，丙酸的燃烧产物中二氧化碳重复，说明氧元素被氧化两次，是最不完全的。因此，根据燃烧热的大小，丙酸的生成热量最少，其次是丙酮，然后是丙醛，最后是丙烯。所以选项(D)是正确的。
7,110年學測-自然科第10題,A,1.0,A,                           正確的答案：(A)石英砂                           解釋：                           - 石英砂（SiO2）不溶於水，且其主要成分二氧化硅是半導體工业（如硅芯片制造）的重要原料。         - 二氧化硅也是人體骨骼和牙齒中的主要成分，對維持結構健康不可或缺。         - 其他選項：         - (B) 硫化鉛（PbS）溶於水，且不含對半導體有用的元素。         - (C) 氯化鈣（CaCl2）溶於水，並非半導體材料。         - (D) 氧化鐵（Fe2O3）不溶於水，但不是半導體材料，且鐵對人體不是必需的微量元素。         - (E) 大理石（CaCO3）主要成分为碳酸钙，不溶於水，但不含有對半導體和人體必需的元素。因此，石英砂最符合上述描述。
8,110年學測-自然科第12題,A,0.0,B,正確的答案：(B)解釋：- 甲描述的是宇宙大爆炸后的早期，當溫度和密度極高時，電子和質子結合形成氦核，但尚未形成氦原子，這通常發生在大約1秒後的「核合成」時期。- 乙描述的是核合成後，氦元素開始在宇宙中形成，這代表了重元素的產生，並且溫度降低到足以讓氦原子穩定存在。- 丙描述的是恒星形成的階段，這通常发生在大約10億年或更晚，當原始的氫氣雲因引力坍縮形成原行星系，並最終演变为恒星。因此，按照時間順序，是乙甲丙。
9,110年學測-自然科第13題,A,0.0,E,                           正確的答案：(E)                           解釋：                           (A)物體的彈性伸縮力源自材料的分子間力，摩擦力則是靜摩擦力或滑動摩擦力，通常由分子間的相互作用產生，但並非直接來自電磁力。           (B)原子核內的質子和中子通過強相互作用（強核力）結合在一起，而非弱力。           (C)強力（強相互作用和弱相互作用）和弱力都是短程力，但強力作用範圍更廣，影響原子核的穩定性，弱力則影響放射性衰變。           (D)電子衰變主要是由電弱力（弱相互作用的一種）引起的，特別是β衰變。           (E)重力是宇宙中最基本的力，所有物體之間都存在引力，因此它不是基本交互作用力。所以，正確答案是(E)。重力是物體之間的基本交互作用力。
