,info,answer,score,generated_answer,detailed_generated_answer
0,110年學測-社會科第1題,D,1,D,                         正確的答案：D                           解釋：(A)招弟名字係父母依其喜好取名，與姓名權無涉。(B)是否列名族譜係社會習慣，非平等繼承之範疇。(C)是否不得回家祭祖，與宗教自由無涉。(D)以「懷孕」為理由資遣，明顯侵害其工作權利。
1,110年學測-社會科第2題,C,0,A,                        正確的答案：A                          解釋：(B)球隊員不參與，使公民行動更單純。
2,110年學測-社會科第3題,D,1,D,                         正確的答案：(D)                                ### 解釋：(A)政府不應干涉人民參與結社。 (B) 結社自由須來自人民自願組成，故不能由政府補助與扶植。 (C)校友會仍屬於志願結社。 因此選(D)。 
3,110年學測-社會科第4題,D,1,D,                         正確的答案：(D)                                ### 解釋：(A)揭露有毒食品，屬於新聞媒體的新聞報導角色，並非評論事實。(B)提供相關資訊，屬於新聞媒體的新聞報導角色，並非評論功能。(C)播報並調升旅遊警示，屬於新聞媒體的新聞報導角色，並非評論功能。(D)報導不同觀點，以及提出相關改善措施，此為媒體評論事實的功能。因此選(D)。
4,110年學測-社會科第5題,D,1,D,                         正確的答案：(D)                                ### 解釋：(A)司法制度不能介入親密關係的訂定與終止，因為親密關係的持續是否幸福愉快，應由親密伴侶自己知道與決定。(B)親密關係脫離了「親密」的元素，也就沒意義了，不需自由表達個人意志，更不需平等溝通。(C)一致並不等於幸福。(D)互相依賴不是問題，但過度依賴則會失去自我。 因此選(D)。
5,110年學測-社會科第6題,A,1,A,                         正確的答案：A                                ### 解釋：解題關鍵： 本題測驗學生能否閱讀資料，理解公民會議的意義，答題的關鍵是「讓公民直接參與公共政策決定」 解  析： 公民會議是由政府與民間團體針對較具爭議性的公共政策，透過廣泛的公民排濾，參與議題的民眾，透過平等的對話與討論，決定公共政策，故與甲的理論較為接近，因此選(A)  (B)民主理論中，人是否具有理性，是值得懷疑的，否則獵人民之願將變成利用人民之能，當民主政治的決策模式，過分依賴民意而不易立論時，也會導致亂象出現  (C)專業政治人物指的是立法者不需要具專業知識，只須利用選舉的方式選出，故與題文所談的公民會議不符合  (D)公民會議的目的在於讓廣泛的公民參與，而不可能讓所有人參與，且在立法院中，各立法者因具專業知識與經驗，讓專業政治人物入主，反而可能讓立法院更了解專業問題，制定更立論的政策  (E)公民會議的重點在於公民直接參與，與民主理論中提到的「選舉」較不相關，故不選之 因此選(A) 
6,110年學測-社會科第7題,C,1,C,                         正確的答案：(C)                                ### 解釋：(A)多黨到兩黨制的轉變，與選舉制度的改變有關。(B)小黨出現是多元黨的情況，會厭惡小黨，並不一定會導致兩黨化。(D)總統制與國會制的問題，與兩黨化較無關。
7,110年學測-社會科第9題,B,1,B,                         正確的答案：(B)                           解釋：(A)店家標示之價格為契約內容，消費者不得主張解約。(B)契約自由原則下，店家有權選擇要給予哪些顧客優惠。(C)為私法自治，國家不介入經濟活動。(D)平等原則並非消保法的法律原則。
8,110年學測-社會科第10題,A,0,C,                         正確的答案：(C)                                ### 解釋：(A)是否違反比例原則，與是否有法律授權有關，非以措施 scale 判定。(B)管理機關可本於管理權頒布措施，但最好有法律授權為佳。(C)為法律授權，符合法治原則。(D)法益是受法律保護的利益，躺臥雖妨礙他人，亦侵害到他人行動自由，亦受法律保護。
9,110年學測-社會科第11題,C,1,C,                         正確的答案：(C)                                ### 解釋：(A)大法官解釋適用於解釋法律，本題為行政罰的案件，需要的是「訴願」。(B)行政訴訟是針對行政決定的救濟，本件是「罰單」，屬於「裁罰」，故先須「訴願」。(D)要提的是「民事訴訟」，非「對環保局的民事訴訟」。因此選(C)。
