,info,answer,score,generated_answer,detailed_generated_answer
0,110年學測-社會科第1題,D,1,D,答案：D解釋：根據我國現行法令，性別平等應適用於所有人的生活領域，包括工作權、教育權等。招弟因懷孕被公司資遣，這是一種明顯的性別平等問題，因為這種行為違反了對懷孕女性的工作權利保障。性別平等法旨在保護女性免受因性別而引起的不公平待遇，這包括在工作場所的資遣問題。因此，招弟向法院或行政主管機關提出救濟，主張公司將她辭退侵害了工作權利，最有可能成立。選項A、B和C雖然涉及性別平等問題，但與招弟的具體情況 remote，因此不太可能成功。
1,110年學測-社會科第2題,C,0,A,答案：A解釋：在題目中，籃球校隊在學生抗議運動中選擇不參加行動，這反映了他們在考慮多種因素後的決策。學生抗議運動的目的是反對校方改建運動場為停車場，這涉及到公共資源的分配和學生權益。籃球校隊雖然同意學生抗議的目標，但考慮到自己作為團隊的需求和其他學生的支持，最終決定不參加行動。這展示了他們在公民參與中的兩難，即雖然認同抗爭的正義性，但考量到自己的利益和其他學生的支持，最終選擇了不直接參與抗爭。這種情況正好呼應了選項A所提到的「抗爭必須匯聚公民力量，但要靠有效行動策略才能促使政府改變政策」，因為籃球校隊在考慮多種因素後，最終選擇了一種有效的行動策略來達成抗爭目標。
2,110年學測-社會科第3題,D,1,D,答案：(D)                               解釋：：公民社會促進民主政治發展的觀點強調公民參與和結社自由。該國近年來參與結社比例成長，顯示出公民社會的活躍度，人民正在逐漸形成參與公共事務的習慣和能力。此外，大多偏向參與宗教團體與校友會，反映出公民團體的多樣性和自我組織的能力。選項(D)「該國近年來不僅累積社會資本，公民參與結社技能也可能提升」最適切地反映了這一現象，因為它強調了公民社會的發展和公民參與結社的重要性。其他選項則沒有正確地反映了這一觀點或提出了不適當的建議或評論。
3,110年學測-社會科第4題,D,1,D,答案：D解釋：選項D描述了媒體在報導年金改革議題時，針對立場相異的團體進行採訪，並探討該改革對國家人民的影響。這種情境最能說明媒體的「評論事實」功能。這種功能包括提供不同分析觀點，並可能提出相關改善措施，以發揮媒體的公共角色。媒體在報導這樣的敏感議題時會採取中立和專業的態度，提供多種角度的信息和專家的觀點，從而激發讀者或聽眾的思考和討論，發揮媒體的社會貢獻。因此，選項D最符合「評論事實」的功能。
4,110年學測-社會科第5題,D,0,A,答案：(A)解釋：題目中提到的「民主化」主張強調是在公共事務中強調平等溝通、自由表達個人意志等原則，這意味著在親密關係中應該有平等的溝通和表達意見的權利。選項(A)指出國家應針對伴侶間的互動關係，廣泛與民溝通制訂更明確之規範，這符合題目中提到的「民主化」原則，因為它涉及到在公共事務中進行溝通和制定規範，以促進平等和自由表達。其他選項則更多地關注了具體關係中的行為或獨立性，並不直接符合題目中提到的「民主化」的原則。
5,110年學測-社會科第6題,A,0,D,答案：D解釋：公民會議是一種民主參與機制，通過讓各利益團體參與討論和決策過程，來達成共識或解決具體的公共議題。這種做法強調是民主政治的主角是各團體，這些團體通過競爭爭取決策權力，並且在決策過程中提供多元的觀點和意見。選項D「利益團體是民主政治的主角，應由各團體競爭爭取選票，以獲得決策權力」最能反映這一概念，因此正確答案是D。
6,110年學測-社會科第7題,C,0,A,答案：A解釋：自 1990 年代民主化之後，臺灣立法院的政黨生態逐漸由多黨制走向兩黨制，主要原因是社會分歧的兩極化。隨著政治競爭的加劇，社會形成了兩種主要的政治立場或理念，導致多數選民選擇參與政治的兩黨，而不是小黨。這種兩極化的社會分歧使得政黨之間的競爭更加激烈，最終形成了兩黨制的政黨生態。因此，選項 A「社會分歧的兩極化」是造成我國立法院政黨生態由多黨制轉變為兩黨制的主要原因。
7,110年學測-社會科第9題,B,1,B,答案：B解釋：根據契約自由原則，商店有權決定要對哪些顧客提供折扣優惠。這意味著商店可以根據不同的顧客的身份、行為或其他條件來提供不同的優惠政策。在題目中，商店對另一位顧客提供8折優惠，並沒有違反任何法律或規範，因為這是商店根據契約自由原則所做出的商業決策。因此，甲的抱怨無法成立，因為他無法證明商店對他的待遇不如其他顧客的待遇。選項A、C和D都涉及法律和法規的錯誤陳述，因為這些選項都未能正確反映商店的操作行為及其法律權限。
8,110年學測-社會科第10題,A,0,B,答案：B解釋：管理機關在公共場所進行限制人民行為的公告，基於對其所管轄區域的管理權責，通常可以本於管理權頒布此類措施，毋須法律另外授權。這是因為管理機關在執行其管理職責時，需要有一定的彈性和迅速反應的權力，以確保公共場所的安全和秩序。然而，這些措施仍然應該符合法律的相關規定和原則，例如比例原則等。因此，選項B正確地指出了管理機關可本於管理權頒布上述措施，毋需法律另外授權。
9,110年學測-社會科第11題,C,0,B,"答案：B解釋：根據臺灣的法律制度，對於行政機關所發出的裁罰，公民可以透過行政訴訟來尋求救濟。行政訴訟是針對行政機關決定、行為或不行動所提起的訴訟，旨在解決行政爭端。行政法院是處理此類訴訟的專責機構，具有裁判權。因此，甲如果認為自己所收到的1,500元罰單不公正，可以向行政法院提起行政訴訟，以請求撤銷罰單。選項B正確地反映了這一法律程序。"
