,info,answer,score,generated_answer,detailed_generated_answer
0,110年學測-社會科第1題,D,1,D,                           正確的答案：(D)公司將她辭退侵害了工作權利？                           解釋：                           根據現行法令，公司以影響工作表現為由資遣懷孕員工為違法行為，因此最可能成立的主張為公司侵害了招弟的工作權利。其他選項(A、B、C)雖可能涉及姓名權、平等繼承、宗教自由等問題，但與本例的法律爭議較無直接關聯。
1,110年學測-社會科第2題,C,0,A,                           正確的答案：(A)                           解釋：                           選項(A)「抗爭必須匯聚公民力量，但要靠有效行動策略才能促使政府改變政策」最符合籃球校隊隊員的決定和事件結果。籃球校隊隊員考慮到其他學生的抗議，決定不參加行動，最終抗議行動成功地促使校方檢討改建計畫。這個決定反映了需要結合公民力量和有效行動策略才能促使政府或校方改變政策。
2,110年學測-社會科第3題,D,1,D,                           正確的答案：(D)                           解釋：                           根據公民社會促進民主政治發展的觀點，該國近年來不僅累積了社會資本，公民參與結社技能也可能因此而提升。
3,110年學測-社會科第4題,D,1,D,                           正確的答案：(D)                           解釋：                           情境(D)最能說明媒體「評論事實」功能，因為媒體在年金改革議題上，採訪了立場相異的團體，提供了多元觀點，並探討改革對國家人民的影響，符合發揮媒體的公共角色。其他情境較無法充分表現出媒體的評論事實功能。
4,110年學測-社會科第5題,D,1,D,                           正確的答案：(D)                           解釋：                           根據主張，親密關係中的民主化強調在平等溝通和自由表達個人意志的原則上。因此，選項(D)「情愛關係強調相互依賴，但依賴中應肯定彼此具備獨立自主性」最符合這個主張，因它強調在親密關係中保持彼此的獨立性和自主性，並尊重彼此的意見和想法。
5,110年學測-社會科第6題,A,1,A,                           正確的答案：(A)                           解釋：                           此做法最接近甲的理論，因為多數決無法顧及公共政策品質，需要透過決策過程的對話與討論來提升決策品質。而公民會議就是一種鼓勵公民參與、對話和討論的民主實踐，旨在解決公共政策爭議。
6,110年學測-社會科第7題,C,0,A,                           正確的答案：(A)                           解釋：                           自 1990 年代民主化之後，我國立法院的政黨生態由一黨獨大走向多黨制，主要原因是社會分歧的兩極化，使得不同立場的政治勢力都能在立法院中獲得代表。然而，近年來立法院政黨生態又轉變為兩黨制，主要原因是社會大眾可能對小黨產生厭惡感，導致支持度分散，使得兩大主要政黨在選舉中獲得更多優勢。因此選(A)。
7,110年學測-社會科第9題,B,0,C,                           正確的答案：(C)                           解釋：                           (A)資訊透明度涉及企業社會責任，但消費者保護法主要保障「商品服務之性質、內容及數量」的透明，而非價格差異。                           (B)契約自由原則下，店家可以選擇要給哪些人優惠，但需注意公平待客原則。                           (C)同一商家就同一商品以不同價格販售，違反了公平交易法的公平競爭原則，因此本題正確。                           (D)消保官受理申訴後，會調查事實真相，並適用相關法律，而非直接調查是否違反平等原則。平等原則屬於憲法原則，消保官在處分時可能會涉及，但非申訴程序的必要程序。
8,110年學測-社會科第10題,A,0,B,                           正確的答案：(B)                           解釋：                           管理機關可本於管理權頒布上述措施，毋需法律另外授權。                           理由：                           根據比例原則，限制人民權利的措施應符合比例性原則，也就是說手段要符合比例、必要性及狹義比例性。在本題中，管理機關的公告旨在維護公共利益、確保其他遊客的安全和便利，因此可以認為它符合比例原則。此外，根據法律保留原則，該公告毋須經過法律的特別授權，因其屬於行政命令的範疇。
9,110年學測-社會科第11題,C,1,C,                           正確的答案：(C)                           解釋：                           由於稽查人員開出的是行政罰，因此甲若要尋求法律救濟，應該向行政法院提起行政訴訟。而稽查單位環保局所屬的縣市政府是「原行政處分機關」，所以應先向該機關提起訴願以尋求解決。如果訴願未果，才能進一步向行政法院提起行政訴訟。所以正確的答案是(C)向環保局所屬的縣市政府提起訴願。
10,110年學測-社會科第17題,B,0,D,                           正確的答案：(D)                           解釋：                           在廠商可以交易廢水排放權的情況下，若交易價格持續下降，最可能的原因是能夠透過出售排放權而獲利的廠商數量太少。原因是在這種市場機制下，只有少部分廠商能獲利，所以交易價格才會較低。其他選項則不直接影響交易價格的高低。
11,110年學測-社會科第19題,B,0,A,                           正確的答案：(A)擔憂士族通婚，聲氣相通，壟斷科舉考試晉身管道                           解釋：                           唐太宗修訂《氏族志》，將各姓氏分成九等級，以皇室為首，外戚次之。高宗時，李義府門第寒微，被山東士族拒於門外，因此下令禁婚。唐代實施《氏族志》和「禁婚令」的主要目的是為了防止士族間透過聯姻，控制科舉考試的晉身管道，維持社會的公平與秩序。
12,110年學測-社會科第21題,C,0,D,                           正確的答案：(D)雲南                           解釋：                           雲南省為西藏文化和藏傳佛教的重要發源地，歷史上藏傳佛教和印度佛教交流頻繁。二十世紀初，一名道士在雲南山洞中發現的文書、典籍和繪畫作品，除了中文外，還包含梵文和藏文。因此，此山洞最可能位在雲南。
13,110年學測-社會科第22題,D,0,A,                           正確的答案：(A)                           解釋：                           在1943年5月至1944年7月間，日本帝國和臺灣總督府組織了超過萬名臺灣青年，派遣到新幾内亞、菲律賓和印尼等地。這些臺灣青年最可能的任務是擔任突襲戰鬥任務的神風特攻隊。這個時期的臺灣青年很可能被徵召加入神風特攻隊，因
14,110年學測-社會科第23題,C,0,B,                           正確的答案：(B)推動全盤西化                           解釋：                           在某個時期，知識分子研究軍事技術，出版了多本研究西洋技術的書籍。這種情況最可能反映的是推動全盤西化的思想，因他們在學習和研究西方的先進技術。
15,110年學測-社會科第24題,D,1,D,                           正確的答案：(D)                           解釋：                           唐太宗、宋高宗、明成祖都分別在重要戰役或和約簽訂後，才考慮到減稅，而本題中的皇帝在平定叛亂後，認為應與民休息，故最可能是清聖祖平定三藩之亂後的情況。
16,110年學測-社會科第25題,B,0,A,                           正確的答案：(A)                           解釋：                           1651年，英國公布航海法，封鎖荷蘭貿易活動，類似於問題描述中的情況。英國和荷蘭都是重要的海外貿易國家，因此封鎖荷蘭貿易活動可以視為一種經濟戰，以保護自己的經濟利益。其他選項的時間點和背景不同，例如拿破崙封鎖是針對英國，德國宣戰是二戰事件，都不符合問題描述的情境。
17,110年學測-社會科第26題,C,1,C,                           正確的答案：(C)                           解釋：                           在1950年3月時，韓戰爆發，美國宣布派遣第七艦隊協助臺灣防務，增加了對中共的壓力，因此中共取消對金門的攻擊計畫。
18,110年學測-社會科第27題,A,1,A,                           正確的答案：(A)江西景德的瓷器製作                           解釋：                           這位傳教士描述的地區為群山中的平原，人口稠密，富人甚多，自西元一千年左右起就是重要的工業城，現有作坊三千座，產品不僅供應全中國，還外銷世界各地，數量驚人。這些特徵最符合18世紀初的江西景德鎮，那是個著名的瓷器製造地。而浙江杭州主要生產絲綢，福建福州主要產茶，廣東沿海地區主要生產醫療藥材，這些地方的產業規模和出口量在當時可能沒有江西景德鎮那麼大。所以，最可能描述的產業是(A)江西景德的瓷器製作。
19,110年學測-社會科第28題,A,1,A,                           正確的答案：(A)廣州公行代表                           解釋：                           在1720年，廣州作為粵東的重要商業中心，其公行代表可能負責管理當地的商業組織和活動。這份「行規」強調華夷商民一視同仁，共同議價，並處罰單獨行為的人，這表明它可能是由廣州公行代表等商業管理機構所制定的。而其他選項中的地方或政府可能沒有制定此類商業規則的權力或責任。
