,info,answer,score,generated_answer,detailed_generated_answer
0,110年學測-社會科第1題,D,1,D,正確的答案：(D)解釋：根據我國《性別工作平等法》第11條規定，雇主不得因為勞工懷孕而終止勞動契約或予以不利處分。因此，公司以懷孕為由將招弟辭退，侵害了她的工作權利。其他選項雖然涉及性別平等問題，但在現行法令中，(D)選項最符合具體的法律保護範疇。
1,110年學測-社會科第2題,C,0,B,正確的答案：(B)解釋：題目中提到籃球校隊隊員因已有其他眾多學生抗議，決定不參加行動，這反映了「網路萬人喊讚但行動時僅有百人到場」的困境。這種情況下，雖然有很多人支持抗議，但實際參與行動的人數卻不多，這是公民參與常遭遇的難題之一。因此，選項(B)最能呼應籃球隊員所做的決定對應抗爭的結果。
2,110年學測-社會科第3題,D,1,D,正確的答案：(D)解釋：根據公民社會促進民主政治發展的觀點，結社參與能夠累積社會資本，並提升公民的參與技能。選項(D)指出該國近年來不僅累積了社會資本，還可能提升了公民參與結社的技能，這與公民社會促進民主政治發展的觀點相符。因此，選項(D)是最適切的評論。選項(A)和(C)的觀點過於狹隘，選項(B)雖然有助於提升參與比例，但未能直接反映公民社會促進民主政治發展的核心觀點。
3,110年學測-社會科第4題,D,1,D,正確的答案：(D)解釋：媒體「評論事實」功能是指媒體對於新聞事件提供不同分析觀點，並可能提出相關改善措施，以發揮媒體的公共角色。選項(D)中，媒體針對年金改革採訪立場相異團體，並探討此改革對國家人民的影響，這正是媒體在評論事實、提供不同觀點和分析的情境，符合題目所述的媒體角色。而其他選項主要是報導事實或提供資訊，並未涉及評論和分析。
4,110年學測-社會科第5題,D,1,D,正確的答案：(D)解釋：題目中提到的「親密關係民主化」強調平等溝通和自由表達個人意志，這意味著在親密關係中，雙方應該互相尊重彼此的獨立性和自主性。選項(D)「情愛關係強調相互依賴，但依賴中仍應肯定彼此具備獨立自主性」最符合這一主張，因為它強調了在親密關係中，雖然雙方相互依賴，但仍然需要尊重和肯定彼此的獨立性和自主性。其他選項則沒有強調這一點，或者偏離了題目中所強調的平等和自由原則。
5,110年學測-社會科第6題,A,1,A,正確的答案：(A)解釋：公民會議是一種重視決策過程中對話與討論的方式，旨在通過廣泛的討論和交流來提升決策品質，這與甲所描述的「多數決無法顧及公共政策品質，重視決策過程的對話與討論才能提升決策品質」最為接近。因此，正確答案是(A)甲。
6,110年學測-社會科第7題,C,1,C,"正確的答案：(C)解釋：我國立法院政黨生態由多黨制轉變為兩黨制的最主要原因是選舉制度的改變。2005年，臺灣修憲通過了單一選區兩票制（Single-Member District, Two-Vote System），這種選舉制度傾向於有利於大黨，因為在單一選區中，只有得票最多的候選人能當選，這樣的制度設計使得小黨較難在選舉中獲得席次，進而促使政黨生態逐漸轉變為兩黨制。"
7,110年學測-社會科第9題,B,1,B,正確的答案：(B)解釋：按照契約自由原則，商家有權選擇與哪些顧客達成優惠交易，這是商家的自主權。消費者保護法主要針對的是商家是否有欺詐、誤導或不公平的行為，而在這種情況下，商家給予不同顧客不同的優惠並不違反法律規定。公平交易法主要針對的是壟斷、聯合行為等市場競爭問題，而不是針對個別交易的價格差異。因此，選項(B)是正確的。
8,110年學測-社會科第10題,A,0,C,正確的答案：(C)解釋：根據法治原則，政府機關限制人民權利的措施必須有法律依據。公告採取的措施若有法律授權，即可符合法治原則之要求。因此，選項 (C) 是正確的。選項 (A) 提到的比例原則雖然重要，但並未直接回答合法性界限的問題；選項 (B) 錯誤，因為管理機關的措施需要法律授權；選項 (D) 錯誤，因為憲法保障的基本權利不能因為可能妨礙他人自由而被完全否定。
9,110年學測-社會科第11題,C,1,C,正確的答案：(C)解釋：根據臺灣的法律程序，當公民對行政機關的處分不服時，應先向該行政機關的上級機關提起訴願。環保局屬於地方政府的行政機關，因此甲應該向環保局所屬的縣市政府提起訴願。如果訴願結果仍不滿意，才可以進一步向行政法院提起行政訴訟。因此，正確的途徑是向環保局所屬的縣市政府提起訴願。
