,info,answer,score,generated_answer,detailed_generated_answer
0,111年學測-國文科第1題,A,1.0,A,(A) 既瘖且「痺」／彈箏搏「髀」
1,111年學測-國文科第2題,B,0.0,A,(A) 觀音山，故名思義是因遠眺貌似觀音躺臥而得名。
2,111年學測-國文科第3題,A,1.0,A,(A)世事變化無常，有如白駒過隙，總讓人感觸良多。
3,111年學測-國文科第4題,C,0.0,A,(A) 低海拔地區的生活條件不良，使族人的向心力日益淡薄。
4,111年學測-國文科第5題,A,1.0,A,(A) 毋須經由純理性的知解鍛造
5,111年學測-國文科第6題,B,0.0,ABCD,(A) 漠漠／瑟瑟／亭亭 (B) 漠漠／時時／纖纖 (C) 朗朗／時時／亭亭 (D) 朗朗／瑟瑟／纖纖
6,111年學測-國文科第7題,B,0.0,A,(A)宋人認為它實際價格為百金。
7,111年學測-國文科第8題,B,0.0,A,(A) 因疫癘橫行與軍隊大肆劫掠，帶來大量人民死亡，影響經濟生產甚鉅。
8,111年學測-國文科第9題,C,0.0,A,(A) 與「楨、嫃」諧音，表示與「楨」、「嫃」諧音，表示與「楨」、「嫃」諧音，表示與「楨」、「嫃」諧音，表示與「楨」、「嫃」諧音，表示與「楨」、「嫃」諧音，表示與「楨」、「嫃」諧音，表示與「楨」、「嫃」諧音，表示與「楨」、「嫃」諧音，表示與「楨」、「嫃」諧音，表示與「楨」、「嫃」諧音，表示與「楨」、「嫃」諧音，表示與「楨」、「嫃」諧音，表示與「楨」、「嫃」諧音，表示與「楨」、「嫃」諧音，表示與「楨」、「嫃」諧音，表示與「楨」、「嫃」諧音，表示與「楨」、「嫃」諧音，表示與「楨」、「嫃」諧音，表示與「楨」、「嫃」諧音，表示與「楨」、「嫃」諧音，表示與「楨」、「嫃」諧音，表示與「楨」、「嫃」諧音，表示與「楨」、「嫃」諧音，表示與「楨」、「嫃」諧音，表示與「楨」、「嫃」諧音，表示與「楨」、「嫃」諧音，表示與「楨」、「嫃」諧音，表示與「楨」、「嫃」諧音，表示與「楨」、「嫃」諧音，表示與「楨」、「嫃」諧音，表示與「楨」、「嫃」諧音，表示與「楨」、「嫃」諧音，表示與「楨」、「嫃」諧音，表示與「楨」、「嫃」諧音，表示與「楨」、「嫃」諧音，表示與「楨」、
9,111年學測-國文科第10題,B,0.0,A,(A) 作者初次翻看戶口名簿，才發現一直寫錯名字。
10,111年學測-國文科第11題,B,0.0,AA,(A) 全球主要有三大地震帶，臺灣位於其中的「環太平洋地震帶」上。下列有關此地震帶的敘述何者正確？此題為單選題，選項為(A)「環太平洋地震帶」形成主要與張裂性板塊邊界有關。
11,111年學測-國文科第12題,A,1.0,A,(A)內容是對五十年人生的回憶。
12,111年學測-國文科第13題,C,0.0,A,(A) 脚夫和寒士以豁达心境待人接物。
13,111年學測-國文科第14題,A,1.0,A,(A)無法預先了解後人對自己畫作的評價，也就不在意任何評論。
14,111年學測-國文科第15題,D,0.0,A,(A) 推陳出新，不襲窠臼，男女皆應拋棄格律的束縛。
15,111年學測-國文科第16題,C,0.0,A,(A) 甲文「之餘、之暇」透露出張李德和的創作並未違背傳統性別角色規範。解釋： 甲文「之餘、之暇」指的是在教學和調理藥物之餘，張李德和的創作並未違背傳統性別角色規範。
16,111年學測-國文科第17題,B,0.0,A,(A) 世機消已盡，巾屨亦飄然。一室故山月，滿瓶秋澗泉
17,111年學測-國文科第18題,A,1.0,A,"(A) 學而不「厭」，誨人不倦，何有於我哉。解釋： ""厭"" 的意思是厭倦、厭煩、厭惡，表示對某件事情或情況感到厭煩或厭惡。在文中的意思是，學習不會厭倦，誨人不倦，不會感到厭煩。因此，""厭"" 的意義是 "" 學習不會厭倦，誨人不倦 ""。"
18,111年學測-國文科第19題,D,0.0,A,(A) 芮季和榮夷公相同，都想從芮伯那裡獲得一匹良馬。
19,111年學測-國文科第20題,C,0.0,AA,(A) 根據所提供的資訊，鄭崇和墓的建造時間為道光七年，墓碑上的文字顯示鄭崇和是清朝誥贈的奉大夫，因此最適當的選項是(A)。
20,111年學測-國文科第21題,D,0.0,AA,(A) 根據資料甲、乙，鄭崇和墓的敘述最適當的是：(A) 墓建於道光7年，規制悉依《大清會典事例》，占地廣大，氣勢宏偉，又於同治6年重修。
21,111年學測-國文科第22題,D,0.0,A,(A)○1、○2皆正確
22,111年學測-國文科第23題,C,0.0,A,(A) 君子得識天命所歸，遂謹於視聽言動。
23,111年學測-國文科第24題,D,0.0,AA,(A) 論語原文: 子曰：「君子有三畏：畏天命，畏大人，畏聖人之言。小人不知天命，而不畏也，狎大人，侮聖人之言。」朱熹的解說: (A) 畏天命，是指對自己所處的地位和責任的敬畏，對自己所處的地位和責任的敬畏，對聖人的話的敬畏。畏天命是畏敬自己所處的地位和責任，對自己所處的地位和責任的敬畏，對聖人的話的敬畏。畏天命是畏敬自己所處的地位和責任，對自己所處的地位和責任的敬畏，對聖人的話的敬畏。畏天命是畏敬自己所處的地位和責任，對自己所處的地位和責任的敬畏，對聖人的話的敬畏。畏天命是畏敬自己所處的地位和責任，對自己所處的地位和責任的敬畏，對聖人的話的敬畏。畏天命是畏敬自己所處的地位和責任，對自己所處的地位和責任的敬畏，對聖人的話的敬畏。畏天命是畏敬自己所處的地位和責任，對自己所處的地位和責任的敬畏，對聖人的話的敬畏。畏天命是畏敬自己所處的地位和責任，對自己所處的地位和責任的敬畏，對聖人的話的敬畏。畏天命是畏敬自己所處的地位和責任，對自己所處的地位和責任的敬畏，對聖人的話的敬畏。畏天命是畏敬自己所處的地位和責任，對自己所處的地位和責任的敬畏，對聖人的話的敬畏。畏天命是畏敬自己所處的地位和責任，對自己所處的地位和責任的敬畏，對聖人的話的敬畏。畏天命是畏敬自己所處的地位和責任，對自己所處的地位和責任的敬畏，對聖人的話的敬畏。畏天命是畏敬自己所處的地位和責任，對自己所處的地位和責任的敬畏，對聖人的話的敬畏。畏天命是畏敬自己所處的地位和責任，對自己所處的地位和責任的敬畏，對聖人的話的敬畏。畏天命是畏敬自己所處的地位和責任，對自己所處的地位和責任的敬
24,111年學測-國文科第25題,C,0.0,A,(A) 小人所狎，是那些徒有高位，但非齒、德兼备的大人。解釋：論語中的「大人」是指有位、有齒、有德者，而「小人」是指那些不具備這些條件的人。「畏天命」三字好，是理會得道理，便謹去做，不敢違，便是畏之也。如非禮勿視聽言動，與夫戒慎恐懼，皆所以畏天命也。「畏大人」是指畏敬有德有位的人，而「大人」是指有位、有齒、有德的人。「畏大人」與「畏聖人之言」都是指對有德有位的人要敬畏，而「小人」是指那些不具備這些條件的人。因此，「畏大人」是指畏敬有德有位的人，而「小人」是指那些不具備這些條件的人。
25,111年學測-國文科第26題,BD,0.0,A,(A) 吾十有五而志於學，三十而立／男有分，女有歸
26,111年學測-國文科第27題,ADE,0.19999999999999996,A,(A) 判決文的「條件」是指「除了兩造另有協議及放假日外」。
27,111年學測-國文科第28題,CE,0.0,A,(A) 花朵扎根於堅硬的石縫裡，故能避風躲雨，綻放光彩。
28,111年學測-國文科第29題,ABC,0.19999999999999996,A,(A) 依序在書架上排列《詩經》、《楚辭》、《世說新語》和《杜工部集》，顯示女主角能掌握文學發展的歷史順序。
29,111年學測-國文科第30題,ABD,0.19999999999999996,A,(A)本文先敘眼中所見春景，繼而談及野菜之味，接著再論心中所感，最後歸結到對士大夫的期許。
30,111年學測-國文科第31題,CE,0.0,A,(A)以孔子讀《易》韋編三絕為例，說明孔子讀書有過目成誦的本領。
31,111年學測-國文科第32題,AB,0.0,AABCDE,(A) 讀書以過目成誦為能，最是不濟事。眼中了了，心下匆匆，方寸無多，往來應接不暇，如看場中美色，一眼即過，與我何與也。千古過目成誦，孰有如孔子者乎？讀《易》至韋編三絕，不知翻閱過幾千百遍來，微言精義，愈探愈出，愈研愈入，愈往而不知其所窮。雖生知安行之聖，不廢困勉下學之功也。東坡讀書不用兩遍，然其在翰林讀〈阿房宮賦〉至四鼓，老吏苦之，坡洒然不倦，豈以一過即記，遂了其事乎！惟虞世南、張睢陽、張方平，平生書不再讀，迄無佳文。且過輒成誦，又有無所不誦之陋。即如《史記》百三十篇中，以〈項羽本紀〉為最，而〈項羽本紀〉中，又以鉅鹿之戰、鴻門之宴、垓下之會為最。反覆誦觀，可欣可泣，在此數段耳。若一部《史記》，篇篇都讀，字字都記，豈非沒分曉的鈍漢！（鄭燮〈濰縣署中寄舍弟墨第一書〉）書信語言必須考慮寫信人與收信人的身分、關係。若依據上文鄭燮寫信給堂弟鄭墨的情境，適當的「信封啟封詞／提稱語／結尾頌詞」是：(A) 大啟／左右／大安 (B) 台啟／足下／近安(C) 敬啟／惠鑒／文安 (D) 鈞啟／如晤／勛安(E) 收啟／壇席／福安？
