,info,answer,score,generated_answer,detailed_generated_answer
0,111年學測-國文科第1題,A,0.0,B,正確的答案：(B)解釋：(A)「痺」讀音為ㄅㄧˋ，「髀」讀音為ㄅㄧˇ，前後讀音不同。(B)「忮」讀音為ㄓˋ，「庋」讀音也為ㄓˋ，前後讀音相同。(C)「攢」讀音為ㄘㄨㄢˊ，「鑽」讀音為ㄗㄨㄢ，前後讀音不同。(D)「剜」讀音為ㄨㄢ，「腕」讀音為ㄨㄢˋ，前後讀音不同。因此，讀音前後相同的是(B)選項。
1,111年學測-國文科第2題,B,1.0,B,正確的答案：(B)解釋：(A)「遠眺貌似觀音躺臥」中的「貌似」應為「酷似」，「貌似」是表面看起來像，「酷似」才是形容非常相像。(C)「驅之若鶩者多」中的「驅之若鶩」應為「趨之若鶩」，意指大家爭先恐後地奔向某個地方，而不是「驅趕」的意思。(D)「錯判形勢，終至傾家盪產」中的「終至」應為「終致」，「終致」表示最後導致某種結果，而不是「終至」。只有(B)選項中沒有錯別字。「闃然無聲」意思是非常安靜，沒有任何聲音。
2,111年學測-國文科第3題,A,0.0,C,正確的答案：(C)解釋：(C)「頭角崢嶸」形容人的才能出眾，令人矚目，用在「文創產業」並不恰當。「頭角崢嶸」通常用來形容人，而不是用來形容事物或產業。(A)「白駒過隙」比喻時間過得很快，令人感慨，用法正確。(B)「竭澤而漁」比喻貪得無厭，自絕後路，用法正確。(D)「進退維谷」比喻處境非常困難，無法抉擇，用法正確。因此，(C)的用詞不恰當。
3,111年學測-國文科第4題,C,1.0,C,正確的答案：(C)解釋：從題幹資訊可知，斯卡羅族在日治時期迅速成立國語傳習所學習日語，而「同化的程度越深，自我的認知越淡，族群離散也越快」，顯示學習日語導致斯卡羅族的同化，進而使得族群認同感降低，人口逐漸減少。(A)、(B)選項雖可能影響族群發展，但非題幹主要論述重點。(D)「逾半戶數移住他鄉，且多遷居豬朥束社」與題幹資訊不符，題幹提到大正六年豬朥束社僅89戶。因此，(C)是最適當的敘述。
4,111年學測-國文科第5題,A,1.0,A,正確的答案：(A)解釋：文中提到「不求甚解」的讀書態度是「服膺高度的審美能力」，強調讀書時要引發「渾成的心智」，如同「詩的境遇」。這種讀書態度借助文字符號的撩撥，但實際上讀者所獲得的是「自我的美經驗之誕甦」，而這種經驗是經不起任何外力挑剔或慎思明辨等反省解釋的。由此可知，文中所論的讀書態度並不強調透過理性思辨來理解文本，而是強調讀者自身的美感經驗，因此選項(A)「毋須經由純理性的知解鍛造」最符合文意。
5,111年學測-國文科第6題,B,0.0,D,正確的答案：(D)朗朗／瑟瑟／纖纖解釋：甲句「江天□□鳥雙去」，描寫江天明朗，鳥兒成雙離去，故「朗朗」最為貼切。「風雨□□龍一吟」，描寫風雨蕭瑟，龍吟一聲，故「瑟瑟」最為貼切。乙句「江畔細麥復□□」，描寫江畔細麥又長得纖細修長，故「纖纖」最為貼切。此外，從對仗的角度來看，「朗朗」可與「瑟瑟」相對，「纖纖」可呼應上句的「可拈」，故選(D)。
6,111年學測-國文科第7題,B,1.0,B,正確的答案：(B)解釋：從文中可知，不龜手之藥原本是宋人用來治療洴澼絖（一種手部疾病）的藥方，只能賣數金。但客人買下這個藥方後，卻用它來幫助吳王打敗越國，因此獲得封地的重賞。可見這個看似只能治療手疾的藥方，卻能帶來意想不到的效益。(A)不對，宋人原本認為藥方只值數金，是客人出價百金。(C)不對，文中沒提到越人用它來治療洴澼絖。(D)不對，吳王是用此藥方打敗越國，不是為了爭奪它而攻打越國。
7,111年學測-國文科第8題,B,0.0,C,正確的答案：(C)解釋：根據文中的敘述，曹操頒布的經濟紓困方案中提到：「女年七十已上無夫子，若年十二已下無父母兄弟，......廩食終身，幼者至十二止。」可知國家會給予七十歲以上的老婦與十二歲以下的幼兒終身照顧，而幼兒滿十二歲後就不再適用此方案。(A)文中提到疫癘與軍興影響經濟，但沒有提到大量人民死亡。(B)身體殘疾者確實列入紓困對象，但還需要同時符合家無財產、無親屬照顧的條件。(D)貧窮者是「隨口給貸」，九十歲以上長者是「復不事」，兩者適用的紓困方案並不相同。因此(C)選項的敘述最為適當。
8,111年學測-國文科第9題,C,1.0,C,正確的答案：(C)解釋：根據文中的說明，「媜」字从女从貞，寓意品德貞潔的女子。而其他選項的說法都與文中的描述不符：(A)「媜」字讀音如「爭」，而非「楨、嫃」的讀音。(B)文中提到「媜」字讓作者聯想到善占卜的女巫形象，但並未提及在甲骨文中有此意涵。(D)《康熙字典》收有「媜」字，但並未將其釋義為女子寫得一手好字。因此，(C)選項最符合文中對「媜」字的說明。
9,111年學測-國文科第10題,B,0.0,C,正確的答案：(C)解釋：根據文中敘述，作者曾將自己的名字寫成「楨」與「嫃」，但並未提及讀音錯誤。文中提到：「大學時上聲韻學，得知『媜』字確實念『爭』」，顯示作者在大學時才知道正確讀音，而非一直讀錯。(A)、(B)、(D)三個選項都符合文意：(A) 作者直到高中入學被大嬸譏笑，第一次翻看戶口名簿，才發現自己的名字是「媜」。(B) 從小學四年級到高中前，作者都將自己的名字寫成「嫃」。(D) 作者提到「從女从貞」的寓意是品德貞潔女子，但她更喜歡將「媜」字解讀為一個善占卜的女巫形象。因此，(C)選項最不符合文意。
10,111年學測-國文科第11題,B,0.0,A,"正確的答案：(A)解釋：1. ""一位大嬸""中的""一位""表示大嬸的身分地位。2. ""一手好字""中的""一手""形容寫字的能力。3. ""一口寶鼎""中的""一口""描述寶鼎的形狀大小。以上三組詞語中，數詞都提供了後面名詞的形貌訊息。4. ""一桿稱仔""的""一桿""意思相當於""一個""，但後面接的""稱仔""是可數名詞。5. ""一船星輝""的""一船""是修辭手法，不能簡單理解為""一個""。6. ""一碟茴香豆""的""一碟""表示分量，不能簡單理解為""一個""。因此，選項(A)的敘述最為恰當。"
