,info,answer,score,generated_answer,detailed_generated_answer
0,111年學測-國文科第1題,A,0.0,B,"正確的答案：(B)解釋：(A) ""痺""讀ㄅㄧˋ,前後音不同    ""髀""讀ㄅㄧˋ,前後音不同(B) ""忮""讀ㄓㄨㄣˇ,前後音相同    ""庋""讀ㄓㄨㄣˇ,前後音相同 (C) ""攢""讀ㄘㄨㄢˇ,前後音不同    ""鑽""讀ㄗㄨㄢˋ,前後音不同(D) ""剜""讀ㄨㄢˋ,前後音不同      ""腕""讀ㄨㄛˋ,前後音不同所以只有(B)的""忮""和""庋""字的讀音前後相同。"
1,111年學測-國文科第2題,B,0.0,A,"正確的答案：(A)解釋：(A)此句沒有錯別字。(B)「闃」字少見,應為「肅」肅然無聲。(C)「驅之若鶩」用錯成語,應為「驅之若狂」。(D)「一本萬利」用錯成語,應為「一攫千金」或「一攫巨萬」。因此,(A)觀音山,故名思義是因遠眺貌似觀音躺臥而得名,是完全沒有錯別字的句子。"
2,111年學測-國文科第3題,A,0.0,C,"正確的答案：(C)解釋：(A) ""白駒過隙""比喻時光飛逝,與""變化無常""意思相符,用詞恰當。(B) ""竭澤而漁""比喻濫捕耗盡資源,與""一味索求而不節制""的意思相符,用詞恰當。(C) ""頭角崢嶸""原意是指山峰高聳,用來形容""在文創產業""顯然不恰當。(D) ""進退維谷""比喻進退兩難的困境,與""心慌意亂,難以抉擇""的意思相符,用詞恰當。因此(C)選項中""頭角崢嶸""一詞用於描述""在文創產業""是不恰當的。"
3,111年學測-國文科第4題,C,1.0,C,"正確的答案：(C)解釋：根據題幹資訊可知，斯卡羅族在日治時期以和平合作的態度迅速成立國語傳習所，學習日語。這種同化政策導致族人逐漸失去自我認同,族群日趨式微。因此選項(C)「族人響應日人政策設校學日語,間接導致族群日趨式微」最為適當。(A)錯誤,題幹沒有提到漢人文化對傳統習俗的衝擊,導致避居外地。(B)錯誤,題幹提到斯卡羅族居住在低海拔地區,但沒有提到生活條件不良。(D)錯誤,題幹提到大正6年時斯卡羅族總戶數約210戶,並未超過一半遷居豬朥束社。"
4,111年學測-國文科第5題,A,1.0,A,"正確的答案：(A)解釋：根據文意，""不求甚解的讀書態度""是強調一種直覺的審美體驗,不需要過度理性分析和解釋。選項(A)""毋須經由純理性的知解鍛造""正符合這種態度的特點。(B)錯誤,文中提到""不求甚解""不僅適用於詩歌,也適用於其他文學作品。(C)錯誤,文中說""借助於文字符號的撩撥"",仍需要理解文字符號的基本涵義。(D)錯誤,文中強調的是個人的主觀美感體驗,不需契合公認的審美內涵。因此,(A)選項最符合文意,是正確答案。"
5,111年學測-國文科第6題,B,1.0,B,"正確的答案：(B)解釋：甲、""灩澦既沒孤根深""一句描寫樹木根深，接下來""西來水多愁太陰""一句描寫水流蕭瑟,因此□□應填入""漠漠""形容蕭條的景象。乙、""舍西柔桑葉可拈""描寫柳樹嫩葉,接下來""江畔細麥復□□""應填入""時時""描寫小麥不斷重新生長的情景。因此正確答案為(B)漠漠/時時。"
6,111年學測-國文科第7題,B,1.0,B,"正確的答案：(B)解釋：根據文中""宋人有善為不龜手之藥者,世世以洴澼絖為事。客聞之,請買其方百金。""可知不龜手之藥本來只是用來治療洴澼絖(一種皮膚病)的藥物,功能單一。但客人願意出百金買下製作方法,顯示這種藥物除了治療洴澼絖之外,還能帶來其他不同的效益,例如戰爭中的運用。因此選項(B)""它功能單一卻帶來不同效益""的敘述最為適當。其他選項說明:(A)文中沒有提到實際價格為百金(C)文中只說宋人用它治療洴澼絖,沒提到越人(D)吳王是因為得知這種藥物的秘方,才派遣軍隊攻打越國,並非為了爭奪藥物本身"
7,111年學測-國文科第8題,B,1.0,B,"正確的答案：(B)解釋：根據文中""女年七十已上無夫子，若年十二已下無父母兄弟，及目無所見，手不能作，足不能行，而無妻子父兄產業者，廩食終身，幼者至十二止。""可知，對於70歲以上無依無靠的老婦人，以及12歲以下無父母兄弟可撫養的孤兒，若又有殘疾無法自理，國家將終身供給口糧。因此選項(B)陳述最為恰當。(A)錯誤，文中未提及疫癘與軍隊劫掠導致大量人民死亡。(C)錯誤，文中僅提及12歲以下孤兒可獲終身供給，未提及70歲以上老婦。(D)錯誤，文中提到""貧窮不能自贍者，隨口給貸""與""老耄須待養者，年九十已上，復不事，家一人""為兩種不同的紓困對象與方案。"
8,111年學測-國文科第9題,C,1.0,C,"正確的答案：(C)解釋：根據文章內容，作者提到《康熙字典》收有「媜」字,從字面推想,「媜」字从女从貞,寓意品德貞潔女子。因此選項(C)「可以被聯想成品德貞潔的女子」是對「媜」字最適當的說明。(A)選項錯誤,文中提到「媜」字讀音如「爭」非「真」,與「楨」、「嫃」讀音不同。(B)選項錯誤,文中雖提到甲骨文字形似寶鼎加神杖,但並未明確指出「媜」字在甲骨文中象徵占卜女巫。(D)選項錯誤,文中只提到「簡」本是遠古書寫用的竹片,並未提到《康熙字典》將「媜」字釋為女子寫得一手好字。"
9,111年學測-國文科第10題,B,0.0,D,"正確的答案：(D)解釋：根據文章最後一段""相較於从女从貞的寓意，作者更愛這麼想：一個善占卜的女巫。""可知,(D)相較於从女从貞的寓意，作者更喜愛女巫形象這個選項是錯誤的。文中提到作者一開始將名字寫成""楨""和""嫃""(A)(B)(C)都是正確的。作者後來發現自己的名字原來是""媜""字,雖然一開始不知道它的意思,但後來在上課時了解到""媜""字的涵義,並喜歡將它聯想成一個善占卜的女巫形象,而不是从女从貞的傳統寓意品德貞潔女子。因此(D)選項與作者的想法不符。"
10,111年學測-國文科第11題,B,1.0,B,"正確的答案：(B)解釋：1. ""一位大嬸""中的""一位""相當於""一個""，用於可數名詞""大嬸""前面。2. ""一手好字""中的""一手""不是數量詞,而是形容詞性語詞,描述""好字""的狀態。3. ""一口寶鼎""中的""一口""相當於""一個"",用於可數名詞""寶鼎""前面。4. ""一桿稱仔""中的""一桿""相當於""一個"",用於可數名詞""稱仔""前面。5. ""一船星輝""中的""一船""不太常見,但也可理解為""一艘船""的星輝,用於可數名詞""星輝""前面。6. ""一碟茴香豆""中的""一碟""相當於""一盤"",用於可數名詞""茴香豆""前面。因此,選項(B)""1,3,4意思相當於「個」,其後皆為可數的名詞""的敘述最為適當。1、3、4中的數詞都相當於""個"",後接可數名詞。"
11,111年學測-國文科第12題,A,0.0,B,"正確的答案：(B)解釋：根據文中""偶拈一則，如遊舊徑，如見故人、城郭、人民，翻用自喜，真所謂癡人前不得說夢矣。""這一句可看出張岱對於自己隨手拈來的寫作方式感到欣喜。因此選項(B)""對信手拈來的寫法感到欣喜""是最適當的描述。(A)錯誤，文中只提到""五十年來，總成一夢""，並未具體回憶五十年的人生經歷。(C)錯誤，文中只提到""雞鳴枕上""，並未說明是在深夜寫書直到雞鳴才擱筆。(D)錯誤，文中只提到""過眼皆空""，並未明確表示早年就已經悟透繁華如夢，且也沒有提到在書中深自懺悔。"
12,111年學測-國文科第13題,C,0.0,B,"正確的答案：(B)解釋：文中提到""腳夫""為人擔酒，失足破甕後""念無以償，癡坐佇想曰：'得是夢便好。'""可見他專注於自己的工作,對於突發狀況只希望是一場夢。另一方面,""寒士鄉試中式,方赴鹿鳴宴""描述了一位考生高中後即將赴宴,卻""恍然猶意非真,自嚙其臂曰：'莫是夢否?'""可見他專注於應考的事,對於即將到來的慶祝活動反而產生疑慮,認為可能是夢境。因此,(B)""腳夫和寒士各有其專注執著的興趣""這個選項最為恰當,能概括二人的處境與心態。"
13,111年學測-國文科第14題,A,1.0,A,"正確的答案：(A)解釋：(A)選項說作者""無法預先了解後人對自己畫作的評價,也就不在意任何評論""。但根據原文""莫自知其鳩拙云爾""的語氣,作者是謙虛地自陳畫作的拙劣,並非對後人評論不在意。所以這個選項與原文意思不符。(B)這個選項說""既然有志於丹青之道,總要努力以赴,愚拙與否便毋須介懷""。符合原文作者雖自知拙劣但仍有志於畫作的精神,是正確的解釋。(C)原文確實提到""停機教子之餘,調藥助夫之暇"",暗示作者只能利用閒暇時間創作,所以這個選項也是合理的解釋。(D)原文""率意而鴉塗""用了""率意""一詞,可看出作者對於創作的渴望是強烈的,所以這個選項的解釋也正確。綜合來看,(A)選項的解釋與原文意思最為違背,其餘三個選項都是合理的解釋,因此(A)為最不可能的選擇。"
14,111年學測-國文科第15題,D,1.0,D,"正確的答案：(D)解釋：根據乙文""詩中之溫、李，詞中之周、柳，皆以柔豔擅長，男子且然，況於女子寫其本色，亦復何妨？""可知作者認為女子創作時可以直接表達自己柔美的一面,不需模仿男性作家。而乙文開頭""茲就詞章論,世多訾女子之作,大抵裁紅刻翠,寫怨言情,千篇一律,不脫閨人口吻者。予以為抒寫性情,本應各如其分,惟須推陳出新,不襲窠臼,尤貴格律雋雅,情性真切,即為佳作。""作者認為女子創作應推陳出新,不應千篇一律,而是要真誠表達自己的感受,這與選項(D)的觀點相符。因此,(D)選項""女子創作可不忌裁紅刻翠,但直寫自己的真誠感受""最符合乙文的意旨。"
15,111年學測-國文科第16題,C,0.0,A,"正確的答案：(A)解釋：(A)正確。甲文中""停機教子之餘,調藥助夫之暇""這句話,透露出張李德和在創作時,仍然遵循傳統性別角色規範,即女性的主要職責是教育子女和侍奉丈夫,創作只是餘暇之事。(B)錯誤。乙文認為女性創作應推陳出新,不應千篇一律地寫""怨言情""等傳統女性題材,並未認同""柔豔""是女性創作的本色。(C)錯誤。甲乙二文都沒有從性別角度論證創作的合宜性,只是分別表達了自己對創作的看法。(D)錯誤。乙文舉例的女性作家如溫、李、周、柳等,都是傳統女性作家,與甲文舉例的前輩作家沒有太大區別,都未能真正破除當時的性別刻板印象。"
16,111年學測-國文科第17題,B,1.0,B,"正確的答案：(B)解釋：(A)(C)(D)這些選項的詩句風格較為蕭瑟、淒清或沉鬱,與柔豔風格不太相符。只有(B)選項""朔雁傳書絕,湘篁染淚多。無由見顏色,還自託微波""這首詞作描寫女子相思情懷,用詞婉約含蓄,有柔美婉轉之致,最接近乙文所說的""柔豔擅長""的風格。因此,(B)選項最符合題意,是正確答案。"
17,111年學測-國文科第18題,A,0.0,C,"正確的答案：(C)解釋：在這個文言文的語境中,""厭""字的意思是""倦""、""厭煩""的意思。選項(A)的""厭""字意指""疲勞""、""勞累""。選項(B)的""厭""字意指""憎惡""、""嫌棄""。選項(C)的""淡而不厭""指""平淡而不會感到厭煩""，與原文的""王欲無厭""的用意相同,都是指不會感到厭倦的意思。選項(D)的""厭""字則是指""棄舊迎新""、""改變""的意思。所以(C)選項中""厭""字的意義與原文中最為貼近。"
18,111年學測-國文科第19題,D,1.0,D,"正確的答案：(D)解釋：根據文中""芮季曰：「不如捐之。王欲無厭，而多信人之言。今以師歸而獻馬焉，王之左右必以子獲為不止一馬，而皆求於子。子無以應之，則將嘵於王，王必信之。是賈禍也。」""可知芮季認為獻馬會使王想得更多馬，而芮伯無法滿足王的需求，將會遭到王的譴責。而文中""君子謂芮伯亦有罪焉。爾知王之瀆貨而啟之，芮伯之罪也。""也表示君子認為芮伯獻馬的行為使王想得更多馬，因此有罪。所以芮季和君子對芮伯獻馬的看法是一致的，都認為會使王想得更多馬，選項(D)正確。"
19,111年學測-國文科第20題,C,0.0,B,"正確的答案：(B)解釋：(A)資料中提到鄭崇和是乾隆40年時隨三世長子鄭國周等人來臺定居後龍,當時他已不是19歲。(C)資料中提到鄭崇和收養的是大哥鄭崇聰之子用鍾,而非自己的長子。(D)資料中提到鄭崇和之妻卒於道光25年,原葬寶斗仁山,後移葬與鄭崇和同穴,所以妻子並非較早逝世。(B)資料中提到鄭崇和生前雖無功名,但其子用錫是道光3年進士,官至禮部員外郎。由於子貴,鄭崇和去世後獲誥贈二品通奉大夫。因此這個選項正確。"
20,111年學測-國文科第21題,D,0.0,A,"正確的答案：(A)解釋：根據資料乙，鄭崇和臨終前交代子孫""勿惑堪輿家言，貪尋吉地，為福利計""，顯示他不願子孫迷信擇地求福之說。而資料乙也提到""將來為吉為凶，爾輩自取之，何與墳塋？""進一步強調他不在意風水等迷信說法。因此選項(A)的敘述最為適當。選項(B)錯誤,因為資料中沒有提到鄭用錫等另外擇地遷葬的情況。選項(C)錯誤,資料中提到墓始建於道光7年,規制悉依《大清會典事例》,並未提及是因鄭用錫中進士而擴大規模。選項(D)錯誤,資料中只提到""獲朝廷同意入祀鄉賢祠"",並未說明是否為家族的無上光榮。"
21,111年學測-國文科第22題,D,1.0,D,"正確的答案：(D)解釋：根據資料甲提到""在臺灣現存古墓中，鄭崇和墓規模僅次於嘉義王得祿（一品官）墓，與新竹鄭用錫墓相似。""可知王得祿墓的規模僅次於鄭崇和墓，規模宏大，應具有相當的歷史價值，因此○2的推論""王得祿墓的歷史價值，可能是被列入古蹟的條件之一""是正確的。而關於○1""鄭用錫墓展現清代「營造技術流派特色」，而列為國定古蹟""的推論，資料中並未提及鄭用錫墓的營造技術特色，無法判斷是否符合資料丙中""表現各時代營造技術流派特色""的古蹟指定基準，因此○1的推論是無法判斷的。所以正確答案為(D)○1無法判斷，○2正確。"
22,111年學測-國文科第23題,C,1.0,C,"正確的答案：(C)解釋：(A)錯誤。根據資料甲朱熹解說○2""畏天命""三字好,是理會得道理,便謹去做,不敢違,便是畏之也。可見君子應當畏天命,而非得識天命所歸。(B)正確。資料甲原文指出小人不知天命,而不畏也,符合此敘述。(C)錯誤。資料甲原文及朱熹解說都沒有提到""天命可知遂不可畏""的說法,反而強調君子應當畏天命。(D)正確。資料甲原文直指小人不畏天命,而且狎大人,侮聖人之言,符合此敘述。綜合來看,(C)不符合資料甲的意旨,因此(C)為正確答案。"
23,111年學測-國文科第24題,D,1.0,D,"正確的答案：(D)解釋：根據題幹中引用的《孟子》原文和朱熹的解釋，孟子所藐視的""大人""指的是那些過於追求外在的富貴榮華、堂高數仞等虛榮之物的人。(A) 鄭文公無禮於晉、貳於楚,屬於政治上的失德失節,與追求虛榮無直接關係。(B) 項羽雖然驕傲,但主要表現在他的個人性格,不見得就是追求虛榮。(C) 劉備嘆息痛恨桓靈,是出於政治理想的失意,與虛榮也無直接關係。(D) 楊素""奢貴自奉,禮異人臣。每公卿入言,賓客上謁,未嘗不踞床而見""這種行為正好體現了過於追求虛榮富貴、自我陶醉的心態,與孟子所批評的""大人""最為貼切。因此,(D)楊素的言行表現最接近孟子所藐視的""大人""。"
24,111年學測-國文科第25題,C,1.0,C,"正確的答案：(C)解釋：根據資料甲中朱熹對《論語》的解釋,所謂""大人""是指""有位、有齒、有德者""。而資料乙中孟子雖說""藐大人"",但朱熹解釋說孟子所藐的是那些""堂高數仞,榱題數尺""之類的虛有其表的大人,而不是真正合乎古制、有德行的大人。因此選項(C)""合於古制的大人,當不為孟子所藐,且同於孔子所畏""是最恰當的。(A)錯誤,資料沒有提到小人所狎的是那些徒有高位而無德行的人。(B)錯誤,資料沒有提到小人無法知天命是因為專為狎大人、侮聖人之事。(D)錯誤,資料沒有提到孟子提出藐大人是因為自己無意於大人之位。"
25,111年學測-國文科第26題,BD,0.19999999999999996,AB,"正確的答案：(A)、(B)解釋：(A) 前後""有""字的意思都是""擁有""的意思。(B) 前後""悉""字的意思都是""全部""的意思。(C) 前後""見""字的意義不同，前者為""看見""，後者為""顯露""。(D) 前後""內""字的意義不同，前者為""進入""，後者為""內地""。(E) 前後""已""字的意義不同，前者為""已經""，後者為""不再""。因此選項(A)、(B)的詞語前後意義相同。"
