,info,answer,score,generated_answer,detailed_generated_answer
0,111年學測-自然科第3題,B,1.0,B,                         正確的答案：(B)                           解釋：                           (A)重力 = (質量*重力加速度)^2*半徑≒常數                            (B)𝑟𝑀9.3 𝑟𝑅0.10=1 𝑟𝑅1.86 𝑟𝑀→1.86*9.3=0.37                           (C)0.72*1.86=0.37                           (D)0.93*1.86=0.93                           (E)1.86*0.10=0.186
1,111年學測-自然科第4題,DE,1.0,DE,                         正確的答案：(D)(E)                           解釋：                           (D)電磁力作用：影響陰雨天、下雨前空氣潮濕等現象。                            (E)重力作用：影響地球上所有的物質之運動。                            因此選(D)(E)。
2,111年學測-自然科第5題,A,1.0,A,                         正確的答案：(A)                           解釋：                          工作能量單位：焦耳＝質量（公斤）×速率平方（公尺2/秒2）=mgs2 動能：能量=12mv2=12（公斤·公尺2/秒2）=12（公斤·公尺2/秒2）=1焦耳 故W=12mv2=1焦耳 球體的動能W=12mv2=3600焦耳→v2=3600/12=30公尺/秒 (B)(C)(D)(E)不符合◎正確的答案：(A)
3,111年學測-自然科第9題,B,1.0,B,                         正確的答案：(B)                           解釋：                           (A)馬克士威以能量守恆為基礎提出光電效應的解釋。                           (B)愛因斯坦以光子模型解釋光電效應。                           (C)拉塞福利用α粒子撞擊金屬薄膜探究原子結構。                           (D)波耳首先觀測到原子能階的能量狀態。                           (E)波耳氫原子模型的建構比拉塞福的原子模型來得晚。                           因此選(B)。
4,111年學測-自然科第14題,C,1.0,C,                         正確的答案：(C)                           解釋： 首先計算辛烷的分子量：C8H18=（8×12）＋（18×1）=114（此計算為方便而忽略實際分子量為整數的碳與氫原子） 再計算辛烷的質量：50L×0.70g/cm3=3500g=3.5kg 再計算辛烷的莫耳質量：3.5kg/114=0.0305莫耳 一公升為1000克，故辛烷的莫耳質量為：10003.5=0.0305 0.0305莫耳×1000（克）=0.305（莫耳） 一公畝的森林平均每天可吸收16公斤的CO2為160000克 故辛烷完全燃燒時，所產生的CO2為0.305莫耳×114（克）/莫耳=35000（克） 一公畝的森林一天所吸收的CO2為160000（克） 故辛烷完全燃燒時，所產生的CO2為160000（克）/14（天）=11430（克/天） 因此，辛烷完全燃燒時，所產生的CO2為50L×0.70g/cm3=3500g=3.5kg 所產生的CO2 約為一公畝森林50L×160000（克）/14（天）=160000（克） 故 50L×0.70g/cm3=3500g=3.5kg 所產生的CO2 約為一公畝森林 1430（克/天） 故  (C)50L×0.70g/cm3=3500g=3.5kg 所產生的CO2 約為一公畝森林 14天的吸收量 
5,111年學測-自然科第18題,AD,1.0,AD,                         正確的答案：(A)、(D)                           解釋：                           (A)酵素不是由胺基酸聚合而成，而是由蛋白質構成。                           (B)胃蛋白酶在pH=7.4的環境其活性並不最佳，在pH=1.5∼3.5有最佳活性。                           (C)溫度越高時，酵素的催化能力並不越強，通常會有最佳作用溫度，過高時會導致酵素失去活性。                           (D)過多的制酸劑會降低胃蛋白酶的催化能力，不是降低蛋白酶本身的活性。                           (E)胃蛋白酶主要作用為蛋白質的消化，不會分解澱粉。
6,111年學測-自然科第19題,B,1.0,B,                         正確的答案：(B)                           解釋：                            (A)細胞分裂前有雙套染色體，因此DNA以螢光染色後之強度為平均值。                            (C)細胞分裂完成時，仍會因細胞質分裂而形成具有單套染色體的子細胞，因此DNA以螢光染色後之強度為弱。                            (C) （E） 
7,111年學測-自然科第20題,BC,0.19999999999999996,CD,                         正確的答案：(C)、(D)                           解釋：                           (C)皮膚細胞可進行有絲分裂，而木質部細胞與根尖細胞不分會分裂，因此會得到細胞分裂進行中的結果。                            (D)成熟神經細胞不會分裂，而受傷後修復中的皮膚細胞會進行細胞分裂。                            (B) 植物根尖具有核，且不會進行細胞分裂。                            (A) 植物木質部具有核，但會進行細胞停止分裂並膨脹的細胞核（中心粒）。 
8,111年學測-自然科第21題,ACE,1.0,ACE,                          正確的答案：(A)、(C)、(E)                           解釋：                           (A)、(C)在某些真核細胞中進行，例如光合作用在葉綠體中進行、有氧呼吸在細胞質中進行。 (B)發酵作用在細胞質中進行。 (D)由於有氧呼吸在細胞質中進行，因此呼吸作用不是在粒線體中進行。 (E)由於有氧呼吸產生ATP的過程在細胞質中進行，因此呼吸作用不是在粒線體中進行，有些植物可以同時進行光合作用和有氧呼吸。
9,111年學測-自然科第22題,BC,0.19999999999999996,CE,                          正確的答案：(C)、(E)                           解釋：                           (C)染色體學之父漢金提出染色體的概念後不久，科學家即在減數分裂中的動物及植 物材料中，觀察到具有與孟德爾獨立分配律相似的現象，其中具雙套染色體之 基因位於同一條染色體上的基因，仍然遵循孟德爾獨立分配律。  (E)孟德爾遺傳法則雖基於實驗觀察統計而得來，卻可以適用於具複雜多基因 之性狀遺傳的生物，亦適用於單套染色體之生物，亦可適用於病毒。 故(B)及(D)選項不正確，否則孟德爾遺傳法則不會可以適用於含DNA之單套 染色體之生物。 
