,info,answer,score,generated_answer,detailed_generated_answer
0,111年學測-自然科第3題,B,1.0,B,                           正確的答案：(B)                           解釋：                           由質量和重力公式 G = m * g = G * RE^2 / RM^2 可得，地球和火星的重力加速度之比為 G_E/G_M = (mE/mM) * (RM/RE)^2 = 9.3 * (1.86)^2 ≈ 3.35                           所以，同一物體在火星表面所受的重力為地球表面重力的 3.35 倍，即 0.37 倍。                           故正确答案为 (B)。
1,111年學測-自然科第4題,DE,1.0,ED,                           正確的答案：(E)、(D)                           解釋：                           (E)重力：地球引力對大氣運動和天氣現象有著重要影響，例如風向、風速、雲的形成等。                           (D)電磁力：電場和磁場的交互作用影響了空氣分子的運動，進而影響天氣，如雷暴、極光等現象。                           (A)、(B)、(C)對天氣影響較小，屬於基本粒子物理作用，而非天氣現象的主要成因。
2,111年學測-自然科第5題,A,0.0,C,                           正確的答案：(C)                           解釋：                           根據动能公式 K = 1/2mv^2，其中 K 是動能，m 是質量，v 是速率。將已知數值代入公式，我們得到：                           3600 = 1/2 * 720 * v^2                           解這個方程，我們得到：                           v^2 = 3600 / (1/2 * 720) = 5                           所以 v = sqrt(5) ≈ 2.236                           但因為球體的速率需要為整數，我們需要取最接近的整數，即 2.236 的四捨五入值，因此球體的速率約為 2.236 * 10^2 公尺/秒，簡寫為 2.236 * 10^2 或 2.24 * 10^2。為了符合題目要求，我們通常會選擇最接近的整數，因此答案為 10^2，即 104 公尺/秒。
3,111年學測-自然科第9題,B,1.0,B,                           正確的答案：(B)                           解釋：                           (A)馬克士威並未以馬克士威方程式解釋光電效應，而是赫茲。                           (C)拉塞福利用α粒子撞擊金箔來探究原子結構，而非電子。                           (D)波耳首先觀測到氫原子光譜，但波耳的氫原子模型是在1913年提出的，而拉塞福的原子模型在1911年已經提出。                           (E)波耳的氫原子模型是在1913年提出的，而拉塞福的原子模型在1911年已經提出，因此波耳的模型先於拉塞福的模型。                           故選(B)愛因斯坦以光子模型解釋光電效應。
4,111年學測-自然科第14題,C,1.0,C,"                           正確的答案：(C)                           解釋：                           一公畝森林每天可以吸收16公斤的二氧化碳，我們需要計算50公升辛烷完全燃燒後產生的二氧化碳量，然後將這個量除以森林一天的吸收量來得到答案。   C8H18的摩爾質量為 (8 * 12) + (18 * 1) = 114 g/mol   50公升辛烷的質量為 50 * 0.70 g/cm³ = 35 kg   114 g/mol 的辛烷完全燃烧生成 CO2 的摩爾數為 35 / 114 = 0.309 mol   1 摩爾 CO2 總質量為 44 g, 所以 0.309 mol CO2 的質量為 0.309 * 44 = 13.6 g   一公頃 (1 公畝 = 10,000 平方公尺) 每天可以吸收 16 公斤 CO2，換算成克為 16000 克   1 公頃森林每天吸收 CO2 的時間為 16000 克 / 13.6 克/摩爾 = 1176.471 時間單位   1 時間單位為 1 天，因此 1176.471 時間單位等於 1176.471 / 24 小時 = 48.936 天   所以 50 公升辛烷完全燃燒產生的 CO2 約為 1 公頃森林 48.936 天的吸收量，即 6.8 天。                           因此，答案是 (C) 6.8 天。"
5,111年學測-自然科第18題,AD,0.0,BE,                           正確的答案：(B)、(E)                           解釋：                           (A)酵素通常是由多個氨基酸以肽鍵連接而成的多肽，而非胺基酸的聚合物。                           (B)胃蛋白酶在中性(pH=7)環境下活性最高，當pH值偏高或偏低時，活性會下降。                           (D)制酸劑的主要成分是碳酸氫鈉，它能中和胃酸，但並不會降低胃蛋白酶的活性。                           (E)胃蛋白酶可以將澱粉分解成糊精和麥芽糖，進一步分解成葡萄糖。                           因此選(B)(E)
6,111年學測-自然科第19題,B,0.0,E,                           正確的答案：(E)                           解釋：                           (A)細胞分裂過程中，細胞因具雙套染色體，螢光強度最強，而非最弱。                           (B)細胞分裂完成時，細胞具雙套染色體，螢光強度較分裂期時強，而非間期時弱。                           (C)細胞完成DNA複製時，細胞具雙套染色體，螢光強度與間期時相同，並非最強。                           (D)細胞DNA複製時，細胞處於細胞分裂期，而非細胞分裂期。                           (E)細胞完成DNA複製後進入間期，此時細胞具雙套染色體，螢光強度最強，符合題意。
7,111年學測-自然科第20題,BC,0.19999999999999996,CD,                           正確的答案：(C)、(D)                           解釋：                           (A)植物木質部：木質部為維管束鞘，其細胞為高度分化的死細胞，沒有分裂能力。                           (B)植物根尖：根尖為分生組織，但其細胞已經高度分化，且大多數細胞已停止分裂。                           (C)受傷後修復中的皮膚：皮膚組織為生皮組織，具有再生能力，因此存在分裂中的細胞。                           (D)成熟生殖細胞：如精子和卵子，其染色體數量固定，無法進行分裂。                           (E)成熟神經細胞：神經細胞為終身不增殖的細胞，無法進行分裂。                           故選(C)、(D)。
8,111年學測-自然科第21題,ACE,1.0,ACE,                           正确的答案：(A)、(C)、(E)                           解釋：                           (A)光合作用發生在葉綠體中，這是因為葉綠體是光合作用的主要場所，它們含有葉綠素和其他色素，能夠吸收太陽能並轉換為植物可以使用的能量。                           (C)在光合作用中，光能被轉換為化學能，形成葡萄糖，這個過程需要能量，也就是ATP。因此，光合作用過程中會產生ATP。                           (E)有些植物細胞，如藻類和某些菌類，可以同時進行光合作用和呼吸作用，這稱為共生關係，例如藍綠藻和紅藻。                           (B)發酵作用通常在細胞質中進行，而不是粒線體，粒線體主要負責有氧呼吸。                           (D)有氧呼吸的第二和第三階段在細胞質中進行，第一階段在線粒體基質中進行，生成丙酮酸和NADH。
9,111年學測-自然科第22題,BC,1.0,BC,                           正確的答案：(B)、(C)                           解釋：                           (B)孟德爾的遺傳因子假說是一種具符號的抽象概念，他將豌豆的性状分解為不同的遺傳因子，並假設這些遺傳因子可以自由交配和分離，這就是現代遺傳學中基因型的概念。                           (C)分子生物學的中心法則，即中心法則，說明了生物體的遺傳信息儲存在DNA分子上，而孟德爾的遺傳實驗中性狀和遺傳因子之間的關聯性，正是中心法則的應用之一。                           (A)孟德尔的遺傳因子概念與現代遺傳學的基因型概念不同，基因型是指一個生物體所有基因的集合，而遺傳因子是孟德尔用來描述性狀的抽象概念。                           (D)孟德尔的遺傳實驗中，基因是位於染色體上的，但基因並不一定是位於同一条染色體上，因此基因的位置并不影響遺傳的獨立分配律。                           (E)孟德尔的遺傳實驗是在豌豆中進行的，豌豆是真核生物，而病毒是單細胞生物，因此孟德尔的遺傳法則不適用於病毒。                           故選(B)、(C)。
