,info,answer,score,generated_answer,detailed_generated_answer
0,111年學測-自然科第3題,B,1.0,B,                           正確的答案：(B)                           解釋：                           根據萬有引力公式，物體在行星表面所受的重力可以表示為：                           F = G * (mE/mM) * (m/RM^2)                           其中，G 是萬有引力常數，mE 和 mM 分別是地球和火星的質量，m 是物體的質量，RM 是火星的平均半徑。                           由於同一物體的質量 m 是相同的，我們可以將重力 F 除以地球上的重力 F'（即 m * g），得到在火星上所受重力與在地球表面所受重力的比值：                           F/F' = (G * mE/mM * m/RM^2) / (G * mE/mM * m/RE^2)                           化簡可得：                           F/F' = RE^2 / RM^2                           已知 RE/RM ≈ 1.86，因此：                           F/F' ≈ (1.86)^2 ≈ 3.46                           這表示同一物體在火星表面所受的重力約為在地球表面所受重力的 3.46 倍。然而，題目要求的是在火星表面所受重力約為在地球表面所受重力的「多少倍」，因此我們需要取其倒數：                           F/F' ≈ 1/3.46 ≈ 0.29                           最接近的選項是 (B) 0.37。因此，正確答案是 (B)。
1,111年學測-自然科第4題,DE,1.0,ED,                           正確的答案：(E)、(D)                           解釋：                           (E)重力作用是所有物體因為質量而產生的吸引力，由於地球的質量大，重力作用在地球上顯得非常強烈，因此它對日常天氣現象的影響非常明顯，例如大氣層的維持、氣壓差的形成等。                           (D)電磁力作用是帶電粒子之間的相互作用力，它對日常天氣現象的影響也很明顯，主要是因為太陽是帶電粒子團，對地球的電離層產生影響，進而形成大氣環流，也就是我們所見到的風向風力等天氣現象。
2,111年學測-自然科第5題,A,0.0,B,                           正確的答案：(B)                           解釋：                           根據動能公式 E = 1/2 * m * v^2，其中 E 是動能，m 是質量，v 是速率。                           將已知數值代入公式：3600 = 1/2 * 720 * v^2                           解得：v^2 = 3600 * 2 / 720 = 100                           v = √100 = 10                           因此，此球體的速率約為 10 公尺/秒，選項 (B) 正確。
3,111年學測-自然科第9題,B,1.0,B,                           正確的答案：(B)                           解釋：                           (A)馬克士威方程式是馬克士威在1865年提出的電磁場的運動方程式，而光電效應是1887年由海因里希·赫斯發現，1899年由愛因斯坦解釋。                           (B)愛因斯坦於1905年提出光電效應的光子模型解釋，這是正確的。                           (C)拉塞福於1909年利用α粒子散射實驗發現原子的核式結構，並非電子撞擊氫原子。                           (D)波耳於1913年提出原子的量子化模型，並不是首先觀測到氫原子光譜。                           (E)拉塞福的原子核式結構模型於1909年提出，波耳的氫原子模型於1913年提出，因此波耳的模型比拉塞福的模型晚。                           因此選(B)
4,111年學測-自然科第14題,C,0.0,E,"                           正確的答案：(E)                           解釋：                           首先，我們需要計算50公升辛烷的質量。由於辛烷的密度為0.70 g/cm³，分子量為114 g/mol，我們可以進行以下計算：50公升 = 50,000 cm³質量 = 密度 × 體積 = 0.70 g/cm³ × 50,000 cm³ = 35,000 g接著，我們需要計算50公升辛烷完全燃燒產生的CO2質量。根據反應式，1摩爾辛烷產生8摩爾CO2。因此，產生的CO2質量為：35,000 g辛烷 × (1 mol C8H18 / 114 g) × (8 mol CO2 / 1 mol C8H18) × (44 g / 1 mol CO2) = 112,000 g CO2現在，我們可以計算森林需要多少天吸收所產生的CO2：112,000 g CO2 / 16 kg CO2/天 = 7,000天 / 1,000 = 7天因此，所產生的CO2約為一公畝森林7天的吸收量，答案選(E)。"
5,111年學測-自然科第18題,AD,1.0,AD,                           正確的答案：(A)、(D)                           解釋：                           (A)酵素是生物體內的蛋白質，主要由胺基酸組成，因此是胺基酸的聚合物。                           (B)胃蛋白酶在胃中，pH值約為2左右，不是pH=7.4，所以錯誤。                           (C)胃蛋白酶的適宜溫度約在37℃左右，過高或過低的溫度都會影響其活性，所以錯誤。                           (D)制酸劑會降低胃內的pH值，改變胃蛋白酶的結構，使其失去活性，所以正確。                           (E)胃蛋白酶主要作用於蛋白質，對澱粉無作用，所以錯誤。                           因此選(A)(D)
6,111年學測-自然科第19題,B,0.0,C,                           正確的答案：(C)                           解釋：                           在細胞有絲分裂的過程中，細胞在完成DNA複製時，細胞中的染色體會暫時加倍，成為三套染色體，因此螢光強度會最強。                           (A)在有絲分裂過程中，細胞通常不會具單套染色體，除非是處於細胞死亡或分裂的起始階段。                           (B)細胞分裂完成時，細胞會恢復為雙套染色體，螢光強度會較前期時弱，而非間期。                           (D)細胞DNA複製時，是處於細胞分裂的間期，而非分裂期。                           (E)細胞完成DNA複製後進入間期，此時螢光強度最強，因為DNA剛複製完成，螢光物質與DNA結合最為活躍。
7,111年學測-自然科第20題,BC,1.0,BC,                           正確的答案：(B)、(C)                           解釋：                           (B)植物根尖處於分生區的細胞可以進行有絲分裂，因此是細胞分裂進行中的結果。                           (C)受傷後修復中的皮膚包含生長階段的細胞，可以進行有絲分裂，因此是細胞分裂進行中的結果。                           (A)植物木質部細胞已高度分化，不再進行分裂。                           (D)成熟生殖細胞是經過減數分裂後形成的，其染色體數目已减半，不再進行分裂。                           (E)成熟神經細胞已高度分化，不再進行分裂。                           因此選(B)(C)
8,111年學測-自然科第21題,ACE,1.0,ACE,                           正確的答案：(A)、(C)、(E)                           解釋：                           (A)真核生物的光合作用在細胞內的葉綠體中進行。                           (B)發酵作用是在無氧條件下，酵母菌等微生物進行分解作用產生的，並非在粒線體中進行。                           (C)光合作用過程中，光能轉化為化學能，儲存在生成的物質中，同時產生ATP。                           (D)有氧呼吸產生ATP的過程包括三個階段，第一階段在細胞質中進行，但主要產ATP的階段在粒線體中進行。                           (E)在某些植物細胞中，光合作用和有氧呼吸可以同時進行，前者在葉綠體，後者在粒線體。                           因此選(A)(C)(E)
9,111年學測-自然科第22題,BC,1.0,BC,                           正確的答案：(B)、(C)                           解釋：                           (B)孟德爾的遺傳因子是一個抽象的概念，用來描述豌豆性狀的遺傳，並非實際存在的物質。                           (C)分子生物學的中心法則確實解釋了孟德爾實驗中性狀和遺傳因子之間的關聯性，包括DNA的遺傳訊息的轉錄和翻譯。                           錯誤選項解釋：                           (A)孟德爾的遺傳因子是指單個的等位基因，而非現代遺傳學中的兩個基因型。                           (D)位於同一條染色體上的基因，因為隨機分配，遵循孟德爾分配律的比例較低。                           (E)孟德爾的法則適用於含DNA的生物，但不適用於病毒，因為病毒的遺傳物質可能是RNA。
