,info,answer,score,generated_answer,detailed_generated_answer
0,111年學測-社會科第1題,B,1,B,                           正确的答案：(B)                           解釋：                           根據表 1 中提供的數據，原住民族罹患心理疾病比率、自殺率和平均壽命與全體人口相比存在顯著差異。根據數據，原住民族罹患心理疾病比率為 14.2%，而全體人口的比率為 9.0%。這意味著原住民族的心理疾病患病率遠高于一般人群，且這種差距在不同年份和地域有所擴大。根據表 1 中的數據，原住民族的自殺率為 15.7%，而全體人口的比率為 8.8%。這表明原住民族的自殺率也比一般人群高出不少，且這種差距在不同年份和地域有所擴大。再考慮平均壽命，原住民族的平均壽命為 69.3 岁，而全體人口的平均壽命為 76.1 岁。這表明原住民族的平均壽命較短，且這種差距在不同年份和地域有所擴大。綜合以上分析，最可能引導社自殺率上升的原因是原住民族個人缺少為自己健康負責的態度。他們可能因自身身體狀況不佳、心理健康問題、家庭背景等因素，缺乏自我保健意識和自我管理能力，導致自殺風險增加。因此，答案為 (B)。
1,111年學測-社會科第2題,C,0,B,                           正确的答案：(B)                           解釋：                           (B)肯認多元認同，不易服從單一的政治領袖是該學者所指的最根本差異。民主國家通常具備多元認同的文化背景，每個公民都可能有自己的政治信仰和價值觀，因此政治領袖和執政黨之間不存在全民效忠服從的問題。相反，一個民主國家的政黨通常需要得到大部分公民的支持才能獲得議席，並且必須接受人民的監督和影響，以確保政策符合人民的利益和期望。此外，民主國家的政黨通常會進行多黨競選，以便吸引不同政治理念和觀點的選民，並通過組合不同的政黨來實現多元化的政治格局。因此，(B)是該學者所指的最根本差異。
2,111年學測-社會科第3題,B,0,A,                           正确的答案：(A)                           解釋：                           根據表 2 中提供的數據，男性和女性的遺產繼承比例相差甚大，這主要是因為民法繼承法律在繼承權利方面採用了性別平等的原則。根據民法第109條規定，男女在繼承權上的平等分配是民法的基本原則之一，因此，如果一個國家或地區的財產制度遵循這種原則，那麼在遺產繼承中，男女之間的遺產分配比例應該會接近平均值，即64%對36%，72%對28%。選擇(A)的原因是，民法繼承法律在繼承權利方面的平等分配原则符合上述數據所反映的性別差異。這個原則確保了男女在繼承權上的平等分配，避免了因遺產分配不公平而導致的性別差距。因此，選擇(A)作為答案，可以合理地解释表 2 中數據所顯示的性別差異與民法繼承法律所遵循的性別平等原則之間的關係。
3,111年學測-社會科第4題,B,1,B,                           正确的答案：(B)                           解釋：                           根據表3，如果政府今年補助額為6000元，而去年補助額為8000元，那麼今年補助額比去年增加了2000元。根據題目的描述，政府補助額的增加意味著更多人愿意淘汰舊機車，並且今年的政策相比去年更能改善空氣汙染。首先，政府補助額的增加使得購買新機車的成本降低，因此更多人會考慮購買新機車。這意味著更多的新機車被購置，進而減少舊機車的存儲和使用，從而減少空氣污染。此外，新機車的價格通常比舊機車便宜，因此更多人會選擇購買新機車，而不是舊機車。其次，政府補助額的增加也提高了舊機車的回收率。當人們更愿意淘汰舊機車時，他們可能會將這些機車送到回收中心進行處理，這樣可以減少新的機車生產所需的原材料和能源消耗，進一步減少了空氣污染。總之，政府補助額的增加使得更多人愿意淘汰舊機車，並且今年的政策相比去年更能改善空氣汙染。因此，答案是(B)更多人願意汰舊換新，且今年的政策比較能改善空氣汙染。
4,111年學測-社會科第5題,A,0,C,                           正确的答案：(C)文化的類型與變遷                           解釋：                           本題考查「歷史考察」主題的內容，根據題目的描述，該課程要求學生搜集族譜、臺灣總督府旅券（護照）、同鄉會名簿等史料，進而了解這些史料對研究當地文化類型與變遷的重要影響。1. **族譜**：族譜是一種記錄家族血統和世系的書籍，通常包括祖先的名字、出生年份、死亡日期、婚姻關係等信息。透過族譜，可以了解到不同族群之間的聯繫和遷徙，以及他們的文化背景和習俗。2. **臺灣總督府旅券（護照）**：這是一種官方文件，用於證明旅客的身份和旅行許可證。它反映了當時臺灣的政治、經濟和社會地位，以及人們對於外來者的認同和尊重。通過旅券，可以了解當時臺灣的外交政策、移民政策、商業發展等方面的信息，以及不同民族間的交往和文化交流。3. **同鄉會名簿**：同鄉會名簿是一種記錄同鄉人聚結、組織和活動的檔案，通常包括同鄉人的姓名、出生年份、死亡日期、婚姻關係、職業、居住地等信息。同鄉會名簿可以提供關於同鄉人之間的聯繫、文化和生活方式的詳細資料，以及他們對當地社區的貢獻和影響。4. **人口和戶口調查資料**：人口和戶口調查資料是政府為了掌握人口分布、人口結構、人口迁移等重要數據而進行的普查或抽樣調查。這些資料可以揭示當地的人口密度、人口結構、人口流動方向、人口教育水平、人口生育率等信息，對理解當地文化、社會和經濟發展具有重要的參考價值。因此，「歷史考察」的主題最可能是「文化的類型與變遷」，因為這些史料都涉及到當地文化、社會和人口方面的資訊，能夠幫助學生更深入地了解當地的文化特色、社會發展和人口變化，從而得出更全面和深入的研究結果。其他選項如「人群的移動與交流」、「國家的建立與形塑」和「宗教的起源與傳播」均未直接涉及上述史料，因此不符合題目的要求。
5,111年學測-社會科第6題,C,1,C,                           正确的答案：(C) 清代臺灣沿海的王爺信仰                           解釋：                           郑氏王朝在臺的屯田政策和清代臺灣職官制度的演變都是關於政治、行政管理方面的研究，而清代臺灣沿海的王爺信仰則涉及到宗教文化方面，因此這兩個主題都偏向於統治者的歷史，而非人民的歷史。而日本在臺殖民體制的建立則更側重於殖民地的政治、經濟、文化等方面，與題目的主旨不符。因此，正確答案是(C) 清代臺灣沿海的王爺信仰。
6,111年學測-社會科第7題,C,0,A,                           正确的答案：(A)                           解釋：                           這個人的論述反映了重商主義的觀點。重商主義認為國家應該通過控制和保護貿易來增加財富，並鼓勵人民努力工作以獲得更多的收入。他認為，沒有貨幣的存在，人們就無法進行日常生活的交易，因此不需要貨幣。他的論述強調了實物的重要性，認為貨幣只是流通手段，而非經濟基礎，因此應該被實物所取代。(B) 自由主義：自由主義提倡個人自由、市場自由和法治，它不支持貨幣制度，而是推崇直接的價值體現，如商品或服務的價值。自由主義認為，貨幣不是必要的工具，因為人們可以直接通過商品或服務來實現自己的需求和欲望，而不需要借助貨幣。(C) 共產主義：共產主義是社會主義的一種形式，其核心理念是社會生產力的高度集中和無差別分配。共產主義認為，國家應該通過集中的生產力來生產必需品，然後分配給所有公民，而不是讓每個人都擁有自己的財產。共產主義不支持貨幣制度，因為它認為財產是私有的，不能被公共機構或政府控制和分配。(D) 法西斯主義：法西斯主義是資本主義的極端形式，其核心理念是統治和恐怖政策，以達到建立一個獨裁政權和統治者的目標。法西斯主義不支持貨幣制度，因為它認為貨幣是資本主義的工具，能夠有效地控制和分配資源，並且能夠維持社會秩序和穩定。相反，法西斯主義鼓吹暴力和恐怖手段，以達到統治的目的。因此，這個人的論述反映了法西斯主義的觀點。
7,111年學測-社會科第9題,D,1,D,                           正确的答案：(D)                           解釋：                           韓國的京都（現稱首爾）是15至16世紀間，日本薩摩藩統治下的重要城市之一，薩摩藩官員常來訪問並接受冊封。因此，根據歷史背景和地理位置，該宮殿最可能位於琉球，即今天的沖繩縣，因為琉球是薩摩藩的據點之一，而京都是薩摩藩的首都，也是當時重要的政治中心。其他選項如朝鮮、暹羅和安南都與日本薩摩藩無直接關係，且不符合史實。因此，答案為(D)。
8,111年學測-社會科第10題,B,1,B,                           正确的答案：(B)                           解釋：                           電影《辛德勒的名单》中有描述，17世紀末期，歐洲蔗糖生產中心之一的阿爾及利亞開始大量生產蔗糖，並迅速取代了蜂蜜作為歐洲人最重要的甜味來源。因此，圖2所示的糖廠最可能位于中美洲西印度群島，也就是現在的牙買加和古巴等地區。這些地方擁有豐富的甘蔗資源，並且在18世紀後期開始發展蔗糖生產業，使得蔗糖成為當地的主要食品和飲料供應品。而北非的阿爾及利亞和北美洲的紐芬蘭島則不是蔗糖生產的重要發達地區，而是以棉花和咖啡等農作物為主的國家。中部非洲剛果盆地則是世界上最大的天然氣田所在地，而非糖類生產中心。因此，答案為(B)。
9,111年學測-社會科第11題,B,1,B,                           正确的答案：(B)                           解釋：                           過去清朝末期，當時清朝已經覆亡，新建立的中國政府稱為「北洋政府」，而非「清政府」。因此，在國立故宮博物院典藏的清代檔案中，不可能發現清帝溥仪頒布退位詔書的奏摺，因為這件奏摺是在清朝末期的「宣統十六年七月」進呈給溥儀的，而不是清朝時期的日期。因此，答案是(B)清帝雖退位，政府仍同意其繼續使用帝號和原有紀年。
