,info,answer,score,generated_answer,detailed_generated_answer
0,111年學測-社會科第1題,B,1,B,                           正確的答案：(B)                           解釋：                           社會印象是指人們對於某一群體的刻板印象，而缺乏同理心與理解則會導致社會印象的偏差。因此，缺乏同理心與理解會使社會對原住民個人的負面評價增加，包括缺乏為自己健康負責的態度。因此選(B)
1,111年學測-社會科第2題,C,1,C,                           正確的答案：(C)                           解釋：                           (A)多黨競爭並不代表人民可以不服從政黨，而是說政黨之間互相競爭，人民可以選擇支持自己喜歡的政黨。                           (B)多元認同是指人民可以接受不同的文化、宗教信仰等，但這不代表人民可以不服從政黨。                           (C)執政領袖和執政黨都是國家管理人，而非效忠對象，這是民主國家和獨裁國家的根本差異之一。                           (D)執政領袖和執政黨只是代表政府，人民應效忠政府，這也是民主國家和獨裁國家的根本差異之一。                           因此選(C)
2,111年學測-社會科第3題,B,0,C,                           正確的答案：(C)                           解釋：                           (C)以特定親屬繼承為原則，並以配偶為當然的繼承人，符合表格中女性比例高的情況。                           (A)民法繼承法律在繼承權利方面採取性別平權的原則，不符合表格中男性比例高的情況。                           (B)准許被繼承人在生前以遺囑自由處置一定範圍財產，不符合表格中男性比例高的情況。                           (D)繼承人償還被繼承人的債務，以繼承所得遺產為限，不符合表格中男性比例高的情況。
3,111年學測-社會科第4題,B,1,B,                           正確的答案：(B)                           解釋：                           今年的補助金額比去年增加，因此更多人願意汰舊換新。而去年的補助金額比今年少，因此去年的政策比較能改善空汙。                           因此選(B)
4,111年學測-社會科第5題,A,1,A,                           正確的答案：(A)人群的移動與交流                           解釋：                           透過搜集族譜、臺灣總督府旅券（護照）、同鄉會名簿等史料，可以了解人群的移動與交流；而進入內政部網站閱讀人口和戶口調查資料，則可以了解人口和戶口的變化，這些都是人群移動與交流的具體表現。因此，該「歷史考察」的主題最可能是人群的移動與交流。
5,111年學測-社會科第6題,C,1,C,                           正確的答案：(C)                           解釋：                           郑氏王朝在台的屯田政策是政府對農民進行土地分配和耕作的政策，與人民無直接關係；清代職官制度的演變涉及官僚階級的變化，與人民無直接關係；清代沿海王爺信仰涉及宗教信仰，與人民無直接關係；只有清代臺灣沿海的王爺信仰涉及當地人民的生活，因此最接近這位學者主張的研究方向。
6,111年學測-社會科第7題,C,1,C,                           正確的答案：(C)共產主義                           解釋：                           這段話反映了共產主義對資本主義的批評，認為貨幣只是一種工具，並非生活的必要條件，因此應該廢除貨幣，代之以實物。而重商主義、自由主義和法西斯主義均未提及貨幣的問題。
7,111年學測-社會科第9題,D,1,D,                           正確的答案：(D)琉球                           解釋：                           15-16世紀時，琉球國曾多次遣使至明朝，並受到冊封，因此可以推測該宮殿可能是琉球國的宮殿。                           故答案為(D)
8,111年學測-社會科第10題,B,0,C,                           正確的答案：(C)北美洲的纽芬蘭島                           解釋：                           根據題目的敘述，蔗糖逐漸取代蜂蜜，成為歐洲人最重要的甜味來源，因此可以推斷出糖廠應該位於能夠大量生產蔗糖的地方。北美洲的紐芬蘭島是世界上最大的蔗糖生產區之一，因此最有可能是糖廠的所在地。                           其他三個選項都不符合題目的敘述，因此排除。                           故答案為(C)
9,111年學測-社會科第11題,B,0,D,                           正確的答案：(D)                           解釋：                           满洲國成立後，其政府官員上奏給溥儀，故以宣統紀年。因此選(D)
10,111年學測-社會科第12題,C,1,C,                           正確的答案：(C)                           解釋：                           (A)荷蘭人主導遠東貿易時期，當時盛行的建築風格也流傳至金門，不符合金門建築的特色。                           (B)鄭成功家族前往巴達維亞貿易，並將當地的建築特色帶回金門，不符合金門建築的特色。                           (D)日本占領金門時，其商人引進當時歐洲最流行的巴洛克式裝飾，不符合金門建築的特色。                           只有(C)符合金門建築的特色，因此選(C)
11,111年學測-社會科第13題,B,1,B,                           正確的答案：(B)                           解釋：                           德國和蘇聯平民死亡人数与比例均遠多於其他國家的原因主要是因為蘇聯是第二次世界大戰的主要戰場之一，戰火摧殘了大量的人命，加上當時蘇聯遭受了严重的粮食短缺问题，這使得蘇聯平民死亡率遠高於其他國家。而德國和義、日軸心國之間的武器優越並不是導致平民死亡率高的主要原因。因此選(B)
12,111年學測-社會科第14題,A,0,D,                           正確的答案：(D) 英國、葡萄牙、荷蘭                           解釋：                           根據圖表，可以看出16世紀時，葡萄牙和荷蘭的船隻數量最多，而到了18世紀，英國的船隻數量開始增加，因此答案是(D) 英國、葡萄牙、荷蘭。
13,111年學測-社會科第15題,B,1,B,                           正確的答案：(B)五四運動                           解釋：                           五四運動是一場反帝反封建的革命運動，五四運動期間，上海一間百貨公司在報紙上刊登「敬告國人書」，表明了支持國货的立場，因此答案為(B)五四運動。
14,111年學測-社會科第16題,C,0,D,                           正確的答案：(D)                           解釋：                           參考資料提到的雙十國慶酒會是在1933年，而滿洲國成立於1931年，因此排除(A)。                           參考資料提到的參加人員包括了駐台美、意領事及總督府高級長官，但沒有提到中日兩國的關係，因此排除(B)。                           參考資料提到的參加人員包括了中國僑民，但沒有提到國府已設立領事館，因此排除(C)。                           參考資料提到的雙十國慶酒會是由總督府舉辦的，且參加人員中有駐台美、意領事及總督府高級長官，這些都符合皇民化政策的要求，因此(D)是最合理的解釋。
15,111年學測-社會科第17題,A,1,A,                           正確的答案：(A)他從英國偷學技術，帶回美國                           解釋：                           根據題意，該國嚴格控管動力織布機技術，因此不可能是他從其他國家偷學技術。而該國位於東方，因此最有可能的是他從英國偷學技術，帶回美國。                           因此選(A)
16,111年學測-社會科第19題,D,0,C,                           正確的答案：(C)擴散與反吸                           解釋：                           時空收斂是指隨著時間推移，某一特定領域或市場的規模縮小，這通常與技術進步、競爭加劇等因素有關。                           区位移轉是指某一特定產業或企業從一個地方移到另一個地方，這通常與政策、環境因素等因素有關。                           擴散與反吸是指某一特定領域或市場的規模擴大，同時也有其他領域或市場的規模縮小，這通常與技術進步、競爭加劇等因素有關。                           核心與邊陲是指某一特定產業或企業的核心部分和邊緣部分，這通常與技術進步、競爭加劇等因素有關。                           在COVID-19 疫苗生產的情況下，非洲地區的疫苗短缺與非洲聯盟的疫苗生產擴大計劃之間存在擴散與反吸現象。因此，答案為(C)。
17,111年學測-社會科第21題,C,0,B,                           正確的答案：(B)                           解釋：                           參考資料：https://en.wikipedia.org/wiki/Fair_trade#History_and_background                           公平貿易起源于十八世紀末期的法國，當時法國人開始關注農業生產者的利益，並倡導公平交易。公平貿易的核心理念是確保生產者獲得公平的報酬、勞動者獲得應有的保障、環境可以得到保護。因此，參與公平貿易生產商的分布區，具有熱帶季風區的共同時空背景。因此選(B)
18,111年學測-社會科第23題,C,0,D,                           正確的答案：(D)                           解釋：                           根據題目的描述，我們可以知道，COVID-19 疫情使得大量背包打工客無法來澳，這對農業造成了很大的影響。因此，我們可以推斷出，這個問題與全球化和貢獻與挑戰有關。因此，答案是(D)。                           其他選項都不符合題目的描述。
19,111年學測-社會科第24題,D,0,AD,                           正確的答案：(A)、(D)                           解釋：                           (A)甲政策計入政府支出，不影響GDP，因為政府支出不影響GDP的計算。                           (D)丁政策計入政府移轉性支付，不影響GDP，因為移轉性支付不影響GDP的計算。                           因此選(A)(D)
