,info,answer,score,generated_answer,detailed_generated_answer
0,111年學測-社會科第1題,B,1,B,                           正確的答案：(B)                           解釋：                           報導在未詳查原住民族生活困境的情形下，即宣稱罹患心理疾病與自殺率高的原因是因為原住民不注重身心健康，這種報導缺乏同理與理解，會引導社會大眾認為原住民個人缺少為自己健康負責的態度。                           其他選項如缺少改變傳統習慣的意願、缺少傳統飲食文化的知識傳承、缺少改變現代生活步調的策略，並不是報導所指出的主要原因，因此不正確。                           因此選(B)
1,111年學測-社會科第2題,C,0,B,                           正確的答案：(B)                           解釋：                           在民主國家中，政治領袖和執政黨是由人民選出，代表民意，因此人民對政治領袖和執政黨的認同是基於民主過程，相對於獨裁國家，民主國家的人民較不容易形成對單一政治領袖的服從。                           選項(A)不正確，因為多黨競爭是民主國家的特點，但與人民對政治領袖的認同無直接關聯。                           選項(C)不正確，因為在民主國家，政治領袖和執政黨也是國家管理人，但人民對他們的認同是基於民主過程，而非效忠。                           選項(D)不正確，因為在民主國家，人民效忠的是民主制度和民意代表，而非單一的執政領袖或執政黨。                           因此選(B)肯認多元認同，不易服從單一的政治領袖。
2,111年學測-社會科第3題,B,1,B,                           正確的答案：(B)                           解釋：                           (B)准許被繼承人在生前以遺囑自由處置財產，也就是遺囑自由，這可以導致遺產分配上的性別差異，例如男性繼承人可能因為社會地位和經濟能力而較易被賦予遺囑自由。(A)民法繼承法律在繼承權利方面採取性別平權的原則，這項選項本身是正確的，但與遺產分配無直接關係。(C)以特定親屬繼承為原則，並以配偶為當然的繼承人，這項選項與性別差異無直接關係，因為配偶無論男女都具有繼承權。(D)繼承人償還被繼承人的債務，以繼承所得遺產為限，這項選項與性別差異無直接關係，因為這是繼承義務的一般規範。因此，最相關的是 (B)。
3,111年學測-社會科第4題,B,0,A,                           正確的答案：(A)更多人願意汰舊換新，但去年的政策比較能改善空汙                           解釋：                           從 表3 可以看出，今年汰舊換新的補助金額較高，因此會有更多人選擇汰舊換新。然而，相對於去年新購置的補助金額較高，因此去年較能鼓勵更多人購買低汙染機車，從而對空氣汙染有較大的改善。
4,111年學測-社會科第5題,A,1,A,                           正確的答案：(A)人群的移動與交流                           解釋：                           從題目所提供的史料來看，包括了族譜、臺灣總督府旅券（護照）、同鄉會名簿等，這些資料都與人的移動、交流及遷徙有直接關聯。族譜記錄家族成員的出生、婚姻、遷徙等資訊，旅券（護照）是出入國境的證件，可以反映個人或群體的移動情況，同鄉會名簿則可能記錄特定地區來臺人員的分布情況。內政部人口和戶口調查資料則能反映出長期的人口遷移與分布狀況。因此，這些史料都指向人群的移動與交流這一主題。
5,111年學測-社會科第6題,C,1,C,"                           正確的答案：(C)                           解釋：                           這位學者強調的是應該關注人民的历史，也就是人民的日常生活、信仰、社會階層等。                           (C) ""清代臺灣沿海的王爺信仰"" 屬於人民信仰與社會文化的一環，最符合學者所主張的研究方向。                           其他選項(A, B, D)都是偏向統治者或官方的政策，較不符合學者所強調的主題。"
6,111年學測-社會科第7題,C,1,C,                           正確的答案：(C)共產主義                           解釋：                           此段抨擊貨幣的論述強調了對金錢和貨幣體系的懷疑，並提倡以實物取代貨幣。這種觀點與共產主義的理論相符，共產主義主張消滅私有制和貨幣制度，建立一個無階級差異、生產資料公有制的社會，其中「各盡所能，各取所需」的經濟模式，正是基於實物交換的原則。因此，這段論述最符合共產主義的觀點。
7,111年學測-社會科第9題,D,1,D,                           正確的答案：(D)琉球                           解釋：                           該宮殿指的是明朝在琉球設立的「王府」，位於今琉球半島的北端，是明朝對琉球的政治、文化中心。正殿是國王舉行各種典禮和議政的場所，北殿則專為接待中國的冊封使，而南殿則自十七世紀初期開始，用來接待日本薩摩藩官員。                           因此選項 (D) 琉球 是正確答案。
8,111年學測-社會科第10題,B,1,B,                           正確的答案：(B)中美洲西印度群島                           解釋：                           蔗糖在歐洲十七世紀逐漸取代蜂蜜成為主要甜味來源，主要是因為新大陸的發現後，歐洲開始從美洲大量輸入蔗糖。而蔗糖生產過程圖中，顯示了當時歐洲人對於蔗糖生產的技術與需求，這主要是來自於中美洲西印度群島的糖園（Sugar Plantations）。這些糖園大量生產蔗糖，運輸到歐洲市場，因此糖廠最有可能位於中美洲西印度群島。(A)北非的阿爾及利亞、(C)北美洲的紐芬蘭島、(D)中部非洲剛果盆地都不是蔗糖的主要生產地，因此不可能是糖廠最可能所在的區域。
9,111年學測-社會科第11題,B,1,B,                           正確的答案：(B)                           解釋：                           在清朝宣統皇帝溥儀退位後，民國政府仍然允許清朝保留使用帝號和原有紀年，直到溥儀於 1924 年被驅逐出紫禁城。因此，在國立故宮博物院典藏的清代檔案中，發現時間標註為「宣統十六年七月」的奏摺，並非誤植，而是當時政府實行的政策。
