,info,answer,score,generated_answer,detailed_generated_answer
0,112年學測-國文科第1題,A,0.0,C,(C) 驀然而「踣」／「掊」擊對手
1,112年學測-國文科第2題,C,0.0,A,(A)收藏家的稀世珍品樣樣價格不斐
2,112年學測-國文科第3題,A,1.0,A,(A)這宗懸案經專案小組擘肌分理，已掌握部分有利線索
3,112年學測-國文科第4題,D,0.0,A,(A)孟浩然、王昌齡、杜甫皆認識王維，故於表一數字「159」中各計一次。
4,112年學測-國文科第5題,D,0.0,A,(A) 說話者自居旁觀者的角色。
5,112年學測-國文科第6題,D,0.0,ABCDE,(A) 疑惑、恐懼、等待 (B) 傲慢、倨傲、等待 (C) 難免、疑慮、等待 (D) 疑惑、恐懼、等待 (E) 倨傲、疑慮、等待
6,112年學測-國文科第7題,D,0.0,A,(A) 學做料理須知各地菜餚特色，習文當須辨宗門流派。
7,112年學測-國文科第8題,A,1.0,A,(A)其中雖有些許真相，但似乎過於誇大。解釋：根據文章內容，黃石公園的生態系統在狼的消失後並沒有明顯的改變，因此無法確定狼是否真的改變了河流。此外，文章中並沒有提到狼群是否真的消失，因此無法確定狼是否真的改變了生態系統。因此，文章中提到的狼英雄事件可能是一個神話，而非事實。
8,112年學測-國文科第9題,D,0.0,A,(A) 引用三人對「狼英雄」的看法時，僅敘述其論點而省略論據。
9,112年學測-國文科第10題,C,0.0,A,(A) 金星公轉速度比土星快。
10,112年學測-國文科第11題,C,0.0,A,(A) 環太平洋地震帶的形成主要與張裂性板塊邊界有關。
11,112年學測-國文科第12題,A,1.0,A,(A) 填星與歲星合，相犯為內亂。解釋：根據古籍記載，在公元前828年，歲星與填星相犯，形成內亂。
12,112年學測-國文科第13題,B,0.0,A,(A) 甲
13,112年學測-國文科第14題,C,0.0,A,(A) 庭園設計者藉衍生的文學意象營造悲戚感。
14,112年學測-國文科第15題,B,0.0,A,(A) 基於後勤準備已充足而可誘敵深入。解釋：根據文章中描述的清軍在臺灣的攻守情勢，作者認為清軍在臺灣的攻守策略是基於後勤準備已充足，可以誘敵深入。
15,112年學測-國文科第16題,A,1.0,A,(A)①、②皆符合。
16,112年學測-國文科第17題,D,0.0,A,(A) 地理環境
17,112年學測-國文科第18題,C,0.0,ABCDEFGHIJKLMNOPQRSTUVWXYZABCD,(A)少年得志，但因個性耿介，二十歲便罷政而歸鄉里 (B)常至陸游家，議論秦朝暴政虐民、聚斂咸陽的史事 (C)雖貶謫海表而坦然赴任，未嘗悲憂，英氣絲毫不減 (D)訓誨陸游之言響若鐘鳴，示現剛毅氣節，令人激昂 (E)文中李參政的英偉剛毅之氣，令人興起 (F)李參政的英偉剛毅之氣，令人興起 (G)李參政的英偉剛毅之氣，令人興起 (H)李參政的英偉剛毅之氣，令人興起 (I)李參政的英偉剛毅之氣，令人興起 (J)李參政的英偉剛毅之氣，令人興起 (K)李參政的英偉剛毅之氣，令人興起 (L)李參政的英偉剛毅之氣，令人興起 (M)李參政的英偉剛毅之氣，令人興起 (N)李參政的英偉剛毅之氣，令人興起 (O)李參政的英偉剛毅之氣，令人興起 (P)李參政的英偉剛毅之氣，令人興起 (Q)李參政的英偉剛毅之氣，令人興起 (R)李參政的英偉剛毅之氣，令人興起 (S)李參政的英偉剛毅之氣，令人興起 (T)李參政的英偉剛毅之氣，令人興起 (U)李參政的英偉剛毅之氣，令人興起 (V)李參政的英偉剛毅之氣，令人興起 (W)李參政的英偉剛毅之氣，令人興起 (X)李參政的英偉剛毅之氣，令人興起 (Y)李參政的英偉剛毅之氣，令人興起 (Z)李參政的英偉剛毅之氣，令人興起 (A)李參政的英偉剛毅之氣，令人興起 (B)李參政的英偉剛毅之氣，令人興起 (C)李參政的英偉剛毅之氣，令人興起 (D)李參政的英偉剛毅之氣，令人興起 (
18,112年學測-國文科第19題,C,0.0,A,(A) 隔了四十年後，因重讀李莊簡公來信而為文回覆。
19,112年學測-國文科第20題,B,0.0,A,(A)將軍向寵，性行淑均，曉畅军事，试用于昔日，先帝稱之曰「能」
20,112年學測-國文科第21題,B,0.0,A,(A) 食夫稻，衣夫錦，於女安乎
21,112年學測-國文科第22題,B,0.0,A,(A) 熟誦經典可將文章的深意烙印腦中，是對當代學子有益的教育方式。
22,112年學測-國文科第23題,B,0.0,A,(A)賦性疏通而不泄气，有益调节呼吸系统，嶺南用以對抗瘴气
23,112年學測-國文科第24題,D,0.0,A,(A) 甲文就歷史發展評論，認為嚼檳榔有礙觀瞻而不鼓勵食用。
24,112年學測-國文科第25題,B,0.0,A,(A) 登頰紅潮增嫵媚，潤脾津液益精神
25,112年學測-國文科第26題,AB,0.6,A,(A) 復禮為仁，師道之不復可知矣。
26,112年學測-國文科第27題,ABC,0.19999999999999996,A,(A) 侍婢羅列，「頗」僭於上
27,112年學測-國文科第28題,BCD,0.0,A,(A)人類幽暗不安是因為背地裡訴說別人的祕密。
28,112年學測-國文科第29題,BE,0.0,ABCDE,(A) 橐離國王和侍婢所生，因其出生時間而被命名為東明 (B)曾被棄於豬圈馬槽，不僅未受傷害且受到豬馬呼氣照護 (C)其母為侍婢而被視為奴僕，但因善騎射被派去放牧牛馬 (D)為救母而謀反，事敗後南向逃至夫餘，於是成立夫餘國 (E)逃避追殺至河邊時，魚鱉浮出讓他踩踏而渡，得以免難？
29,112年學測-國文科第30題,BE,0.0,A,(A) 甲詩「被折斷的秤錘」與乙詩「駝著背」，刻劃人民被拷打的形象。
30,112年學測-國文科第31題,BCE,0.0,ADE,正確的答案：(A)、(D)、(E)選項。解釋：
31,112年學測-國文科第32題,BDE,0.0,A,(A)漢代對屈原的爭辯，在其作品情感的表達方式是否優于《詩經》。
32,112年學測-國文科第34題,A,1.0,A,(A) 甲文指出廣泛接受並適當批判古典，可讓思想開闊深厚。
33,112年學測-國文科第36題,A,1.0,A,(A) 提高接受程度，降低實現阻力
