,info,answer,score,generated_answer,detailed_generated_answer
0,112年學測-國文科第1題,A,0.0,AB,                         正確的答案：(A)(B)                           解釋：(C)撣充口音／箐口音，讀音不同。 (D)ㄊㄨㄢ／ ，讀音不同。 
1,112年學測-國文科第2題,C,1.0,C,                         正確的答案：(C)                           解釋：(A)「樣樣價格不斐」應為「樣樣昂貴」；(B)「人謀」應為「人謀」；(D)「冉冉」應為「飛晉」。
2,112年學測-國文科第3題,A,0.0,B,                         正確的答案：(B)                           解釋：(A)「擘肌分理」為句子中唯一出現的表達方式，並不適用，「分析細節」為更合適的表達方式；(B)「地」可以結合「褒」形成「褒牧」（讚美、讚譽）動詞，此句意義更為「也往往褒揚其個人貢獻與成就」；(C)「來者可追」表示銷售速度迅速，更適合作為「銷售狀況」的表示，而非「品牌形象」；(D)「得隴望蜀」為表達得天獨厚的地位，並不適合用於「進入決賽」的表示。
3,112年學測-國文科第4題,D,1.0,D,                        正確的答案：D
4,112年學測-國文科第5題,D,0.0,C,                         正確的答案：(C)                           解釋：(A)乙為討情，甲為討理。(B) 乙為討情，甲為討理。(C) 乙為討人情，甲為討理。(D) 甲為討人情，乙為討理。
5,112年學測-國文科第6題,D,0.0,B,                         正確的答案：B                           解釋：「其來有自」表示對方來自於某處，「仰仗其力」表示利用自己的力量，故選(B)。
6,112年學測-國文科第7題,D,0.0,C,                         正確的答案：C                           解釋：(A)以「煮」字與人文之「文」做譬喻，強調料理需知各地特色，寫作需辨流派。(B)文中並未強調向前輩方家、師道摹仿。(C)滿菜與漢人菜、自己文字皆要及早學習。(D)未及於「呈顯本色」。
7,112年學測-國文科第8題,A,0.0,C,答案：C                                ### 解釋： 文中僅「環太平洋地震帶」為合壓性板塊邊界，而其淺源地震多由張裂性板塊邊界的活動產生。(B)錯誤，此地震帶有淺源地震，也有深源地震。(C)正確，有淺源地震，有張裂性與合壓性板塊邊界。(D)錯誤，淺源地震的界於平移斷層活動，有張裂性板塊邊界，也有合壓性板塊邊界。(E)錯誤，環太平洋地震帶有合壓性板塊邊界，也有張裂性板塊邊界。
8,112年學測-國文科第9題,D,0.0,B,                        ### 正確的答案：B                         ### 解釋：                        (A)有引述三人的論據。(B)首先綜述各方反應，再以三人為代表分述觀點。(C)非訪談形式。(D)未反映出對於「狼英雄」的質疑。 因此選(B)。
9,112年學測-國文科第10題,C,0.0,B,                        正確的答案：(B)
10,112年學測-國文科第11題,C,1.0,C,                        正確的答案：C                          解釋：(A) 上文並未提到古代天文紀錄有國運占星之色彩。(B) 由「觀測技術不如現代精密」可知，古代的天文觀測無法精準的紀錄木星、土星快慢的變化，但無法推論出這是有利或不利於考證。(C) 古人無法完全依據木星、土星的移動速度判斷誰犯誰。由古書僅記「歲星犯填星」，知要紀錄木星犯金星，但史書往往寫錯犯星。(D) 由古書僅記「歲星犯填星」，可知古人無法完全依據快慢判斷誰犯誰。2021-01-05 10:50:48 劉光龍 小角龍 我來補個槍！根據史書的記載，有「子丑侯木犯仲秋申侯火」、「子丑侯火犯仲秋木」之說。若以元、陽、陰、凶、吉的看法，下列敘述何者正確？ (A)子侯木為陽，仲秋為陰，故：「木犯仲秋，吉」 (B)子侯木為陰，仲秋為陽，故：「木犯仲秋，凶」 (C)侯火為陽，故：「木犯仲秋，凶」 (D)侯火為陰，故：「木犯仲秋，吉」 ？
11,112年學測-國文科第12題,A,1.0,A,                          正確的答案：A                            解釋：(A)「歲星犯填星」為內亂。晉逸之所生，咸陽，有禍，故晉世宗遷至咸安。咸安二年，晉世宗病重，命令桓溫：「若世孫桓溫可輔佐者，輔佐之，若不可，則自己承擔責任。」世子王坦之偽造手諭，改變命令，結果桓溫因此怒而誅王坦之。符合內亂的情況
12,112年學測-國文科第13題,B,0.0,D,                          正確的答案：D                           解釋：在乙中提到「因為苔本是繁殖於地面的一種蘚類植物，只要氣候低濕，可以不種自衍。」，在丙中提到「由於苔本身具有一種厚重的質感，其色雖濃翠，卻不綺豔，加以苔本身所給予人時間之聯想，在丁中提到「因為青苔非歷時長久不能蔓衍」，敘述有稍前後邏輯關係，最適合填入(D)。(A)(B)(C)為單方敘述，無稍前後邏輯關係。
13,112年學測-國文科第14題,C,1.0,C,                         正確的答案：C                           解釋：(A)由「由於齋藤的厚重，以及苔的色濃，根本沒有綺豔。但是這種蒼老的漂亮，其實是庭園的最大題材」可知，庭園跋老之美是因為「齋藤的厚重」、「苔的色濃」，敘述正確，但未提及文學意象。(B)由「它只要氣候低濕，可以不種自衍」可知，苔本身雖然容易生長，但是需要低濕的氣候，並非苔本身因為容易生長所以成為打造庭園的主要因素。(C)由「京都的庭園，如果沒有青苔，勢將減色不少。由於齋藤的厚重，以及苔的色濃，根本沒有綺豔。但是這種蒼老的漂亮，其實是庭園的最大題材」可知敘述正確。(D)由「由於齋藤的厚重，以及苔的色濃，根本沒有綺豔，卻具有一種厚重的質感」可知，苔濃翠與齋藤暗沉，僅凸顯苔本身厚度與蒼老之感，並未凸顯苔色彩與砂石亮麗的對比。因此選(C)。
