,info,answer,score,generated_answer,detailed_generated_answer
0,112年學測-國文科第1題,A,0.0,B,答案：B                                                                    ### 解釋：正確的答案：B解釋：在選項 B 中，「釁起『鬩』牆」和「傲『睨』萬物」的讀音前後相同。「鬩」和「睨」的讀音都是「zhuì」，並且在中古語言中讀音並未改變。其他選項的解釋如下：(A) 胡「笳」之拍／僧侶「袈」裟：「笳」的中古讀音是「phruk」，「袈」的中古讀音是「piān」，讀音不同。(C) 驀然而「踣」／「掊」擊對手：「踣」的中古讀音是「kuì」，「掊」的中古讀音是「tū」，讀音不同。(D) 「吁」嗟而去／「迂」談闊論：「吁」的中古讀音是「ài」，「迂」的中古讀音是「ngòng」，讀音不同。
1,112年學測-國文科第2題,C,0.0,D,答案：(D)                               解釋：                                (A)「稀世珍品」應改為「珍稀珍品」，「價格不吐」應改為「價格不斐」。(B)「人謀不彰」應改為「人謀不軌」，「導致」應改為「引發」。(C)「叔」叔舅」應改為「叔叔」，「命蹇」應改為「命苦」。(D)「天燈」應改為「天燈」，「 歡呼聲中冉冉升空」應改為「歡呼聲中逐漸升空」。(D)選項中唯一沒有錯別字的選項是(D)，因此正確答案為D。
2,112年學測-國文科第3題,A,0.0,C,答案：(C)解釋：選項 (C) 中的「新品銷量短期內便來者可追，超越廣受好評的老品牌」句中，「來者可追」的意思是「很快就能達到很高的銷售量」，而「超越廣受好評的老品牌」則是過度長的句子。實際上，「來者可追」已經能夠表達想要表達的意思，不加「廣受好評」也能使句子更為簡潔。因此，「新品銷量短期內便來者可追，超越廣受好評的老品牌」應該修改為「新品銷量短期內便來者可追，超越老品牌」。
3,112年學測-國文科第4題,D,1.0,D,答案：D解釋：根據表一和表二的數據，可以做出以下觀察：1. **孟浩然**在表一中與其他四位詩人的互動次數為159，在所有詩人中次數最多，因此孟浩然較其他詩人尤好寫詩交友。2. **王昌齡**在表一中的數據顯示他寫給親友的詩占總詩數的9.27%，而在表二中，王昌齡與李白和杜甫的互動次數均為1，因此王昌齡與李白和杜甫的熟識度相同。3. **李白**在表一中的數據顯示他寫給親友的詩占總詩數的65.34%，而在表二中，李白與王維的互動次數均為0，因此李白對王維的關懷和書寫次數較少。因此，選項D「李白有不少詩是因問候、懷想親友而寫，但對象不含王維」是最適當的解讀。
4,112年學測-國文科第5題,D,0.0,B,答案：B解釋：在選項甲中的情境，說話者燭之武對秦穆公說：「且君嘗為晉君賜矣，許君焦、瑕，朝濟而夕設版焉，君之所知也。夫晉，何厭之有？既東封鄭，又欲肆其西封。若不闕秦，將焉取之？」這裡說話者燭之武提到了秦穆公在過去曾經得到晉國的賞賜，並且在某些情況下對秦國有所不利。說話者通過回憶過去的事情，讓秦穆公自居是當時接受晉國賞賜的當事人，從而達成勸勉秦穆公不要忽略秦國的重要性，避免被晉國奪去。因此，說話者在這段話中自居是旁觀者的角色，通過回憶過去的事件來影響秦穆公的行為。在選項乙中的情境，說話者樊噲對項羽說：「今沛公先破秦，入咸陽，毫毛不敢有所近，封閉宮室，還軍霸上，以待大王來。故遣將守關者，備他盜出入與非常也。勞苦而功高如此，未有封侯之賞，而聽細說，欲誅有功之人，此亡秦之續耳。」這裡說話者樊噲提到了沛公打破秦國，進入咸陽，但到了後來卻對秦國不利。說話者通過回憶這些事件，讓項羽自居是幫助沛公打破秦國的當事人，並從中得到了許多功勞，但並未得到應得的獎賞。說話者通過這樣的回憶來感動項羽，希望他能更加關注秦國的存亡，從而達成勸勉項羽保護秦國的目的。因此，說話者在這段話中自居是旁觀者的角色，通過回憶過去的事件來影響項羽的行為。因此，選項甲中的說話者自居是旁觀者的角色，而選項乙中的說話者自居是當事者的角色，最適當的答案是B。
5,112年學測-國文科第6題,D,1.0,D,答案：(D) 尤所難免／疑懼／伺守解釋：根據文中的內容，□□內需要填入的詞語應該能符合上下文的語境和語意。以下分析各選項：1. (A) 其來有自／疑懼／迎候：   - 「其來有自」表示事情必然會發生，與後續的「而美者被盜」不吻合，因為這樣的說法讓事情顯得必然，與恐懼的情感不符。   - 「疑懼」表示懷疑和恐懼，與後續的「而美者被盜」相符，因為他們懷疑美的人可能會被盜。2. (B) 其來有自／倨傲／伺守：   - 「其來有自」同樣表示事情必然會發生，與後續的「而美者被盜」不吻合。   - 「倨傲」表示自恃高姿態，與後續的「而美者被盜」不相符，因為這樣的態度不會導致美的人被盜。   - 「伺守」表示監視和看守，與後續的「而美者被盜」相符，因為他們正在監視和看守美的人。3. (C) 尤所難免／倨傲／迎候：   - 「尤所難免」表示無法避免的事情，與後續的「而美者被盜」不吻合，因為這樣的說法讓事情顯得必然，與恐懼的情感不符。   - 「倨傲」表示自恃高姿態，與後續的「而美者被盜」不相符。   - 「迎候」表示迎接和等候，與後續的「而美者被盜」不符，因為他們正在監視和看守美的人，不可能迎接美的人。4. (D) 尤所難免／疑懼／伺守：   - 「尤所不免」表示無法避免的事情，這與文中描述的情況相符，因為他們無法避免美的人經過這個地區。   - 「疑懼」表示懷疑和恐懼，與他們對美的人感到恐懼的情感相符。   - 「伺守」表示監視和看守，與他們在保護美的人的情況下監視和看守相符。因此，選項(D)最符合語境和語意的要求。
6,112年學測-國文科第7題,D,0.0,A,答案：A解釋：本文主要描述了滿洲菜和漢人菜的差異，並指出每個地區的菜餚有其獨特的特色。作者用「做菜」來譬喻「作文」，強調每個人應該尊重自己的語文背景和特色，而非盲目地追隨他人或一門理論。選項A「學做料理須知各地菜餚特色，習文當須辨宗門流派」最符合這一譬喻的精神，因為它強調了每個地區或門人的語文特色應該被尊重和學習，與文中對菜的描述相呼應。
7,112年學測-國文科第8題,A,0.0,D,答案：D解釋：根據題目內容，經保育人士多年努力，黃石公園於1995年放生14隻灰狼，�而引發了一系列的生態變化。項目中提到的生態變化包括灰狼獵捕加拿大馬鹿，鹿群減少後植物增生，進而影響河流的侵蝕形式等。這些生態變化被認為是重要的研究案例，但作者也強調，提供正確訊息是環境學家的職責，這意味著這些變化不是過於誇大，也不是完全不可信，但它們是一個需要追蹤和觀察的警訊。因此，選項D「不可等閒視之，而是應該追蹤的警訊」最符合文意。
8,112年學測-國文科第9題,D,0.0,B,答案：B解釋：題目中提到「三位學者的言談」是上文重要的素材，並且這個素材的運用手法是先綜述各方對「狼英雄」的反應，然後再用以代表分述其觀點。這種手法使得讀者能夠先了解整體社會對「狼英雄」的反應背景，然後再詳細了解三位學者的具體觀點。這樣的安排使得文章的邏輯更加清晰，能夠有效地傳達學者們的看法和觀點。因此，選項B是最適當的敘述方式。
9,112年學測-國文科第10題,C,0.0,B,答案：B解釋：題目中提到的「角分」和「度」是測量角度的單位，其中1度（degree）下再分為60角分（arcseconds）。這兩個單位是用來測量天體運動的角度，特別是在天文觀察中，用來描述天體之間的相對運動。選項B正確地指出了角分和度是測量角度的單位，且1度下再分為60角分，這是基本的天文知識，符合題目要求。其他選項A、C和D都涉及具體的天文知識背景，並未被文章預設為已知。
