,info,answer,score,generated_answer,detailed_generated_answer
0,112年學測-國文科第1題,A,0.0,B,                           正確的答案：(B)                           解釋：                           (A)「笳」和「袈」的讀音不同，分別為 /fən/ 和 /shǔ/                           (B)「驩」和「睨」的讀音相同，皆 /kàn/                           (C)「踣」和「掊」的讀音不同，分別為 /jiā/ 和 /tī/                           (D)「吁」和「迂」的讀音不同，分別為 /suī/ 和 /wāng/                           因此選(B)
1,112年學測-國文科第2題,C,0.0,A,                           正確的答案：(A)                           解釋：                           (A)此句沒有錯別字。                           (B)「謀」字應為「罪」，為「人罪謀不彰」                           (C)「命蹇」應為「命苦」，為「命苦時乖」                           (D)「冉冉」應為「逐」，為「在歡呼聲中逐升空」
2,112年學測-國文科第3題,A,0.0,C,                           正確的答案：(C)                           解釋：                           本題的文句是：「新品銷量短期內便來者可追，超越廣受好評的老品牌」。在這個句子中，「來者可追」一詞被用作描述新品在市場上迅速獲得歡迎的情況，超越了老品牌的表現。因此，運用最適當的詞語是(C)。
3,112年學測-國文科第4題,D,0.0,B,                           正確的答案：(B)                           解釋：                           (B)孟浩然較另四位詩人尤好寫詩交友，王昌齡給每名親友的詩至多兩首。                          表一中孟浩然的數字為159，可以理解為孟浩然在五位詩人中，寫給親友的詩最多，且都給不同的人，所以至少有159首。                          表二中王昌齡對孟浩然的詩數為4，表示王昌齡寫給孟浩然的詩有4首。                          表二中王昌齡對李白、杜甫、孟浩然的詩數分別為1、2、0，表示王昌齡給這三人寫的詩各為一首、二首、零首。                          因此，王昌齡給每名親友的詩至多兩首，孟浩然較其他詩人更偏好寫詩交友。
4,112年學測-國文科第5題,D,0.0,B,                           正確的答案：(B) 說話者自居當事者的角色                           解釋：                           在甲的例子中，燭之武在說話時，他自居當事者的角色，因為他直接向秦穆公提出了建議和警告。而在乙的例子中，樊噲在說話時，他自居旁觀者的角色，他提供了建議給項羽，但沒有直接涉入事件的當事人地位。因此，最合適的答案是(B)，說話者自居當事者的角色。
5,112年學測-國文科第6題,D,1.0,D,                           正確的答案：(D)尤所難免／疑懼／伺守？                           解釋：                           在句子「其部人曰：『將軍何為挈麗人經此？地有神，善竊少女，而美者□□□□，宜謹護之。』」中，最合適的詞語填充是「尤所難免／疑懼／伺守」。                           原因是，句子在描述一個美的少女被神偷少女的神所吸引，可能被偷走的危機，所以需要格外小心。「尤所難免」表示這個危機是避免不了的，「疑懼」表示對這個危機的恐懼和顧慮，「伺守」表示要時刻注意、謹慎地保護少女。其他選項的詞語填充在語境上不太合適。
6,112年學測-國文科第7題,D,1.0,D,                           正確的答案：(D)料理講究發揮個別的特長，作文亦以呈顯本色為尚                           解釋：                           文章中提到不同民族的料理特色，強調要「各用所長之菜」，以及不要「依樣葫蘆」，強調每個人或民族都要以自己的特色為重。因此，最合適的回答是(D)，強調發揮個別特長並呈顯本色。
7,112年學測-國文科第8題,A,1.0,A,                           正確的答案：(A)其中雖有些許真相，但似乎過於誇大                           解釋：                           文章中提到，狼群的放生對黃石公園的生態系產生了影響，但研究發現鹿群減少的原因除了狼群外，還包括獵捕活動和其他掠食者。因此，「狼改變了河流」的說法可能有些過份誇大。
8,112年學測-國文科第9題,D,0.0,B,                           正確的答案：(B)                           解釋：                           本題要求針對「三位學者的言談」的運用手法進行評述。答案(B)「先綜述各方對『狼英雄』反應，再以三人為代表分述其觀點」最符合這個要求，因為它涵蓋了不同觀點的綜述和以三人為代表的分述，符合對「狼英雄」的探討和評述。其他答案的運用手法較不適切。
9,112年學測-國文科第10題,C,1.0,C,                           正確的答案：(C)                           解釋：                           (C) 清代的觀測誤差，小於宋元之際的觀測誤差。                           上文提到，木星合土星的天文現象，需要考慮到天星的公轉速度、角分和度的關係，以及各行星與太陽的距離等知識。然而，這些知識在文章中未被明確提到，因此無法得出其他選項的正確性。
10,112年學測-國文科第11題,C,1.0,C,                           正確的答案：(C)古人無法完全依據木星、土星的移動速度判斷誰犯誰                           解釋：                           古人無法完全依據木星、土星的移動速度判斷誰犯誰，因為從地球上看，兩顆星在合合分分的過程中，會發生順行、逆行和停留在某處的變化，這些因素都會影響視覺上的位置變化。因此，古人主要依靠快慢印象來判斷誰犯誰。
