,info,answer,score,generated_answer,detailed_generated_answer
0,112年學測-國文科第1題,A,0.0,AC,                           正確的答案：(A)、(C)                           解釋：                           (A)「笳」和「袈」都是同一個漢字，只是「笳」是部首，「袈」是單獨使用的字。                           (C)「踣」和「掊」都是同一個漢字，「踊」是連音的結果，實際上是兩個不同的字。                           (B)、(D)「鬬」起和「睨」都是不同的漢字，前後讀音不同。
1,112年學測-國文科第2題,C,0.0,A,                           正確的答案：(A)                           解釋：                           (A) 此句沒有錯別字。                           (B) 「明」字應為「明」顯                           (C) 「命」字應為「生」命                           (D) 「冉」字應為「升」
2,112年學測-國文科第3題,A,1.0,A,                           正確的答案：(A)                           解釋：                           在所有選項中，(A)「擘肌分理」一詞最合適地運用在描述專案小組深入分析並了解懸案的情況。「擘肌分理」表示對事物的細微分析和研究。其他選項中的「愛屋及烏」、「來者可追」、「得隴望蜀」等詞語在句子中雖然也可能適用，但沒有其他詞語可以像(A)一樣適切地搭配使用。
3,112年學測-國文科第4題,D,1.0,D,                           正確的答案：(D)李白有不少詩是因問候、懷想親友而寫，但對象不含王維。                           解釋：                           根據表一和表二的數據，李白向其他四詩人（孟浩然、王昌齡、王維、杜甫）寫的「問候懷想親友詩」數量分別為0、1、0、2。其中，對王維的詩數為0，因此最合適的解讀是李白在問候、懷想親友的詩中，沒有包含王維。
4,112年學測-國文科第5題,D,0.0,A,                           正確的答案：(A) 說話者自居旁觀者的角色                           解釋：                           在甲的例子中，燭之武以智慧的角色提供了秦穆公建議，他沒有自居當事者或討人情的角色，也不是在討公道或嫉妒。他以一個旁觀者的角度提供了意見，因此最合適的角色定位是(A)。
5,112年學測-國文科第6題,D,1.0,D,                           正確的答案：(D)尤所難免／疑懼／伺守？                           解釋：                           在下文中，「其部人曰」表示有人在議論，而其議論的重點是如何保護美麗的少女。在□□□□這個位置，最符合上下文的詞語是「疑懼」，因                           為它表示對可能的威脅保持了警惕。因此，最合適的插入詞語組是「尤所難免／疑懼／伺守」。
6,112年學測-國文科第7題,D,1.0,D,                           正確的答案：(D)料理講究發揮個別的特長，作文亦以呈顯本色為尚                           解釋：                           文章中提到不同民族的料理特色，強調要「童而習之」，也就是年輕時就要學習，以精通自己的本色。而在寫作方面，也要以本色為尚，而不要只是追求表面的華麗，而失去了自己的特色。因此，最合適的回答是(D)。
7,112年學測-國文科第8題,A,1.0,A,                           正確的答案：(A)                           解釋：                           本文提到狼群對黃石公園生態的影響，以及鹿群減少和植被增生的現象。然而，研究顯示鹿群減少的原因除了狼群外，還包括獵捕行為和其他肉食動物的存在。因此，可以說文中有些許真相，但似乎過於誇大。
8,112年學測-國文科第9題,D,0.0,B,                           正確的答案：(B)                           解釋：                           本題要求針對「三位學者的言談」之運用手法作適切的敘述。答案(B)「先綜述各方對『狼英雄』反應，再以三人為代表分述其觀點」最符合此要求，因它涵蓋了將各方意見作一綜述，並分別以三位學者的觀點作描述。其他選項(A、C、D)則未完全符合上述要求。
9,112年學測-國文科第10題,C,0.0,ABCD,                           正確的答案：(A)、(B)、(C)、(D)                           解釋：                           (A)金星的公轉速度比土星快，金星約需11.86 Earth年，而土星約29.5 Earth年繞太陽公轉。                           (B)1度是測量角度的單位，1度等於60角分。                           (C)清代的觀測誤差較小，小於宋元之際的觀測誤差。                           (D)木星、土星與太陽的距離，較地球與太陽的距離遠。
10,112年學測-國文科第11題,C,1.0,C,                           正確的答案：(C)古人無法完全依據木星、土星的移動速度判斷誰犯誰                           解釋：                           古人無法完全依據木星、土星的移動速度判斷誰犯誰，因為從地球上看，兩顆星在合合分分的過程中，會發生順行、逆行和停留在某處的變化，這使得視覺上木星和土星的移動速度看似不固定。因此，古人主要依靠快慢印象來判斷誰犯誰，而不是單純地比較兩者的移動速度。
11,112年學測-國文科第12題,A,0.0,D,                           正確的答案：(D)歲星與填星鬥，此謂離德，不出三月，必有亡國                           解釋：                           古人相信木星合土星的現象會影響國運，而歲星犯填星被視為不祥之兆。在提供的選項中，(D)最符合古人的想法，指出歲星（木星）犯填星（土星）會導致離德，並在三個月內導致亡國。其他選項則未充分反映古人的看法。
12,112年學測-國文科第13題,B,1.0,B,                           正確的答案：(B)乙                           解釋：                           根據文章，青苔在日本庭園中的綠意具有代表庭園歷史的作用，並具有蒼老之美。因此，「而青苔非歷時長久不能蔓衍」應填入(B)乙，以表示青苔在庭園中的重要性。
