,info,answer,score,generated_answer,detailed_generated_answer
0,112年學測-國文科第1題,A,1.0,A,正確的答案：(A)解釋：(A) 胡「笳」之拍（音ㄐㄧㄚ）／僧侶「袈」裟（音ㄐㄧㄚ），兩者讀音相同。(B) 釁起「鬩」牆（音ㄒㄧˋ）／傲「睨」萬物（音ㄋㄧˋ），兩者讀音不同。(C) 驀然而「踣」（音ㄅㄛˊ）／「掊」擊對手（音ㄆㄡˇ），兩者讀音不同。(D) 「吁」嗟而去（音ㄒㄩ）／「迂」談闊論（音ㄩ），兩者讀音不同。
1,112年學測-國文科第2題,C,0.0,D,正確的答案：(D)解釋：(A)「不斐」應為「不菲」，「斐」是錯別字。(B)「人謀不彰」應為「人謀不臧」，「彰」是錯別字。(C)「命蹇時乖」應為「命蹇時乖」，但「命蹇」這個詞語較少使用，且「工讀自學」的表達也不夠準確。(D)「天燈乘載大家的願望，在歡呼聲中冉冉升空」這句話沒有錯別字，語意通順。
2,112年學測-國文科第3題,A,0.0,B,正確的答案：(B)解釋：(A) 擘肌分理：比喻分析事理非常細緻。用於懸案的分析不太恰當。(B) 愛屋及烏：比喻因喜愛某人而連帶喜愛與他有關的人或事物。用於經理袒護愛將的過失，符合語境。(C) 來者可追：比喻後來的可以趕上前面的。用於新品銷量超越老品牌不太恰當。(D) 得隴望蜀：比喻貪得無厭。用於闖過準決賽後的情況不太恰當。因此，選項 (B) 的詞語運用最適當。
3,112年學測-國文科第4題,D,0.0,B,正確的答案：(B)解釋：(A) 表一中的數字「159」代表五位詩人所寫「問候懷想親友詩」的統計數字，並不是指認識王維的人數。(B) 表一顯示孟浩然寫了333首問候懷想親友的詩，數量最多，表二顯示王昌齡給每名親友的詩數最多為2首，符合題意。(C) 表一顯示杜甫寫了460首問候懷想親友的詩，數量比孟浩然多，且表二顯示杜甫與孟浩然的熟識度不如與王維。(D) 表二顯示李白有1首詩提到王維，故李白的問候、懷想親友的對象中包含王維。
4,112年學測-國文科第5題,D,0.0,C,正確的答案：(C)解釋：甲、燭之武在對秦穆公說話時，指出晉國的貪婪和擴張，並提醒秦穆公如果不防範晉國，將會受到威脅。燭之武的言辭中帶有討公道的意味，試圖讓秦穆公認識到晉國的不公行為，從而達成保護鄭國的目的。乙、樊噲在對項羽說話時，強調劉邦的功勞和辛勞，並指出項羽聽信小人之言，欲誅有功之人是不公正的行為。樊噲的言辭中同樣帶有討公道的意味，試圖讓項羽認識到劉邦的功勞，從而達成保護劉邦的目的。因此，甲和乙的說話者都自居討公道的角色，而受話者（秦穆公和項羽）則處於被辜負的角色。
5,112年學測-國文科第6題,D,1.0,D,正確的答案：(D)尤所難免／疑懼／伺守解釋：根據文意，紇的妻子非常美麗，部落的人提醒紇要小心神靈會偷走美麗的少女，紇因此感到害怕，夜晚安排士兵守護妻子。文中的「□□」應該填入能夠表達這種情境的詞語。- 「尤所難免」意指這種情況是難以避免的，符合部落人對美麗少女被神靈偷走的擔憂。- 「疑懼」意指紇感到害怕，符合他夜晚安排士兵守護妻子的行為。- 「伺守」意指守護，符合文中安排女奴守護妻子的情境。因此，選項(D)最符合文意。
6,112年學測-國文科第7題,D,1.0,D,正確的答案：(D)解釋：文中提到「漢請滿人用滿菜，滿請漢人用漢菜，反致依樣葫蘆，有名無實，畫虎不成反類犬矣」，這說明了做菜應該發揮各自的特長，而不是模仿他人的風格。同樣地，寫文章也應該展現自己的特色，而不是一味模仿他人。因此，選項(D)「料理講究發揮個別的特長，作文亦以呈顯本色為尚」最符合文意。
7,112年學測-國文科第8題,A,1.0,A,正確的答案：(A)解釋：根據題目中的描述，麥可奈第指出「狼改變了河流」這一說法雖然有些真相，但實際上是過於誇大的。因為除了狼群的影響，還有其他因素如獵捕加拿大馬鹿、美洲獅與灰熊的影響也對鹿群減少有所貢獻。因此，最適合填入的文句是「其中雖有些許真相，但似乎過於誇大」，即選項 (A)。
8,112年學測-國文科第9題,D,0.0,B,正確的答案：(B)解釋：文章先綜述了灰狼重返黃石公園後對生態系統的影響，接著引用了三位學者的觀點來進一步探討這一現象。這三位學者分別是環境學家蒙比爾特、動物學家米德爾頓和生態學家麥可奈第，他們的觀點被分別引述來說明不同的看法。這種手法是先綜述各方對「狼英雄」的反應，再以三人為代表分述其觀點，因此最適當的敘述是(B)選項。
9,112年學測-國文科第10題,C,1.0,C,正確的答案：(C)解釋：(A) 金星的公轉速度比土星快：文章中提到木星比土星跑得快，這暗示了內側行星的公轉速度比外側行星快，因此這個知識是被預設的。(B) 角分與度是測量角度的單位，1度＝60角分：文章中提到木星和土星的視覺距離為6.5角分，這個知識也是被預設的。(C) 清代的觀測誤差，小於宋元之際的觀測誤差：文章中提到木星每天頂多移動0.2度，小於宋元之際觀測誤差，約等於清代觀測誤差，但並未提到清代的觀測誤差小於宋元之際的觀測誤差，因此這個知識未被預設。(D) 木星、土星與太陽的距離，較地球與太陽的距離遠：文章中提到木星和土星是外側行星，這個知識也是被預設的。因此，未被上文預設為背景知識的是(C)。
