,info,answer,score,generated_answer,detailed_generated_answer
0,112年學測-國文科第1題,A,1.0,A,                           正確的答案：(A)                           解釋：                           (A)「笳」和「袈」的讀音前後相同，都是 jia。                           (B)「鬩」和「睨」的讀音不同，分別是 xi 和 ni。                           (C)「踣」和「掊」的讀音不同，分別是 bei 和 pou。                           (D)「吁」和「迂」的讀音不同，分別是 xu 和 yu。                           因此只有(A)選項中的字讀音前後相同。
1,112年學測-國文科第2題,C,0.0,D,                           正確的答案：(D)                           解釋：                           (A) 「價格不斐」應為「價格不菲」。                           (B) 「人謀不彰」應為「人為疏失」。                           (C) 「命蹇時乖」應為「命運多舛」。                           (D) 這句沒有錯別字。
2,112年學測-國文科第3題,A,0.0,B,"                           正確的答案：(B)                           解釋：                           (A) ""擘肌分理""是指仔細分析和研究,與此題意不符。                           (B) ""愛屋及烏""是指因為喜歡某人而包庇他的過失,與此題意最為貼切。                           (C) ""來者可追""是指新事物很快就能追上舊事物,與此題意不符。                           (D) ""得隴望蜀""是指渴望遙遠的事物,與此題意不符。                           因此選(B)。"
3,112年學測-國文科第4題,D,0.0,B,                           正確的答案：(B)                           解釋：                           (A)表一中的「159」代表王維被其他四位詩人提及的次數總和，並非每人各提及一次。                           (B)從表一可以看出，孟浩然寫給親友的詩數最多，達460首。而表二顯示王昌齡給每位親友的詩數最多為2首。因此(B)是正確的。                           (C)表二顯示杜甫提及孟浩然的次數較多，但這並不代表杜甫與孟浩然的熟識度比與王維高。                           (D)表二顯示李白有13首詩提及王維，因此(D)是錯誤的。
4,112年學測-國文科第5題,D,0.0,B,"                           正確的答案：(B)                           解釋：                           甲的說話者自居當事者的角色,即燭之武自稱為晉君的臣子,向秦穆公陳述晉國的立場。                           乙的說話者樊噲也自居當事者的角色,向項羽陳述沛公的功勞,並批評項羽想要誅殺有功之人的做法。                           因此,兩者的說話者都自居當事者的角色,以利達成自己的目的。"
5,112年學測-國文科第6題,D,1.0,D,"                           正確的答案：(D) 尤所難免／疑懼／伺守                           解釋：                           根據文中描述,紇妻「甚美」,其部人擔心「善竊少女,而美者尤所難免」,顯示他們擔心紇會因妻子的美貌而遭到竊奪。紇因此「疑懼」,夜間「環其廬,匿婦密室中,謹閉甚固,而以女奴十餘伺守之」,可見他是出於「疑懼」而採取「伺守」的措施。因此,□□內最適合填入的詞語依序為「尤所難免」、「疑懼」、「伺守」。"
6,112年學測-國文科第7題,D,1.0,D,"                           正確的答案：(D)                           解釋：                           本文中提到「做菜」與「作文」之間的譬喻,主要在於強調要發揮個人的特長和本色,而不是盲目地模仿他人。                           (A)雖然也提到了要了解各地菜餚特色和文學流派,但並非最適當的答案。                           (B)提到要向前輩學習,但並非文章的核心意旨。                           (C)提到漢人未自幼學習而做不好滿菜,但文章並未強調這一點。                           因此,選項(D)最能概括文章的核心意旨,即料理和作文都應該發揮個人的特長和本色,而不是盲目模仿他人。"
7,112年學測-國文科第8題,A,1.0,A,"                           正確的答案：(A)                           解釋：                           根據文章中的描述,狼群的重返確實對黃石公園的生態產生了一些影響,但文中也提到其他因素如獵捕加拿大馬鹿和其他肉食動物的存在,也對鹿群的減少有所貢獻。因此,文中所述「『狼改變了河流』」這個說法,雖然有一些真實的成分,但似乎有些過於誇大化了。因此選項(A)「其中雖有些許真相,但似乎過於誇大」最為合適。"
8,112年學測-國文科第9題,D,1.0,D,"                           正確的答案：(D)                           解釋：                           文中先介紹了蒙比爾特提出的「狼改變了河流」的說法,接著引述米德爾頓和麥可奈第的觀點,質疑這個說法。                           這種由支持到質疑的順序,隱然表達了對製造「狼英雄」的質疑。                           因此,選項(D)最適當地描述了文中三位學者言談的運用手法。"
9,112年學測-國文科第10題,C,0.0,A,                           正確的答案：(A)                           解釋：                           (A) 金星的公轉速度比土星快是未被預設為背景知識的。文中提到了木星和土星的公轉速度，但並未提及金星的公轉速度。                           (B) 角分與度是測量角度的單位，1度=60角分是預設為背景知識的。                           (C) 清代的觀測誤差小於宋元之際的觀測誤差是預設為背景知識的。                           (D) 木星、土星與太陽的距離較地球與太陽的距離遠是預設為背景知識的。
