,info,answer,score,generated_answer,detailed_generated_answer
0,112年學測-國文科第1題,A,0.0,B,                           正确的答案：(B)                           解釋：                           錤起「鬩」牆和傲「睨」萬物的字都讀作「bì」，但「鬩」字後面的「」讀作「pí」，而「傲」字後面的「」讀作「yì」。因此，兩者讀音前後不同。
1,112年學測-國文科第2題,C,0.0,D,"                           正确的答案：(D)                           解釋：                           本題考查詞語辨析和句子理解能力。A) ""稀世珍品樣樣價格不斐"" 中的 ""斐"" 是錯誤的，應該為 ""斐""，意思是價值或價錢高；B) ""這起工安意外明顯是人謀不彰所導致"" 中的 ""彰"" 是錯誤的，應該為 ""彰""，意思是清楚、明显；C) ""叔叔感慨從小命蹇時乖，一路工讀自學"" 中的 ""蹇"" 是錯誤的，應該為 ""蹇""，意思是困苦、不利；D) ""天燈乘載大家的願望，在歡呼聲中冉冉升空"" 中的 ""冉冉升空"" 是正確的，意思是慢慢地升起。                           故本題答案為(D)。"
2,112年學測-國文科第3題,A,0.0,C,                           正确的答案：(C)                           解釋：                           (C)新品銷量短期內便來者可追，超越廣受好評的老品牌，使用了“短時間內”、“超越”和“好評”等詞語，這些詞語搭配在一起，強調了新品銷量快速提升且表現優異，符合題目的要求。其他選項如(A)“這宗懸案經專案小組擘肌分理”，(B)“經理很欣賞這名愛將”，(D)“闖過準決賽就能占到得隴望蜀的位置，可望角逐冠軍”，均未直接涉及產品銷量或品牌優劣，因此不符合題目的要求。
3,112年學測-國文科第4題,D,0.0,B,                           正确的答案：(B)                           解釋：                           (B)孟浩然較另四位詩人尤好寫詩交友，王昌齡給每名親友的詩至多兩首。根據題目的描述，王昌齡寫了275首「問候懷想親友詩」，這意味著他在這些詩中至少寫了275首與親友相關的詩，因此在表一中，他寫了275首詩，並在「問候懷想親友詩」這個欄位中計數了一次。其他三位詩人李白、杜甫和孟浩然各自寫了不同的詩數，分別是178首、104首和255首，因此他們在表一中沒有寫到與王維相關的詩，因此不會在「問候懷想親友詩」這個欄位中計數一次。因此，孟浩然的詩數在表一中被計數了2次，王昌齡的詩數被計數了2次，杜甫的詩數被計數了1次，李白的詩數被計數了1次。因此，孟浩然的詩數在表一中占據了159首詩的百分比，王昌齡的詩數占據了275首詩的百分比，杜甫的詩數占據了104首詩的百分比，李白的詩數占據了255首詩的百分比。因此，正確答案是(B)。
4,112年學測-國文科第5題,D,0.0,B,                           正确的答案：(B) 說話者自居當事者的角色                           解釋：                           在這段話中，甲和乙都扮演了對話者的角色，但他們的言語行為方式有所不同。甲的描述：“且君嘗為晉君賜矣，許君焦、瑕，朝濟而夕設版焉，君之所知也。”這句話表明甲是在向秦穆公詢問過去的事情，並暗示自己是當時的一方，即秦穆公。甲以“且君嘗為晉君賜矣”作為開頭，表明自己是從前的晉國君主，並且詢問秦穆公是否曾給予過焦、瑕兩座城池作為貢獻。這類描述通常表現為對過去事件的回顧和反思，符合當事者的角色定位。乙的描述：“今沛公先破秦，入咸陽，毫毛不敢有所近，封閉宮室，還軍霸上，以待大王來。故遣將守關者，備他盜出入與非常也。”這句話表明乙是在向項羽介紹現在的情況，並暗示自己是當下的項羽。乙以“今沛公先破秦，入咸陽，毫毛不敢有所近，封閉宮室，還軍霸上，以待大王來”作為開始，強調項羽已經攻破了秦朝首都咸阳，並將毫毛視為不可接近的物品，並封閉了自己的宮室，準備返回霸上的戰場。這類描述通常表現為對現在事件的描述和分析，符合當事者的角色定位。因此，根據甲和乙的描述，最適宜的表述是甲是話者自居當事者的角色，因為他在詢問過去的事情並提供自己的身份和背景信息，同時也在描述當下的情況和策略。而乙則是話者自居討人情的角色，因為他在介紹現在的情況並提出自己的策略和行動計劃，同時也在描述當下的人際關係和責任分配。
5,112年學測-國文科第6題,D,0.0,DA,                           正确的答案：(D)、(A)                           解釋：                           (D)尤所難免：形容事情或情况不可避免，無法避免。                           (A)疑懼：形容因害怕或担心而产生的不安情绪。                           (B)倨傲：形容傲慢无礼，态度傲慢。                           (C)迎候：指等待客人到来，与“疑懼”搭配使用，符合题意。根據上下文，軍官帶領士兵前往一個神秘的地方尋找妻子，士兵們懷疑妻子被神偷走了，因此他們小心翼翼地守衛著那座廬，並秘密藏在了婦女的密室中，以確保妻子的安全。當夜晚時分，陰暗的天氣和沉寂的環境讓士兵們感到非常害怕，因為他們不知道妻子是否已經遇害。然而，士兵們堅定地守衛著，並沒有輕易入睡，反而更加警惕起來。突然間，士兵們聽到了一種奇怪的聲音，這声音讓他們感到非常害怕，因為它似乎是在暗示妻子已經被人發現了。於是，士兵們立即警覺起來，開始進行搜索，並且在黑暗中悄悄接近那座廬，希望能找到妻子的下落。經過一番努力，士兵們終於找到了妻子，她安然無恙地坐在廬中，毫無損傷。因此，最適合填入的詞語是(D)、“尤所難免”，表示士兵們在這種情況下，雖然感到害怕，但仍然保持警惕，最終成功地找回了妻子。
6,112年學測-國文科第7題,D,1.0,D,                           正确的答案：(D)                           解釋：                           (A)學做料理需知各地菜餚特色，習文當須辨宗門流派，這句話描述了學做料理和習文需要了解各地菜餚的特點，並根據這些特點去學習和掌握各自的技巧和風格，而非簡單地講求各地菜餚的特色。                           (B)做菜須向前輩方家學習以精進，為文當須追摹宗師，這句話強調了學做料理和習文都需要向有經驗的先輩學習，從他們的經驗中汲取寶貴的知識和技能，並且模仿他們的風格和手法，而不是一味地追求自己的特長或模仿其他人的作品。                           (C)漢人未自幼學習而做不好滿菜，學寫文章亦宜趁早，這句話指出漢人如果沒有從小開始學習和練習滿菜，等到成年後再學習也不太晚，但同時也提醒人們要珍惜時間，趁早學習和掌握滿菜的技巧和方法，以免等到老年時才后悔。                           (D)料理講究發揮個別的特長，作文亦以呈顯本色為尚，這句話強調了料理和作文都應該充分發揮個人的特長和風格，而不是盲目地模仿他人的作品或照搬他人的做法，而是要注重自我風格的塑造和表現，讓自己的作品具有獨特性和鮮明性。因此，(D)符合題目的要求，是正確的選擇。
7,112年學測-國文科第8題,A,0.0,D,                           正确的答案：(D)                           解釋：                           文段描述了灰狼在黃石公園生態系統中扮演的角色，它們的存在和行為導致了鹿群減少，進而影響了河谷的植物群落和樹木生长。根據米德爾頓的研究，鹿群減少使得樹木增多，但這種變化並沒有立即導致河岸變得曲折，而是需要一定時間才能實現。因此，米德爾頓認為「『狼改變了河流』」，這表明狼群的消失對黃石公園生態系統造成了重大影響，並且這種影響無法在短時間內完全恢復。(A) 中有些許真相，但似乎過於誇大，不符合原文意思，排除；(B) 是不折不扣的假新聞，完全缺乏實證，不符合原文描述，排除；(C) 將來可能推翻，但在目前可信度最高，符合原文意思，但前提是在確認了狼群消失對生態系統影響的科學證據后，排除；(D) 不可等閒視之，而是應該追蹤的警訊，符合原文描述，且符合現代科學觀念，因此是最適合填入的文句。
8,112年學測-國文科第9題,D,0.0,B,                           正确的答案：(B)                           解釋：                           首先，我們需要概述各方對「狼英雄」的反應。根據原文，三位學者分別是蒙比爾特、米德爾頓和麥可奈第，他們對「狼英雄」的看法各不相同。蒙比爾特認為「狼英雄」實際上是自然界進化過程中自然選擇的結果，它們的存在使得原本較弱的鹿群得以生存，並促進了森林生態系統的平衡。米德爾頓則持相反看法，他認為「狼英雄」的出現並非自然演化的結果，而是人類為了保護鹿群而進行的狩猎行為導致的。最後，麥可奈第則將三人的觀點結合起來，認為「狼英雄」的存在確實影響了黃石公園的生態，但這種影響並不是短期內就能完全恢復的，而是需要長期的生物學和生態學研究才能揭示其真正意義。因此，最適當的敘述方式是先總結各方對「狼英雄」的反應，再以三人為代表分述其觀點。這樣可以讓讀者更全面地了解不同學者對「狼英雄」的不同看法，同時也能通過三位學者的見解來展示「狼英雄」對黃石公園生態系統的影響。因此，答案為(B)。
9,112年學測-國文科第10題,C,1.0,C,(C) 清代的觀測誤差，小於宋元之際的觀測誤差                           解釋：                           根据原文所述，古代「填星犯某星」的記載很少，《明實錄》的「填星犯太白（金星）」，到正史中改為「太白犯填星」。这表明古人并未直接提及金星和土星的速度差异，而是通过观察它们在不同时间内的运动轨迹来判断谁犯了谁。然而，根据现代天文学知识，金星的公转速度确实比土星快，约为每小时约17.4公里，而土星的公转速度约为每小时约10.2公里。因此，根據原文所描述的觀測誤差，即清代觀測誤差，小于宋元之際的觀測誤差，可以推断出古人更倾向于使用清代的觀測誤差来判断木星和土星是否相犯。因此，正確答案是(C) 清代的觀測誤差，小於宋元之際的觀測誤差。
