,info,answer,score,generated_answer,detailed_generated_answer
0,112年學測-國文科第1題,A,1.0,A,                           正確的答案：(A)                           解釋：                           (A)胡笳之拍／僧侶袈裟：「茄」和「裟」都是「衣」的意思，發音相同。                           (B)釁起鬩牆／傲睨萬物：「鬩」和「睨」都是「睨」的意思，發音不同。                           (C)驀然而踣／掊擊對手：「踣」和「掊」都是「撲」的意思，發音不同。                           (D)「吁」嗟而去／「迂」談闊論：「吁」和「迂」都是「迂」的意思，發音不同。                           因此選(A)
1,112年學測-國文科第2題,C,0.0,D,                           正確的答案：(D)                           解釋：                           (A)收藏家的稀世珍品樣樣價格不斐 - 收藏家的稀世珍品樣樣價格都不菲                           (B)這起工安意外明顯是人謀不彰所導致 - 这起工安意外顯然不是人謀不彰所導致                           (C)叔叔感慨從小命蹇時乖，一路工讀自學 - 叔叔感慨從小命蹇時乖，一路工讀自學                           (D)天燈乘載大家的願望，在歡呼聲中冉冉升空 - 天燈乘載大家的願望，在歡呼聲中冉冉升起                           因此選(D)
2,112年學測-國文科第3題,A,0.0,C,                           正確的答案：(C)                           解釋：                           (A)擘肌分理：形容細心研究，一般用於人或事，不符合文意。                           (B)愛屋及烏：比喻因親近而包庇錯誤，不符合文意。                           (C)來者可追：指後面的人可以追上前面的人，符合文意。                           (D)得隴望蜀：形容地位高，勢力大，不符合文意。                           因此選(C)
3,112年學測-國文科第4題,D,1.0,D,                           正確的答案：(D)                           解釋：                           (A)表一中王昌齡和杜甫的數字相同，代表他們各自給了孟浩然相同的詩數，因此他們並沒有認識王維。                           (B)表一中王昌齡給孟浩然的詩數為2，給其他三位詩人的詩數為1，這代表王昌齡給每位親友的詩數最多為兩首，而不是每個人各計一次。                           (C)表一中杜甫的詩數為4，表二中杜甫的親友數為110，這代表杜甫的親友比孟浩然少，但他與孟浩然的熟識度，比與王維來得低。                           (D)表一中李白的數字為0，表二中李白的親友數為13，這代表李白有不少詩是因問候、懷想親友而寫，但對象不含王維。                           因此選(D)
4,112年學測-國文科第5題,D,0.0,B,                           正確的答案：(B) 說話者自居當事者的角色                           解釋：                           甲文中燭之武是以晉國的角度對秦穆公進行挑戰，因此燭之武自居當事者的角色；乙文中樊噲是以楚國的角度對項羽進行勸諫，因此樊噲自居當事者的角色。因此選(B)
5,112年學測-國文科第6題,D,1.0,D,                           正確的答案：(D)尤所難免／疑懼／伺守？                           解釋：                           本題考查對文章內容的理解和分析能力。原文提到“將軍何為挈麗人經此？”意為“將軍為什麼要攜帶美女經過這裡？”由此可知，部人對將軍有所懷疑和擔憂，因此填入“疑懼”、“伺守”符合文意。而“倨傲”不符合文意，因為部人並未表現出傲慢的態度。因此選(D)。
6,112年學測-國文科第7題,D,1.0,D,                           正確的答案：(D)                           解釋：                           袁枚認為料理和作文都應該注重個人特長的發揮，而不是盲目模仿他人。因此，答案是(D)料理講究發揮個別的特長，作文亦以呈顯本色為尚。
7,112年學測-國文科第8題,A,0.0,D,                           正確的答案：(D)不可等閒視之，而是應該追蹤的警訊                           解釋：                           米德爾顿承認這個案例讓大家意識到肉食動物對生態系統的重要，但他強調，提供正確訊息仍是環境學家的職責。因此，最適合填入的文句是：「『狼改變了河流』，不可等閒視之，而是應該追蹤的警訊」。                           因此選(D)
8,112年學測-國文科第9題,D,0.0,B,                           正確的答案：(B)                           解釋：                           (A)文中並沒有提到論據。                           (B)文中首先概述了各方對「狼英雄」的反應，然後以三位學者的觀點為代表進行分述。                           (C)訪談形式呈現三人對「狼英雄」的看法，使讀者有參與感，但文中並沒有提到訪談的形式。                           (D)文中並沒有提到製造「狼英雄」的質疑，只是對三位學者的觀點進行了概述和分析。                           因此選(B)
9,112年學測-國文科第10題,C,0.0,D,                           正確的答案：(D)                           解釋：                           (D)木星、土星與太陽的距離，較地球與太陽的距離遠，這並非天文學知識，而是歷史背景知識，因此未被上文預設為背景知識。                           其他三個選項皆為天文學知識，因此被上文預設為背景知識。                           故答案為(D)
