,info,answer,score,generated_answer,detailed_generated_answer
0,112年學測-國文科第1題,A,1.0,A,                           正確的答案：(A)                           解釋：                           (A)胡笳之拍：hú jiā zhī pāi；僧侶袈裟：sēng lèi jiā sà                           (C)蓦然而踣：mò rán ér bó；「掊」擊對手：pǒu jī duì shǒu                           (B)釁起鬩牆：xìn qǐ huò qiáng；傲睨萬物：ào nì wàn wù                           (D)吁嗟而去：yū jiē ér qù；「迂」談闊論：yū tán kuò lùn                           (A)胡笳之拍與僧侶袈裟的「笳」和「袈」的發音相同，故答案為(A)。
1,112年學測-國文科第2題,C,0.0,D,                           正確的答案：(D)                           解釋：                           (A)「不斐」應為「不菲」，「樣樣」應為「樣樣」。                           (B)「人謀不彰」應為「人謀不臧」，「所」字結構錯誤，應為「所致」。                           (C)「工讀自學」應為「自修」，「命蹇時乖」應為「命途多舛」。                           (D)「冉冉升空」完全正確，沒有錯別字。                           故選(D)。
2,112年學測-國文科第3題,A,0.0,C,                           正確的答案：(C)                           解釋：                           (A)「擘肌分理」原指分析細緻，後引申為細密審查之意，用在這裡形容專案小組對案件的審查，使用正確。                           (B)「愛屋及烏」比喻愛一個人而連帶愛他所喜好的一切事物，用在這裡形容經理袒護部屬，使用不當。                           (C)「來者可追」原指來的人可以追趕前面的人，後用來形容後起之秀超越前人，使用正確。                           (D)「得陇望蜀」原指取得陇右後想取得四川，後用來形容野心大，欲求無限，使用不當。                           故選(C)。
3,112年學測-國文科第4題,D,0.0,C,                           正確的答案：(C)                           解釋：                           (A)孟浩然、王昌齡、杜甫皆認識王維，故於表一數字「159」中各計一次：表一的數據無法直接推斷三位詩人是否認識彼此，只能看出他們各自寫了多少首問候懷想親友詩。                           (B)孟浩然較另四位詩人尤好寫詩交友，王昌齡給每名親友的詩至多兩首：表一並沒有提供王昌齡給每位親友的詩數量，無法得出此結論。                           (D)李白有不少詩是因問候、懷想親友而寫，但對象不含王維：表二顯示李白寫了13首與親友相關的詩，但並未指出這些親友是否包含王維。                           (C)杜甫的親友比孟浩然少，他與孟浩然的熟識度，比與王維來得高：表二顯示杜甫與孟浩然、王維、李白、王昌齡的詩數均較多，且杜甫與孟浩然的詩數差距不大，因此可以推斷杜甫與孟浩然的熟識度相較於王維更高。
4,112年學測-國文科第5題,D,0.0,C,                           正確的答案：(C) 誰說話者自居討公道的角色                           解釋：                           甲文中的燭之武以客觀的角度分析了秦、晉之間的關係，並提出自己的立場和看法，強調自己是站在公正立場上為晉國考慮，而非為了個人利益或私怨。                           乙文中的樊噲則是向項羽表達對沛公（刘邦）的忠誠和付出，並指出沛公的功績和誠信，同時批評項羽的行為不公，因此說話者自居為討公道的角色。                           故答案為(C)。
5,112年學測-國文科第6題,D,0.0,B,                           正確的答案：(B)                           解釋：                           這段文字描述的是《補江總白猿傳》的故事，內容講述了一位將軍的妻子被當地傳說中的神偷竊走的情節。根據上下文，「地有神，善竊少女，而美者尤所難免，宜謹護之」，意指美女被竊取是難以避免的事情，因此「其來有自」、「其來有自」、「尤所難免」都符合這個意思，但「其來有自」較為一般，「尤所難免」則更強調這種困難和不可避免。接著「而美者□□□□」，這裡描述的是美女被竊的原因，「迎候」是指迎接某人，不符合上下文，排除；「倨傲」是指傲慢無禮，也不符合上下文，排除；「伺守」是指守衛、監視，符合上下文，且「伺守」比「迎候」更貼切，因為神偷已經出現了，需要守衛防止再被竊。最後「夜勒兵環其廬，匿婦密室中，謹閉甚固，而以女奴十餘□□之」，描述的是將軍如何防範，「伺守」更符合情境，「伺守」比「迎候」更貼切，「伺守」也比「迎候」更符合將軍的行為，「迎候」則是迎接的意思，不符合上下文。因此，答案是「伺守」。
6,112年學測-國文科第7題,D,1.0,D,                           正確的答案：(D)                           解釋：                           (A)這句話是在說學料理要了解各地菜餚特色，學寫文章要辨別宗門流派，但並非直接對應到「做菜」與「作文」之間的譬喻。                           (B)這句話是在說做菜要向前輩學習，寫文章要追摹宗師，但並非直接對應到「做菜」與「作文」之間的譬喻。                           (C)這句話是在說漢人做不好滿菜，學寫文章要趁早，但並非直接對應到「做菜」與「作文」之間的譬喻。                           (D)這句話是在說料理要發揮個別的特長，作文要呈現本色，這與「做菜」與「作文」之間的譬喻相符，因為料理和作文都是個人特色的展現，且「依樣葫蘆，有名無實，畫虎不成反類犬」是比喻模仿他人的風格而失去自我特色，符合「失其本分」的意涵。                           故答案為(D)。
7,112年學測-國文科第8題,A,1.0,A,                           正確的答案：(A)                           解釋：                           (A)「狼改變了河流」，其中雖有些許真相，但似乎過於誇大。這句話點出了蒙比爾特描述的現象，但同時也暗示了這並非全部真實，可能有些夸大其詞。                           (B)「狼改變了河流」是事實，但這並不是假新聞，而是科學研究的結果，因此排除。                           (C)「狼改變了河流」的說法在當時可能是可信的，但隨著更多研究的進行，這個說法可能需要進一步驗證或修正，因此不能說是「未來可能推翻」，排除。                           (D)「狼改變了河流」是事實，但這並非警訊，而是生態系統的一種自然變化，因此排除。
8,112年學測-國文科第9題,D,0.0,B,                           正確的答案：(B)                           解釋：                           (A)引述三人對「狼英雄」的看法時，僅敘述其論點而省略論據：這可能會讓讀者誤以為學者們對「狼英雄」的看法是一致的，忽略了他們各自不同的觀點和論據。                           (B)先綜述各方對「狼英雄」反應，再以三人為代表分述其觀點：這種敘述方式可以讓讀者了解學者們對「狼英雄」的不同看法，並清楚看到他們各自的論據和立場。                           (C)以訪談形式呈現三人對「狼英雄」的看法，使讀者有參與感：雖然訪談形式可以增加讀者的參與感，但在一個短文中，如果過多地使用訪談形式，可能會使文章變得冗長，而且訪談形式也不太適合概括性地呈現學者們的觀點。                           (D)以三人觀點的出現順序，隱然表達對製造「狼英雄」的質疑：這種敘述方式可能暗示學者們對「狼英雄」的看法存在爭議，但並沒有直接表達出質疑的態度，而且這種方式也沒有明確地呈現學者們的觀點。                           因此，最適當的敘述方式是先總結各方對「狼英雄」的看法，再以三人為代表分述其觀點，這樣可以讓讀者更全面地理解學者們對「狼英雄」的看法，同時保持文章的清晰度和簡潔性。
9,112年學測-國文科第10題,C,1.0,C,                           正確的答案：(C)                           解釋：                           (A)金星的公轉速度比土星快：這不是天文學專業知識，而是科普常識，一般人都知道金星是太陽系內最靠近地球的行星，公轉速度快。                           (B)角分與度是測量角度的單位，1度＝60角分：這也是科普常識，角分和度是衡量角度的單位，1度等於60角分。                           (C)清代的觀測誤差，小於宋元之際的觀測誤差：這需要天文學專業知識，清代的觀測誤差小於宋元之際的觀測誤差，不代表清代的觀測技術就比宋元時期好，只是指清代的觀測誤差更小，這需要對天文學有基本了解。                           (D)木星、土星與太陽的距離，較地球與太陽的距離遠：這不是天文學專業知識，而是科普常識，木星和土星都比地球大得多，因此距離太陽更遠。                           故選(C)。
10,112年學測-國文科第11題,C,1.0,C,                           正確的答案：(C)                           解釋：                           (A)文中並未提到國運占星色彩，且西元828年的記載只是例子，並非主旨。                           (B)現代天文學的誤差小於古人，但古代的觀測誤差大，並非保存的史料有利考證。                           (C)根據文中所述，古人無法完全依據木星、土星的移動速度判斷誰犯誰，因為古人認為木星在「留」時，土星反而快。                           (D)文中提到古人無法區分木星和土星的順行或逆行，並非只知同向移動，而是因為他們沒有現代天文學的觀測技術，無法精確判斷。                           故選(C)。
11,112年學測-國文科第12題,A,0.0,B,                           正確的答案：(B)                           解釋：                           古人認為木星合土星為「犯」，且「填星犯某星」的記載很少，但《明實錄》和《開元占經》中都提到「太白犯填星」，因此可以推斷古人是以「填星所在，歲星從之」來判斷犯者。根據史事，東晉咸安二年正月己酉，歲星犯填星，而同年七月，皇帝病重，命令桓溫輔政，桓溫聽聞後大怒，欲殺掉王坦之等人，這表明「填星所在，歲星從之，伐者利」，即「填星所在的地方，對應的國家或領袖會受到侵犯或威脅，伐者有利」，因此選(B)。                           (A)「填星與歲星合，相犯為內亂」，這與史事不符，因為木星合土星不是內亂的徵兆，而是對國家或領袖威脅的徵兆。                           (C)「填星與歲星合，有軍在外，戰不勝，失地」，這與史事不符，因為木星合土星並非戰爭失敗的徵兆，而是對國家或領袖威脅的徵兆。                           (D)「歲星與填星鬥，此謂離德，不出三月，必有亡國」，這與史事不符，因為木星合土星並非離德的徵兆，而是對國家或領袖威脅的徵兆。
12,112年學測-國文科第13題,B,0.0,D,                           正確的答案：(D)                           解釋：                           (D)「而青苔非歷時長久不能蔓衍」，這句話是在描述青苔在庭園中不易生長，需要長期的時間才能蔓延開來，與前文提到的「京都的庭園崇尚蒼老之美」相呼應，暗示著京都庭園的歷史悠久，需要時間的積累才能形成那種蒼老的美。因此，這句話應該填入「而青苔非歷時長久不能蔓衍」。
13,112年學測-國文科第14題,C,1.0,C,                           正确的答案：(C)                           解釋：                           (A)「營造悲戚感」不恰當，原文並未提及苔對悲戚感的營造。                           (B)「最容易生長」不符合苔的特性，原文提到苔是蘚類植物，需要低濕環境才能生長。                           (C)「經過氣候與時間醞釀，形成庭園蒼寂的況味」最符合原文，苔是日本庭園中不可或缺的元素，因為它經過氣候和時間的醞釀，形成蒼老的美感，並且與砂石形成對比，凸顯庭園的色澤。                           (D)「濃翠亮麗點綴暗沉砂石，凸顯庭園色澤對比」，苔本身是綠色，但原文並未強調其亮麗，且苔與砂石的對比是因為苔的蒼老與砂石的暗沉，而非點綴砂石。                           故選(C)。
14,112年學測-國文科第15題,B,1.0,B,                           正確的答案：(B)                           解釋：                           (A)基於後勤準備已充足而可誘敵深入：這段文字並未提及后勤準備是否充足，且誘敵深入是戰術策略，而非後勤準備。                           (C)因船艦操作耗人力而主張放棄海戰：這段文字並未提到放棄海戰，而是分析了海戰和陸戰的優劣，並非主張放棄海戰。                           (D)從軍民齊心的優勢判斷可無懼陸戰：這段文字並未提到軍民齊心的優勢，且誘敵登陸後，軍民齊心未必能抵禦陸戰。                           (B)由海戰與陸戰兩方面揭示敵我利弊：這段文字清楚地分析了海戰和陸戰的優劣，並指出登陸的困難和風險，以及誘敵登陸的必要性。                           因此，誘敵登陸是從海戰和陸戰兩方面揭示敵我利弊，故(B)最符合。
15,112年學測-國文科第16題,A,0.0,B,                           正確的答案：(B)                           解釋：                           洪繻認為，澎湖是進攻三地的關鍵，若能守住澎湖，敵軍就難以入侵。而根據他對臺北、臺南地形的分析，誘敵登岸策略只適用於臺北，而不適用于臺中和臺南。因此，①符合，②不符合。                                        
16,112年學測-國文科第17題,D,1.0,D,                           正確的答案：(D)外援力量                           解釋：                           (A)將士經驗：戰力值增加，敵我雙方皆有可能增加。                           (B)地理環境：戰力值降低，敵方若能利用地形優勢，如港口、風向等，可能會降低我方戰力。                           (C)攻守路線：戰力值可能增加，若我方能選擇有利的攻守路線，例如利用地形或風向，可能會提高戰力。                           (D)外援力量：戰力值不會增加，外援力量是指外國的援助，如武器、人力等，但遊戲腳本中並未提及外援力量會影響戰力值。                           故選(D)外援力量。
17,112年學測-國文科第18題,C,0.0,B,                           正確的答案：(B)                           解釋：                           (B)文中描述李丈參政常至陸游家，劇談終日，且對秦朝暴政憤慨慨慷，可知他常與陸游討論秦朝歷史，並非少年得志。又提到「青鞋布襪行矣，豈能作兒女態耶」，顯然是指李丈參政被貶謫後仍堅強地面對，而非少年罷政。文中並未提及李丈參政英氣絲毫不減，故排除(C)。陸丈描述李丈參政「目如炬，聲如鐘」，形容其英偉剛毅之氣，而非年輕時的氣質，故排除(D)。因此，最適當的是李丈參政常至陸游家，議論秦朝暴政虐民、聚斂咸陽的史事。                                        
18,112年學測-國文科第19題,C,1.0,C,                           正確的答案：(C)                           解釋：                           (C)陸遊在文中追述了李莊簡公的言行，特別提到李公曾言「青鞋布襪」，這使陸遊聯想到當年李公的英偉剛毅，流露出對李公的欽仰之情。陸遊在文章中提及此事，是為了表達對李公的敬仰和懷念，而非其他選項所述的行為或感懷。
19,112年學測-國文科第20題,B,1.0,B,                           正確的答案：(B)                           解釋：                           (A)選項描述的是將軍向寵的才能和先帝對他的評價，並無書寫細節描繪人物性格。                           (B)選項描述樊噲怒撞項羽的場景，透過樊噲怒目圓瞪、瞋視項王的細節，呈現其勇猛的性格特質。                           (C)選項描述張氏為客人梳頭的場景，並無書寫細節描繪人物性格。                           (D)選項描述三人在月光下喝酒的場景，並無書寫細節描繪人物性格。                           故選(B)。                                        
20,112年學測-國文科第21題,B,1.0,B,                           正確的答案：(B)                           解釋：                           (A)「食夫稻，衣夫錦，於女安乎」出自《論語·衛靈公》，原句是孔子對子路說的，意思是吃著白米飯，穿著華麗的衣服，你安心嗎？這句話與文意不符，因為文中的情境是談論精神力量，而非物質享受。                           (C)「色惡不食，臭惡不食，失飪不食，不時不食」出自《論語·鄉黨》，原句是孔子對子夏說的，意思是食物色香味不正就不吃，不合時節的食物不吃，這句話與文意不符，因為文中的情境是談論精神力量，而非飲食。                           (D)「菲飲食，而致孝乎鬼神；惡衣服，而致美乎黻冕」出自《論語·鄉黨》，原句是孔子對子夏說的，意思是即使食物粗劣，也要恭敬地供奉給神靈；即使衣服破舊，也要穿得整齊，這句話與文意不符，因為文中的情境是談論精神力量，而非物質生活。                           (B)「士志於道而恥惡衣惡食者，未足與議也」出自《論語·里仁》，原句是孔子對子張說的，意思是有志於追求真理的人，如果以穿著華麗、飲食豐盛為恥，那他還不值得與他討論。這句話與文意相符，因為文中的情境是談論精神力量，而非物質享受，且與孔子的道德觀念相符。                           故選(B)。
21,112年學測-國文科第22題,B,0.0,D,                           正確的答案：(D)                           解釋：                           (A)熟誦經典可將文章的深意烙印腦中，是對當代學子有益的教育方式：這段文字並未提及「對當代學子有益的教育方式」，而是提到《論語》對作者個人的影響。                           (B)《論語》與《詩經》、「四書」中的語句，可透過聯想體悟相印證：這段文字強調《論語》與其他經典的聯想作用，但並未提及「透過聯想體悟相印證」。                           (C)孔門教學注重興發，子貢因以修養之道闡明詩句涵義而受孔子讚賞：這段文字提到子貢以修養之道闡明詩句涵義，但並未提及孔子的評價。                           (D)讀書之樂來自探求作品真實體驗，進而連結經典以形成興感的力量：這段文字強調讀書之樂來自探求作品真實體驗，並且連結經典以形成興感的力量，與原文體會相符。                           故答案為(D)。
22,112年學測-國文科第23題,B,0.0,AB,                           正確的答案：(A)、(B)                           解釋：                           (A)根據李時珍《本草綱目》所述，檳榔具有醒能使之醉、醉能使之醒、飢能使之飽、飽能使之飢的功能，且能疏通氣息，適宜瘴癘之地使用，故甲文提到檳榔能「醒能使之醉，醉能使之醒，飢能使之飽，飽能使之飢」，乙文也提到「嶺南人以檳榔代茶禦瘴，其功有四」，因此檳榔能「賦性疏通而不泄氣，有益調節呼吸系統，嶺南用以對抗瘴氣」。                           (B)李時珍在《本草綱目》中提到檳榔能「醒能使之醉，醉能使之醒」，這與乙文提到的「檳榔能醒能醉，酒後嚼之，則寬氣下痰，餘酲頓解」相符，因此李時珍認同朱晦庵檳榔可祛痰的看法，咀嚼檳榔有助於醒酒。                           (C)檳榔果實含多酚類化合物、檳榔素、檳榔鹼，這些成分會影響大腦、交感神經及副交感神經作用，提高警覺度，刺激腎上腺素分泌，並非雙向調節作用，故(C)不符合。                           (D)檳榔鹼會刺激腎上腺素分泌，致食用成癮，這與乙文提到「檳榔所添加的石灰則會破壞口腔黏膜的表皮細胞，導致細胞增生變異」和世界衛生組織證實檳榔鹼具潛在致癌性相符，但檳榔鹼會刺激腎上腺素分泌，致食用成癮，這並不是雙向調節作用，而是單向刺激作用，故(D)不符合。                           故答案為(A)、(B)。
23,112年學測-國文科第24題,D,0.0,BC,                           正確的答案：(B)、(C)                           解釋：                           (A)甲文並未直接評論檳榔的食用價值，而是引用蘇東坡和羅大經的描述，強調檳榔在嶺南地區的特殊地位和文化意義。                           (B)乙文不僅論述檳榔的食用價值，也提到檳榔的潛在危害，並呼籲人們抗拒檳榔的危險誘惑。                           (C)甲文引用李時珍《本草綱目》的醫藥知識，乙文引用焦桐的個人感受，兩文都兼論檳榔的多面向特性和食用者的體驗。                           (D)甲文並未提及食用者親身經驗，乙文則提到了焦桐的個人感受，因此(D)不正確。                           故選(B)、(C)。
24,112年學測-國文科第25題,B,0.0,ABC,                           正確的答案：(A)、(B)、(C)                           解釋：                           (A)檳榔具有使臉頰紅潤的效果，蘇東坡詩中描述「經潮登頰醉檳榔」，李時珍《本草綱目》也提到檳榔能使人「登頰紅潮增嫵媚」。                           (B)檳榔具有「一抹腮紅還舊好」的效果，即檳榔能使面色紅潤，朱晦庵《嶺外代答》中提到「不可一日無此君」，即檳榔成為日常生活中的必需品。                           (C)檳榔具有「有時食鮆苦羶腥，也須細嚼淨口舐」的效果，即檳榔能消除食物的腥味，李時珍《本草綱目》中提到檳榔能「饒舌」，即能清除口臭。                           (D)檳榔具有「淡可療飢醫苦口，津能分潤滴枯腸」的效果，即檳榔能緩解飢餓，李時珍《本草綱目》中提到檳榔能「分潤」，即能滋潤喉嚨。                           甲文和乙文都提到了檳榔的食用效果，但沒有提及檳榔的「淡可療飢醫苦口，津能分潤滴枯腸」的效果，因此(D)是正確答案。                                        
25,112年學測-國文科第26題,AB,0.0,ACD,                           正確的答案：(A)、(C)、(D)                           解釋：                           (A)「復」與「復」都是回復、恢復的意思，前後意義相同。                           (C)「既」與「既」都是已經的意思，前後意義相同。                           (D)「善」與「善」都是善待、好意的意思，前後意義相同。                           (E)「竟」與「竟」都是竟然、居然的意思，前後意義相同。                           但需注意，「為之躊躇滿志，善刀而藏之」中的「善」是形容詞，意思是「擦拭、磨快」，而非動詞「善待」，因此排除(D)。                           因此選(A)(C)(D)                                        
26,112年學測-國文科第27題,ABC,0.19999999999999996,BCE,                           正確的答案：(B)、(C)、(E)                           解釋：                           (B)「甚」表示程度，形容詞或副詞的「甚」通常用來強調程度，如「甚異」即「非常」之意。                           (C)「極」也是表示程度，形容詞或副詞的「極」常表極端，如「感極而悲」即「非常悲傷」之意。                           (E)「略」是動詞，用來表示「掠取、夺取」之意，「行略定秦地」即「攻取秦地」之意，「略」字後面的動詞「定」，表示程度，表示取得的過程。                           (A)「頗」是程度副詞，但用來形容狀語「僭於上」，表示程度，而非動詞。                           (D)「殊」是形容詞，用來形容動詞「追」，表示程度，但「殊遇」是形容詞性短語，而非動詞。
27,112年學測-國文科第28題,BCD,0.19999999999999996,BDE,                           正確的答案：(B)、(D)、(E)                           解釋：                           (B)「交換秘密」揭示了人們害怕孤獨而有相互取暖的需求，這與原文「那對愛是多大的殺傷力！」相呼應，表明交換秘密反映出人們渴望理解與親密關係。                           (D)「保有秘密，拒絕他人全面讀取自己，反映孤獨的生命基調」，這與原文「每個人都覺得刺目─我隱匿了最後也可能是最重要的一條線索，阻止你順暢讀取我全部的檔案」相呼應，表明保持秘密是因為孤獨，並非為了掩飾。                           (E)「秘 密的存在，乃因語言不可盡意的限制，阻隔了人際關係的親密？」這與原文「人類理解語言的限制，發現自己終於掙脫不了那些幽暗的本能，及孤獨如何成為每個人真正的生命基調」相呼應，表明秘 密的存在反映了人類的孤獨感，以及語言無法完全表達的限制。                           (A)「人類幽暗不安是因為背地裡訴說別人的秘密」，這與原文「但秘密卻固執地打破了理性架構的神話，讓人類理解語言的限制，發現自己終於掙脫不了那些幽暗的本能，及孤獨如何成為每個人真正的生命基調」不符，原文並未提到人類幽暗不安是因為背地裡訴說別人的秘密。                           (C)「訴說他人秘密既能滿足好奇窺探，又可掩藏自己的秘密」，這與原文「但我們不說自己的秘密。訴說別人秘密是一種無本生意，也是一種聲東擊西的詭計」不符，原文並未提到訴說他人秘密可以滿足好奇窺探，且「聲東擊西的詭計」是指利用訴說他人秘密來掩蓋自己的秘密，而非滿足好奇心。                           因此，答案是(B)、(D)、(E)。
28,112年學測-國文科第29題,BE,0.6,BCE,                           正確的答案：(B)、(C)、(E)                           解釋：                           (B)東明出生後被遺棄在豬圈中，但被豬和馬的呼吸救活，這描述了他被遺棄後得到救援的情節。                           (C)東明的母親是侍婢，因此被視為奴僕，後來因為善於射箭，被派去放牧牛馬，這描述了他的身世背景和技能。                           (E)東明在逃亡途中，魚鱉浮出水面成為橋，讓他在河邊得以渡過，這描述了他逃難時的奇遇，以及他逃到夫餘國的情節。                           (A)和(D)不符合文意，東明並非為王囊離國王和侍婢所生，也沒有謀反和建立夫餘國的情節，故排除。
29,112年學測-國文科第30題,BE,0.19999999999999996,AE,                           正確的答案：(A)、(E)                           解釋：                           (A)「秤錘」比喻被壓迫的人民，「不過是根被折斷的秤錘呀」，暗示了殖民統治下人民的無力與屈辱。                           (E)「把他們供奉在文壇」，乙詩中的「他們」指代的是受苦受難的人民，「把他們走出情節與格律」，暗示了文字的力量，使人民得以在文學作品中被記載和傳頌。                           (B)「聽診器」並非暗示醫師身份，而是比喻作家的耳朵，用來聆聽人民的聲音，而非直接醫治他們。                           (C)「癱瘓」並非指民智蒙昧，而是指人民在殖民統治下的苦難和無奈。                           (D)「一桿稱仔」是賴和的短篇小說集，而非詩，因此並非述及《一桿稱仔》。                           故選(A)、(E)。
