,info,answer,score,generated_answer,detailed_generated_answer
0,112年學測-國文科第1題,A,1.0,A,                           正確的答案：(A)                           解釋：                           (A)胡笳之拍／僧侶袈裟：「茄」和「裟」都是「衣」的意思，發音相同。                           (C)驀然而踣／掊擊對手：「踣」和「掊」都是「撲」的意思，發音不同。                           (B)釁起鬩牆／傲睨萬物：「鬩」和「睨」都是「睨」的意思，發音相同。                           (D)「吁」嗟而去／迂談闊論：「吁」和「迂」都是「迂」的意思，發音不同。                           因此選(A)
1,112年學測-國文科第2題,C,0.0,D,                           正確的答案：(D)                           解釋：                           (A)收藏家的稀世珍品樣樣價格不斐 - 收藏家的稀世珍品樣樣價格都不菲                           (B)這起工安意外明顯是人謀不彰所導致 - 这起工安意外顯然不是人謀不彰所導致                           (C)叔叔感慨從小命蹇時乖，一路工讀自學 - 叔叔感慨從小命蹇時乖，一路工讀自學                           (D)天燈乘載大家的願望，在歡呼聲中冉冉升空 - 天燈乘載大家的願望，在歡呼聲中冉冉升起                           因此選(D)
2,112年學測-國文科第3題,A,0.0,C,                           正確的答案：(C)                           解釋：                           (A)擘肌分理：形容細心研究，一般用於人或事，不符合文意。                           (B)愛屋及烏：比喻因親近而包庇錯誤，不符合文意。                           (C)來者可追：指後面的人可以追上前面的人，符合文意。                           (D)得隴望蜀：形容地位高，勢力大，不符合文意。                           因此選(C)
3,112年學測-國文科第4題,D,0.0,C,                           正確的答案：(C)                           解釋：                           (A)表一中王昌齡和杜甫的數字相同，代表他們各自給了孟浩然相同的詩數，因此他們並沒有認識王維。                           (B)表一中王昌齡給孟浩然的詩數為1，給李白的詩數為2，給杜甫的詩數為0，這代表王昌齡給每位親友的詩數最多只有兩首。                           (C)表二中杜甫的親友數量為110，孟浩然的親友數量為178，這代表杜甫的親友比孟浩然少，而且杜甫與孟浩然的熟識度比與王維來得高。                           (D)表一中李白給孟浩然的詩數為0，給李白的詩數為1，給杜甫的詩數為0，這代表李白並沒有因為問候、懷想親友而寫詩給王維。                           因此選(C)
4,112年學測-國文科第5題,D,0.0,BD,                           正確的答案：(B)、(D)                           解釋：                           (B)甲的對話中，燭之武自居當事者的角色，因為他是在對秦穆公進行挑戰和威脅。                           (D)乙的對話中，樊噲自居當事者的角色，因為他是在對項羽進行挑戰和威脅。                           因此選(B)(D)
5,112年學測-國文科第6題,D,1.0,D,                           正確的答案：(D)尤所難免／疑懼／伺守？                           解釋：                           本題考查對文章內容的理解和分析能力。原文提到“將軍何為挈麗人經此？”這句話表明了主人公對於妻子被竊感到疑惑和恐懼，因此最適合填入的詞語是“疑懼”、“伺守”。而“倨傲”通常形容人的態度高傲，不符合原文的情境。另外，“迎候”和“尤所難免”也不符合原文的情境，因此排除(A)(B)(C)。                           故答案选(D)。
6,112年學測-國文科第7題,D,1.0,D,                           正確的答案：(D)                           解釋：                           做菜講究發揮個別的特長，作文亦以呈顯本色為尚。這兩者都是需要個人的努力和才能去完成的，而不是一味的模仿他人。因此，答案是(D)料理講究發揮個別的特長，作文亦以呈顯本色為尚。
7,112年學測-國文科第8題,A,0.0,D,                           正確的答案：(D)不可等閒視之，而是應該追蹤的警訊                           解釋：                           米德爾顿承認這個案例讓大家意識到肉食動物對生態系統的重要，但他強調，提供正確訊息仍是環境學家的職責。因此，最適合填入的文句是：「『狼改變了河流』，不可等閒視之，而是應該追蹤的警訊」。                           因此選(D)
8,112年學測-國文科第9題,D,0.0,B,                           正確的答案：(B)                           解釋：                           (A)文中並未提及論據。                           (B)文中首先概述了各方對「狼英雄」的反應，然後以三位學者的觀點為代表進行分述。                           (C)訪談形式呈現三人對「狼英雄」的看法，使讀者有參與感，但文中並未提及訪談形式。                           (D)文中並未隱然表達對製造「狼英雄」的質疑。
9,112年學測-國文科第10題,C,0.0,D,                           正確的答案：(D)                           解釋：                           (D)木星、土星與太陽的距離，較地球與太陽的距離遠，這不是背景知識，而是文章中提到的內容。                           其他三個選項都是背景知識，因此答案是(D)。
10,112年學測-國文科第11題,C,0.0,BC,                           正確的答案：(B)、(C)                           解釋：                           (B)古代觀測技術不如現代精密，但保存的史料有利考證。                           (C)古人無法完全依據木星、土星的移動速度判斷誰犯誰。                           古代觀測技術不如現代精密，但保存的史料有利考證。古人無法完全依據木星、土星的移動速度判斷誰犯誰。古人只能根據木星和土星的相对位置来判断谁犯了谁。
11,112年學測-國文科第12題,A,0.0,D,                           正確的答案：(D)                           解釋：                           填星與歲星合，相犯為離德，不出三月，必有亡國。這句話出自《春秋左傳·宣公十五年》：“歲星犯填星，其國必有兵。”意思是歲星和填星相撞，這個國家一定会有戰爭。因此，這句話最符合題目的要求。其他選項不符合題目的要求。
12,112年學測-國文科第13題,B,0.0,C,                           正確的答案：(C)                           解釋：                           根據文意，「而青苔非歷時長久不能蔓衍」應填入：(C)丙，因為前文提到苔本是繁殖於地面的一種蘚類植物，只要氣候低濕，可以不種自衍，因此青苔需要一定的時間才能蔓衍。                           故答案為(C)
13,112年學測-國文科第14題,C,1.0,C,                           正確的答案：(C)                           解釋：                           (A)文中提到「苔本身具有一種厚重的質感，其色雖濃翠，卻不綺豔」，而不是透過衍生的文學意象營造悲戚感。                           (B)文中提到「苔本是繁殖於地面的一種蘚類植物，只要氣候低濕，可以不種自衍」，而不是說苔本是打造庭園最主要的元素。                           (D)文中提到「苔本身具有一種厚重的質感，其色雖濃翠，卻不綺豔」，並沒有提到要突出庭園色澤對比。                           (C)文中提到「苔本身具有一種厚重的質感，其色雖濃翠，卻不綺豔」，加上「苔本身所給予人時間之聯想」，以及「苔庭」這個概念，可以推斷出「苔」是經過氣候與時間醞釀，形成庭園蒼寂的況味。                           因此選(C)
14,112年學測-國文科第15題,B,1.0,B,                           正確的答案：(B)                           解釋：                           洪繻《籌海議》中提到“誘之上岸”，意指利用地形和心理因素引诱敵人登陆，然后在岸上设伏歼灭敌人。因此，這段話主要從海戰與陸戰兩方面揭示敵我利弊，故選(B)。其他選項均不符合原文意思。
15,112年學測-國文科第16題,A,0.0,D,                           正確的答案：(D)①無法判斷，②符合                           解釋：                           上文提到“然誘之上岸，非有成算，則斷不可”，因此誘敵登岸需要有成算，而澎湖海防的加強可以作為誘敵登岸的成算之一，但不是唯一因素，因此①無法判斷。                           另外，上文提到“臺南則港門雖深，風浪甚苦，四圍無山，港中非可駐輪；彼不登岸，不能久居也”，因此誘敵登岸對臺南不利，因此②不符合。                           故答案选(D)。
16,112年學測-國文科第17題,D,1.0,D,                           正確的答案：(D)外援力量                           解釋：                           根據上文所述，遊戲腳本中，根據不同的項目，會讓敵我雙方戰力值互有增減。因此，外援力量不是一個合理的項目，因為這涉及到外部力量介入，而不是遊戲中玩家之間的對抗。                           另外，其他三個選項都是可能的項目，包括將士經驗、地理環境和攻守路線，這些都可以影響戰力值的增減。
17,112年學測-國文科第18題,C,0.0,D,                           正確的答案：(D)                           解釋：                           文章中提到李參政對秦朝暴政的看法和態度，以及他對於自己被貶謫海表的態度，這些都表明他是一位具有剛毅氣節的人。因此，最適當的敘述是(D)。                           其他選項都不符合文章內容。
18,112年學測-國文科第19題,C,1.0,C,                           正確的答案：(C)                           解釋：                           文章中提到陸游偶讀公家書，雖徙海表，氣不少衰，叮嚀訓誡之語，皆足垂範百世，猶想見其道青鞋布襪時也。這表明陸游對李莊簡公的欽仰之情，因此選(C)。                           其他選項均不符合文章內容。
19,112年學測-國文科第20題,B,0.0,D,                           正確的答案：(D)                           解釋：                           (D)透過細節描述，展現人物性格特質，符合要求。                           (A)將軍向寵，性行淑均，曉暢軍事，試用於昔日，先帝稱之曰「能」，這句話沒有細節描述，不符合要求。                           (B)樊噲側其盾以撞，衛士仆地，噲遂入。披帷，西嚐立，瞋目視項王，這句話沒有細節描述，不符合要求。                           (C)行次靈石旅舍，既設床，爐中烹肉且熟，張氏以髮長委地，立梳床前，這句話沒有細節描述，不符合要求。
20,112年學測-國文科第21題,B,1.0,B,                           正確的答案：(B)                           解釋：                           (B)士志於道而恥惡衣惡食者，未足與議也。孔子認為，真正的君子應該追求道德，而不必在意外在的物質生活。因此，他認為那些只追求外在物質生活的行為是不足取的。                           故填入(B)，符合文意。
21,112年學測-國文科第22題,B,0.0,D,                           正確的答案：(D)                           解釋：                           叶嘉瑩認為《論語》對她影響最大，使她受益最多的原因是《論語》中的思想能夠幫助她在困難的情境下保持精神力量，並且能夠通過聯想來體悟《詩經》等經典中的思想。因此，最符合上文體會或想法的是(D)，即讀書之樂來自探求作品真實體驗，進而連結經典以形成興感的力量。
22,112年學測-國文科第23題,B,0.0,D,                           正確的答案：(D)                           解釋：                           (A)文中提到檳榔具有疏通氣息的效果，但沒有提到對呼吸系統的調節效果。                           (B)文中提到檳榔具有醒酒的效果，但沒有提到對酒精的治療效果。                           (C)文中提到檳榔具有充飢和助消化的效果，但沒有提到對消化系统的調節效果。                           (D)文中提到檳榔素和檳榔鹼具有刺激腎上腺素分泌的效果，因此可能會使人成癮。此外，文中還提到了檳榔素和檳榔鹼的潛在致癌性和破壞口腔黏膜的副作用，這些都表明了檳榔的危害。因此，最適當的答案是(D)。
23,112年學測-國文科第24題,D,0.0,B,                           正確的答案：(B)                           解釋：                           甲文主要介紹了檳榔的歷史和文化背景，以及蘇東坡對檳榔的喜好，並沒有直接提到檳榔的功效或危害。                           乙文則詳細介紹了檳榔的功效和危害，並且提到了嚼食者的親身經驗，強調了檳榔的成癮性和危險性。                           因此，最適當的回答是乙文，呼籲人們抗拒檳榔的危險誘惑。
24,112年學測-國文科第25題,B,0.0,C,                           正確的答案：(C)                           解釋：                           (C)這句話描述了檳榔的食用方法和效果，但是沒有提到檳榔的功效或危害。                           (A)這句話描述了檳榔可以使人的面色紅潤，並且能夠滋潤脾肺的功能，這在甲文中有提到。                           (B)這句話描述了檳榔可以使人的面色紅潤，並且能夠治療紛爭，這在乙文中有提到。                           (D)這句話描述了檳榔可以治療飢餓，並且能夠滋润腸胃，這在乙文中有提到。                           因此選(C)
25,112年學測-國文科第26題,AB,0.0,C,                           正確的答案：(C)                           解釋：                           (C)「既」皆表完成，因此意義相同。                           (A)「復」為「復」還，「復」禮為仁為「復」還禮，意義不同。                           (B)「及」為達到，「及」牆為「及」牆，意義不同。                           (D)「善」為好的意思，「善」刀而藏之為「善」好的刀子收藏起來，意義不同。                           (E)「竟」為竟然的意思，「竟」不忍去湖上為「竟」不忍離開湖上，意義不同。
26,112年學測-國文科第27題,ABC,0.19999999999999996,C,                           正確的答案：(C)                           解釋：                           這道題目的目的是考察中文中修飾動詞程度副詞的用法。在這些句子中，「頗」、「甚」、「極」和「略」都是程度副詞，用來修飾動詞表示動作的程度。因此，答案是(C)。
27,112年學測-國文科第28題,BCD,0.19999999999999996,BDE,                           正確的答案：(B)、(D)、(E)                           解釋：                           (B)根據原文，人類幽暗不安是因為彼此之間分享彼此的祕密，藉此相互取暖。                           (D)根據原文，保有祕密，拒絕他人全面讀取自己，反映孤獨的生命基調。                           (E)根據原文，語言不可盡意的限制，阻隔了人際關係的親密。                           因此選(B)(D)(E)
