,info,answer,score,generated_answer,detailed_generated_answer
0,112年學測-國文科第1題,A,0.0,B,正確的答案：(B)解釋：在所列的字對中，(B)「釁起鬩牆／傲睨萬物」是讀音前後相同的字對。其中「釁起鬩牆」是指因小事而引發爭端，「傲睨萬物」則是形容傲慢自大，兩者皆有負面的意思。其餘選項並非讀音前後相同的字對，故不選。
1,112年學測-國文科第2題,C,0.0,,根據所提供的文句，沒有錯別字的文句是：(D) 天燈乘載大家的願望，在歡呼聲中冉冉升空？這個文句描述了天燈上升的景象，並沒有拼字或文法上的錯誤。其餘文句中，(A) 收藏家的稀世珍品樣樣價格不斐 中的「樣樣」可能應為「無一不」更為通順；(B) 這起工安意外明顯是人謀不彰所導致 中的「人謀不彰」可能應為「人為疏失」更為通俗易懂；(C) 叔叔感慨從小命蹇時乖，一路工讀自學 中的「命蹇時乖」可能應為「命運多舛時常乖張」更為完整；因此，正確的答案為：正確的答案：(D)解釋：在文句 (A) 中，「樣樣」雖然在語義上是通用的，但使用「無一不」可能更能表達收藏家珍品價格高昂的意思。在文句 (B) 中，「人謀不彰」雖然在語義上是通用的，但使用「人為疏失」可能更能表達因人為原因而導致工安意外的意思。在文句 (C) 中，「命蹇時乖」雖然在語義上是通用的，但使用「命運多舛時常乖張」可能更能表達命運多舛、時常遇到不順利和乖張的情況。因此，僅有文句 (D) 在拼字和文法上沒有錯誤。
2,112年學測-國文科第3題,A,0.0,D,正確的答案：(D)解釋：此題為選擇題，問及在籃球比賽中，球隊闖過準決賽後的位置及表現。選項(A)描述案件調查後取得有利線索；選項(B)為經理對部屬的評價，有褒有貶；選項(C)為新產品銷量超越老品牌；選項(D)為闖過準決賽的球隊將處於有利位置，可角逐冠軍。根據籃球比賽的規則和常理，闖過準決賽的球隊將進入決賽，並有機會獲得冠軍，因此選項(D)為最合適的答案。
3,112年學測-國文科第4題,D,0.0,C,正確的答案：(C)                           解釋：由表一可知，杜甫的親友數量比孟浩然少，在表二中也可看到，杜甫提及其他四位詩人的詩數最少，為2首。雖然無法確定他們的熟識程度，但從數據來看，杜甫與孟浩然的熟識度可能比與王維來得高。選項(B)中，孟浩然被認為是最擅長寫詩交友的詩人，每位親友都有至少一首詩，而王昌齡給每名親友的詩至多兩首。選項(D)中，李白確實有不少詩是問候或懷想親友而寫，但根據表二，並沒有包含王維在內。選項(A)中，孟浩然、王昌齡、杜甫是否認識王維，根據所提供的資料，無法確定。選項(C)為正確答案，杜甫的親友比孟浩然少，他與孟浩然的熟識度，比與王維來得高。
4,112年學測-國文科第5題,D,0.0,C,正確的答案：(C)解釋：在甲的說法中，燭之武自居為討公道的角色，他指出秦穆公曾經賞賜晉君土地，但晉國卻仍不滿足，不斷擴張，先後封地鄭國和準備封地西方的國家。燭之武質疑晉國有何理由和能力去奪取秦國的土地。在乙的說法中，樊噲自居為討人情的角色，他提到沛公攻下秦國首都咸陽後，並未對宮室造成破壞，還將軍隊駐紮在霸上以等待項羽的到來。他認為自己和其他將領為沛公立下赫赫戰功，卻沒有得到應有的獎勵，反而聽信他人之言，想要誅殺這些有功之人。樊噲認為這樣的行為是秦朝滅亡的延續。在兩段對話中，說話者都自居為討公道或討人情的角色，以表達自己對事件的不滿和不公之處。
5,112年學測-國文科第6題,D,1.0,D,正確的答案：(D)解釋：在所提供的文章段落中，描述了將軍帶著美麗的女子經過一個地方，當地人提醒他要小心，因為該地有神明會偷走少女，而美麗的女子更容易成為目標。將軍因此在夜晚時將兵圍住他的住所，將妻子藏在密室中，並加以嚴密保護。當晚發生陰風晦黑的情況，守衛們因疲倦而睡著，結果妻子被偷走了。從上下文中可以推斷，當地人對於美麗的女子容易被神明偷走的現象感到難以避免，因此選項(D)「尤所難免」最符合文章中的描述。
6,112年學測-國文科第7題,D,1.0,D,正確的答案：(D)解釋：此段文字主要在說明烹飪和寫作之間的譬喻，強調發揮個人特長的重要性。在烹飪方面，不同地區的菜餚有其特色，習慣從小就開始學習，以便於熟練掌握。而在寫作方面，也應該追求展現個人風格，而非一味地模仿他人。文中提到「今人忘其本分，而要格外討好」，意指許多人忘記了自己的優勢和特色，反而去模仿他人，導致不真實且不出色。因此，在料理和寫作中，發揮個人的特長，並展現真實的自我，是最重要的。因此，選項(D)「料理講究發揮個別的特長，作文亦以呈顯本色為尚」是最符合原文意涵的答案。
7,112年學測-國文科第8題,A,0.0,C,正確的答案：(C)                           解釋：在所提供的文章內容中，提到了灰狼的回歸對黃石公園的生態系統產生了一些影響，如鹿群的減少、植被的恢復、樹木的成長等。雖然也有動物學家認為狼群的回歸對生態系統產生了負面影響，如鹿群的減少導致樹木過度生長等，但也有人認為這些變化是生態系統自然調節的結果。基於所提供的資訊，目前關於狼群對黃石公園生態系統影響的討論仍未有一致的結論。因此，將來可能會有新的研究或發現推翻或支持現有的觀點。因此，將此事視為一項可能推翻的說法，在目前階段可信度最高的應該是持續關注和研究這個議題，以獲得更準確和完整的資訊。因此，選項(C)「將來可能推翻，但在目前可信度最高」是最符合文章內容和討論的選項。
8,112年學測-國文科第9題,D,0.0,B,正確的答案：(B)解釋：在「三位學者的言談」這段文字中，先簡要描述了各學者對於狼群對黃石公園生態系統影響的看法，然後才以三人為代表分述其觀點。這種敘述方式有助於讀者理解不同學者對於相同議題的不同觀點，符合邏輯和閱讀體驗。因此，選項(B)是最合適的答案。選項(A)僅述論點而省略了論據，選項(C)以訪談形式呈現觀點，雖然能增加參與感，但並非最合適的表達方式。選項(D)雖然在觀點出現順序上隱含了對製造「狼英雄」的質疑，但並未明確表示，因此不是最合適的答案。
9,112年學測-國文科第10題,C,0.0,ABCD,正確的答案：(A)、(B)、(C)、(D)                           解釋：                           (A)金星的公轉速度比土星快，這意味著金星在天空中移動的速度比土星快。                           (B)角分與度都是測量角度的單位，1度相當於60角分。                           (C)清代的觀測誤差比宋元之際的觀測誤差小，表示清代的觀測技術較為精準。                           (D)木星、土星與太陽的距離比地球與太陽的距離遠，這意味著這些行星位於較遠的太陽系區域。                           根據文章內容，可知判斷木星與土星誰犯誰，主要是依據兩者在天空中移動的速度和位置。由於木星的公轉速度比土星快，但從地球上看，由於地球軌道的影響，兩者的視運動會發生順行、逆行等變化。在某些情況下，木星在順逆行轉換時，會出現靜止不動的現象，而土星則繼續移動，從而在視覺上土星似乎比木星快。然而，若要準確判斷誰犯誰，需要考慮許多因素，如觀測誤差、兩星的距離等，因此古人在記載中很少明確寫出誰犯誰。
