,info,answer,score,generated_answer,detailed_generated_answer
0,112年學測-國文科第1題,A,0.0,B,                           正確的答案：(B)                           解釋：                           (A)胡「笳」之拍／僧侶「袈」裟：「笳」與「袈」的讀音不同，分別讀作「ga」與「kā」。                           (B)釁起「鬩」牆／傲「睨」萬物：「鬩」與「睨」的讀音相同，都讀作「nì」。                           (C)驀然而「踣」／「掊」擊對手：「踣」與「掊」的讀音不同，分別讀作「bǔ」與「tǒng」。                           (D)「吁」嗟而去／「迂」談闊論：「吁」與「迂」的讀音不同，分別讀作「yū」與「yū」。                           因此選(B)。
1,112年學測-國文科第2題,C,0.0,A,"                           正確的答案：(A)                           解釋：                           (A) ""價格不斐"" 為正確的詞彙，""斐""有「形容或表示（聲音、色彩、恩德、聲譽等）美好、顯著」的意思。                           (B) ""人謀不彰"" 應為 ""人謀不臧""，表示計劃或策劃不周全。                           (C) ""命蹇時乖"" 應為 ""命蹇時乖""，表示運氣不好，時機不對。                           (D) ""冉冉升空"" 應為 ""冉冉升起""，表示緩慢地升起。                           因此選(A)完全沒有錯別字。"
2,112年學測-國文科第3題,A,0.0,D,"                           正確的答案：(D)                           解釋：                           (A) ""擘肌分理"" 用法不恰當，應為 ""細心"" 或 ""仔細"" 處理。                           (B) ""愛屋及烏"" 用法不恰當，該詞語意指因為喜歡某事物而連帶喜歡與其相關的東西，這裡應該使用 ""護短"" 或 ""袒護""。                           (C) ""來者可追"" 用法不恰當，該詞語意指趕得上或能追上，這裡應該使用 ""後來居上"" 或 ""後來者居上""，表示後來的人超過了先前的領先者。                           (D) ""得隴望蜀"" 用法正確，該詞語意指先取得某個目標後，又希望取得另一個更難達成的目標，符合句子中的情境。"
3,112年學測-國文科第4題,D,1.0,D,                           正確的答案：(D)                           解釋：                           從表一可以看出，王昌齡的「問候懷想親友詩」比例最高，且表二顯示王昌齡與其他四位詩人的交友次數也最多，因此推測王昌齡寫詩給親友的次數最多。                           從表一可以看出，李白「問候懷想親友詩」的比例最低，且表二顯示李白與其他四位詩人的交友次數幾乎不含王維，因此推測李白有不少詩是因問候、懷想親友而寫，但對象不含王維。                           因此選(D)
4,112年學測-國文科第5題,D,0.0,A,                           正確的答案：(A) 乙 說話者自居旁觀者的角色，受話者處於辜負人的角色。                           解釋：                           甲的對話是出自《左傳》的燭之武退秦師，燭之武是站在晉國的立場，以一個旁觀者的角度，質問秦穆公的行為是否合理，並試圖說服秦穆公不要攻打晉國。                           乙的對話是出自《史記》的《項羽本紀》，樊噲是質問項羽為什麼要聽信小人的話而要誅殺有功之人，這裡樊噲是以一個旁觀者的角色，質問項羽的行為是否合理，並試圖說服項羽不要做出愚蠢的決定。                           因此，乙的對話符合說話者自居旁觀者的角色，受話者處於辜負人的角色的描述。
5,112年學測-國文科第6題,D,0.0,B,                           正確的答案：(B)                           解釋：                           第一個空：「其來有自」最符合文意，因為文中的「部人」指的是當地人，他們警告將軍這個地方有神祇會竊取美麗的少女，所以這裡的「其」指的是神祇，而「有自」則是指有原因或來歷。                           第二個空：「倨傲」最符合文意，因為文中的「部人」警告將軍要謹慎保護美麗的少女，因為神祇會竊取她們，所以這裡的「倨傲」指的是部人的態度，他們對神祇的能力感到傲慢。                           第三個空：「伺守」最符合文意，因為文中的將軍為了保護美麗的少女，在夜晚集結士兵圍繞她的房子，並且用女奴嚴密守衛，所以這裡的「伺守」指的是守衛的意思。                           因此，第一個空填入「其來有自」，第二個空填入「倨傲」，第三個空填入「伺守」，選項為 (B)。
6,112年學測-國文科第7題,D,0.0,A,                           正確的答案：(A)                           解釋：                           文章的風格和宗派有如不同地方的菜餚特色，學習時應該要懂得分辨和掌握。                           做菜需要了解各地菜餚的特色，學習寫文章也應該要懂得分辨不同的宗門流派。                           做菜和寫文章都需要學習和發揮個人的特長，但更重要的是要懂得如何適應不同的場合和對象。                           因此，選項 (A) 最適合說明「做菜」與「作文」之間的譬喻。
7,112年學測-國文科第8題,A,1.0,A,                           正確的答案：(A)                           解釋：                           文章中提到鹿群減少，河谷的植物恢復茂盛，但樹木的成長速度並未如預期般快速，且鹿群仍然會到狼群出沒頻繁的區域覓食，顯示狼群對黃石公園生態的影響並非完全正面，且生態系統的復原需要時間。因此，「狼改變了河流」的說法雖然有部分真相，但可能被過於誇大。                           其他選項：                           (B) 文中並未提到缺乏實證，且生態系統的變化是漸進且複雜的，不能一概而論為假新聞。                           (C) 文中提到鹿的減少確實讓樹木變多，但並未提到這個發現將來可能被推翻。                           (D) 雖然生態學家麥可奈第提到狼群重返可能無法在短時間內復原生態，但文中並未提到這項發現應該被忽視。
8,112年學測-國文科第9題,D,0.0,B,正確的答案：(B)解釋：上文中先整體敘述了人們對於「狼英雄」的看法，接著分別引用了生態學家蒙比爾特、動物學家米德爾頓和生態學家麥可奈第的觀點來支持整體敘述，因此屬於「先綜述各方對「狼英雄」反應，再以三人為代表分述其觀點」。選項A不正確，因為文章不僅僅引述了三位學者的觀點，還附帶了他們的論據和論證。選項C不正確，因為文章並不是以訪談的形式呈現，而是直接敘述了三位學者的觀點。選項D不正確，因為文章中三位學者的觀點出現順序並不是為了隱然表達對製造「狼英雄」的質疑，而是為了整體論述服務。
9,112年學測-國文科第10題,C,0.0,A,                           正確的答案：(A)                           解釋：                           上文提到「以現代天文學看，木星每天頂多移動0.2度，小於宋元之際觀測誤差，約等於清代觀測誤差」，這段話暗示了清代的觀測誤差小於宋元之際的觀測誤差，因此選項(C)被預設為背景知識。                           上文提到「因地球軌道短於外側行星的軌道，所以從地球上看V星的運動」，這段話暗示了木星、土星與太陽的距離，較地球與太陽的距離遠，因此選項(D)被預設為背景知識。                           上文並未提到金星的公轉速度比土星快的資訊，因此選項(A)未被預設為背景知識。                           角分與度是測量角度的單位，1度＝60角分，這項知識在上文中有所提及，因此選項(B)被預設為背景知識。
10,112年學測-國文科第11題,C,1.0,C,                           正確的答案：(C)                           解釋：                           文中提到，雖然木星比土星跑得快，但因地球軌道短於外側行星的軌道，從地球上看V星的運動會發生順行、逆行變化。當木星在順行轉換、看似靜止不動時，視覺上便可能土星快於木星。因此，古人無法完全依據木星、土星的移動速度判斷誰犯誰。                           選項(A)文中並未提及天文記載有國運占星色彩，且此選項與文意不符。                           選項(B)文中提到古代觀測技術不如現代精密，且後續舉例說明的是古代觀測技術的限制，與選項內容不符。                           選項(D)文中提到古人知道木星、土星會逆向靠近，與選項內容不符。                           因此選(C)。
11,112年學測-國文科第12題,A,0.0,D,                           正確的答案：(D)                           解釋：                           從文中提到的「咸安二年正月己酉，歲星犯填星」，以及後續的「帝疾甚」、「侍中王坦之毀手詔」、「溫聞之大怒，將誅坦之等」等事件可以看出，木星合土星所預示的「歲星與填星鬥」象徵著內亂和分裂，最終導致了國家的動盪。因此，最符合的預言是 (D)「歲星與填星鬥，此謂離德，不出三月，必有亡國」。
12,112年學測-國文科第13題,B,0.0,C,                           正確的答案：(C)                           解釋：                           「苔本身具有一種厚重的質感，其色雖濃翠，卻不綺豔」，這段話描述的是青苔的特質，與青苔的生長條件相關，因此應該填入丙。                           青苔的生長需要時間，非歷時長久不能蔓衍，符合這一點。                           因此選(C)。
