,info,answer,score,generated_answer,detailed_generated_answer
0,112年學測-自然科第3題、,C,1.0,C,正確的答案：(C)解釋：科學家推測隕石來自火星的主要依據是隕石中的元素同位素比例與火星的元素同位素比例相符。這種化學分析方法可以精確地辨別隕石的來源。選項(A)不正確，因為目前尚未有載人太空船登陸火星並攜回岩石。選項(B)沒有足夠的證據支持。選項(D)和(E)則是隕石的外觀特徵，無法單獨證明其來自火星。
1,112年學測-自然科第4題,B,1.0,B,正確的答案：(B)解釋：「瘋狗浪」通常是由遠處的風暴或颱風所產生的湧浪（swell）所引起的。湧浪是由遠處的風暴或颱風所產生的長周期波浪，這些波浪可以在風暴中心很遠的地方傳播，並在海岸線上突然出現。題目中提到當日臺灣北部天氣良好，無風無雨，這表示當地並沒有直接受到颱風的影響，因此(A)、(C)、(D)、(E)選項都不符合情況。最有可能的原因是颱風外圍環流挾帶東北季風產生的湧浪，這些湧浪在海岸邊突然出現，形成「瘋狗浪」，因此正確答案是(B)。
2,112年學測-自然科第6題,AE,1.0,AE,正確的答案：(A)、(E)解釋：乾、溼球溫度計的原理是利用乾球和溼球的溫度差來計算空氣的相對溼度。當乾球和溼球的溫度相同時，表示空氣已經達到飽和狀態，即相對溼度為100%。(A) 兩地的相對溼度一樣：因為甲地和乙地的乾、溼球溫度皆相同，表示兩地的相對溼度都是100%。(E) 甲地的水氣含量較多：水氣含量（絕對溼度）與溫度有關，溫度越高，空氣能夠容納的水氣量越多。甲地的乾、溼球溫度為30℃，乙地為20℃，因此甲地的水氣含量較多。(B)、(C)、(D)、(F)選項不正確，因為這些選項與相對溼度或水氣含量的實際情況不符。
3,112年學測-自然科第8題,ADF,1.0,ADF,正確的答案：(A)、(D)、(F)解釋：海面鹽度高的緯度通常與蒸發量大於降水量的區域有關。這些區域通常位於高壓區和下降氣流區，因為這些地方的空氣下沉，導致蒸發量增加，降水量減少。此外，海面風場的輻散區也會促進蒸發，因為輻散區的風會帶走水汽，增加蒸發量。因此，選項(A)位於高壓區、(D)位於下降氣流區和(F)位於海面風場的輻散區是正確的。
4,112年學測-自然科第9題,C,1.0,C,正確的答案：(C)解釋：環太平洋地震帶與環太平洋火山帶（火環）位置幾乎一致，這個地區有許多活火山。這是因為這個地震帶主要是由聚合型板塊邊界形成的，這些邊界會導致火山活動和地震頻繁發生。選項(A)錯誤，因為環太平洋地震帶主要與聚合型板塊邊界有關，而非張裂性板塊邊界。選項(B)錯誤，因為這個地震帶的地震震源深度從淺到深都有。選項(D)錯誤，因為這個地震帶的地震多半是由聚合型板塊邊界的活動造成，而非平移斷層活動。
5,112年學測-自然科第11題,BC,1.0,BC,正確的答案：(B)、(C)解釋：(B) 作物中含有CMV的RNA：CMV是RNA病毒，因此其RNA的存在可以確定作物已被CMV感染。(C) 作物中含有CMV的蛋白質：CMV會產生5種蛋白質，其中2b基因具有抑制植物抗病毒的能力，因此CMV蛋白質的存在也可以確定作物已被CMV感染。(A) 作物中含有CMV的核糖體：核糖體是細胞內普遍存在的結構，並非CMV特有，無法確定感染。(D) 作物釋放出特殊的氣味：雖然CMV感染會導致作物釋放特殊氣味，但這種氣味可能也由其他因素引起，無法確定感染。(E) 作物上發現大量蚜蟲：蚜蟲的存在可能由多種原因引起，並非CMV感染的專一性現象。
6,112年學測-自然科第12題,ABC,1.0,ABC,正確的答案：(A)、(B)、(C)解釋：(A) 粒線體DNA相較於細胞核DNA數量多且結構較簡單，因此從化石中取得粒線體DNA序列相對容易。(B) 尼安德塔人的化石經過長時間的降解，DNA片段較短且破碎，取得相當連續的DNA序列比從現代人困難許多。(C) 假設丹尼索瓦人的學名為Homo denisova，則根據生物分類學原則，與現代人（Homo sapiens）屬於不同物種。(D) 核基因體序列提供的證據並未徹底否定粒線體DNA資料推論的人類演化過程，兩者可以互補。(E) 目前的技術尚無法從侏羅紀的標本中提取DNA，因為DNA在如此長的時間內已經完全降解。
7,112年學測-自然科第13題,B,1.0,B,正確的答案：(B)解釋：觀察葉片保衛細胞的形態，最佳的方法是使用手指折撕法。這是因為保衛細胞位於葉片的表皮層，折撕法可以有效地將表皮層撕開，從而更清晰地觀察到保衛細胞的形態。其他方法如徒手切片、壓散、塗抹或直接放置，可能會破壞細胞結構或無法清晰觀察到保衛細胞。
8,112年學測-自然科第14題,D,1.0,D,正確的答案：(D)解釋：大腸桿菌是原核生物，而酵母菌是真核生物。原核生物和真核生物的細胞結構有很大的不同。原核生物沒有細胞核、粒線體、高基氏體和內質網，但它們都有核糖體。核糖體是蛋白質合成的場所，存在於所有生物細胞中。因此，核糖體是大腸桿菌和酵母菌共同擁有的結構。
9,112年學測-自然科第15題,D,1.0,D,正確的答案：(D)解釋：- 某物種生殖母細胞雙套染色體數為12，表示該物種的體細胞染色體數為12。- 減數分裂的目的是將染色體數減半，產生單套染色體的配子（卵細胞或精子）。- (A) 錯誤：開始減數分裂之稍前，染色體發生聯會成為四分體數應該是6對（12條染色體形成6對四分體），而不是48。- (B) 錯誤：減數分裂一開始，每個生殖母細胞中的同源染色體數是6對（12條染色體），而不是24對。- (C) 錯誤：減數分裂第一階段（減數分裂I）之後，每個子細胞中的染色體數是6條（單套），而不是12。- (D) 正確：該物種卵細胞中的染色體數是6（單套）。- (E) 錯誤：該物種精子中的染色體數也是6（單套），而不是3。因此，正確答案是(D)。
