,info,answer,score,generated_answer,detailed_generated_answer
0,112年學測-社會科第1題,B,1,B,正確的答案：(B)解釋：該網友認為基於社會正義，市政府應給予該協會在工作範圍或經費上更大的彈性協助，顯示出他重視弱勢族群的權益與照顧。在面對校園議題時，他關心的議題最可能是建造無障礙環境，即為確保身心障礙學生能在安全、友善的環境中學習與成長。這與他支持智力缺損者參與社會的理念相符，皆是為了促進社會正義與平等。
1,112年學測-社會科第2題,D,1,D,正確的答案：(D)解釋：在這個問題中，需要先確定遺囑是否符合成立要件，若符合則表示甲的遺囑在法律上是有效的。然而，女兒認為遺囑重男輕女，因此對遺囑內容不服。從女兒的角度來看，她認為遺囑違反了民法關於分配遺產的規定。在民法中，配偶和子女都有權繼承遺產，但具體的繼承份額會因情況而異。在這種情況下，若遺囑將房屋全部留給兒子，可能被認為是違反了民法關於分配遺產的規定。因此，女兒有權主張繼承部分財產。然而，最終的判決結果將取決於法院對於遺囑有效性及相關法律規定的認定。若法院認為遺囑有效，且未違反相關法律規定，女兒將無權繼承房屋。但若遺囑被認定為無效或違反法律規定，女兒將有權繼承部分財產。
2,112年學測-社會科第3題,C,0,B,正確的答案：(B).解釋：在該案件中，法院不開放法庭旁聽的原因，與讓被害人乙有到庭陳述意見的機會相同，屬於少年事件處理措施中保護被害人的權益。在處理少年事件時，為保護被害人免於二度傷害，法院會採取一些保護措施，例如不公開審理、不讓被害人出庭陳述等，以確保被害人在訴訟過程中不受到進一步的傷害或壓力。因此，將此案件不開放法庭旁聽的原因與讓被害人有到庭陳述意見的機會相符。其他選項並不符合不開放法庭旁聽的理由，因此並非正確答案。
3,112年學測-社會科第4題,D,0,C,"正確的答案：(C)解釋：阿芬的公司每月補貼房租1萬元，在沒有補貼前，兩房兩廳的月租為26,000元，已超過阿芬能負擔的範圍。在有補貼後，兩房兩廳的月租為26,000 - 10,000 = 16,000元，已在阿芬能負擔的範圍內。然而，若選擇三房兩廳，在有補貼前月租為32,000元，已超過阿芬能負擔的範圍。在有補貼後，三房兩廳的月租為32,000 - 10,000 = 22,000元，仍超過阿芬能負擔的範圍。因此，在有補貼前選擇兩房兩廳，在有補貼後仍選擇兩房兩廳，以符合阿芬的預算限制。因此，正確答案為(C)。"
4,112年學測-社會科第5題,B,1,B,正確的答案：(B)解釋：在十三行遺址發現七世紀中國與十七世紀日本鑄造的銅錢，可用於討論東亞各國之間的交流。這些銅錢的出現表示當時臺灣與中國、日本等地之間已有貿易或文化交流的行為，可能透過海路或陸路進行。這有助於研究人員瞭解當時東亞各國之間的互動，以及可能影響臺灣史前文化的因素。因此，根據問題所述，正確答案為(B)東亞各國的交流。
5,112年學測-社會科第6題,B,1,B,正確的答案：(B)解釋：漢武帝採納董仲舒的建議，擴大推行察舉制度，主要目的是為了選拔賢能之士擔任官員。這項政策使得讀書人成為官員的主要來源，強化了官僚體系，也促進了儒家思想在政治領域的影響力。這使得政府官員的素質相對提高，對於政局的穩定和國家發展都有正面的影響。雖然此政策並未直接導致地方權力的提高或君權的弱化，但它確實改變了官員的遴選方式，對政治結構產生了深遠的影響。另外，政府並未壓抑商人，經濟也並未因此而停滯，因此也沒有造成經濟上的負面影響。至於政府是否建立官員的輪調制度，文中並未提及，無法根據所提供的資訊做出判斷。
6,112年學測-社會科第7題,A,0,D,正確的答案：(D)解釋：這段控訴內容提到不平等的問題，並提到被排除在紀念日之外，與印度獨立紀念日相關，因為這段文字提到控訴者與所代表的人並未被包括在紀念日內，顯示出他們與主流社會存在不平等的關係。印度獨立紀念日是為了紀念印度從英國殖民統治下獲得獨立，這段文字中提到的不平等問題，與印度的歷史背景和爭取獨立的過程有關，因此最可能的紀念日是印度獨立紀念日。
7,112年學測-社會科第9題,B,0,A,正確的答案：(A)解釋：此墓碑顯示在宋元時期泉州有波斯人居住，他們從事貿易並在當地去世。從墓碑上記載的「人人都要嚐死的滋味。」可知波斯人已經接受伊斯蘭教，而伊斯蘭教的教義中，死後將面對最後的審判，死後將面對上帝的審判，因此此墓碑佐證了在宋元時期泉州有經商客死他鄉的波斯人。其他選項無法從所提供的墓碑資訊中得到佐證：(B)墓碑上沒有提及波斯人與漢人相互通婚的資訊；(C)墓碑上雖然有阿拉伯文的記載，但無法直接得知全數波斯人已改信回教；(D)墓碑上記載的喪葬儀式為漢人式的墓葬，無法推斷波斯人是否採用儒家喪葬儀式。
8,112年學測-社會科第10題,D,0,C,正確的答案：(C)解釋：十九世紀晚期臺灣開港通商，西方傳教士來臺傳教，在漢人市街遭遇反彈後，部分傳教士轉而進入淺山地區的「熟番」部落傳教。這段期間，洋行商人在臺經營的主要事業之一是插蔗煮糖，也就是製糖業。由於傳教活動範圍的擴張與洋行商人經營的製糖業有關，因此最可能是與插蔗煮糖有關。在當時，洋行商人透過與原住民族的貿易，取得甘蔗原料並製成糖品，不僅獲利，也藉此機會讓傳教士進入原住民族地區傳教。因此，此傳教活動範圍的擴張與洋行商人經營的插蔗煮糖事業有密切關係。
9,112年學測-社會科第11題,C,1,C,正確的答案：(C)解釋：此發刊詞的寫作背景與日本殖民政府推行的政策為「日臺共學」。在此政策下，常用日語者可入小學校，意即在小學階段，學生若會說日語，則可進入使用日語教學的學校就讀。這項政策反映了日本殖民政府試圖透過教育來同化臺灣人民的政策。其他選項不符寫作背景：(A) 國語學校主要是為了因應教師、通譯等對日語的需求而設立，與此發刊詞所述的教科不使用漢文無關。(B) 公學校在日治時期主要是為日本人子弟設立，與義務教育並無直接關係。(D) 書房、義塾在日本領臺初期雖有納入管理，但與此發刊詞所述的教科不使用漢文無關。因此，正確答案為(C)。
