,info,answer,score,generated_answer,detailed_generated_answer
0,113年學測-國文科第1題,A,0.0,C,                           正確的答案：C                           解釋：                           (A)「闥」讀音為「tì」，「撻」讀音為「chá」                           (B)「篙」讀音為「gāo」，「蒿」讀音為「hāo」，「艱」讀音為「jiān」                           (C)「棹」讀音為「zhào」，「踔」讀音為「zhuó」                           (D)「逡」讀音為「qūn」，「悛」讀音為「quān」                           所以選C
1,113年學測-國文科第2題,A,0.0,B,                           正確的答案：(B)                           解釋：                           (A)「蟬聯」應為「蝉聯」，「屜」應為「室」，「落實」應為「落成」                           (B)「蒞臨」、「倒屜」、「相迎」、「賓主」皆正確                           (C)「不落巢臼」為正確詞彙，「落成」應為「落實」                           (D)「負趿北上」應為「負擔北上」，「負」應為「負擔」，「離鄉背井」為正確詞彙，「負」應為「離開」                           故答案為(B)。
2,113年學測-國文科第3題,C,1.0,C,                           正确的答案：C                           解釋：                           孔子對子路的輕蔑事物形式的行為感到驚訝，但他也明白禮樂的精神與形式缺一不可。因此，他需要讓子路理解禮樂的精神固然重要，但形式也不可或缺。這代表孔子認為讓子路接受禮樂的形式是必要的，而非僅僅強調精神層面。故選(C)讓子路理解禮樂的形式與精神同樣重要。
3,113年學測-國文科第4題,D,0.0,C,                           正確的答案：C                           解釋：                           這段文字是在描述人各有所長，也各有所短，並以動物為例，如雞不能預知陰陽，鵠不能掌握時間，山鳩不能預報天氣，蛇螘不能探知地勢，意指人的才能也有局限性，不能因為他們的短處而否定他們的長處。因此，最能總括這段文字的文句是「小疵不足以損大器，短疢不足以累長才」，意思是小小的瑕疵不會影響大的才能，短處也不會拖累長才。
4,113年學測-國文科第5題,D,0.0,C,                           正確的答案：(C)                           解釋：                           這段古文的意思是說，當年周公輔佐時，朝廷裡都是各國的卿相之才，因此人才濟濟，賢能智慧充斥門庭。周公自己謙虛且不吝於分享他的才能，讓天下的人才得以被養育。孔子雖沒有爵位，但以平民的身份收養了七十多位有才華的人士，處於三公的地位來養育天下的人才。因此，排列順序最適當的是丙甲丁乙，即丙在前，甲在中間，丁在最後，乙在開頭。
5,113年學測-國文科第6題,D,1.0,D,                           正確的答案：D                           解釋：                           (A)「娘樓禁錮女性青春」，這句話可能是指未出嫁的女孩在娘樓裡學習女書，但並非禁錮青春，而是學習和成長。                           (B)「女性於娘樓交流心事」，這句話描述的是娘樓作為女性交流情感的地方，而非處理夫家家務。                           (C)「女性在娘樓企盼美好姻缘」，這句話可能是指未婚女性在娘樓裡學習女書，而不是出嫁後。                           (D)「娘樓是女性接受體制外知識之處」，這句話最符合原文描述，因為娘樓是女性在傳統社會中獲得知識和情感支持的地方，並且在哭嫁中，娘樓成為女性情感寄託的依憑。                           因此，答案是(D)。
6,113年學測-國文科第7題,C,1.0,C,                           正確的答案：C                           解釋：                           (A) 女書是婦女可掌握自我話語權的發聲筒，也是姊妹相濡以沫情誼的表現：正確，女書是江永婦女的語言和情感表達方式，也是她们交流情感和建立社群的重要工具。                           (B) 以女書書寫他人故事，常在他人生命中照見自己，而融入個人身世感懷：正確，女書書寫中往往融入作者的個人經歷和情感，反映出女性的生活經驗和心態。                           (C) 女書是江永婦女的生命刻痕，而今江永女性為復甦女書多投身文創設計：不適當，文中並未提及江永女性為復甦女書多投身文創設計，而是提到女書的研究與應用方興未艾，並非復甦。                           (D) 與(B)、(C)相反，女書是女性面對現實困境、悲訴社會不公的渠道：正確，女書是江永婦女對自身命運和社會不公的反映，也是她们對抗現實困境的方式之一。                           故答案為C。
7,113年學測-國文科第8題,B,1.0,B,                           正確的答案：(B)                           解釋：                           (A)「將說嫁奩兩半分，又氣淚流難一字」描述新娘出嫁時的不舍和對未來生活的無奈。                           (B)「粗字粗針到貴府，只望姑娘請諒寬。不比貴家禮義全，你在高堂好過日」這首歌詞描述的是新娘出嫁後，與夫家生活中的落差和不適應，而非婚後失落。                           (C)「十八歲女三歲郎，夜間洗腳抱上床。睡到五更索奶吃，我是寒妻不是娘」描述的是新娘出嫁後的日常生活，並非婚後失落。                           (D)「他娘心中用計策，暗中叫子到別州。瞞起台身不知得，不知丈夫到哪方？」描述的是新娘出嫁前的計謀和對未來的不安，與婚後失落無關。                           故答案為(B)。
8,113年學測-國文科第9題,B,0.0,C,                           正確的答案：C                           解釋：                           這段文字主要在說明新細明體在不同場合下的適應性。根據文意，新細明體在「紙本」上的閱讀體驗良好，因此在「內文」（即紙本上的文字）上，新細明體的識讀性高，故選(A)。然而，隨著高解析度螢幕的普及，新細明體在螢幕上的閱讀體驗不佳，因此在「文字風景」（即螢幕上的文字）上，人們不再習慣近距離閱讀，故選(C)。此外，文中並未提及新細明體取得的方便性，排除(B)；文末也提到「文字風景的基本面一時難有什麼變化」，並非人們不在意字型美醜，排除(D)。
9,113年學測-國文科第10題,A,0.0,, 正确的答案：新細明體
10,113年學測-國文科第11題,C,1.0,C,                           正確的答案：(C)                           解釋：                           (C)《盲目》的書寫特色是透過缺乏指引方式敘寫對話，形成類近盲者摸索前行的閱讀感受。作者使用角色特徵或職業來命名，讓讀者感受到人際關係的疏離和崩潰，但同時也揭示了在困境中人們互相扶持的一面。書中對話未使用引號，且未特別分段，讓讀者需要放慢速度，重複閱讀以理解人物關係和情感交流。這與盲者摸索前行的情境相似，需要耐心和細心去感知和理解。而(D)的論述在文中並不明顯，且與書中主題和人物成長經歷不符。
11,113年學測-國文科第12題,A,1.0,A,                           正確的答案：(A)                           解釋：                           (A)①盲者、不盲者的處境，帶出「眼不見為患」與「眼不見為淨」的辯證。盲者因為失明，無法直視眼前事物，因此對周遭環境產生了不同的觀感，這與「眼不見為患」的觀念相符，即避免看到不好的事物可以減少困擾。而不盲者則因為擁有視覺，對周遭環境看得更清楚，但也因此更容易看到問題，這與「眼不見為淨」的觀念相反，即因為看得太清楚反而帶來困擾。                           (2)眼盲隱喻心盲，既揭示人本身的盲目，又呈現人性的沉淪。這句話描述了盲者與不盲者之間的關係，盲者因為失去視覺，對周遭環境的感知方式與不盲者不同，這可以看作是心靈上的「盲」，而不盲者因為擁有視覺，對周遭環境的感知方式與盲者相同，這可以看作是心靈上的「明」。同時，不盲者對周遭環境的洞察，也反映出人性的沉淪，即人類對於真相的忽視和逃避。
12,113年學測-國文科第13題,C,1.0,C,                           正確的答案：(C)                           解釋：                           這段文字描述了周處傳說的發展過程。根據文意，「蓋由民間口傳，各記見聞，彼此歧異，故是尋常事。」這句話應該填在丙處，因為這句話是在說明《世說新語》如何將周處傳說整合成一個完整的故事，並且將「三害」、「射虎斬蛟」和「幡然悔悟」等元素融入其中，形成了一個傳說的「基型」。這句話是在對《世說新語》如何處理這個故事進行評論，而非周處生前或死后的事情，因此不應填在甲、乙或丁處。
13,113年學測-國文科第14題,C,0.0,A,                           正確的答案：(A)                           解釋：                           (A)孔約《志怪》中只提到了周處是義興三害之一，但沒有提及他殺虎和改過自新的故事，因此在記述上較簡略。                           (B)祖台之《志怪》中雖提到周處斬蛟，但對周處的背景和改過自新的部分沒有詳細描述，敘述方式與孔約《志怪》相似。                           (C)《世說新語》將周處的背景、殺虎、斬蛟和悔過自新等事件融合在一起，並加入「殺虎」的細節來強調他的勇猛，這與志怪類作品的風格不同，更偏向於志人類型。                           (D)《世說新語》增加了周處得知自己被鄉里慶祝死亡的情節，以及他悔過自新的轉折點，這有助於塑造周處的形象，使其更具人性化的轉變，符合「世說新語」的風格。                           故選(A)。
