,info,answer,score,generated_answer,detailed_generated_answer
0,113年學測-國文科第1題,A,0.0,C,正確的答案：(C)。解釋：此題為單選題，要求從所列的字中找出讀音前後相同的字。在選項中，(C)桂「棹」蘭槳／「踔」厲奮發，「棹」和「踔」這兩個字的讀音前後相同，都是「ㄐㄧㄠˇ」，其餘選項的字讀音前後並不相同。因此，正確的答案是(C)。
1,113年學測-國文科第2題,A,0.0,B,正確的答案：(B)。解釋：文句(B)「昨夜賓客蒞臨，主人倒屜相迎，賓主盡歡」是文法正確且沒有錯別字的。文句(A)「德國隊蟬聯冠軍，呼聲最高，卻止步四強」中，「卻止步四強」應為「卻在四強止步」，否則意思不清。文句(C)「這棟大樓落實綠建築理念，設計不落巢臼」中，「不落巢臼」應為「不落俗套」，否則意思不清。文句(D)「離鄉背井的學子負趿北上，在外租屋不易？」中，「負趿」應為「負笈」，否則意思不清。因此，正確的答案是(B)。
2,113年學測-國文科第3題,C,1.0,C,正確的答案：(C)解釋：在原文中，提到孔子對於子路這種輕蔑事物形式的人感到驚訝，且在教導禮樂時，子路缺乏耐性，顯得不感興趣。孔子在面對這種情況時，雖然意識到形式與精神同等重要，但要同時滿足子路對形式的抗拒與傳授禮樂的任務，對孔子而言是困難的。因此，選項(C)「讓子路理解禮樂的精神固然重要，形式也不可或缺」是最符合上下文的答案。這表示孔子意識到在教導禮樂時，需要在形式與精神之間找到平衡，以滿足像子路這樣的學生。
3,113年學測-國文科第4題,D,0.0,C,正確的答案：(C)。解釋：此題是要選出最符合原文「山鳩知晴雨於將來，不能明天文；蛇螘知潛泉之所居，不能達地理。」的說法。在四個選項中，(C)「小疵不足以損大器，短疢不足以累長才」最能概括原文的意思，表示一個人的小缺點或短處並不會影響其整體價值和能力，就像山鳩能預知天氣，但無法理解天文學；蛇螘能找到水源，但無法研究地理學。因此，選項(C)是最合適的答案。
4,113年學測-國文科第5題,D,0.0,B,正確的答案：(B)甲丙乙丁。解釋：此段古文描述了周公任相時，聚集了眾多賢能之士，充滿了俊義之人，賢智之士充斥在朝廷中。周公則謙虛不自大，以勞動天下之士為務。孔子雖然沒有爵位，但仍然能夠以布衣的身份招募到七十多位才士。若周公身處三公之尊，如何能繼續以勞動天下之士為務？因此，正確的順序應為甲（諸侯卿相）→丙（謙虛不自大）→乙（俊義滿朝）→丁（賢智充門）→孔子。故，正確答案為(B)甲丙乙丁。
5,113年學測-國文科第6題,D,1.0,D,正確的答案：(D)解釋：娘樓是江永女性在婚前居住的地方，在那裡她們可以自由地交流心事、學習女書、編織等。在傳統父系社會中，女性在出嫁前會在娘樓度過青春時光，直到被安排出嫁。在這段期間，娘樓是女性逃離家庭、社會壓迫的避風港，也是她們獲得知識、情感支援的重要空間。雖然在出嫁時有哭嫁的習俗，但並不代表女性不能再次回到娘樓，而是代表她即將進入另一個生命階段，離開娘樓的生活。因此，娘樓是女性情感寄託的依憑，也是她們在傳統社會中爭取到的一片天地。
6,113年學測-國文科第7題,C,0.0,A,正確的答案：(A)解釋：文中提到女書是江永婦女用以自傳訴情、互通心跡、結交姊妹、祝禱祈願、傳說紀聞的表音文字，也是姊妹相濡以沫情誼的表現。在農業社會中，未嫁的女兒會在娘樓學習、書寫女書，藉此建立封閉又親密的女性空間。因此，女書是婦女可掌握自我話語權的發聲筒，也是姊妹相濡以沫情誼的表現。其餘選項並不符合文中關於女書的描述，故為不正確的答案。(B)雖然女書書寫他人故事時，常在他人生命中照見自己，而融入個人身世感懷，但主要是用來表達女性情感與經驗，而非單純的個人身世感懷。(C)目前江永女性為復甦女書，確實有許多人投身於文創設計中，以期將女書推廣並延續其生命力。(D)女書音聲與表意的交織，確實讓女性在面對現實困境時，能夠悲訴社會的不公，但這並非女書的主要功能。女書更主要是用來表達女性情感、經驗與智慧的媒介。
7,113年學測-國文科第8題,B,0.0,C,正確的答案是：(C)。解釋：在所提供的女書作品中，(C) 的內容描述了新娘在夫家生活的情況，表現出女性婚後的適應問題與失落感。其他選項並沒有明確表現出「女性婚後的失落」的主題。其中，(A) 和 (B) 是描述新娘離開娘家到夫家的心情，雖然也有離愁別緒，但主要是描述離開家鄉到夫家的感受，而非婚後的失落。選項 (D) 是描述丈夫被騙到別州，妻子被蒙在鼓裡，表現出女性在婚姻中受到欺騙的痛苦，並非直接表現婚後的失落。因此，正確的答案是 (C)。
8,113年學測-國文科第9題,B,0.0,C,正確的答案：(C)                           解釋：在原文中提到「高解析度螢幕時代，它更難以勝任螢幕上的閱讀。但只要它是系統內建的首要字型，就會是大多數人的首選。」這表示在螢幕上，新細明體因為筆畫細小，在較遠的距離下不易閱讀，因此不適合用在需要長時間閱讀的場合。而在紙本上，新細明體因為距離讀者近，在近距離閱讀時並不會有太大的問題。因此，文字風景的基本面難以改變的主要原因是人們習慣近距離閱讀，在紙本上閱讀時並不會特別在意字型的美醜，因此設計出不易疲勞的內文字型如新細明體，以確保閱讀的舒適度。
9,113年學測-國文科第10題,A,0.0,B,正確的答案：(B)                           解釋：在所提供的內容中，主要在討論黑體字和新細明體在不同情境下的應用。黑體字因其粗橫筆，在距離讀者較遠時易於閱讀，適合用於機場指標等需要清晰可見的標示。而新細明體則因橫筆較細，在距離較遠時不易閱讀，適合用於紙本閱讀，如書籍、報告等。在高解析度螢幕時代，新細明體更不易閱讀。因此，根據其在不同情境下的表現，正確答案為(B) 新細明體是專門用在「紙本」上的。
10,113年學測-國文科第11題,C,1.0,C,正確的答案：(C)                           解釋：在《盲目》這本書中，薩拉馬戈採用了獨特的敘事方式，以缺乏指引的方式書寫對話，使得讀者在閱讀時必須放慢速度，甚至再三重讀，以確定說話者身分。這種寫作手法讓讀者在閱讀時更投入，也更接近故事中的盲人角色，體驗他們在缺乏視覺引導下，必須依靠其他感官來辨識周遭環境的困境。這不僅增強了讀者的沉浸感，也更深刻地表達了白盲症對角色們造成的影響。因此，根據文本描述，最適當的答案是(C)以缺乏指引方式敘寫對話，形成類近盲者摸索前行的閱讀感受。
11,113年學測-國文科第12題,A,1.0,A,正確的答案：(A)                           解釋：在原文中，盲者與不盲者的處境被用來探討「眼不見為患」與「眼不見為淨」的辯證，符合文意。選項(B)只符合「眼不見為患」，不符合「眼不見為淨」；選項(C)無法判斷，因為文中沒有相關描述；選項(D)也無法判斷，同樣是因為文中沒有相關描述。因此，選項(A)是最符合文意的答案。
12,113年學測-國文科第13題,C,1.0,C,正確的答案：(C)。                           解釋：在《世說新語》中，將「三害」與「斬蛟」結合，並增加「殺虎」情節，使傳說更為完整。這說明了民間口傳的故事在流傳過程中，會因各種因素而產生差異，導致同一事件在不同記述中有其偏重之處。而《世說新語》將這些元素整合，形成了較為完整的傳說，成為後世「周處除三害」故事的基型。其他選項並未在原文中提及，因此不屬於正確答案。
13,113年學測-國文科第14題,C,1.0,C,正確的答案：(C)解釋：《世說新語》著重描述周處年少時的兇彊俠氣，以及他殺虎斬蛟的英勇事蹟，以突顯其兇猛的性格。這與《志怪》等書著重在描述義興三害以及周處如何消除它們的過程有所不同。《世說新語》增加了里人相慶、周處聞知情節，以突出周處悔悟自新的轉折，使故事更具戲劇性。其他選項並不完全正確，(A)提及孔約提及義興時有三害，但未述及周處的改過自新，(B)祖台之未提到義興三害，聚焦於周處斬蛟，敘述較孔約《志怪》生動，(D)《世說新語》雖然增加了里人相慶、周處聞知情節，但主要目的是為了突出周處悔悟自新的轉折，而非強調其兇猛的性格。
