,info,answer,score,generated_answer,detailed_generated_answer
0,113年學測-國文科第1題,A,1.0,A,                           正確的答案：(A)                           解釋：                           (A)排「闥」而去／同聲「撻」伐                           「闥」讀作「tà」，「撻」讀作「tà」。                           (B)「篙」工撐棹／「蒿」目時艱                           「篙」讀作「gāo」，「蒿」讀作「hāo」。                           (C)桂「棹」蘭槳／「踔」厲奮發                           「棹」讀作「zhào」，「踔」讀作「chuò」。                           (D)切勿「逡」巡／為惡不「悛」                           「逡」讀作「qūn」，「悛」讀作「quān」。                           因此，只有選項 (A) 中的兩個詞彙讀音前後相同。                           解釋：                           「闥」和「撻」都讀作「tà」，「闥」指的是一個房間或空間，「撻」則是指用力打。                           「篙」指的是船槳，「蒿」指的是一種植物，所以兩者讀音不同。                           「棹」指的是船槳，「踔」指的是精神振奮，所以兩者讀音不同。                           「逡」指的是猶豫不決，「悛」指的是悔改，所以兩者讀音不同。                           因此，正確答案為 (A)。
1,113年學測-國文科第2題,A,1.0,A,                           正確的答案：(A)                           解釋：                           (B)「倒屜」應為「倒僕」，形容主人失態，僕倒在地。                           (C)「落實」應為「落實」，指實際執行，確實做到。                           (D)「負趿」應為「負笈」，指學生背著書包上學。「北上」指北京的方向，「北上」則指中國的北方。                           因此選(A)
2,113年學測-國文科第3題,C,0.0,B,                           正確的答案：(B)                           解釋：                           從文中可以看出，孔子對子路的難馴與好勇厭柔感到驚訝，因為一般人雖然喜歡勇敢，但不喜歡柔弱的人。然而，像子路這樣的人卻很少見，他們不僅喜歡勇敢，還輕蔑事物形式。                           孔子提到，禮雖然最終歸結於精神，但必須從形式進入。這表明孔子認為禮樂的形式是重要的，不能被忽視。然而，孔子自己也並不喜歡禮樂的形式，但他仍需教導子路禮樂。                           當孔子解釋禮樂細則時，子路立刻顯得一臉無趣，這表明孔子在傳授禮樂時遇到了困難，因為他需要同時與自己對形式主義的逃避本能搏鬥，並讓子路接受禮樂。                           因此，對孔子來說最困難的是自己雖也不喜歡禮樂形式，卻得想辦法讓子路接受（選項 B）。
3,113年學測-國文科第4題,D,0.0,C,                           正確的答案：(C)                           解釋：                           文中所舉四項事例，雞、鵠、山鳩、蛇螨分別代表人的不同能力，如智慧、美感、預測天氣與地理。作者以這些動物為例，說明這些能力都是人的天賦，不應因為小瑕疵或短處而抹煞。因此，最適合填入的文句為(C)，強調小瑕疵不足以損害人的整體才華，短處不足以累減長處。                           選項(A)強調的是英才的難以識別，與文意不符。                           選項(B)強調的是官位與才能不一定相符，與文意不符。                           選項(D)強調的是偏才與眾多才能的關係，與文意不符。                           因此，選(C)最符合文意。
4,113年學測-國文科第5題,D,0.0,B,                           正確的答案：(B)                           解釋：                           昔周公之相也，表示周公在擔任宰相的時候，甲、皆諸侯卿相之人也，表示周公任用的是諸侯卿相的人，所以甲應該排在丁之後。                           乙、是以俊義滿朝，賢智充門，表示因此朝廷人才濟濟，所以乙排在甲之後。                           謙卑而不鄰，以勞天下之士，表示周公謙虛不與人爭，以天下為己任，所以丙排在乙之後。                           況處三公之尊以養天下之士哉？表示更何況周公位居三公，以養育天下人才，所以丁排在丙之後。                           因此排列順序為甲丙乙丁，選項為(B)。
5,113年學測-國文科第6題,D,1.0,D,                           正確的答案：(D)                           解釋：                           娘樓是江永女性的情感寄託的依憑，她們在娘樓中學習認字、寫字、織字，透過女書來表達情感、結交姊妹、傳達心聲，並且在娘樓中進行非正規的教育，學習女書這項知識。因此，娘樓不僅僅是女性成長的場所，也是她們情感交流和自我表達的重要空間。                           選項 (A) 描述的是女性在娘樓的時間限制，但這並非女書文化的主要特色，且「娘樓禁錮女性青春」的說法過於簡化，忽略了女書在女性生活中的重要角色。                           選項 (B) 提到女性於娘樓處理夫家家務，但女書主要是用於情感交流和社交，而非家庭事務。                           選項 (C) 描述女性在娘樓企盼美好姻緣，雖然這是女書的一種應用，但娘樓的意義不僅限於此，它也是女性情感交流和知識學習的場所。                           選項 (D) 最恰當地描述了娘樓對江永女性的意義，即作為情感寄託的依憑，以及女性在娘樓中學習和實踐女書知識的場所。                           因此，選項 (D) 最符合娘樓與江永女性之間的關係。
6,113年學測-國文科第7題,C,1.0,C,                           正確的答案：(C)                           解釋：                           (C)女書是江永婦女的生命刻痕，而今江永女性為復甦女書多投身文創設計。此選項的描述有誤，因為文中提到女書的研究與應用方興未艾，尤其是在消費時代裡，女書反成為一種時尚符號，常出現在文創設計中，但並非江永女性為復甦女書而多投身文創設計。江永女性發明了女書，但女書的流傳並未局限於江永女性，而是局限於江永一帶流傳。因此，(C)的描述並不適當。
7,113年學測-國文科第8題,B,0.0,C,                           正確的答案：(C)                           解釋：                           (A)這段文字描述的是新娘在結婚後的遺憾，將嫁奩（嫁妝）分為兩半，並表達了因結婚而產生的淚水和困難。                           (B)這段文字描述的是新娘對未來夫家的依賴，提供針線給新娘，希望她能過得好日子，但與貴家（夫家）相比，新娘在娘家（娘家）的生活並不如意。                           (C)這段文字描述的是未婚女子在家中的生活，不是在婚後的失落。                           (D)這段文字描述的是新娘被丈夫帶走，而新娘不知情，表達了新娘對丈夫去向的擔憂和失落。                           因此，正確答案為(C)，因為它描述的是未婚女子的生活，而不是婚後的失落。                           解釋：女書作品通常以表達女性婚後的失落為主，因此選項(A)、(B)和(D)都符合這個主題。而選項(C)則描述未婚女子的生活狀況，因此不是表現「女性婚後的失落」的作品。
8,113年學測-國文科第9題,B,0.0,C,                           正確的答案：(C)                           解釋：                           上文認為「文字風景的基本面一時難有什麼變化」的主要原因是因為新細明體在80年代曾是新潮設計，但隨著時代的變遷，人們對於字型的審美疲乏，導致難以再創新潮流。而高解析度螢幕時代，新細明體更難以勝任螢幕上的閱讀。此外，新細明體是專門用在「紙本」上的，離讀者眼前不遠，可能是放在桌上、捧在手上讀，這也使得人們習慣近距離閱讀。因此，新細明體的應用環境與人們的閱讀習慣都沒有太大變化，導致文字風景的基本面一時難有什麼變化。                           所以，選(C)
9,113年學測-國文科第10題,A,1.0,A,                           正確的答案：(A)                           解釋：                           (A)新細明體在80年代曾流行過，但現在由於其筆畫細，不適合在距離讀者較遠的指標上使用，且在高解析度螢幕時代，新細明體也難以勝任螢幕上的閱讀。因此，新細明體常作為內文使用，因為它在紙本上閱讀時，距離遠，需要專心吸收資訊，而新細明體的「無聊」體驗有助於專心。                           所以，根據文中所述，新細明體是專門用在「紙本」上的「內文」字體，其設計目的是讓人感覺變化不大，沒有張狂的造型，適合在距離讀者遠時閱讀，以專心吸收資訊。
