,info,answer,score,generated_answer,detailed_generated_answer
0,113年學測-自然科第3題,BDE,1.0,BDE,                           解釋：                           (A)病毒細胞：病毒並非生活細胞，無細胞核和細胞器，不屬於細胞學說範疇。                           (B)尺度微小的細菌：細菌是微生物的一種，由單一細胞構成，符合細胞學說的內容。                           (C)紅血球細胞：紅血球是完整的細胞，由紅血球細胞分裂而來的說法不正確。                           (D)植物體的成長：植物體的細胞增加和尺寸增大是植物成長的原因，符合細胞學說。                           (E)動物體的行為表現：動物細胞的功能需要由多個細胞共同完成，符合細胞學說。                           (B)(D)(E)選項正確 (A)(C)選項錯誤                           正確的答案：(B)(D)(E)
1,113年學測-自然科第4題,ABC,0.19999999999999996,ACE,                           解釋：                           (A)撒下（薩登）發現染色體的分離與遺傳因子的分離相似，支持獨立分配律。                           (C)華生與克里克利用X光繞射技術解析DNA雙螺旋分子結構，奠定分子生物學基礎。                           (E)摩根發現核酸為遺傳物質，並提出核酸理論，為分子生物學奠定基礎。                           (D)史蒂文斯的研究證實性聯遺傳，但與遺傳因子的分子組成更密切相關。                           (B)弗蘭克林的X光繞射技術對解析DNA結構有所幫助，但非主要貢獻。                           正確的答案：(A)(C)(E)
2,113年學測-自然科第5題,CDE,0.0,ABCD,                           解釋：                           (A)尿嘧啶和鳥糞嘌呤以彼此形成鍵結的形式存在RNA中。                           (B)RNA是由嘧啶和嘌呤相互對位鍵結形成的雙股分子。                           (C)正常人體的免疫系統會偵測非自體的RNA。                           (D)將RNA中的尿嘧啶置換為假尿嘧啶，轉譯仍可順利進行。                           (E)將RNA中的尿嘧啶置換為假尿嘧啶，則可提高mRNA疫苗的效力。                           (A)(B)(C)(D)選項正確 (E)選項錯誤                           正確的答案：(A)(B)(C)(D)
3,113年學測-自然科第6題,E,0.0,A,                           解釋：                           (A) ATTGCCTTA 中有 3 個腺嘌呤(A)，3 個胸腺嘧啶(T)，2 個胞嘧啶(C)，和 2 個鳥糞嘌呤(G)。                           (B) 腺嘌呤個數 (3) 並沒有等於胸腺嘧啶個數 (3) 的兩倍。                           (C) 嘧啶總個數 (2 個 C) 並沒有多於嘌呤總個數 (腺嘌呤 3 個和鳥糞嘌呤 2 個加起來為 5 個)。                           (D) 嘌呤總個數 (5 個) 反而多於嘧啶總個數 (3 個 C 和 3 個 T)。                           (E) 此敘述錯誤，腺嘌呤個數和鳥糞嘌呤個數相加為 5 個，而不等於胞嘧啶個數和胸腺嘧啶個數的和 (3 個 C 和 3 個 T 也加起來為 6 個)。                           正確的答案：(A)腺嘌呤個數與胞嘧啶相同
4,113年學測-自然科第7題,BE,0.6,BDE,                           解釋：                           (B) Pureafaciens DNA的鹼基序列發生改變，使它能產生nylonase酵素以消化尼龍。                           (D) K172遵循孟德爾遺傳法則，經過多代的遺傳變化，使其後代更有利於在尼龍工廠的環境中生存。                           (E) 達爾文的天擇理論，在尼龍工廠的環境中，沒有消化尼龍能力的微生物將被淘汰，而具有此能力的微生物，如K172，將更具生存優勢。                           (A)(C) 選項錯誤                           正確的答案：(B)、(D)、(E)
5,113年學測-自然科第9題,E,0.0,A,                           解釋：                           (A)階層愈高，其內的（物）種間相似的特徵愈多，成員也較多：正確，階層化有助於減少種類的數量，增加共同特徵的相似性。                           (B)階層愈低，其內（物）種較少，親緣關係也較疏遠：部分正確，但低階層間親緣關係也較疏遠。                           (C)任取兩個同目的（物）種必較同科的兩（物）種在親緣關係上疏遠：部分正確，同目的物種可能有不同科的親緣關係。                           (D)（物）種是分類的基本單位，只能以形態相區別：不正確，物種的分類除了形態外，還包括分子遺傳等其他特徵。                           (E)（物）種是將（物）類加以歸類後的第一個層級？：不正確，物種是將個體加以歸類後的第一個層級。                           (A)(B)(C)選項部分正確 (D)(E)選項錯誤                           正確的答案：(A)
6,113年學測-自然科第10題,D,0.0,,                           解釋：                           首先，我們需要找出各化合物的分子量。                           (甲) C19H19N7O6：(19*12.0) + (19*1.00) + (7*14.0) + (6*16.0) = 436.0 + 19.0 + 98.0 + 96.0 = 553.0                           (乙) C20H30O：(20*12.0) + (30*1.00) + (1*16.0) = 240.0 + 30.0 + 16.0 = 286.0                           (丙) C28H44O：(28*12.0) + (44*1.00) + (1*16.0) = 336.0 + 44.0 + 16.0 = 406.0                           (丁) C6H8O6：(6*12.0) + (8*1.00) + (6*16.0) = 72.0 + 8.0 + 96.0 = 176.0                           (戊) C29H50O2：(29*12.0) + (50*1.00) + (2*16.0) = 348.0 + 50.0 + 32.0 = 430.0                           接下來，我們需要找出符合11：3的化合物。                           完全燃燒後，所得二氧化碳與水重量比為11：3，即1：0.277。                           比較各化合物的分子量後，發現只有(乙) C20H30O符合此比例。                           正確的答案：(乙)
7,113年學測-自然科第11題,BDE,0.0,ACDE,                           解釋：                           (A)Y具有6個價電子，而X具有4個價電子。因此，Y之價殼層電子數（第4殼層）大於X（第3殼層），所以Y之原子半徑大於X。                           (C)XY2和XY互為同分異構物是因兩者只有一個電子在鍵結上不同的位置，其餘原子結構相同。                           (D)路易斯結構示：X為Li-like（Li具有3個價電子），Y為Ne-like（Ne具有10個價電子）。XY2的孤對電子數為XY的2倍，因X為Li-like（孤對電子數1），Y為Ne-like（孤對電子數2）。                           (E)XY2具有兩個孤對電子，所以其水溶液呈弱酸性。                           正確的答案：(A)(C)(D)(E)
8,113年學測-自然科第14題,C,0.0,E,                           解釋：                           首先，我們需要計算出反應中產生的莫耳數。                           1.54克硼烷氨（H3NBH3）的莫耳數：1.54克 / 1 g/mol = 1.54 mol                           鹽酸（HCl）的莫耳數：假設足量，所以不計算                           1.54 mol H3NBH3 × (1 mol H2 / 1 mol H3NBH3) = 1.54 mol H2                           接下來，我們需要計算出產生的氫氣莫耳數，以計算其體積。                           1 mol H2 的生成，產生 2 mol 的氫氣。                           1.54 mol H2 × 2 mol H2 / 1 mol H2 = 3.08 mol H2                           最後，我們可以使用25℃、1atm下，1莫耳氫氣的體積為24.5升的信息，計算產生氫氣的體積。                           3.08 mol H2 × 24.5 L / 1 mol H2 = 74.6 L                           由於問題要求將積轉換成升，所以答案為74.6升。然而，在提供的選項中，沒有74.6升的答案。在選項中，最大值是6.00 L，可能是四捨五入或計算錯誤導致。                           正確的答案：(E) 6.00
9,113年學測-自然科第15題,C,0.0,A,                           解釋：                           (A)二氧化碳：分子量為44.0，比氦氣重，使飛天小丑魚更容易浮起。                           (B)氮氣：分子量為28.0，較氦氣重，使飛天小丑魚較不容易浮起。                           (C)氖氣：分子量為40.0，與氦氣的分子量接近，對飛天小丑魚浮起程度影響不大。                           (D)氬氣：分子量為40.0，與氦氣的分子量接近，對飛天小丑魚浮起程度影響不大。                           (E)氧氣：分子量為32.0，較氦氣重，使飛天小丑魚較不容易浮起。                           正確的答案：(A)二氧化碳
