,info,answer,score,generated_answer,detailed_generated_answer
0,113年學測-自然科第3題,BDE,1.0,BDE,                         正確的答案：(B)(D)(E)                           (B)細菌是由細胞構成的，具有細胞的基本特徵，包括細胞膜和細胞核等。細菌也是生命的一種形式，具有代謝功能和遺傳信息。                           (D)植物體的成長主要是由細胞的增多和尺寸的大增而來。植物體的生長是由細胞分裂形成新的細胞，這些細胞再進行細胞膨脹和分化，形成不同的器官和組織。                           (E)動物體的行為表現雖然非常複雜，但這些行為是由多個細胞協同工作的結果。這些細胞通過神經系統、內分泌系統等協調來完成動物體的各種功能和行為。                           因此，選項(B)(D)(E)是正確的。
1,113年學測-自然科第4題,ABC,0.19999999999999996,ACE,答案：(A)(C)(E)                                ### 解釋：                                (A) 洒吞（薩登）發現細胞行減數分裂時，染色體的分離與遺傳因子的分離相似：這是正確的。薩登研究減數分裂的過程，發現染色體的分離與遺傳因子的分離相似，這對理解遺傳因素的傳承提供了重要的觀察基礎。(C) 華生與克里克建構了DNA的雙股螺旋分子模型：這是正確的。華生和克里克共同發現DNA的雙股螺旋結構，這個發現是解譯遺傳因子分子組成的關鍵，奠定了基因學的基礎。(E) 摩根率先發現核酸為遺傳物質：這是正確的。摩爾和史密斯發現了DNA的結構，並提出DNA是生命遺傳物質的理論，這使得遺傳因子的分子組成得到了具體的描述。選項(B) 弗蘭克林以X光繞射技術觀察到DNA結晶的繞射影像：這個敘述不完全正確。雖然X光繞射技術是由布拉格和弗蘭克林發現的，但他們最初使用這種技術觀察的是晶體的結構，而不是特別針對DNA的繞射影像。(D) 史蒂文斯以果蠅的眼色互交試驗研究發現性聯遺傳：這個敘述不正確。史蒂文斯的研究主要是發現基因的獨立分配，這是獨立分配律的基礎，但他並不是通過果蠅的眼色互交試驗來研究性聯遺傳。因此，選項(A)(C)(E)是正確的。
2,113年學測-自然科第5題,CDE,0.19999999999999996,ACE,答案：(A)、(C)、(E)                                ### 解釋：                                (A) 尿嘧啶和鳥糞嘌呤以彼此形成鍵結的形式存在RNA中：這是正確的，因為RNA的基本單位是核苷酸，包括尿嘧啶（U）和鳥糞嘌呤（G）等，這些核苷酸彼此通過鍵結形成的RNA分子。(C) 正常人體的免疫系統會偵測非自體的RNA：這是正確的，因為免疫系統能夠偵測到來自外界的RNA，這些RNA被認為是外來物質（外物質辨識系統），從而啟動免疫反應。(E) 將RNA中的尿嘧啶置換為假尿嘧啶，則可提高mRNA疫苗的效力：這是正確的，卡里科和魏斯曼的研究顯示，將RNA中的尿嘧啶置換為假尿嘧啶可以使得RNA在細胞內更有效地存活，從而延長mRNA疫苗的效力。選項(B)和(D)則不正確，因為RNA並非由嘧啶和嘌呤相互對位鍵結形成的雙股分子，且將RNA中的尿嘧啶置換為假尿嘧啶後，轉譯並不一定可以順利進行。
3,113年學測-自然科第6題,E,0.0,D,答案：D解釋：在這段雙股去氧核糖核酸中，ATCG都是含氮鹼基的種類，這裡的T代表胸腺嘧啶，A代表腺嘌呤，C代表胞嘧啶，G代表鳥糞嘌呤。根據題目中的描述，ATCG的個數分別為ATTGCCTTA，其中：- A（腺嘌呤）的個數為2 (-CG-)。- T（胸腺嘧啶）的個數為3 (-TTA-)。- C（胞嘧啶）的個數為1 (-C-)。- G（鳥糞嘌呤）的個數為2 (-GG-)。因此，嘌呤（腺嘌呤和鳥糞嘌呤的總個數）為2+2=4。嘧啶（腺嘌呤和胸腺嘧啶的總個數）為2+3=5。由於嘧啶總個數多於嘌呤總個數，因此正確答案為D。
4,113年學測-自然科第7題,BE,0.0,BEBPDNADNAKEKBEK,答案：(B)(E)解釋：(B) Pureafaciens的DNA的鹼基序列發生改變，這是指DNA突變，這些突變可能使細菌能夠在尼龍工廠的汙水池中生存。這些突變提供了一種在尼龍環境中生存的優勢，從而使K172菌種在這些環境中繁衍和生存。(E) 達爾文提出的天擇說（或自然選擇說）指出，生物在環境中會變異，只有最適應於環境的個體才能生存和繁殖。在尼龍工廠的汙水池中，K172菌種因為其能夠消化尼龍的特性，能在這些環境中生存和繁殖，這是自然選擇作用的結果。因此，選項(B)和(E)都能合理解釋K172菌種如何能夠存活在尼龍工廠的汙水池中。
5,113年學測-自然科第9題,E,0.0,A,答案：A解釋：在生物分類系統中，階層愈高，該階層內的物種愈多，並且這些物種之間的相似特徵也愈多。這是因為分類系統是根據物種的形態、基因、和其他特徵逐步分組的，屬於同一階層的物種通常具有較近的親緣關係。因此，階層愈高，物種間的相似性愈多，反過來說，階層愈低，物種較少且親緣關係較疏遠。選項A正確地描述了這一現象。選項B的敘述相反，因此不正確。選項C的敘述不完全正確，因為即使取兩個同目的物種，它們之間的親緣關係也不一定疏遠。選項D錯誤，因為分類的基本單位是物種，而不是物種，而且物種的區分不僅限於形態。選項E錯誤，因為屬是分類系統中的第三層級，而基本單位是種。
6,113年學測-自然科第10題,D,0.0,,答案：甲解釋：首先，我們需要計算目標化合物的分子量，並且考慮到完全燃燒後的質量分布。目標化合物的質量比為11：3，這表示其分子量應該使得它的分子量比為11：3。計算目標化合物的分子量：1. 計算甲（C19H19N7O6）的分子量：\[ \text{分子量} = 19 \times 12.0 + 19 \times 1.00 + 7 \times 14.0 + 6 \times 16.0 \]\[ \text{分子量} = 19 \times 12.0 + 19 \times 1.00 + 7 \times 14.0 + 6 \times 16.0 \]\[ \text{分子量} = 234 + 19 + 98 + 96 \]\[ \text{分子量} = 447 \]2. 計算2g目標化合物的碳、氫、氧的質量：   - 目標化合物的碳質量 = 447 / 12.0 = 37.25   - 目標化合物的氫質量 = 447 / 1.00 = 447   - 目標化合物的氧質量 = 447 / 16.0 = 27.9437. 計算完全燃燒後的質量分配：   - 碳完全燃燒產生二氧化碳，質量比為37.25 / 2 = 18.625   - 氫完全燃燒產生水，質量比為447 / 3 = 149   - 氧是反應物中的，質量比為0  3. 計算完全燃燒後的分子量：   - 二氧化碳的分子量 = 2 \times 16.0 = 32.0   - 水的分子量 = 3 \times 16.0 = 48.04. 計算完全燃燒後的分子量比：   - 二氧化碳：37.25 / 32.0 ≈ 1.1635   - 水：149 / 48.0 ≈ 3.10445. 與題目中的質量比比較：   - 碳完全燃燒產生二氧化碳，質量比為11：3，即1：0.333  - 氫完全燃燒產生水，質量比為11：3，即1：0.333因此，目標化合物為甲（C19H19N7O6），分子量為447，其碳和氫完全燃燒後的質量比應為1：0.333，這與計算結果符合。
7,113年學測-自然科第11題,BDE,0.19999999999999996,CDE,答案：(C)(D)(E)解釋：1. (C) XY2 和 XY 互為同分異構物：在化學中，同分異構物是指具有相同的分子式但不同連接方式的化合物。XY2 和 XY 是兩種不同的異構物，其中 XY2 中有一個 X-Y 雙鍵，而 XY 中有一個 X-Y 鍵。這意味著他們具有不同的結構，因此是同分異構物。2. (D) 由路易斯結構知道 XY2 的孤對電子數是 XY 的 2 倍：在路易斯結構式中，孤對電子是指在分子中沒有與其他原子形成鍵的電子。對於 XY2 和 XY，路易斯結構可知，XY2 中有 2 個孤對電子，而 XY 中有 1 個孤對電子。因此，孤對電子數是 XY2 的 2 倍。3. (E) XY2 的水溶液呈弱酸性：XY2 中含有氮，氮原子在水中會與水分子形成氫離子，產生 OH- 離子，因此 XY2 的水溶液呈弱酸性。這與 XY 中的碳或其他元素不同，碳會形成弱鹼性溶液。因此，選項 (C)(D)(E) 是正確的。
8,113年學測-自然科第14題,C,0.0,E,答案：E                                ### 解釋：                                    首先，我們需要計算反應方程式中的各個物質的摩爾數。硼烷氨 H3NBH3 的摩爾質量為：\[ \text{摩爾質量} = \frac{A_H}{M_H} + \frac{A_N}{M_N} + \frac{A_B}{M_B} \]其中，\( A_H \)、\( A_N \) 和 \( A_B \) 分別是氫、氮和硼的摩爾數，\( M_H \)、\( M_N \) 和 \( M_B \) 分別是氫、氮和硼的質量，已知氫、氮和硼的質量因素分別為 1.00、14.0 和 10.8，且 18.0 克的 H3NBH3 中的氫、氮 和 硼 的 摩爾 數 分 別 為 3.00、1.00 和 1.50。代入已知數值：\[ \text{摩爾數量} = \frac{18.0 \text{ g}}{12.0 \text{ g/mol}} = 1.50 \text{ mol} \]因此，反應方程式中的氫的摩爾數為 3.00。根據反應式：\[ H3NBH3 + HCl + H2O \rightarrow H3BO3 + NH4Cl + H2 \]我們可以看到，3.00 摩爾的氫反應產生的 3.00 摩爾的氫氣。根據理想氣體方程式 \( PV = nRT \)，氫氣的摩爾數 \( n \) 可以計算出氫氣的體積。使用 25℃ 和 1atm 的條件，\( R \) 的是理想氣體常數，為 0.0821 L·atm/(K·mol)：\[ V = \frac{nRT}{P} \]\[ V = \frac{3.00 \text{ mol} \times 0.0821 \text{ L·atm/(K·mol)} \times 298 \text{ K}}{1.0 \text{ atm}} \]\[ V = \frac{3.00 \times 0.0821 \times 298}{1.0} \text{ L} \]\[ V = 76.4 \text{ L} \]由於這是摩爾數的體積，要轉換成實際的公升數，需要乘以摩爾數：\[ \text{實際體積} = 76.4 \text{ L} \times 3.00 \text{ mol} \]\[ \text{實際體積} = 229.2 \text{ L} \]由於題目要求是升，需要轉換成升：\[ \text{實際體積} = \frac{229.2 \text{ L}}{1.0 \text{ L/升}} = 229.2 \text{ 升} \]因此，所產生氫氣的體積是 229.2 升，選項 E 是正確的答案。
9,113年學測-自然科第15題,C,0.0,D,答案：(D)氬氣解釋：當飛天小丑魚灌入氦氣時，氦氣的質量很輕，這使得飛天小丑魚能夠輕易浮起來。然而，若氦氣中含有雜質，這些雜質的質量較重，會降低飛天小丑魚的浮力。其中，氬氣（Ar）是氦氣的同位素，質量與氦氣非常接近，不會顯著影響飛天小丑魚的浮力。然而，其他氣體如二氧化碳（CO₂）、氮氣（N₂）、氖氣（Ne）和氧氣（O₂）的質量較重，會降低飛天小丑魚的浮力，使得它更容易沉下。其中，氧氣（O₂）的質量最重，因此會使飛天小丑魚最容易浮起。
10,113年學測-自然科第19題,ACE,0.6,AE,                         正確的答案：(A)(E)                           解釋：                           (A)質能轉換：核能電廠利用核燃料（如鈾和鉀是）發電力，這是因為核燃料在核反應中釋放出的能量主要是以質子和中子的質量轉換成能量的形式。這是核能電廠的基本工作原理。(E)核分裂：核能電廠中的核分裂反應是主要的發電過程。核分裂反應是指核�頓吸收中子後分裂成兩個蒽核和幾個中子、質子，在這個過程中釋放大量的能量，這種能量被利用來產生電能。因此，核分裂是核能電廠中的主要能量轉換反應。其他選項如聲能轉電能、熱能轉動能和核融合都不涉及核能電廠的主要運作過程。聲能轉電能涉及聲音能量轉換成電能，與核能電廠無關；熱能轉動能涉及熱能轉換成機械動能，主要與燃燒反應相關，而非核反應；核融合則是指氫原子在極高溫度和高壓下融合形成氦，這是核融合反應，而不是核能電廠的運作原理。
11,113年學測-自然科第20題,CD,1.0,CD,答案：(C)(D)解釋：(C) 電子繞著原子核運動，主要是因為電力。 這是正確的。電子帶著電荷（負電），原子核帶著電荷（正電），由於電荷相吸引，電子繞著原子核運動，這是電力的作用。(D) 弱力與強力的作用範圍比原子的尺度還小。這是正確的。弱力是指弱核子力，強力是指強力子力。這些力的作用範圍通常是在原子核內部或更小的尺度，而不是我們常見的原子尺度。因此，選項(C)和(D)是正確的。
12,113年學測-自然科第24題,AC,0.19999999999999996,CD,答案：(C)、(D)                                ### 解釋：                                (C) 於密閉隔熱室內打開空冰箱的門，通電並經長時間運轉後，平均室溫會提高。  解釋：  當開 開 空 箱 盒 門 ， 內 部 的 冷 氣 會 流 出 ， 而 且 電 箱 子 內 的 壓 縮 機 會 引 發 熱 生 成 ， 這 會 導 致 箱 子 內 的 溫 度 上 升 。 在 密 閉 且 隔 熱 的 室 內 ， 這 種 熱 能 會 累 積 ， 導致 平 均 溫 室 會 高 升 。(D) 冷 媒 冷 協 冰箱 裡 的 食 物 時 是 處 於 低 溫 高 壓 狀 態 。  解釋：  冷 媒 在 電 箱 子 裡 是 承 受 壓 力 和 溫 度 變 動 的 。 當 冷 媒 吸 收 了 箱 子 裡 食 物 的 熱 能 後 ， 它 本 身 的 溫 度 會 升 高 ， 這 就 造 成 了 低 溫 高 壓 狀 態 。 因 此 ， 選 項 (C) 和 (D) 是 正 確 的 。
