,info,answer,score,generated_answer,detailed_generated_answer
0,113年學測-社會科第1題,B,1,B,"                           correct answer: (B)                           Explanation:                           The question is about legislation that recognizes and supports the cultural rights of indigenous people in Taiwan. The closest comparison among the given options is (B) The National Language Development Act, which includes Taiwan Sign Language as part of the national languages, promoting the recognition and preservation of a minority group's language and culture."
1,113年學測-社會科第2題,A,0,D,"                           correct answer(s): (D)                           Explanation:                           According to Taiwanese law, if there is no designated heir or will, the estate is distributed to the closest relatives. In this case, Alpha's sister-in-law and godchildren would each inherit one-third of the estate."
2,113年學測-社會科第3題,B,1,B,"                           correct answer: (B)                           Explanation:                           (A) The passage does not mention anything about shortages or market fluctuations.                           (B) The passage states that coffee consumption increased, and European countries planted coffee extensively in their colonies. This implies that the supply increased more than the demand, leading to a possible decrease in market price.                           (C) Although coffee consumption increased, the passage focuses on the colonies' extensive planting, not the growth of consumption.                           (D) The passage does not mention any government intervention or price control policies.                           Therefore, choose (B) as the most likely basis for Xiaoyi's inference."
3,113年學測-社會科第4題,B,0,A,"                           correct answer: (A) Tamsui, Macau                           Explanation:                           The question refers to a Spanish official's report mentioning losses due to the Dutch. At that time, the Dutch were based in Tayouan (現台灣台南安平) and the Spanish had a trading post in Macau. Therefore, the Spanish official's suggestion to obtain a foothold at another port and drive the Dutch out implies targeting Tamsui (現台灣台北士林) and Macau."
4,113年學測-社會科第5題,D,1,D,"                           correct answer: (D)                           Explanation:                           The information provided in the question describes the living conditions and cleanliness of the city during the Song Dynasty. It mentions that houses were built close to the moat, and people threw waste into it, making the city dirty and damp. This indicates that the living conditions were poor, and public health was likely suffering.                           Option (A) focuses on the government's preoccupation with defense, which may be related to the city's conditions but is not directly inferred from the given information.                           Option (B) mentions an epidemic and disease, which could be a consequence of poor living conditions, but it is not directly supported by the information provided.                           Option (C) discusses a declining market and poor maintenance of infrastructure, which is not directly related to the information about the city's living conditions.                           Therefore, option (D) is the most reasonable inference, as it directly addresses the poor public health and high population density resulting from the described living conditions."
5,113年學測-社會科第6題,D,0,BD,"                           correct answer(s): (B), (D)                           Explanation:                           (B) The statement reflects the limitations of US military technology in dealing with the determined spirit of the North Vietnamese alliance, which was a significant factor in the failure of the Vietnam War.                           (D) The former US Defense Secretary acknowledges that the United States ignored the national independence will of the Vietnamese people, which was a major mistake in their intervention."
6,113年學測-社會科第7題,A,0,D,"                           correct answer: (D)                           Explanation:                           During the Ming dynasty, the government imposed a maritime ban, and the local area was restricted due to rampant piracy. This would have limited the movement of people and goods, leading to a stagnant population in the region despite the lack of major disasters or wars."
7,113年學測-社會科第9題,B,1,B,"                           correct answer: (B) Mountain defense gradually took over by officials                           Explanation:                           The question states that the Japanese government continued the Qing Dynasty's mountain bandit policy in Taiwan to prevent aborigines. From Table 2, we can see that the number of official Qiangwei people increased significantly, while the number of civilian Qiangwei people remained relatively stable or even decreased. This indicates that the official Qiangwei people, who were controlled by the Japanese government, played a more dominant role in mountain defense, gradually taking over from the civilian Qiangwei people."
8,113年學測-社會科第10題,A,1,A,"                           correct answer: (A) Kinmen and Berlin                           Explanation: Nixon referred to Kinmen, an offshore island of Taiwan, and Berlin, a city in Europe, as examples. Kinmen is frequently targeted by the Communist Party of China, while Berlin is a city in Europe that the US has supported as an ally."
9,113年學測-社會科第11題,B,1,B,"                           correct answer: (B) 1930s in Shanghai                           Explanation:                           The conclusion in the question is most likely to be found in a history textbook from the 1930s in Shanghai. This is because the Nationalist Party, led by Chiang Kai-shek, and the Three Principles of the People were the dominant ideology of the Republic of China during this period. The goal of establishing a world of Great Harmony and emphasizing China's responsibility reflects the nationalist and conservative political atmosphere of the time."
