,info,answer,score,generated_answer,detailed_generated_answer
0,113年學測-社會科第1題,B,0,A,                           解釋：                           (A)民法規定姓名制度，但與文化傳承無關。                           (B)國家語言發展法重視多元文化，但未限定特定族群。                           (C)國籍法解除限制與新住民平權有關，但涉及國籍而非原住民。                           (D)廣播電視法限制股東或董監事職務，與文化傳承無關。                           因此選(A)                           正確的答案：(A)
1,113年學測-社會科第2題,A,0,B,                           解釋：                           (A) 無定繼承人且無遺囑，故遺產歸國有不合法。                           (B) 血親卑親屬部分正確，但姪兒姪女應共同繼承，而非單獨繼承。                           (C) 代位繼承概念不適用此案例。                           (D) 嫂嫂並非直系親屬，無繼承權。                           因此選(B)                           正確的答案：(B)
2,113年學測-社會科第3題,B,1,B,                           解釋：                           (A)、(B)、(C) 這三個選項都涉及咖啡需求增加和供給增加的因素，但只有(B)明確指出咖啡消費需求增加但殖民地大量種植的供給增加更大，導致市場供過於求，價格下跌。                           正確的答案：(B)
3,113年學測-社會科第4題,B,0,A,                           解釋：                           (A)打狗、澳門 - 打狗（高雄）和澳門都是臺灣和中國的港口城市，可能符合「另一個港口」的描述。                           (B)基隆、馬尼拉 - 基隆位於臺灣，馬尼拉位於菲律賓，兩者地理位置上不太可能被視為同一個據點。                           (C)安平、麻六甲 - 安平位於臺灣，麻六甲位於馬來西亞，兩者地理位置上不太可能被視為同一個據點。                           (D)淡水、巴達維亞 - 淡水位於臺灣，巴達維亞（今雅加達）位於印尼，兩者地理位置上不太可能被視為同一個據點。                           (A)符合報告中「另一個港口」和「根據地」的描述，因打狗和澳門都是港口城市。                           正確的答案：(A)
4,113年學測-社會科第5題,D,1,D,                           解釋：                           (A)政府忙於抗金，無力管理居民：此推論可能，但資料未提到政府的狀況。                           (B)瘴癘盛行，導致城市惡臭潮濕：資料中提到「處處汙穢潮濕」、「氣味讓人掩鼻難耐」，但未提到瘴癘。                           (C)坊市瓦解，無力維修城郭街道：資料中提到「民家緊鄰壕溝」、「甚至跨溝造屋」，表示城市環境敗壞。                           (D)城市人口密集，公共衛生欠佳：資料中提到環境汙穢、潮濕、惡臭，表示公共衛生狀況不佳。                           正確的答案：(D)城市人口密集，公共衛生欠佳。
5,113年學測-社會科第6題,D,1,D,                           解釋：                           美國前國防部長檢討越戰失利，指出美國的錯誤最主要是忽略越南人民的民族獨立意志。他認為美國錯誤地以為當地人會為自由民主而戰，卻沒有充分了解越南的歷史、文化和政治。因此，美國沒有充分考慮到越南人民追求獨立和自由的強烈渴望。                           正確的答案：(D)忽略越南人民的民族獨立意志
6,113年學測-社會科第7題,A,1,A,                           解釋：                           (A) 按土地人丁徵銀，意味著無論增加多少人口，政府徵收的銀兩都不會變化，因此無增加戶、人口的必要。                           (B) 強制遷移人口的行為違反人類遷徙自由，且無史書資料支持。                           (C) 海口開墾的行為需要大量人力，且無史書資料支持。                           (D) 海盜猖獗限制移民的行為也違反人類遷徙自由，且無史書資料支持。                           (A) 為明代的政策，符合資料增加但徵收不增加的現象。                           正確的答案：(A)
7,113年學測-社會科第9題,B,1,B,                           解釋：                           (A)官方僱用平埔族人防禦：表2中並沒有提供平埔族人的相關數據，無法支持此選項。                           (B)山區防禦漸由官方主導：表2中並未呈現官方和民隘的人數變化，無法支持此選項。                           (C)從武力鎮壓到安撫教化：表2中無法看到與武力鎮壓到安撫教化的數據，無法支持此選項。                           (D)山區居民漸被官方撤離：表2中無法看到山區居民被官方撤離的數據，無法支持此選項。                           (B)山區防禦漸由官方主導：表2中可以看到官隘和民隘的人數都有增加，尤其是官隘增加的比較多，這可能表明官方在山區的影響力在增加，山區防禦可能由官方主導。                           正確的答案：(B)山區防禦漸由官方主導
8,113年學測-社會科第10題,A,0,ADC,                           解釋：                           根據1960年美國總統候選人尼克森的聲明，他提到中共的聲明攻擊沿海小島是要拿下臺灣，並表示一旦中共攻擊臺灣，美國將支持臺灣。而聲明中提到的「歐洲城市」是一個類比，用以表明美國將支持臺灣。因此，沿海小島和歐洲城市都是用來類比的，而非具體地點。然而，為了符合題意，我們可以合理地推測，尼克森可能提到的沿海小島可能是臺灣的外島，例如金門、馬祖、澎湖等。而歐洲城市則無特定指涉，只是一個類比。                           正確的答案：無具體正確答案，但可以合理地推測為(A)金門、(D)馬祖、(C)澎湖。
9,113年學測-社會科第11題,B,0,D,                           解釋：                           (A) 1910年代初的北京：當時中華民國政府已遷至北京，但五四運動後，國民黨失去了領導地位，因此不太可能是在這裡完成的。                           (B) 1930年代初的上海：上海是商業中心，但1930年代初，日本侵華，國民黨仍處於困難時期，不太可能在這裡完成。                           (C) 1960年代末的南京：1960年代末，中華人民共和國已建立，但教科書的結論更接近於國民黨時代的思想，因此也不太可能是在這裡完成。                           (D) 1990年代末的香港：香港是自由港，思想多元，但1990年代末的香港已回歸中國，教科書內容可能已受影響，不太可能是這個版本的教科書。                           (D) 1990年代初的台灣：臺灣在1990年代初民主化，政治自由化，教科書可能還保持著自由市場競爭的環境，因此最可能是在這裡完成。                           正確的答案：(D) 1990年代初的台灣
