,info,answer,score,generated_answer,detailed_generated_answer
0,113年學測-社會科第1題,B,1,B,                           正確的答案：(B)                           解釋：                           本題考察的是對不同法律條文的理解和分析。民法規定父母應以書面約定子女要從父姓或母姓，這主要是關於個人姓名的權利，與公民權利的保護有關，但並未直接涉及社群資源的分配。國家語言發展法將臺灣手語納入國家語言的範圍，這與語言文化的傳承和尊重有關，也與社群資源的保護有關，但與法定民俗節日的立法目的不完全相符。國籍法解除限制新住民歸化未滿十年不得參選公職之規定，這與公民權利的保護有關，但與法定民俗節日的立法目的不完全相符。廣播電視法規定無我國國籍者不得為股東或擔任董監事職務，這與媒體的管理有關，與法定民俗節日的立法目的不完全相符。因此，只有國家語言發展法將臺灣手語納入國家語言的範圍，與公民權利的保護和社群資源的保護有關，與法定民俗節日的立法目的最為相近。
1,113年學測-社會科第2題,A,0,C,                           正確的答案：(C)                           解釋：                           根據《民法》第1137條，若無遺囑，且無法定繼承人時，遺產歸國家所有。甲未婚無子女，僅有一兄，兄過世後，甲對兄之財產有優先承繼權，但甲並未留遺囑，因此甲的財產將依民法第1140條規定，由甲之血親卑親屬代位繼承。甲之兄已逝，因此甲之侄子和侄女可以代位繼承其父之遺產。因此，甲的遺產將由其兄之妻（嫂）、其侄子和侄女共同繼承，而非姦婦或姪兒姦女共同繼承。故答案為(C)。
2,113年學測-社會科第3題,B,1,B,                           正確的答案：(B)                           解釋：                           (A) 咖啡已經成為大眾化飲品，消費市場容易發生短缺，這句話本身沒有錯誤，但並不是小宜推斷價格下跌的依據。小宜推斷的依據應該是市場供需原理，即需求增加而供給增加時，價格通常會下跌。                           (B) 咖啡消費需求增加，但殖民地大量種植供給增加更大，這句話符合市場供需原理，當需求增加而供給增加更多時，價格通常會下跌。                           (C) 欧洲各國在殖民地種植咖啡後，同步刺激了消費成長，這句話是說咖啡市場的需求增加，但並未提及供給是否增加，因此不能作為小宜推斷價格下跌的依據。                           (D) 政府預期咖啡價格將有大波動，採取了價格管制政策，這句話是政策面的考量，與市場供需原理無關，不能作為小宜推斷價格下跌的依據。                           故根據歷史敘述和市場供需原理，小宜推斷價格下跌的依據應為(B)。
3,113年學測-社會科第4題,B,0,C,                           正確的答案：(C)                           解釋：                           (C)安平是荷蘭人入侵台灣的據點，而麻六甲是荷蘭早期的殖民地，也是他們的重要商港，因此「另一個港口」是指安平，「根據地」是指麻六甲。                           (A)打狗是西班牙人對基隆的稱呼，而非荷蘭人；澳門是荷蘭人早期在東南亞的據點，但不是荷蘭入侵台灣的港口。                           (B)基隆是荷蘭人入侵台灣的據點，但「根據地」是指麻六甲，而非基隆。                           (D)淡水是荷蘭人入侵台灣的據點，但「根據地」是指麻六甲，而非淡水。                           故選(C)。
4,113年學測-社會科第5題,D,1,D,                           正確的答案：(D)                           解釋：                           根據資料描述，城市環境污穢潮濕且氣味難聞，這可能是由於城市人口過多，導致公共衛生狀況不佳，無法有效清理溝渠和街道，且缺乏有效的城市管理。因此，城市人口密集，公共衛生欠佳是最合理的推論。其他選項如政府無力管理、瘴癘盛行或坊市瓦解，雖然也可能影響城市環境，但這些因素並未直接從資料中得到證據支持。
5,113年學測-社會科第6題,D,1,D,                           正確的答案：(D)                           解釋：                           (D)美國前國防部長的評論反映了美國在越戰中犯了幾個錯誤，其中最重要的一點是低估了越南人民的民族獨立意志。他指出美國以為好的政策或技術對於越南人來說不一定適用，這表明美國未能理解越南人民對自己國家的主權和獨立的強烈願望。此外，他還提到美國軍事科技在面對北越士氣高昂的部隊時感到力不從心，這也暗示了美國在戰術和戰略上的失誤，並未充分考慮到越南人民的實際情況和他們對自由民主的真正需求。因此，美國的失敗主要歸咎於對越南人民民族主義情感的忽視和對當地歷史、文化和政治的不了解。
6,113年學測-社會科第7題,A,0,D,                           正確的答案：(D)                           解釋：                           (D)明代實施海禁，當地由於海盜猖獗，政府乃限制移民進入。這段史料說明了當時海禁政策導致鄞縣等地人口減少的原因之一，因為海禁政策限制了人口的流動，使得當地人口數量下降。其他選項的解釋如下：                           (A) 明代簡化賦役並非直接導致戶口減少的原因，而是可能導致人口減少，但不是主要原因。                           (B) 官員強制將新增人口遷移他處，這在史料中沒有明確的證據支持，且不符合常理，因為人口減少通常不會是官方主動行為。                           (C) 鄧世昌《中國近代史》中提到，明代中期後，遼東地區已經開發，並非新开墾荒地，且海禁政策也限制了人口往遼東地區移動。                           故選(D)為最合理的解釋。
7,113年學測-社會科第9題,B,1,B,                           正確的答案：(B)                           解釋：                           表格顯示官隘人數逐年增加，民隘人數逐年減少，顯示山區防禦漸由官方主導，而非居民自行防守。
8,113年學測-社會科第10題,A,1,A,                           正確的答案：(A)                           解釋：                           (A)1960年尼克森所指的沿海小島是金門，而歐洲城市是柏林，尼克森所指的盟友是西德，當時西德是美國的盟友，柏林是冷戰時期美蘇對峙的象徵之一。                           (B)大陳是中國浙江省舟山市轄區內的一個島嶼，與美國無關，且大陳與金門、澎湖、馬祖等沿海小島不同，並非美國關注的對象。                           (C)澎湖是中國福建省轄下的島嶼，與美國無關，且澎湖與金門、馬祖、大陳等沿海小島不同，並非美國關注的對象。                           (D)馬祖是中國福建省轄下的島嶼，與美國無關，且馬祖與金門、澎湖、大陳等沿海小島不同，並非美國關注的對象。                           故選(A)金門，柏林。
9,113年學測-社會科第11題,B,0,C,                           正確的答案：(C)                           解釋：                           這段文字描述的是三民主義的理論，而三民主義是國民黨在1930年代提出的政治理論，並在1940年代成為其施政方針。因此，這段文字最可能出現在1960年代末的南京，因為那時國民黨政府已經在南京建立了中華民國政府，並且三民主義成為其施政方針之一。
