model,short_name,open,zh-tw,lora,lora_path,icl,icl_type
"ikala/bloom-zh-3b-chat","bloom-3b",true,true,false,"",false,""
"taide/Llama3-TAIDE-LX-8B-Chat-Alpha1","taide-8b",true,true,false,"",false,""
"MediaTek-Research/Breeze-7B-32k-Instruct-v1_0","breeze-7b",true,true,false,"",false,""
"Qwen/Qwen1.5-1.8B-Chat","qwen-1.8b",true,false,false,"",false,""
"Qwen/Qwen1.5-4B-Chat","qwen-4b",true,false,false,"",false,""
"Qwen/Qwen1.5-7B-Chat","qwen-7b",true,false,false,"",false,""
"Qwen/Qwen1.5-MoE-A2.7B-Chat","qwen-2.7b-MoE",true,false,false,"",false,""
"01-ai/Yi-1.5-6B-Chat","yi-6b",true,false,false,"",false,""
"01-ai/Yi-1.5-9B-Chat","yi-9b",true,false,false,"",false,""
"gpt-4o","gpt-4o",false,false,false,"",false,""
"MediaTek-Research/Breeze-7B-32k-Instruct-v1_0","breeze-7b-is_gsat",true,true,true,"../finetune/is-all_gsat",false,""
"MediaTek-Research/Breeze-7B-32k-Instruct-v1_0","breeze-7b-cp+is_gsat",true,true,true,"../finetune/cp-all_textbook+is-all_gsat",false,""
"MediaTek-Research/Breeze-7B-32k-Instruct-v1_0","breeze-7b-is_tmmlu",true,true,true,"../finetune/is-tmmlu_2k",false,""
"MediaTek-Research/Breeze-7B-32k-Instruct-v1_0","breeze-7b-icl_en",true,true,false,"",true,"translated_question"
"MediaTek-Research/Breeze-7B-32k-Instruct-v1_0","breeze-7b-icl_reverse",true,true,false,"",true,"prompt_reverse"
