model,short_name,result,open,zh-tw
"ikala/bloom-zh-3b-chat","bloom-3b","112-ch-result-bloom3b.csv",true,true
"taide/Llama3-TAIDE-LX-8B-Chat-Alpha1","taide-8b","112-ch-result-taide8b.csv",true,true
"MediaTek-Research/Breeze-7B-32k-Instruct-v1_0","breeze-7b","112-ch-result-breeze7b.csv",true,true
"Qwen/Qwen1.5-1.8B-Chat","qwen-1.8b","112-ch-result-qwen1.8b.csv",true,false
"Qwen/Qwen1.5-4B-Chat","qwen-4b","112-ch-result-qwen4b.csv",true,false
"Qwen/Qwen1.5-7B-Chat","qwen-7b","112-ch-result-qwen7b.csv",true,false
"Qwen/Qwen1.5-MoE-A2.7B-Chat","qwen-2.7b-MoE","112-ch-result-qwen2.7b.csv",true,false
"Anthropic/Claude3-Opus","opus","112-ch-result-opus.csv",false,false
"Anthropic/Claude3-Sonnet","sonnet","112-ch-result-sonnet.csv",false,false
"Anthropic/Claude3-Haiku","haiku","112-ch-result-haiku.csv",false,false
